,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
1,SRR14632920,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
2,SRR14632922,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
3,SRR14632924,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999929,1.00E-05,1.10E-05,1.00E-05,2.10E-05,FALSE
4,SRR14632927,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999921,1.90E-05,1.00E-05,1.00E-05,2.90E-05,FALSE
5,SRR14632928,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
6,SRR14632929,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
7,SRR14632932,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
8,SRR14632934,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.10E-05,1.00E-05,1.00E-05,0.999929,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
9,SRR14632950,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999927,1.00E-05,1.30E-05,1.00E-05,2.30E-05,FALSE
10,SRR14632955,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
11,SRR14632961,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
12,SRR14632964,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
13,SRR14632967,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
14,SRR14632968,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
15,SRR14632969,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.10E-05,1.00E-05,0.999928,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
16,SRR14632970,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
17,SRR3244044,none,none,pure?,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
18,SYST-MOR-0006717,hybrid?,none,none,none,hybrid?,none,none,0,2,hybrid,1.00E-05,1.00E-05,0.058373,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.941567,2.00E-05,FALSE
19,SYST-MOR-0006718,none,none,none,none,pure?,none,none,1,0,pure,1.00E-05,1.00E-05,0.05292,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.94702,2.00E-05,FALSE
20,SYST-MOR-0006719,none,none,none,none,pure?,none,none,1,0,pure,1.00E-05,1.00E-05,0.048625,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.951315,2.00E-05,FALSE
21,SYST-MOR-0006720,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
22,SYST-MOR-0006721,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.910625,0.089315,1.00E-05,0.99994,TRUE
23,SYST-MOR-0006722,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.830774,0.169166,1.00E-05,0.99994,TRUE
24,SYST-MOR-0006723,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.954728,0.045212,1.00E-05,0.99994,TRUE
