,Sample,alb1,alb2,bic1,bic2,lob1,lob2,lyr1,lyr2,mac1,mac2,mar,mic,mon,mue1,sin,ste,alb_mic,mic_mon,mic_alb,mue_pri,pri_mue,ste_mar5,sin_mar5,ste_mar,ste_sin,Run,pri,mue2,alb5,bic_lyr,pri2,colnum,species,state,site,lat,long
1,SRR14632920,1e-05,NA,1e-05,NA,0.99989,NA,1e-05,NA,1e-05,1e-05,NA,1e-05,1e-05,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,NA,NA,1,NA,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
2,SRR14632920,1.5e-05,NA,1e-05,NA,0.999885,NA,1e-05,NA,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,4,1e-05,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
3,SRR14632920,1e-05,NA,1e-05,NA,0.99989,NA,1e-05,NA,1e-05,NA,NA,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,NA,NA,21,1e-05,NA,NA,NA,1e-05,,Quercus lobata  Nee.,,,NA,NA
4,SRR14632920,1e-05,NA,1.6e-05,NA,1e-05,0.99988,1e-05,NA,1e-05,NA,NA,1.2e-05,1e-05,1.1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,12,1e-05,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
5,SRR14632920,1e-05,1e-05,1e-05,NA,0.99989,NA,1e-05,NA,1e-05,1e-05,NA,NA,NA,1e-05,1e-05,NA,NA,1e-05,NA,NA,NA,NA,NA,1e-05,NA,18,1e-05,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
6,SRR14632920,1.3e-05,NA,1e-05,1e-05,0.999885,NA,1e-05,NA,1e-05,NA,NA,1.2e-05,1e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,3,1e-05,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
7,SRR14632920,1e-05,NA,1.5e-05,NA,0.99988,NA,1e-05,1e-05,1e-05,NA,NA,1e-05,1e-05,1.5e-05,NA,NA,NA,NA,NA,NA,NA,1e-05,1e-05,NA,NA,2,1e-05,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
8,SRR14632920,1e-05,NA,1e-05,NA,0.99989,NA,1e-05,NA,1e-05,1e-05,NA,1e-05,1e-05,NA,NA,NA,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,NA,NA,23,NA,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
9,SRR14632920,1e-05,1e-05,1e-05,NA,0.999889,NA,1e-05,NA,1e-05,1e-05,NA,1.1e-05,1e-05,NA,1e-05,NA,NA,NA,NA,1e-05,NA,NA,NA,1e-05,NA,14,NA,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
10,SRR14632920,1e-05,1e-05,1e-05,1e-05,0.99989,NA,1e-05,NA,1e-05,NA,NA,1e-05,1e-05,NA,1e-05,NA,NA,NA,NA,1e-05,NA,NA,NA,1e-05,NA,20,NA,NA,NA,NA,NA,,Quercus lobata  Nee.,,,NA,NA
