File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0006782.bam	SYST-MOR-0006782	samtools 1.21	52470494	26493202	25977292	40040236	48671054	3799440	2945876	984371
SYST-MOR-0006783.bam	SYST-MOR-0006783	samtools 1.21	69751754	35122408	34629346	57788670	65541040	4210714	2637108	855058
SYST-MOR-0006784.bam	SYST-MOR-0006784	samtools 1.21	90636575	45622456	45014119	71949970	84577440	6059135	4195202	1348627
SYST-MOR-0006785.bam	SYST-MOR-0006785	samtools 1.21	98198624	49462583	48736041	78949368	91492626	6705998	4332398	1369462
SYST-MOR-0006786.bam	SYST-MOR-0006786	samtools 1.21	110764974	55876897	54888077	88577782	102834110	7930864	4825026	1550982
SYST-MOR-0006787.bam	SYST-MOR-0006787	samtools 1.21	100540283	50668492	49871791	81692904	93227506	7312777	4076288	1323887
SYST-MOR-0006788.bam	SYST-MOR-0006788	samtools 1.21	109950754	55448749	54502005	86860558	101480462	8470292	5186936	1662540
SYST-MOR-0006789.bam	SYST-MOR-0006789	samtools 1.21	100218588	50503047	49715541	80199182	93836808	6381780	4873716	1579117
SYST-MOR-0006790.bam	SYST-MOR-0006790	samtools 1.21	131319175	66328071	64991104	101492242	122476166	8843009	7178812	2314702
SYST-MOR-0006791.bam	SYST-MOR-0006791	samtools 1.21	97277625	49101870	48175755	78343066	90675238	6602387	4298196	1369708
SRR14632955.bam	SRR14632955	samtools 1.21	134488312	68039841	66448471	104496020	124606720	9881592	9159030	2767068
SYST-MOR-0006792.bam	SYST-MOR-0006792	samtools 1.21	66305889	33402247	32903642	52509174	61919098	4386791	3209160	1042419
SYST-MOR-0006793.bam	SYST-MOR-0006793	samtools 1.21	63523215	31965740	31557475	51250126	59267164	4256051	2705758	877668
SYST-MOR-0006794.bam	SYST-MOR-0006794	samtools 1.21	108235032	54612619	53622413	85134504	100042258	8192774	5392270	1697481
SYST-MOR-0006795.bam	SYST-MOR-0006795	samtools 1.21	104449806	52712905	51736901	84756550	96678212	7771594	4376836	1341003
SYST-MOR-0006796.bam	SYST-MOR-0006796	samtools 1.21	182117590	91866813	90250777	153135626	169182402	12935188	5857160	1745523
SYST-MOR-0006797.bam	SYST-MOR-0006797	samtools 1.21	103737589	52347747	51389842	83341230	96118680	7618909	4484472	1391381
SYST-MOR-0006798.bam	SYST-MOR-0006798	samtools 1.21	83870162	42334819	41535343	66779906	78161032	5709130	3838140	1274124
SYST-MOR-0006799.bam	SYST-MOR-0006799	samtools 1.21	101467645	51164202	50303443	81146300	94853860	6613785	4626440	1527014
SYST-MOR-0006800.bam	SYST-MOR-0006800	samtools 1.21	78387448	39559852	38827596	62692962	72764344	5623104	3455928	1132140
SYST-MOR-0006801.bam	SYST-MOR-0006801	samtools 1.21	85826681	43358266	42468415	66460220	79257034	6569647	4424270	1460362
SRR14632961.bam	SRR14632961	samtools 1.21	221812623	111538341	110274282	199015064	209041696	12770927	5806486	1429615
SYST-MOR-0006802.bam	SYST-MOR-0006802	samtools 1.21	79460943	40023013	39437930	61903552	73537772	5923171	3971120	1306682
SYST-MOR-0006803.bam	SYST-MOR-0006803	samtools 1.21	74470915	37538110	36932805	60300088	69101148	5369767	3202376	968583
SYST-MOR-0006804.bam	SYST-MOR-0006804	samtools 1.21	98612914	49777513	48835401	78086894	91042208	7570706	4551012	1403263
SYST-MOR-0006805.bam	SYST-MOR-0006805	samtools 1.21	109427407	55274581	54152826	85910300	100939624	8487783	5211624	1656581
SYST-MOR-0006806.bam	SYST-MOR-0006806	samtools 1.21	77595484	39151111	38444373	62950120	71673744	5921740	3173760	902596
SYST-MOR-0006807.bam	SYST-MOR-0006807	samtools 1.21	85648826	43282125	42366701	67329524	79022330	6626496	4210702	1287332
SYST-MOR-0006808.bam	SYST-MOR-0006808	samtools 1.21	91495437	45976987	45518450	74235034	85240186	6255251	3760770	1211518
SYST-MOR-0006809.bam	SYST-MOR-0006809	samtools 1.21	68347180	34431998	33915182	54639304	63375640	4971540	3090750	963816
SYST-MOR-0006810.bam	SYST-MOR-0006810	samtools 1.21	96322221	48544028	47778193	77981344	89412442	6909779	3957206	1268990
SYST-MOR-0006811.bam	SYST-MOR-0006811	samtools 1.21	88939334	44892318	44047016	71727302	81808712	7130622	3768038	1068243
SRR14632964.bam	SRR14632964	samtools 1.21	225849734	113686119	112163615	199118588	212096228	13753506	7059624	1929556
SYST-MOR-0006812.bam	SYST-MOR-0006812	samtools 1.21	102933645	51925301	51008344	81783954	95165328	7768317	4794046	1508780
SYST-MOR-0006813.bam	SYST-MOR-0006813	samtools 1.21	112961211	57021713	55939498	87843008	104228994	8732217	5740762	1854251
SYST-MOR-0006814.bam	SYST-MOR-0006814	samtools 1.21	108533934	54754212	53779722	87755084	99586136	8947798	4286782	1241692
SYST-MOR-0006815.bam	SYST-MOR-0006815	samtools 1.21	122134282	61673517	60460765	97767376	112082122	10052160	5069274	1456115
SYST-MOR-0006816.bam	SYST-MOR-0006816	samtools 1.21	93663459	47185700	46477759	77329456	87003538	6659921	3558724	1088750
SYST-MOR-0006817.bam	SYST-MOR-0006817	samtools 1.21	116465014	58736203	57728811	94524248	108167692	8297322	4754454	1529539
SYST-MOR-0006818.bam	SYST-MOR-0006818	samtools 1.21	123274705	62086404	61188301	100381358	113659504	9615201	5148736	1387519
SYST-MOR-0006819.bam	SYST-MOR-0006819	samtools 1.21	117143709	58955971	58187738	97906854	109175024	7968685	4025880	1267467
SYST-MOR-0006820.bam	SYST-MOR-0006820	samtools 1.21	114474385	57646458	56827927	93487156	106537174	7937211	4580170	1434216
SYST-MOR-0006821.bam	SYST-MOR-0006821	samtools 1.21	137684872	69470371	68214501	109733536	127300460	10384412	6109340	1941872
SRR14632967.bam	SRR14632967	samtools 1.21	129370308	65129101	64241207	113170638	122451296	6919012	5251624	1295608
SYST-MOR-0006822.bam	SYST-MOR-0006822	samtools 1.21	93425004	47094717	46330287	77326392	87022430	6402574	3419242	1072021
SYST-MOR-0006823.bam	SYST-MOR-0006823	samtools 1.21	81234004	41026727	40207277	66224700	74633736	6600268	3145662	874104
SYST-MOR-0006824.bam	SYST-MOR-0006824	samtools 1.21	86189790	43435697	42754093	71654412	80399510	5790280	3161782	987782
SYST-MOR-0006825.bam	SYST-MOR-0006825	samtools 1.21	67470041	34038288	33431753	53452976	61884240	5585801	3065114	884392
SYST-MOR-0006826.bam	SYST-MOR-0006826	samtools 1.21	98792002	49831989	48960013	80061392	90803222	7988780	3998154	1158849
SYST-MOR-0006827.bam	SYST-MOR-0006827	samtools 1.21	116862572	58799287	58063285	98376778	108750494	8112078	3991216	1220891
SYST-MOR-0006828.bam	SYST-MOR-0006828	samtools 1.21	126711256	63831988	62879268	104257876	117336108	9375148	4761412	1519747
SYST-MOR-0006829.bam	SYST-MOR-0006829	samtools 1.21	138452513	69970681	68481832	108569020	127760806	10691707	6700588	2190091
SYST-MOR-0006830.bam	SYST-MOR-0006830	samtools 1.21	111548574	56309933	55238641	89699502	103341176	8207398	4854078	1555233
SYST-MOR-0006831.bam	SYST-MOR-0006831	samtools 1.21	126705042	64067691	62637351	97527288	117064422	9640620	6656418	2097102
SRR14632968.bam	SRR14632968	samtools 1.21	172325257	86779373	85545884	145419982	161968972	10356285	8276688	2250988
SYST-MOR-0006832.bam	SYST-MOR-0006832	samtools 1.21	106033538	53452746	52580792	85967500	98458712	7574826	4309272	1359551
