V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0006721.bam	12.7833337783813	-6.90000009536743	17.8500003814697	111	51	262
SYST-MOR-0006722.bam	12.7833337783813	-6.90000009536743	17.8500003814697	111	51	262
SYST-MOR-0006723.bam	12.7833337783813	-6.90000009536743	17.8500003814697	111	51	262
SYST-MOR-0006724.bam	12.7833337783813	-6.90000009536743	17.8500003814697	111	51	262
SYST-MOR-0006725.bam	12.7833337783813	-6.90000009536743	17.8500003814697	111	51	262
SYST-MOR-0006729.bam	11.25	-10.1999998092651	22.216667175293	104	37	303
SYST-MOR-0006731.bam	11.25	-10.1999998092651	22.216667175293	104	37	303
SYST-MOR-0006735.bam	11.25	-10.1999998092651	22.216667175293	104	37	303
SYST-MOR-0006737.bam	11.25	-10.1999998092651	22.216667175293	104	37	303
SYST-MOR-0006738.bam	11.2416667938232	-10.1999998092651	22.25	104	37	303
SYST-MOR-0006740.bam	11.2416667938232	-10.1999998092651	22.25	104	37	303
SYST-MOR-0006753.bam	11.4833335876465	-5.09999990463257	13.4166669845581	121	70	295
SYST-MOR-0006755.bam	11.4833335876465	-5.09999990463257	13.4166669845581	121	70	295
SYST-MOR-0006758.bam	11.4833335876465	-5.09999990463257	13.4166669845581	121	70	295
SYST-MOR-0006759.bam	11.4833335876465	-5.09999990463257	13.4000005722046	121	69	294
SYST-MOR-0006761.bam	11.4833335876465	-5.09999990463257	13.4166669845581	121	70	295
SYST-MOR-0006763.bam	11.8583326339722	-3.79999995231628	14.3666667938232	131	83	291
SYST-MOR-0006764.bam	11.8583326339722	-3.79999995231628	14.3666667938232	131	83	291
SYST-MOR-0006765.bam	11.8583326339722	-3.79999995231628	14.3666667938232	131	83	291
SYST-MOR-0006767.bam	11.8249998092651	-3.79999995231628	14.3000001907349	131	83	291
SYST-MOR-0006770.bam	11.8583326339722	-3.79999995231628	14.3666667938232	131	83	291
SYST-MOR-0006772.bam	11.8583326339722	-3.79999995231628	14.3666667938232	131	83	291
SYST-MOR-0006775.bam	11.8583335876465	-3.79999995231628	14.3166666030884	131	83	292
SYST-MOR-0006778.bam	11.75	-13	20.4333343505859	128	20	338
SYST-MOR-0006779.bam	11.7416667938232	-13.1000003814697	20.3500003814697	129	20	340
SYST-MOR-0006780.bam	11.7416667938232	-13.1000003814697	20.3500003814697	129	20	340
SYST-MOR-0006781.bam	11.75	-13	20.4333343505859	128	20	338
SYST-MOR-0006782.bam	11.75	-13	20.4333343505859	128	20	338
SYST-MOR-0006791.bam	11.6416664123535	-10.1000003814697	22.25	117	29	316
SYST-MOR-0006792.bam	11.6416664123535	-10.1000003814697	22.25	117	29	316
SYST-MOR-0006798.bam	11.3833332061768	-12.1999998092651	22.75	118	25	339
SYST-MOR-0006799.bam	11.4166669845581	-12.1999998092651	22.6833324432373	118	25	338
SYST-MOR-0006801.bam	11.3833332061768	-12.1999998092651	22.75	118	25	339
SYST-MOR-0006802.bam	11.6750001907349	-12.5	22.216667175293	117	25	334
SYST-MOR-0006803.bam	12.125	-6.40000009536743	12.9166669845581	106	50	261
SYST-MOR-0006804.bam	12.125	-6.40000009536743	12.9166669845581	106	50	261
SYST-MOR-0006805.bam	12.125	-6.40000009536743	12.9166669845581	106	50	261
SYST-MOR-0006821.bam	12.6750001907349	-6.19999980926514	18.2000007629395	127	40	288
SYST-MOR-0006844.bam	13.2333335876465	-4.30000019073486	20.0499992370605	124	24	220
SYST-MOR-0006852.bam	13.1416664123535	-4.30000019073486	19.8833332061768	124	24	224
SYST-MOR-0006853.bam	13.1416664123535	-4.30000019073486	19.8833332061768	124	24	224
SYST-MOR-0006854.bam	13.1416664123535	-4.30000019073486	19.8833332061768	124	24	224
SYST-MOR-0006857.bam	13.1416664123535	-5.59999990463257	19.3500003814697	131	31	274
SYST-MOR-0006858.bam	13.1416664123535	-5.59999990463257	19.3500003814697	131	31	274
SYST-MOR-0006861.bam	13.1416664123535	-5.59999990463257	19.3500003814697	131	31	274
SYST-MOR-0006862.bam	13.1416664123535	-5.59999990463257	19.3500003814697	131	31	274
SYST-MOR-0006866.bam	13.1416664123535	-5.59999990463257	19.3500003814697	131	31	274
SYST-MOR-0006870.bam	12.6666669845581	-3.29999995231628	14.0500001907349	136	80	314
SYST-MOR-0006872.bam	12.6666669845581	-3.29999995231628	14.0500001907349	136	80	314
SYST-MOR-0006873.bam	12.6666669845581	-3.29999995231628	14.0500001907349	136	80	314
SYST-MOR-0006875.bam	12.6666669845581	-3.29999995231628	14.0500001907349	136	80	314
SYST-MOR-0006878.bam	12.6666669845581	-3.29999995231628	14.0500001907349	136	80	314
SYST-MOR-0006890.bam	12.5416669845581	-5.19999980926514	12.75	118	73	311
SYST-MOR-0006891.bam	11.8000001907349	-5.19999980926514	21.7999992370605	120	70	323
SYST-MOR-0006892.bam	11.8000001907349	-5.19999980926514	21.7999992370605	120	70	323
SYST-MOR-0006893.bam	11.8083333969116	-5.19999980926514	21.7999992370605	120	69	323
SYST-MOR-0006894.bam	11.8083333969116	-5.09999990463257	21.8833332061768	120	70	323
SYST-MOR-0006897.bam	12.3499994277954	-6	11.5833330154419	118	71	314
SYST-MOR-0006899.bam	12.3499994277954	-6	11.5833330154419	118	71	314
SYST-MOR-0006903.bam	12.4333333969116	-6	11.6333332061768	118	71	313
SYST-MOR-0006904.bam	12.3999996185303	-6	11.6000003814697	118	71	313
SYST-MOR-0006906.bam	12.4333333969116	-6	11.6333332061768	118	71	313
SYST-MOR-0006907.bam	12.0249996185303	-5.5	20.9833335876465	120	70	319
SYST-MOR-0006908.bam	12.0249996185303	-5.5	20.9833335876465	120	70	319
SYST-MOR-0006909.bam	12.0249996185303	-5.5	20.9833335876465	120	70	319
SYST-MOR-0006911.bam	11.9833335876465	-5.40000009536743	21	120	70	320
SYST-MOR-0006912.bam	11.9833335876465	-5.40000009536743	21	120	70	320
SYST-MOR-0006932.bam	11.375	-4.40000009536743	13.3166666030884	123	74	286
SYST-MOR-0006933.bam	11.375	-4.40000009536743	13.3166666030884	123	74	286
SYST-MOR-0006934.bam	11.375	-4.40000009536743	13.3166666030884	123	74	286
SYST-MOR-0006935.bam	11.9583330154419	-4.40000009536743	13.5166664123535	122	74	286
SYST-MOR-0006936.bam	11.375	-4.40000009536743	13.3166666030884	123	74	286
SYST-MOR-0006937.bam	11.7083330154419	-14.1999998092651	20.6499996185303	103	26	298
SYST-MOR-0006942.bam	11.7083330154419	-14.1999998092651	20.6499996185303	103	26	298
SYST-MOR-0006943.bam	11.1833333969116	-15.6999998092651	19.25	107	22	318
SYST-MOR-0006944.bam	11.1833333969116	-15.6999998092651	19.25	107	22	318
SYST-MOR-0006945.bam	11.1833333969116	-15.6999998092651	19.25	107	22	318
SYST-MOR-0006947.bam	11.1833333969116	-15.6999998092651	19.25	107	22	318
SYST-MOR-0006948.bam	11.25	-15.6000003814697	20.5833339691162	106	22	315
SYST-MOR-0006955.bam	12.1416664123535	-19.1000003814697	17.3833332061768	111	22	310
SYST-MOR-0006956.bam	12.1416664123535	-19.1000003814697	17.3833332061768	111	22	310
SYST-MOR-0006957.bam	12.1416664123535	-19.1000003814697	17.3833332061768	111	22	310
SYST-MOR-0006958.bam	12.1416664123535	-19.1000003814697	17.3833332061768	111	22	310
SYST-MOR-0006959.bam	12.1416664123535	-19.1000003814697	17.3833332061768	111	22	310
SYST-MOR-0006960.bam	10.9916667938232	-12.8000001907349	19.5666656494141	103	28	300
SYST-MOR-0006961.bam	10.9916667938232	-12.8000001907349	19.5666656494141	103	28	300
SYST-MOR-0006962.bam	10.9916667938232	-12.8000001907349	19.6166667938232	103	28	298
SYST-MOR-0006963.bam	10.9916667938232	-12.8000001907349	19.6166667938232	103	28	298
SYST-MOR-0006968.bam	10.9916667938232	-12.8000001907349	19.6166667938232	103	28	298
SYST-MOR-0006973.bam	11.6333332061768	-9.80000019073486	19.1000003814697	92	42	266
SYST-MOR-0006975.bam	11.6333332061768	-9.80000019073486	19.1000003814697	92	42	266
SYST-MOR-0006977.bam	11.6333332061768	-9.80000019073486	19.1000003814697	92	42	266
SYST-MOR-0006979.bam	11.6333332061768	-9.80000019073486	19.1000003814697	92	42	266
SYST-MOR-0006980.bam	11.6333332061768	-9.80000019073486	19.1000003814697	92	42	266
SYST-MOR-0006999.bam	10.5333337783813	-9.69999980926514	20.2000007629395	87	40	241
SYST-MOR-0007001.bam	10.5500001907349	-9.69999980926514	20.2333335876465	87	40	241
SYST-MOR-0007002.bam	10.5500001907349	-9.69999980926514	20.2333335876465	87	40	241
SYST-MOR-0007003.bam	10.5500001907349	-9.69999980926514	20.2333335876465	87	40	241
SYST-MOR-0007014.bam	10.9250001907349	-10	19.25	89	35	239
