chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	54845	60651	0.409411	0.328296	0.254108	0.316234
Chr01	60652	75654	0.304883	0.123446	0.091049	0.239384
Chr01	75687	80191	0.236635	0.248801	0.185672	0.170716
Chr01	80219	122865	0.096641	0.113500	0.060611	0.071176
Chr01	123454	146440	-0.131042	-0.122188	-0.058933	-0.068816
Chr01	147191	152485	-0.344272	-0.679006	-0.178922	-0.127339
Chr01	152562	160577	-0.166279	-0.236604	-0.104796	-0.069996
Chr01	160591	168648	-0.144117	-0.242345	-0.086561	-0.068725
Chr01	168659	184137	-0.025201	-0.082137	-0.034046	-0.002516
Chr01	184173	186360	0.236671	0.475176	0.284370	0.105929
Chr01	186374	191366	0.109358	0.263251	0.116060	0.051377
Chr01	191381	200944	0.049961	0.088327	0.050918	0.023850
Chr01	201094	205757	-0.044467	-0.109741	-0.042810	-0.046893
Chr01	205788	209200	-0.150461	-0.315211	-0.118109	-0.087608
Chr01	209261	212264	-0.094126	-0.210421	-0.089479	-0.051429
Chr01	212267	216108	-0.030549	-0.033095	-0.019861	-0.021082
Chr01	216112	217878	-0.160653	-0.395101	-0.164068	-0.098127
Chr01	217943	220073	-0.192351	-0.393223	-0.161354	-0.126005
Chr01	220075	223561	0.009852	0.013646	0.008262	0.006219
Chr01	223566	227102	-0.109965	-0.306850	-0.111016	-0.044937
Chr01	227173	231725	-0.090580	-0.419995	-0.119822	-0.037732
Chr01	231749	235897	-0.260495	-0.708978	-0.247611	-0.136144
Chr01	235916	239801	-0.211788	-0.446389	-0.172857	-0.123585
Chr01	239830	246976	-0.108655	-0.260935	-0.080589	-0.054365
Chr01	247074	249731	-0.065107	-0.260760	-0.093547	-0.021267
Chr01	249757	252695	-0.062291	-0.229215	-0.076008	-0.022129
Chr01	252784	255272	-0.106264	-0.379571	-0.118770	-0.047632
Chr01	255277	256968	-0.271393	-0.719278	-0.228926	-0.125212
Chr01	256969	260821	-0.363447	-1.489682	-0.281119	-0.207875
Chr01	260835	262640	-0.379675	-40.024010	-0.308761	-0.177027
Chr01	262654	264400	-0.415477	-1.641216	-0.342131	-0.210681
Chr01	264401	269150	-0.313765	-1.289006	-0.278138	-0.164098
Chr01	269173	271441	0.078151	0.132202	0.064347	0.039731
Chr01	271456	275443	-0.083238	-0.233015	-0.042845	-0.023997
Chr01	275455	277153	0.081141	0.168494	0.075971	0.040927
Chr01	277173	287780	-0.137402	-0.287934	-0.108071	-0.072973
Chr01	287790	307480	0.196291	0.158178	0.080179	0.117096
Chr01	307643	313095	0.341277	0.338152	0.267954	0.260908
