chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	214180	402515	-0.108816	-0.069533	-0.045166	-0.076947
Chr01	269538	499761	-0.083580	-0.038799	-0.027248	-0.048055
Chr01	402552	642118	-0.115591	-0.038760	-0.026457	-0.055587
Chr01	499996	852476	-0.093459	-0.029998	-0.019529	-0.040843
Chr01	642134	985381	-0.147302	-0.050385	-0.035332	-0.074359
Chr01	852636	1145285	-0.224056	-0.050366	-0.036679	-0.137625
Chr01	985389	1300459	-0.039224	-0.007028	-0.005128	-0.030885
Chr01	1145316	1449323	0.004934	0.001128	0.000814	0.000236
Chr01	1300547	1535550	0.040111	0.013259	0.009141	0.022196
Chr01	1449373	1650111	-0.161878	-0.067962	-0.042581	-0.119986
Chr01	1535666	1799460	-0.392170	-0.177550	-0.101620	-0.303201
Chr01	1650145	1977189	-0.479069	-0.212930	-0.110880	-0.377306
Chr01	1799681	2109965	-0.327135	-0.132761	-0.071940	-0.245369
Chr01	1977239	2231028	-0.042690	-0.015571	-0.010388	-0.027112
Chr01	2109996	2317422	-0.207026	-0.101919	-0.067592	-0.136440
Chr01	2231029	2468797	-0.297130	-0.196432	-0.118366	-0.178627
Chr01	2317438	2567730	-0.143138	-0.091129	-0.056803	-0.082710
Chr01	2468818	2662481	0.001488	0.001100	0.000618	0.003844
Chr01	2567742	2717281	-0.088432	-0.075657	-0.034502	-0.048402
Chr01	2662492	2778600	-0.234490	-0.231515	-0.098858	-0.140495
Chr01	2717301	2884564	-0.246739	-0.222751	-0.111238	-0.151124
Chr01	2778743	2963317	-0.125855	-0.100090	-0.057383	-0.083210
Chr01	2884583	3109962	-0.135653	-0.079906	-0.048913	-0.091114
Chr01	2963436	3279397	-0.166258	-0.061581	-0.040197	-0.102269
Chr01	3110005	3445127	-0.255523	-0.087339	-0.054439	-0.161490
Chr01	3279428	3605135	-0.055108	-0.019456	-0.012864	-0.042371
Chr01	3445211	3842877	-0.021580	-0.006893	-0.004653	-0.025117
Chr01	3605757	4019316	-0.354413	-0.128347	-0.076060	-0.251003
Chr01	3842939	4166037	-0.285738	-0.096669	-0.060881	-0.178868
Chr01	4019335	4299069	-0.316996	-0.109479	-0.070500	-0.222779
Chr01	4166064	4417311	-0.441398	-0.242780	-0.139496	-0.324764
Chr01	4299230	4497603	-0.207994	-0.140189	-0.088409	-0.123695
