chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	124313	151498	-0.401501	-0.119762	-0.077498	-0.275841
Chr01	151667	166701	-0.481031	-0.181127	-0.122557	-0.300621
Chr01	166715	185278	-0.453248	-0.201991	-0.139294	-0.260053
Chr01	185335	196925	-0.380162	-0.186218	-0.123036	-0.245050
Chr01	197127	209963	0.047767	0.015528	0.011340	0.026523
Chr01	210026	218062	0.227673	0.062069	0.053112	0.172406
Chr01	218084	226131	0.063761	0.018511	0.014613	0.052994
Chr01	226146	243593	0.242677	0.037040	0.029398	0.127013
Chr01	243741	253877	-0.398722	-0.132162	-0.099045	-0.339245
Chr01	253956	263398	-0.533501	-0.106686	-0.084881	-0.480640
Chr01	263649	275083	-0.505178	-0.125721	-0.092522	-0.387240
Chr01	275135	295863	-0.010071	-0.003747	-0.002534	-0.005590
Chr01	296007	316181	-0.145066	-0.046870	-0.035447	-0.102450
Chr01	316283	349305	-0.670869	-0.225986	-0.154620	-0.484908
Chr01	349541	369789	0.266654	0.136789	0.091303	0.212196
Chr01	369797	401495	-0.492281	-0.172625	-0.120380	-0.392491
Chr01	401506	419496	0.138622	0.051159	0.036724	0.116142
Chr01	419549	432904	0.679737	0.287139	0.247363	0.374867
Chr01	432969	448364	-0.032407	-0.007130	-0.006343	-0.007605
Chr01	448415	465520	-0.256723	-0.096931	-0.076326	-0.155876
Chr01	465681	481728	-0.036906	-0.015008	-0.011785	-0.020647
Chr01	482145	507169	-0.215368	-0.056088	-0.043935	-0.132152
Chr01	507223	519077	-0.147439	-0.049587	-0.037465	-0.044691
Chr01	519079	532276	0.244119	0.166941	0.151263	0.229878
Chr01	532737	562073	0.345227	0.065216	0.056510	0.175128
Chr01	562113	589007	0.180952	0.031709	0.028942	0.121360
Chr01	589377	617099	0.556653	0.113239	0.098826	0.314561
Chr01	617130	630006	-0.271576	-0.200714	-0.116071	-0.182660
Chr01	630028	639676	0.027495	0.024623	0.016856	0.029212
Chr01	639694	656016	-0.002490	-0.001935	-0.001191	0.003657
Chr01	656020	661379	0.671477	0.255587	0.221271	0.504854
