chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	212330	396163	-0.054042	-0.036643	-0.025292	-0.036213
Chr01	270998	489934	-0.133515	-0.080374	-0.053456	-0.084694
Chr01	396463	595450	0.101052	0.050286	0.031326	0.062623
Chr01	489965	701035	0.264143	0.123421	0.074740	0.149237
Chr01	595967	910437	-0.079524	-0.034476	-0.021622	-0.045257
Chr01	701046	1048447	-0.167868	-0.054705	-0.036393	-0.104347
Chr01	910523	1183426	-0.109344	-0.024525	-0.017515	-0.076201
Chr01	1048518	1335560	-0.116063	-0.024666	-0.016939	-0.085265
Chr01	1183510	1467698	-0.083082	-0.027849	-0.017339	-0.059922
Chr01	1335603	1544744	-0.078461	-0.039250	-0.023689	-0.053381
Chr01	1467758	1672972	-0.212238	-0.104522	-0.061582	-0.156822
Chr01	1544760	1817560	-0.389454	-0.176846	-0.096228	-0.302048
Chr01	1673119	1984874	-0.492063	-0.220008	-0.112722	-0.368658
Chr01	1817782	2104030	-0.327508	-0.145222	-0.079209	-0.239432
Chr01	1984878	2228249	-0.129327	-0.053150	-0.033599	-0.089676
Chr01	2104127	2305344	-0.075937	-0.039137	-0.025238	-0.048776
Chr01	2228375	2442590	-0.065523	-0.050025	-0.029556	-0.035240
Chr01	2305361	2532315	-0.161480	-0.118376	-0.069139	-0.092058
Chr01	2442630	2647366	-0.070317	-0.054049	-0.029629	-0.036014
Chr01	2532336	2708149	0.067823	0.049243	0.027251	0.038723
Chr01	2647370	2764047	-0.083657	-0.066586	-0.034966	-0.053147
Chr01	2708237	2856052	-0.300964	-0.264213	-0.131042	-0.189015
Chr01	2764048	2944729	-0.304458	-0.255485	-0.139490	-0.192987
Chr01	2856057	3052414	-0.124475	-0.093926	-0.053252	-0.081907
Chr01	2944757	3163675	0.059071	0.029179	0.018447	0.034084
Chr01	3052553	3307604	-0.080642	-0.030807	-0.019211	-0.045799
Chr01	3163708	3472948	-0.309538	-0.115909	-0.068679	-0.199810
Chr01	3307645	3635967	-0.001605	-0.000563	-0.000372	-0.002625
Chr01	3473244	3836367	0.018167	0.006693	0.004384	0.008964
Chr01	3636004	3975819	-0.404127	-0.205122	-0.107003	-0.316412
Chr01	3836387	4078746	-0.319437	-0.160469	-0.087830	-0.220241
Chr01	3976467	4245415	-0.211673	-0.069765	-0.045112	-0.140486
Chr01	4078748	4361676	-0.433025	-0.195390	-0.115998	-0.309337
Chr01	4245424	4450277	-0.408066	-0.322567	-0.175377	-0.257732
Chr01	4361689	4525103	-0.149210	-0.121716	-0.071690	-0.082867
Chr01	4450300	4680211	-0.064434	-0.028297	-0.018725	-0.042527
Chr01	4525105	4850858	-0.299681	-0.105923	-0.065798	-0.222771
Chr01	4680225	5016405	-0.448789	-0.148218	-0.096150	-0.319845
Chr01	4851351	5215608	-0.423997	-0.112336	-0.076581	-0.286466
Chr01	5016425	5524661	-0.334425	-0.098897	-0.064094	-0.226983
Chr01	5215668	5748186	-0.147970	-0.056220	-0.035432	-0.103638
Chr01	5524745	5915787	-0.139005	-0.051747	-0.032384	-0.086726
Chr01	5748241	6038123	-0.192122	-0.079989	-0.048057	-0.116136
Chr01	5915904	6231452	-0.019842	-0.006378	-0.004216	-0.016003
Chr01	6038336	6398598	-0.340789	-0.131440	-0.082689	-0.289078
Chr01	6231475	6813798	-0.375306	-0.115212	-0.073709	-0.285670
Chr01	6398639	7049121	-0.233036	-0.057000	-0.040112	-0.171884
Chr01	6814863	7233739	-0.317703	-0.103212	-0.074706	-0.249198
Chr01	7049133	7370729	-0.258927	-0.112100	-0.073182	-0.186831
Chr01	7233792	7499238	-0.364456	-0.190616	-0.108776	-0.253788
Chr01	7370737	7683999	-0.492113	-0.179212	-0.107153	-0.348249
Chr01	7499554	7849351	-0.585756	-0.225187	-0.131777	-0.434431
Chr01	7684390	7970061	-0.462433	-0.216771	-0.124316	-0.336713
Chr01	7849380	8100200	-0.203429	-0.085899	-0.051330	-0.137559
Chr01	7970073	8280589	-0.187948	-0.058659	-0.037058	-0.135459
Chr01	8100223	8471460	-0.350835	-0.085761	-0.056847	-0.272966
Chr01	8280627	8563744	-0.445274	-0.155171	-0.096547	-0.324112
Chr01	8471469	8661532	-0.437639	-0.300827	-0.141377	-0.273331
Chr01	8563764	8851210	-0.298742	-0.156079	-0.085049	-0.160374
Chr01	8661583	8955294	-0.100902	-0.060168	-0.034543	-0.044755
Chr01	8851224	9308204	-0.159125	-0.052060	-0.034680	-0.078255
Chr01	8955319	9463523	-0.450824	-0.140653	-0.088430	-0.333375
Chr01	9308205	9670741	-0.451987	-0.196571	-0.114699	-0.370277
Chr01	9463560	9841343	-0.137880	-0.062579	-0.039983	-0.093568
Chr01	9670832	9942236	-0.020306	-0.008821	-0.005863	-0.012281
Chr01	9841462	10057841	-0.213056	-0.087691	-0.059051	-0.142809
Chr01	9942267	10189193	-0.159441	-0.075100	-0.044713	-0.098749
Chr01	10057866	10374040	0.085312	0.034214	0.021583	0.045422
Chr01	10189195	10520423	-0.083578	-0.029605	-0.019199	-0.064968
Chr01	10374095	11003970	-0.500264	-0.261548	-0.149668	-0.406876
Chr01	10520475	11183754	-0.557151	-0.369243	-0.197178	-0.439974
Chr01	11004004	11319706	-0.390273	-0.184193	-0.105102	-0.285879
Chr01	11183768	11496802	-0.143768	-0.049880	-0.032945	-0.099916
Chr01	11319732	11581610	0.071342	0.029736	0.020274	0.055521
Chr01	11496819	11752679	-0.081943	-0.036298	-0.022632	-0.049651
Chr01	11581624	11903049	-0.104319	-0.046155	-0.027622	-0.064756
Chr01	11752687	12092158	0.018713	0.010868	0.006563	0.011262
Chr01	11903097	12221190	-0.251415	-0.119426	-0.070279	-0.153596
Chr01	12092422	12372297	-0.452394	-0.225116	-0.119901	-0.351463
Chr01	12221196	12472917	-0.316289	-0.164199	-0.085259	-0.246497
Chr01	12372664	12715288	-0.220823	-0.097482	-0.045755	-0.156729
Chr01	12473674	12871442	-0.689617	-0.273281	-0.137532	-0.600334
Chr01	12715302	13166209	-0.762113	-0.199529	-0.124378	-0.686108
Chr01	12872345	13472116	-0.500765	-0.095490	-0.063387	-0.404777
Chr01	13166232	13670115	-0.421770	-0.107918	-0.066723	-0.346250
Chr01	13473355	13851797	-0.390295	-0.125092	-0.072451	-0.317662
Chr01	13670306	14035384	-0.141970	-0.051007	-0.028541	-0.103064
Chr01	13851814	14155110	-0.079418	-0.037272	-0.020408	-0.052588
Chr01	14035404	14304234	-0.321305	-0.173967	-0.095024	-0.230523
Chr01	14155150	14481926	-0.290683	-0.103902	-0.059919	-0.223984
Chr01	14304247	14631425	-0.533815	-0.217134	-0.115856	-0.435007
Chr01	14482432	14763650	-0.463781	-0.177034	-0.106498	-0.387685
Chr01	14631458	14929078	-0.222569	-0.066563	-0.043045	-0.170706
Chr01	14763797	15065662	-0.382910	-0.138545	-0.081948	-0.287667
Chr01	14929103	15181176	-0.245995	-0.098184	-0.055970	-0.173730
Chr01	15065672	15351776	-0.307431	-0.129799	-0.066283	-0.216357
Chr01	15181229	15539795	-0.528329	-0.213722	-0.105663	-0.403867
Chr01	15351820	15659629	-0.409742	-0.150260	-0.082673	-0.286079
Chr01	15540027	16036551	-0.058880	-0.021793	-0.013922	-0.028212
Chr01	15659761	16265204	-0.020844	-0.007446	-0.004618	-0.006677
Chr01	16036671	16430638	-0.087174	-0.029292	-0.017316	-0.043572
Chr01	16265235	16563048	-0.413517	-0.265048	-0.132840	-0.286667
Chr01	16430678	16685023	-0.548549	-0.350857	-0.178216	-0.456257
Chr01	16563141	16893542	-0.372635	-0.146347	-0.084540	-0.300393
Chr01	16685060	17048402	-0.244976	-0.075370	-0.047812	-0.188700
Chr01	16893619	17275819	-0.345695	-0.080779	-0.051663	-0.262798
Chr01	17048462	17419038	-0.435743	-0.139558	-0.082069	-0.325043
Chr01	17275851	17491909	-0.471858	-0.353192	-0.163505	-0.309146
Chr01	17419053	17577372	-0.024299	-0.014023	-0.008096	-0.017423
Chr01	17492067	17822536	0.046739	0.016108	0.010337	0.031060
Chr01	17577390	18043040	-0.229343	-0.073780	-0.045085	-0.167672
Chr01	17822621	18207444	-0.338578	-0.143918	-0.084756	-0.240510
Chr01	18043093	18271730	-0.376765	-0.235435	-0.124131	-0.245488
Chr01	18207478	18372764	-0.506818	-0.351786	-0.196844	-0.365003
Chr01	18271865	18504575	-0.579813	-0.391376	-0.229164	-0.457422
Chr01	18372774	18602159	-0.617346	-0.466960	-0.260540	-0.484906
Chr01	18504737	18740502	-0.572334	-0.362597	-0.203957	-0.434678
Chr01	18602196	18896280	-0.305138	-0.127453	-0.077336	-0.223579
Chr01	18740522	19042887	-0.201628	-0.063456	-0.041506	-0.141643
Chr01	18896281	19249524	-0.312432	-0.102526	-0.060191	-0.217169
Chr01	19042891	19338323	-0.159869	-0.072604	-0.038212	-0.109306
Chr01	19249635	19607850	-0.273264	-0.076581	-0.040125	-0.191817
Chr01	19338329	19809091	-0.486237	-0.130183	-0.067422	-0.384453
Chr01	19607854	19955828	-0.353078	-0.140359	-0.075705	-0.287208
Chr01	19809268	20088673	-0.432360	-0.244252	-0.125269	-0.358513
Chr01	19956324	20217254	-0.486608	-0.264017	-0.128514	-0.355338
Chr01	20089161	20378857	-0.206291	-0.071378	-0.042865	-0.141935
Chr01	20217438	20507057	-0.070266	-0.027530	-0.017028	-0.049271
Chr01	20378940	20621163	-0.121101	-0.065939	-0.034283	-0.078186
Chr01	20507136	20801205	-0.338127	-0.109684	-0.065648	-0.230165
Chr01	20621167	20952849	-0.230758	-0.074555	-0.045716	-0.169427
Chr01	20801218	21149616	-0.135547	-0.042914	-0.025062	-0.097809
Chr01	20952852	21249088	-0.381905	-0.131673	-0.073204	-0.285280
Chr01	21150030	21415882	-0.810775	-0.608295	-0.220784	-0.708623
Chr01	21249164	21567251	-0.823068	-0.520414	-0.206184	-0.749694
Chr01	21415935	21725527	-0.651306	-0.256935	-0.126136	-0.564645
Chr01	21567255	21905414	-0.227252	-0.070935	-0.039851	-0.193662
Chr01	21725529	22073517	-0.075411	-0.023435	-0.014128	-0.060883
Chr01	21905666	22196638	-0.316399	-0.102956	-0.061403	-0.245367
Chr01	22073586	22410699	-0.487230	-0.153442	-0.092771	-0.372267
Chr01	22196709	22636055	-0.565676	-0.149939	-0.094549	-0.433809
Chr01	22410735	22846525	-0.556696	-0.111639	-0.076158	-0.401018
Chr01	22636205	22993141	-0.475234	-0.129469	-0.079199	-0.366385
Chr01	22846561	23067418	-0.425260	-0.221698	-0.109085	-0.348428
Chr01	22993153	23207081	-0.485454	-0.297420	-0.137854	-0.379991
Chr01	23067438	23405138	-0.436251	-0.227615	-0.109844	-0.336087
Chr01	23207145	23636474	-0.437352	-0.159652	-0.083359	-0.340382
Chr01	23405164	23788772	-0.325165	-0.098361	-0.056465	-0.231759
Chr01	23636480	23918629	-0.046850	-0.012962	-0.008638	-0.030568
Chr01	23788856	24109044	-0.207393	-0.060626	-0.041705	-0.155574
Chr01	23918723	24199780	-0.686252	-0.374696	-0.224587	-0.589945
Chr01	24109167	24420518	-0.653032	-0.421754	-0.229347	-0.536991
Chr01	24199881	24535829	-0.269409	-0.111661	-0.061790	-0.188675
Chr01	24420620	24753792	-0.414415	-0.165554	-0.082996	-0.299703
Chr01	24535843	24960220	-0.486474	-0.207532	-0.101561	-0.370819
Chr01	24753798	25132307	-0.443825	-0.167150	-0.089403	-0.352635
Chr01	24960254	25268522	-0.271012	-0.070951	-0.045328	-0.201257
Chr01	25132620	25544641	0.261829	0.042485	0.034711	0.205623
Chr01	25268580	25701605	0.081919	0.014385	0.011179	0.073587
Chr01	25544785	25880586	-0.439120	-0.114482	-0.061662	-0.328122
Chr01	25701641	26156602	-0.419894	-0.134163	-0.062075	-0.272636
Chr01	25880606	26396787	-0.113000	-0.049523	-0.024554	-0.073960
Chr01	26156786	26545814	-0.202620	-0.080891	-0.044524	-0.157073
Chr01	26396892	26692155	-0.346323	-0.131552	-0.072679	-0.233505
Chr01	26546024	26754723	-0.349921	-0.224404	-0.102236	-0.202489
Chr01	26692157	26831186	-0.336101	-0.342058	-0.134401	-0.192079
Chr01	26754791	26948409	-0.352634	-0.181809	-0.097218	-0.179635
Chr01	26831309	27083367	-0.366852	-0.184542	-0.110326	-0.236695
Chr01	26948475	27214080	-0.234177	-0.101817	-0.064301	-0.183265
Chr01	27083993	27347775	-0.239058	-0.075808	-0.049470	-0.175471
Chr01	27214152	27627438	-0.427300	-0.119582	-0.078400	-0.259222
Chr01	27347783	27779435	-0.381429	-0.125152	-0.070360	-0.217794
Chr01	27627555	27915549	-0.471106	-0.175844	-0.101392	-0.354730
Chr01	27779569	28082663	-0.462409	-0.165263	-0.098334	-0.342586
Chr01	27915773	28224259	-0.208782	-0.071199	-0.041665	-0.145729
Chr01	28082713	28360311	-0.225214	-0.105313	-0.063458	-0.183426
Chr01	28224260	28521651	-0.429865	-0.264112	-0.138944	-0.366730
Chr01	28360478	28634490	-0.745343	-0.625188	-0.272261	-0.654312
Chr01	28521881	28750749	-0.761342	-0.689611	-0.309341	-0.628593
Chr01	28634519	29036970	-0.426408	-0.122515	-0.087506	-0.275742
Chr01	28750761	29164595	-0.272114	-0.071014	-0.049640	-0.160189
Chr01	29036983	29304995	-0.347531	-0.162754	-0.081806	-0.220271
Chr01	29164704	29415857	-0.449210	-0.203012	-0.106453	-0.311486
Chr01	29305062	29629508	-0.381859	-0.089458	-0.065088	-0.299134
Chr01	29416978	29758420	-0.485792	-0.121657	-0.082009	-0.406843
Chr01	29629545	29904790	-0.185409	-0.069487	-0.041352	-0.155205
Chr01	29758478	30065510	-0.147968	-0.045669	-0.029739	-0.122933
Chr01	29904985	30243613	-0.515606	-0.131572	-0.084825	-0.394373
Chr01	30065623	30377545	-0.306301	-0.074370	-0.049786	-0.214687
Chr01	30243634	30539285	-0.046648	-0.016150	-0.010566	-0.039025
Chr01	30377546	30683689	-0.215377	-0.095034	-0.052167	-0.164304
Chr01	30539397	30817452	-0.234450	-0.098267	-0.053433	-0.159274
Chr01	30683963	31002938	-0.246788	-0.087356	-0.051441	-0.168638
Chr01	30817467	31155739	-0.416531	-0.157996	-0.090019	-0.300695
Chr01	31002961	31291987	-0.360630	-0.144629	-0.084146	-0.239513
Chr01	31155769	31392855	-0.297815	-0.112122	-0.068810	-0.174503
Chr01	31292026	31484391	-0.308527	-0.114795	-0.077317	-0.177120
Chr01	31394051	31564602	-0.232055	-0.103180	-0.066076	-0.132448
Chr01	31484434	31642452	-0.180255	-0.126831	-0.068562	-0.102318
Chr01	31564621	31736882	-0.119217	-0.087676	-0.051620	-0.064443
Chr01	31642508	31841825	-0.113976	-0.049108	-0.033300	-0.064757
Chr01	31736889	31919615	-0.519978	-0.305921	-0.165624	-0.358385
Chr01	31842246	32024256	-0.649394	-0.545036	-0.235812	-0.530925
Chr01	31919625	32184376	-0.556325	-0.259942	-0.142254	-0.431898
Chr01	32024349	32281469	-0.492256	-0.202419	-0.113157	-0.353463
Chr01	32184417	32730272	-0.450272	-0.149492	-0.078532	-0.308075
Chr01	32281494	32832829	-0.484351	-0.168951	-0.086220	-0.322366
Chr01	32730339	32993048	-0.295376	-0.085450	-0.050428	-0.176483
Chr01	32832901	33159787	-0.181076	-0.040567	-0.026131	-0.108315
Chr01	32993114	33236055	-0.530511	-0.184474	-0.111912	-0.410649
Chr01	33159798	33329862	-0.401539	-0.187338	-0.110305	-0.279012
Chr01	33236143	33454294	-0.232573	-0.113444	-0.065430	-0.145506
Chr01	33329866	33606847	-0.445616	-0.170000	-0.108337	-0.337732
Chr01	33454335	33755452	-0.428057	-0.164590	-0.099902	-0.317130
Chr01	33606851	33921717	-0.276282	-0.114376	-0.064687	-0.197586
Chr01	33756921	34095812	-0.345561	-0.164181	-0.084734	-0.268288
Chr01	33924160	34325931	-0.503487	-0.152539	-0.089718	-0.409518
Chr01	34095856	34489756	-0.428149	-0.105693	-0.067694	-0.332846
Chr01	34326071	34664423	-0.321561	-0.091814	-0.055558	-0.224313
Chr01	34489829	34767103	-0.421932	-0.175578	-0.092755	-0.318492
Chr01	34664451	34859052	-0.420006	-0.219208	-0.109991	-0.351190
Chr01	34767275	35067748	-0.447480	-0.131284	-0.081560	-0.365140
Chr01	34859153	35182516	-0.627603	-0.185344	-0.122727	-0.506176
Chr01	35067786	35322652	-0.608316	-0.263321	-0.162818	-0.455248
Chr01	35182536	35468286	-0.520336	-0.229171	-0.133706	-0.394585
Chr01	35322658	35565025	-0.553095	-0.274960	-0.160073	-0.452016
Chr01	35468325	35634608	-0.186749	-0.133811	-0.070010	-0.148358
Chr01	35565028	35768939	0.022791	0.012643	0.007061	0.018008
Chr01	35634922	35836264	-0.149162	-0.064945	-0.041098	-0.097927
Chr01	35769103	35909351	-0.132220	-0.074141	-0.044527	-0.081717
Chr01	35836269	36069165	-0.309151	-0.168599	-0.096750	-0.208540
Chr01	35909406	36227982	-0.394560	-0.158071	-0.093787	-0.289557
Chr01	36069177	36346521	-0.289601	-0.108827	-0.061773	-0.191843
Chr01	36228031	36495732	-0.213739	-0.066780	-0.040933	-0.129015
Chr01	36346616	36666282	-0.344442	-0.089248	-0.060899	-0.237149
Chr01	36497348	36767902	-0.580522	-0.187094	-0.123616	-0.458579
Chr01	36666349	36895275	-0.515992	-0.211170	-0.122109	-0.418841
Chr01	36768016	37026023	-0.480749	-0.211803	-0.110844	-0.389482
Chr01	36895351	37152260	-0.591280	-0.211955	-0.116887	-0.488821
Chr01	37026220	37311151	-0.630415	-0.202054	-0.121600	-0.562089
Chr01	37152265	37429761	-0.756546	-0.324951	-0.168863	-0.665620
Chr01	37311262	37548099	-0.863000	-0.535414	-0.230750	-0.764024
Chr01	37429766	37650557	-0.795480	-0.528841	-0.231487	-0.728371
Chr01	37548141	37766870	-0.527085	-0.267546	-0.141402	-0.442427
Chr01	37650804	37952376	-0.133866	-0.039045	-0.025591	-0.099887
Chr01	37766879	38151039	-0.218983	-0.052892	-0.032111	-0.165979
Chr01	37953362	38275559	-0.349747	-0.096463	-0.056840	-0.256991
Chr01	38151096	38371243	-0.079920	-0.027396	-0.016931	-0.050646
Chr01	38275661	38541305	0.235077	0.064879	0.042808	0.162328
Chr01	38371264	38785607	-0.160462	-0.031382	-0.019554	-0.115602
Chr01	38541845	38962068	-0.615924	-0.184649	-0.093371	-0.487600
Chr01	38785624	39186908	-0.562422	-0.215978	-0.108619	-0.429629
Chr01	38962075	39286970	-0.274286	-0.070174	-0.044656	-0.219686
Chr01	39186956	39477433	-0.433121	-0.089914	-0.058162	-0.393673
Chr01	39287035	39660720	-0.773139	-0.179401	-0.112097	-0.711873
Chr01	39477492	39920740	-0.836003	-0.182600	-0.113618	-0.753497
Chr01	39660835	40144374	-0.769391	-0.123760	-0.080431	-0.668286
Chr01	39920834	40514566	-0.548030	-0.076603	-0.049245	-0.437884
Chr01	40144402	40775113	-0.601206	-0.140907	-0.078266	-0.474144
Chr01	40514985	40962627	-0.821163	-0.391528	-0.172635	-0.729942
Chr01	40775128	41182633	-0.812786	-0.278469	-0.130888	-0.734573
Chr01	40962655	41338931	-0.799836	-0.296634	-0.139696	-0.726301
Chr01	41182645	41519744	-0.574354	-0.196068	-0.103447	-0.496053
Chr01	41339871	41631975	-0.368542	-0.101230	-0.056090	-0.309317
Chr01	41519884	41806946	-0.705737	-0.314042	-0.149166	-0.649085
Chr01	41632125	42158510	-0.742303	-0.265425	-0.117927	-0.663546
Chr01	41806987	42444131	-0.522358	-0.081791	-0.048404	-0.445269
Chr01	42158511	42636483	-0.237209	-0.023005	-0.018046	-0.207901
Chr01	42444394	42949906	-0.493214	-0.050955	-0.039944	-0.423400
Chr01	42636518	43846499	-0.615074	-0.144594	-0.083815	-0.561017
Chr01	42950043	44095615	-0.692786	-0.341180	-0.142944	-0.667164
Chr01	43846549	44266373	-0.898796	-0.453026	-0.204052	-0.883299
Chr01	44095837	44938811	-0.889995	-0.415607	-0.172811	-0.860806
Chr01	44266413	45847718	-0.861447	-0.407051	-0.139675	-0.825438
Chr01	44938833	46070931	-0.910831	-0.529958	-0.179447	-0.883835
Chr01	45847766	46301485	-0.857409	-0.432350	-0.195142	-0.833000
Chr01	46071066	46529136	-0.746846	-0.301957	-0.141038	-0.718592
Chr01	46301515	46720687	-0.761421	-0.280780	-0.135789	-0.725162
Chr01	46529435	46903789	-0.804554	-0.272861	-0.138909	-0.753729
Chr01	46720720	47125373	-0.669686	-0.181637	-0.099428	-0.614955
Chr01	46903907	47402889	-0.443178	-0.061809	-0.044304	-0.381835
Chr01	47125429	47554079	-0.145225	-0.026904	-0.017347	-0.132323
Chr01	47403416	47675270	-0.092019	-0.038631	-0.015623	-0.082450
Chr01	47554085	47852469	-0.348522	-0.131694	-0.056591	-0.295918
Chr01	47675453	48033911	-0.630814	-0.202793	-0.105465	-0.520946
Chr01	47852685	48189592	-0.476725	-0.133549	-0.080582	-0.416960
Chr01	48034096	48336038	-0.240870	-0.048643	-0.034305	-0.194361
Chr01	48189873	48462752	-0.185897	-0.027992	-0.020600	-0.129189
Chr01	48345246	48613537	-0.250137	-0.042285	-0.029758	-0.177615
Chr01	48462782	48814603	-0.337987	-0.059854	-0.041918	-0.237999
Chr01	48613753	48896230	-0.685100	-0.262180	-0.142516	-0.529770
Chr01	48814631	49001863	-0.766781	-0.732079	-0.236013	-0.625759
Chr01	48896768	49146651	-0.490019	-0.240821	-0.113671	-0.385367
Chr01	49001874	49211304	-0.750799	-0.604740	-0.251528	-0.659818
Chr01	49146659	49307581	-0.857268	-0.951628	-0.346977	-0.798549
Chr01	49211306	49449857	-0.503018	-0.258044	-0.130820	-0.457720
Chr01	49307742	49544247	0.028127	0.009769	0.005907	0.030019
Chr01	49449961	49712950	-0.000726	-0.000158	-0.000115	0.002140
