chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	156250	274070	-0.154311	-0.198482	-0.088229	-0.077237
Chr01	221878	356539	-0.195290	-0.279554	-0.113095	-0.097374
Chr01	274090	449773	-0.135682	-0.197991	-0.078034	-0.060943
Chr01	356580	525883	-0.026856	-0.036990	-0.009684	-0.008413
Chr01	449793	635716	-0.099060	-0.092991	-0.034684	-0.031360
Chr01	525977	806562	-0.256966	-0.238881	-0.104142	-0.100795
Chr01	635721	910699	-0.170669	-0.217807	-0.063277	-0.049157
Chr01	806592	1034322	-0.014896	-0.014944	-0.004629	-0.002488
Chr01	910743	1145748	0.034657	0.023203	0.010666	0.010783
Chr01	1034376	1255826	-0.018453	-0.011063	-0.006146	-0.010416
Chr01	1145984	1378803	-0.192437	-0.148304	-0.074234	-0.066022
Chr01	1255850	1481276	-0.296801	-0.217933	-0.114115	-0.113211
Chr01	1378846	1555653	-0.130690	-0.092429	-0.049405	-0.063028
Chr01	1481298	1672664	0.138568	0.078441	0.043203	0.055830
Chr01	1555696	1842867	0.147321	0.052772	0.035859	0.062108
Chr01	1672667	2033869	0.158031	0.056690	0.036088	0.066387
Chr01	1842881	2130483	0.201842	0.105653	0.055294	0.071945
Chr01	2033920	2213420	0.266472	0.219019	0.111120	0.122451
Chr01	2130513	2265956	0.201474	0.200485	0.100745	0.103503
Chr01	2213495	2415850	0.197623	0.188961	0.098787	0.108973
Chr01	2266023	2483173	0.201712	0.190115	0.095704	0.119707
Chr01	2415922	2565820	0.023472	0.027361	0.012109	0.010072
Chr01	2483237	2642731	-0.004941	-0.005965	-0.002807	-0.002725
Chr01	2566062	2702423	-0.108338	-0.147221	-0.070070	-0.048203
Chr01	2642741	2735010	-0.179375	-0.211667	-0.102957	-0.077578
Chr01	2702439	2810763	0.134890	0.111955	0.062932	0.067821
Chr01	2735081	2903474	0.212102	0.169069	0.092425	0.101586
Chr01	2810775	2957292	-0.088951	-0.105188	-0.048117	-0.037710
Chr01	2903481	3059709	-0.183569	-0.243226	-0.095392	-0.074066
Chr01	2957308	3150410	-0.042381	-0.044887	-0.020666	-0.014220
Chr01	3060194	3296501	0.022083	0.017852	0.008632	0.009336
Chr01	3150605	3424305	0.038532	0.026868	0.012212	0.015292
Chr01	3296507	3531733	-0.032056	-0.026989	-0.012665	-0.012807
Chr01	3424341	3653098	-0.381282	-0.292201	-0.160284	-0.179552
Chr01	3531741	3793321	-0.262466	-0.160065	-0.099485	-0.114364
Chr01	3653294	3905238	0.069496	0.044512	0.026764	0.018478
Chr01	3793341	4002164	0.079905	0.055516	0.031914	0.022779
Chr01	3905244	4074425	0.064919	0.053384	0.027289	0.031439
Chr01	4002206	4185236	0.064715	0.055016	0.023569	0.033718
Chr01	4074559	4284749	0.205085	0.144166	0.064678	0.087254
Chr01	4185240	4396161	0.125178	0.087574	0.046754	0.055008
Chr01	4291125	4451800	-0.022622	-0.021704	-0.012903	-0.014333
Chr01	4396168	4502229	0.023510	0.034775	0.015811	0.010870
Chr01	4451802	4601911	0.054481	0.061002	0.029615	0.025554
Chr01	4502244	4693710	0.036051	0.036014	0.016308	0.016150
Chr01	4602200	4846884	0.053897	0.037557	0.020337	0.024528
Chr01	4693806	4951306	0.005004	0.003697	0.001820	0.006937
Chr01	4846887	5081579	0.018836	0.019487	0.007612	0.010282
Chr01	4951342	5197796	0.203359	0.153800	0.082615	0.086809
Chr01	5081630	5575529	0.161675	0.097440	0.057494	0.078629
Chr01	5197800	5703295	0.125033	0.076414	0.043700	0.060812
Chr01	5575968	5803761	0.137480	0.107131	0.050169	0.053457
Chr01	5703355	5918343	0.123321	0.107495	0.042222	0.046716
Chr01	5805564	6016629	0.141712	0.113042	0.049872	0.061177
Chr01	5918383	6121780	-0.080376	-0.055008	-0.028510	-0.030072
Chr01	6016642	6226935	-0.141410	-0.127884	-0.051863	-0.051715
Chr01	6121881	6338408	0.127556	0.194922	0.039797	0.046917
Chr01	6226940	6540939	0.298468	0.242910	0.075375	0.118354
Chr01	6338409	6819658	0.132600	0.074359	0.034461	0.075947
Chr01	6540953	6924126	0.080797	0.046769	0.023045	0.051996
Chr01	6819714	7053680	0.168208	0.136536	0.050915	0.107638
Chr01	6924129	7165117	0.097453	0.105566	0.030281	0.056155
Chr01	7053720	7332242	-0.043955	-0.041673	-0.013812	-0.024399
Chr01	7165167	7435088	0.065808	0.053487	0.019549	0.030788
Chr01	7332319	7540395	0.387237	0.336967	0.113937	0.219409
Chr01	7435134	7671152	0.381927	0.271854	0.095009	0.134396
Chr01	7540511	7832939	0.157715	0.075890	0.035698	0.053005
Chr01	7671346	7952110	0.149944	0.083175	0.041641	0.077628
Chr01	7832962	8068087	0.035049	0.021655	0.011970	0.013058
Chr01	7952248	8202590	-0.047288	-0.032844	-0.019042	-0.020008
Chr01	8068231	8419679	0.015926	0.008748	0.005271	0.012665
Chr01	8202841	8549245	0.068904	0.036715	0.018453	0.021714
Chr01	8420640	8673255	0.002213	0.001591	0.000739	0.000826
Chr01	8550412	8875278	-0.022163	-0.014230	-0.008148	-0.004787
Chr01	8673312	9224768	-0.065051	-0.051659	-0.026677	-0.032744
Chr01	8875294	9348633	0.003756	0.003038	0.001604	-0.002410
Chr01	9224936	9488835	0.070170	0.032941	0.019554	0.026320
Chr01	9348637	9569949	0.020911	0.014298	0.008340	0.009605
Chr01	9488853	9737769	0.034866	0.035660	0.020002	0.013003
Chr01	9570153	9844382	0.019338	0.016008	0.009151	0.007328
Chr01	9737782	9913769	0.006742	0.006382	0.003871	0.005635
Chr01	9844488	9990231	0.043395	0.040397	0.022931	0.022121
Chr01	9913871	10066008	0.006313	0.006524	0.003423	0.002875
Chr01	9990299	10195271	0.102816	0.072557	0.042214	0.056187
Chr01	10066078	10309999	0.159012	0.111681	0.062787	0.078646
Chr01	10195462	10406630	0.096670	0.077456	0.042819	0.040184
Chr01	10310068	10515351	0.108073	0.069519	0.038666	0.038103
Chr01	10406635	10959009	0.040313	0.027821	0.014690	0.014941
Chr01	10515435	11065919	0.081881	0.059081	0.026605	0.020896
Chr01	10959079	11221255	0.072348	0.042731	0.019628	0.017953
Chr01	11065979	11337685	0.018344	0.010567	0.006016	0.007235
Chr01	11221283	11408902	0.009432	0.008686	0.004505	0.002561
Chr01	11337799	11502386	0.079478	0.095839	0.039325	0.031889
Chr01	11408972	11580999	0.198797	0.183924	0.081936	0.094547
Chr01	11502403	11734256	0.096283	0.070654	0.036234	0.044848
Chr01	11581001	11861476	0.007477	0.005251	0.002913	0.006920
Chr01	11734366	12058411	0.162473	0.126241	0.073474	0.104175
Chr01	11861509	12132223	-0.003545	-0.003110	-0.001812	0.005224
Chr01	12058413	12366250	-0.094371	-0.044838	-0.027761	-0.038122
Chr01	12132293	12504968	0.102514	0.032551	0.021069	0.034857
Chr01	12366254	12767186	-0.231954	-0.108562	-0.052349	-0.091742
Chr01	12504980	13165227	-0.143287	-0.062326	-0.025185	-0.061418
Chr01	12767491	13374932	0.212922	0.078300	0.035867	0.079544
Chr01	13165382	13594661	0.081397	0.035929	0.017166	0.028496
Chr01	13374987	13812332	-0.010917	-0.004433	-0.002181	-0.003217
Chr01	13594838	13984176	-0.050455	-0.020218	-0.011201	-0.022344
Chr01	13812344	14081248	-0.056626	-0.034618	-0.019752	-0.024229
Chr01	13984185	14199646	0.031796	0.020166	0.011970	0.010457
