chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55618	60620	0.568755	0.418169	0.373335	0.434066
Chr01	60643	67154	0.503110	0.330104	0.256989	0.394630
Chr01	67172	72192	0.933619	0.561383	0.552585	0.808850
Chr01	72198	78142	0.154675	0.120836	0.092308	0.120740
Chr01	78175	82903	0.177667	0.186404	0.154656	0.127130
Chr01	82985	134248	-0.207665	-0.227246	-0.104569	-0.130772
Chr01	134966	150700	-0.636504	-1.005471	-0.267803	-0.392571
Chr01	150729	153273	-0.528353	-2.798446	-0.333986	-0.306284
Chr01	153300	163810	-0.292382	-0.602692	-0.205433	-0.139307
Chr01	163830	169021	-0.095696	-0.298307	-0.077124	-0.046639
Chr01	169031	184647	0.127828	0.279913	0.146770	0.065776
Chr01	184695	186705	0.220689	0.529648	0.259870	0.097101
Chr01	186738	191982	0.073420	0.178215	0.080352	0.038687
Chr01	191987	201816	0.049994	0.116496	0.059421	0.026909
Chr01	202245	205819	-0.068965	-0.128361	-0.054941	-0.056823
Chr01	205836	209200	-0.036050	-0.053386	-0.025861	-0.032450
Chr01	209261	212254	-0.068715	-0.123630	-0.059076	-0.037697
Chr01	212258	216133	0.107948	0.085723	0.060298	0.058512
Chr01	216157	217797	-0.072519	-0.134975	-0.064844	-0.038265
Chr01	217811	219911	-0.163369	-0.242633	-0.119289	-0.125747
Chr01	219953	223086	-0.021621	-0.025013	-0.015109	-0.013759
Chr01	223087	226605	-0.058407	-0.130499	-0.058270	-0.023033
Chr01	226648	231359	-0.076540	-0.251226	-0.083994	-0.029703
Chr01	231371	235686	-0.015859	-0.025654	-0.015029	-0.010208
Chr01	235696	238994	0.025883	0.049196	0.023885	0.007646
Chr01	239073	246363	-0.041353	-0.047765	-0.024013	-0.020539
Chr01	246365	249508	-0.067887	-0.261008	-0.081212	-0.025945
Chr01	249512	252496	-0.001099	-0.002869	-0.001102	0.003374
Chr01	252502	254725	-0.286641	-0.874506	-0.246198	-0.149677
Chr01	254803	256642	-0.299732	-0.651166	-0.203536	-0.137945
Chr01	256672	260669	-0.270987	-0.505196	-0.191977	-0.138205
Chr01	260700	262607	-0.334777	-0.912401	-0.221312	-0.163506
Chr01	262610	264321	-0.260447	-0.402276	-0.167829	-0.137656
Chr01	264347	268953	-0.330919	-0.643181	-0.232947	-0.186076
Chr01	268982	271125	0.036797	0.057868	0.025999	0.023693
Chr01	271145	274996	-0.054819	-0.102262	-0.026127	-0.023580
Chr01	274998	276473	-0.102825	-0.329274	-0.099675	-0.048218
Chr01	276506	282814	-0.154306	-0.304623	-0.099848	-0.083896
Chr01	282968	301741	0.271352	0.234777	0.127788	0.171293
Chr01	301819	310197	0.453935	0.417912	0.287736	0.300827
Chr01	310256	315931	0.379029	0.453694	0.290045	0.274517
Chr01	316028	321106	-0.154577	-0.398743	-0.118820	-0.084653
Chr01	321123	335468	-0.015276	-0.010317	-0.005597	-0.020022
Chr01	335532	349721	0.059990	0.035323	0.024755	0.023187
Chr01	349725	355880	0.050571	0.065646	0.041735	0.028639
Chr01	356292	383846	0.743015	0.267277	0.198750	0.551901
Chr01	383848	389720	0.199838	0.261022	0.165754	0.099897
Chr01	389832	394502	0.019647	0.029173	0.016689	0.004582
Chr01	394512	402514	0.034659	0.085686	0.024690	0.006441
Chr01	402515	406146	0.038890	0.166848	0.048052	0.020010
Chr01	406348	416421	0.277143	0.203842	0.092110	0.123811
Chr01	416426	425056	0.715828	0.535839	0.443853	0.575780
Chr01	425064	430515	0.161450	0.207802	0.091742	0.111042
Chr01	430581	437818	0.487006	0.581815	0.237293	0.287424
Chr01	437917	446708	0.072632	0.065541	0.036161	0.018328
Chr01	446731	450714	0.066532	0.089238	0.048851	0.038409
Chr01	450719	464177	0.068342	0.087729	0.046310	0.045558
Chr01	464271	466683	-0.224873	-1.054782	-0.198882	-0.118195
Chr01	466728	478118	-0.104114	-0.195738	-0.061377	-0.050308
Chr01	478218	480480	-0.186002	-0.800972	-0.122222	-0.084898
Chr01	480498	486413	-0.186273	-0.183941	-0.088555	-0.097923
Chr01	486561	495201	0.159530	0.114016	0.056181	0.071536
Chr01	495238	498935	0.006098	0.003584	0.002007	0.000323
Chr01	498966	509252	-0.103237	-0.106062	-0.049765	-0.055871
Chr01	509346	515750	-0.129011	-0.392942	-0.056829	-0.032992
Chr01	515802	522019	0.137163	0.184424	0.057063	0.067199
Chr01	522025	527922	0.320382	0.270817	0.160908	0.250248
Chr01	527923	548087	0.393267	0.321784	0.089269	0.281316
Chr01	548542	562055	0.035600	0.013829	0.007316	0.019050
Chr01	562073	574603	0.284021	0.145215	0.080375	0.170272
Chr01	574616	577262	0.306028	0.137546	0.104562	0.156715
Chr01	577265	581111	0.324004	0.157655	0.126059	0.200746
Chr01	581126	605241	0.585224	0.243370	0.193621	0.467190
Chr01	605314	617138	0.532884	0.215526	0.172985	0.322441
Chr01	617139	623144	0.104546	0.152215	0.070639	0.046260
Chr01	623186	627359	-0.175894	-0.554186	-0.158750	-0.054373
Chr01	627441	632053	-0.240021	-0.234158	-0.128254	-0.088180
Chr01	632063	637576	0.102689	0.077041	0.049880	0.034885
Chr01	637819	641893	0.087367	0.111655	0.049492	0.033414
Chr01	641969	651021	0.037767	0.034186	0.013932	0.016188
Chr01	651083	655449	0.027763	0.042302	0.016802	0.010074
Chr01	655498	658820	0.194491	0.090166	0.067552	0.094059
Chr01	658833	667057	0.279595	0.072362	0.063224	0.202376
Chr01	667256	673663	0.084538	0.079742	0.050719	0.053929
Chr01	673915	683643	-0.100304	-0.099589	-0.052949	-0.045377
Chr01	683691	700410	-0.463337	-1.908532	-0.220702	-0.248077
Chr01	700417	713894	-0.517122	-0.754757	-0.285112	-0.371388
Chr01	714246	762508	-0.322234	-0.418381	-0.117138	-0.140819
Chr01	762520	802112	-0.156956	-0.142357	-0.055889	-0.068232
Chr01	802501	826272	-0.189318	-0.242633	-0.090383	-0.080359
Chr01	826378	836909	0.221252	0.199252	0.085173	0.140538
Chr01	837157	849644	0.030764	0.021877	0.006161	0.020080
Chr01	849705	859608	0.194478	0.175949	0.043001	0.154074
Chr01	859773	867165	0.083043	0.077956	0.021381	0.047506
Chr01	867390	873787	0.021833	0.034426	0.010695	0.011501
Chr01	873792	881869	-0.020667	-0.074896	-0.023995	-0.016978
Chr01	881889	896324	-0.234196	-0.486598	-0.160407	-0.123067
Chr01	896332	903703	-0.050766	-0.038800	-0.017649	-0.012569
Chr01	903819	909448	0.066284	0.050527	0.029401	0.042507
Chr01	910023	927833	0.119436	0.142591	0.087596	0.068657
Chr01	927852	934759	-0.719481	-3.948817	-0.390605	-0.475071
Chr01	934770	945498	-0.162745	-0.062082	-0.037012	-0.059140
Chr01	945504	966561	-0.294705	-0.129524	-0.064354	-0.102449
Chr01	966621	976382	0.302626	0.353256	0.100166	0.282214
Chr01	976473	984021	-0.015104	-0.009022	-0.004992	-0.005611
Chr01	984073	1003892	-0.304166	-0.086647	-0.041673	-0.116481
Chr01	1003980	1012536	-0.289664	-0.261533	-0.107064	-0.147704
Chr01	1012602	1021033	0.402410	0.181980	0.118460	0.174961
Chr01	1021036	1028366	0.099338	0.044181	0.025519	0.034982
Chr01	1028411	1032146	-0.039173	-0.057247	-0.021401	-0.033583
Chr01	1032214	1037626	-0.112446	-0.064316	-0.023568	-0.056021
Chr01	1037627	1044646	-0.094240	-0.082795	-0.040970	-0.028878
Chr01	1044745	1052723	0.136555	0.094300	0.039851	0.047568
Chr01	1052858	1064038	0.112686	0.087147	0.025622	0.060999
Chr01	1064488	1079029	0.003511	0.001200	0.000605	-0.000847
Chr01	1079055	1092481	-0.159765	-0.042331	-0.031037	-0.075958
Chr01	1092485	1099543	0.164990	0.114781	0.050236	0.097575
Chr01	1099546	1108971	-0.416898	-0.133498	-0.063013	-0.128167
Chr01	1108973	1120164	-0.134411	-0.079477	-0.034165	-0.059578
Chr01	1120487	1135791	-0.233822	-0.191115	-0.103722	-0.193875
Chr01	1135825	1143276	-0.367324	-0.169359	-0.104929	-0.244766
Chr01	1143324	1148811	-0.312907	-0.118233	-0.079714	-0.162600
Chr01	1148835	1153314	-0.253006	-0.131281	-0.076398	-0.121269
Chr01	1153351	1158714	-0.462952	-0.244205	-0.144256	-0.340345
Chr01	1158725	1165918	-0.213546	-0.110135	-0.068690	-0.074242
Chr01	1165956	1170309	0.048383	0.039197	0.024875	0.023227
Chr01	1170329	1175207	0.147343	0.094648	0.060591	0.062048
Chr01	1175216	1180268	0.196959	0.104716	0.077343	0.111182
Chr01	1180307	1186871	0.080299	0.048186	0.025463	0.045505
Chr01	1186876	1198387	-0.273420	-0.136545	-0.077104	-0.077481
Chr01	1198461	1206322	0.058806	0.047349	0.012650	0.039932
Chr01	1206337	1212543	-0.013062	-0.004818	-0.002221	-0.058837
Chr01	1212619	1231432	0.292954	0.111861	0.044513	0.166213
Chr01	1231448	1256012	-0.202678	-0.149145	-0.050493	-0.105404
Chr01	1256032	1281620	-0.433465	-0.073980	-0.045871	-0.290926
Chr01	1283105	1293792	-0.031939	-0.003459	-0.002591	-0.013819
Chr01	1293841	1300742	-0.087767	-0.041630	-0.023334	-0.034207
Chr01	1300754	1309974	-0.361343	-0.220542	-0.110291	-0.200414
Chr01	1309975	1315681	-0.155173	-0.105329	-0.051025	-0.082936
Chr01	1315729	1319910	-0.799226	-0.607266	-0.250586	-0.609136
Chr01	1319920	1327402	0.001320	0.000329	0.000232	-0.000861
Chr01	1327447	1332479	-0.089788	-0.024802	-0.017589	-0.015642
Chr01	1332531	1361972	0.341650	0.206554	0.107681	0.143018
Chr01	1362009	1375012	-0.579807	-1.498823	-0.201559	-0.274904
Chr01	1375014	1381034	-0.011231	-0.008853	-0.004282	-0.005413
Chr01	1381043	1387980	0.231807	0.172872	0.077153	0.165459
Chr01	1388112	1395243	0.126255	0.118186	0.058877	0.065558
Chr01	1395275	1409677	0.191207	0.115256	0.075167	0.166729
Chr01	1409705	1438850	0.016609	0.007080	0.003609	0.007053
Chr01	1438927	1451317	0.472192	0.297819	0.163978	0.371261
Chr01	1451436	1455850	0.343721	0.179378	0.096249	0.261297
Chr01	1455851	1459803	0.217233	0.105857	0.061237	0.117155
Chr01	1459806	1464713	-0.091676	-0.028481	-0.016537	-0.057056
Chr01	1464729	1469971	-0.075984	-0.027290	-0.014574	-0.049125
Chr01	1469972	1473442	0.072474	0.033609	0.021948	0.035728
Chr01	1473448	1480780	-0.349712	-0.091783	-0.061962	-0.172310
Chr01	1480858	1488850	-0.345469	-0.186311	-0.106995	-0.212325
Chr01	1488939	1495359	-0.264643	-0.096444	-0.055955	-0.158978
Chr01	1495415	1502792	-0.122595	-0.077864	-0.044868	-0.063414
Chr01	1502840	1508914	-0.305010	-0.496529	-0.168069	-0.176501
Chr01	1508942	1513705	-0.381772	-0.513428	-0.167594	-0.229471
Chr01	1513848	1520815	-0.429391	-1.073294	-0.226389	-0.261451
Chr01	1520822	1526773	0.397822	0.308694	0.182539	0.192729
Chr01	1526776	1535680	0.012314	0.013210	0.006875	-0.008177
Chr01	1535687	1538570	-0.058609	-0.123986	-0.055351	-0.026037
Chr01	1538582	1542853	0.008342	0.016544	0.007416	0.013573
Chr01	1542884	1546344	-0.401249	-1.404837	-0.295691	-0.227449
Chr01	1546468	1552676	0.256390	0.236145	0.119244	0.120470
Chr01	1552693	1557224	0.323810	0.234698	0.124222	0.186060
Chr01	1557334	1564251	0.359620	0.182618	0.073601	0.179187
