chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60116	66633	-0.373072	-0.151960	-0.111549	-0.309211
Chr01	66821	73283	0.535030	0.193812	0.175945	0.379743
Chr01	73290	79544	-0.779737	-0.443867	-0.273167	-0.606681
Chr01	79553	120924	-0.713956	-0.455878	-0.276150	-0.581147
Chr01	120970	148612	-0.219048	-0.132265	-0.053664	-0.084940
Chr01	148638	154060	-0.449771	-0.699835	-0.128007	-0.092879
Chr01	154646	167116	-0.307699	-0.259353	-0.128671	-0.123320
Chr01	167266	183292	-0.129790	-0.121584	-0.075967	-0.044748
Chr01	183303	186166	0.279235	0.260318	0.171706	0.153109
Chr01	186194	191474	0.048177	0.047864	0.030009	0.022004
Chr01	191556	202898	0.130945	0.113089	0.081585	0.058257
Chr01	202912	206362	0.122211	0.110915	0.066068	0.039562
Chr01	206380	209566	0.186326	0.139095	0.092649	0.076046
Chr01	209570	213607	0.146803	0.130944	0.082321	0.075150
Chr01	213786	216815	0.040173	0.038712	0.022903	0.021291
Chr01	216825	218915	0.207043	0.223545	0.133203	0.076724
Chr01	219009	221641	0.055322	0.065268	0.036101	0.030590
Chr01	221854	226352	-0.168307	-0.173678	-0.104402	-0.077730
Chr01	226358	231841	-0.104664	-0.116636	-0.069418	-0.046148
Chr01	231847	236990	-0.036157	-0.033562	-0.021501	-0.009638
Chr01	237248	243681	-0.067709	-0.055422	-0.035031	-0.040050
Chr01	243684	249266	-0.147379	-0.103498	-0.069870	-0.042704
Chr01	249316	252146	0.000037	0.000037	0.000022	0.011863
Chr01	252165	255224	-0.640910	-0.517152	-0.258726	-0.361012
Chr01	255272	257951	-0.627143	-0.620386	-0.279922	-0.442125
Chr01	257972	261346	-0.620555	-0.509606	-0.257275	-0.396078
Chr01	261348	263142	-0.760756	-4.164669	-0.481471	-0.548866
Chr01	263154	264948	-0.589813	-0.409756	-0.227092	-0.413897
Chr01	264959	270453	-0.737107	-0.919999	-0.380931	-0.617545
Chr01	270454	275628	-0.175287	-0.141591	-0.061684	-0.079508
Chr01	275633	280082	-0.004233	-0.003717	-0.002185	0.012417
Chr01	280083	290397	-0.340301	-0.561203	-0.198538	-0.174707
Chr01	290621	310040	-0.053958	-0.035553	-0.020096	-0.030937
Chr01	310072	315729	0.188196	0.191562	0.132657	0.130987
Chr01	315740	320294	-0.171666	-0.299793	-0.106649	-0.082457
Chr01	320303	334068	-0.420775	-0.282620	-0.154061	-0.222172
Chr01	334299	344929	-0.071509	-0.030945	-0.021408	-0.018944
Chr01	344960	352305	-0.052692	-0.063029	-0.036886	-0.018355
Chr01	352350	383718	-0.677613	-0.312954	-0.209357	-0.456121
Chr01	383772	389648	-0.185207	-0.117957	-0.086960	-0.100977
Chr01	389704	394320	-0.137812	-0.077818	-0.055725	-0.046698
Chr01	394389	402495	-0.220668	-0.188615	-0.108426	-0.076555
Chr01	402503	406811	0.065624	0.072728	0.038968	0.019666
Chr01	406891	418617	0.025247	0.020428	0.009190	0.016414
Chr01	418712	427605	0.434644	0.280063	0.207636	0.283717
Chr01	427617	433815	-0.059518	-0.049600	-0.020870	-0.024300
Chr01	433819	441420	0.364528	0.130921	0.094443	0.122810
Chr01	441558	449999	-0.430777	-0.121377	-0.094369	-0.122877
Chr01	450024	455587	-0.034347	-0.015547	-0.010964	-0.011146
Chr01	455620	465508	-0.654909	-0.617083	-0.314079	-0.397543
Chr01	465520	476401	-0.706088	-0.732231	-0.380841	-0.535366
Chr01	476530	479732	-0.711713	-0.757749	-0.378686	-0.591021
Chr01	479755	484528	-0.767431	-0.711259	-0.366590	-0.558872
Chr01	484648	490546	-0.326414	-0.200925	-0.106710	-0.203578
Chr01	490554	497175	-0.343074	-0.231525	-0.126125	-0.166639
Chr01	497177	502153	-0.763127	-0.828255	-0.287578	-0.552223
Chr01	506851	512589	-0.375587	-0.377938	-0.171103	-0.203273
Chr01	512660	517504	-0.552418	-0.431525	-0.184266	-0.245537
Chr01	517507	523407	-0.010848	-0.018015	-0.005639	-0.010103
Chr01	523433	527157	0.177398	0.234379	0.099725	0.071006
Chr01	527164	531099	0.189500	0.236895	0.096747	0.057466
Chr01	531266	547974	-0.531943	-2.037685	-0.161718	-0.279795
Chr01	547991	558759	-0.527711	-0.607142	-0.134532	-0.259066
Chr01	558824	566149	0.049758	0.031550	0.016220	0.013678
Chr01	566153	574908	0.522389	0.374130	0.233260	0.333849
Chr01	574955	577509	0.440003	0.308742	0.206250	0.192542
Chr01	577538	581128	0.465515	0.328535	0.227403	0.283332
Chr01	581139	605174	0.550442	0.287134	0.197958	0.332577
Chr01	605314	614713	0.384085	0.209791	0.155112	0.189462
Chr01	614761	623083	-0.014636	-0.009016	-0.006022	-0.001458
Chr01	623517	628760	-0.152891	-0.095031	-0.056951	-0.029664
Chr01	628797	634223	-0.015406	-0.008874	-0.006008	-0.005084
Chr01	634289	641744	0.335942	0.147229	0.104697	0.095095
Chr01	641746	650712	0.065228	0.037558	0.021000	0.022184
Chr01	650755	655296	0.011843	0.007596	0.004619	0.003240
Chr01	655341	658951	0.100566	0.066487	0.040269	0.038118
Chr01	659010	667685	0.196277	0.065390	0.053848	0.124064
Chr01	667719	677647	0.004832	0.002992	0.001995	0.017685
Chr01	677665	694369	-0.168692	-0.126022	-0.068540	-0.068945
Chr01	694400	712304	-0.526566	-0.427758	-0.183106	-0.332797
Chr01	712315	758716	-0.585653	-0.541350	-0.209170	-0.398651
Chr01	758768	799170	-0.649000	-0.673092	-0.268215	-0.415250
Chr01	799191	825506	-0.250979	-0.157443	-0.101340	-0.116359
Chr01	825546	839637	-0.464355	-0.160390	-0.089962	-0.125896
Chr01	839718	849268	-0.705554	-0.198373	-0.116369	-0.276712
Chr01	849490	857329	-0.594110	-0.355548	-0.120471	-0.231915
Chr01	857366	864463	-0.324311	-0.212067	-0.094903	-0.157017
Chr01	864492	871933	-0.048597	-0.034172	-0.013498	-0.017266
Chr01	872112	881860	-0.439837	-0.179594	-0.112840	-0.224460
Chr01	881869	896481	-0.271222	-0.301250	-0.132584	-0.116679
Chr01	896594	904659	-0.475516	-0.219461	-0.131517	-0.164033
Chr01	904730	923103	-0.457183	-0.515575	-0.246841	-0.334478
Chr01	923115	930924	-0.410890	-0.230896	-0.155035	-0.244644
Chr01	930927	936736	-0.799149	-0.374970	-0.255160	-0.731192
Chr01	936839	954766	-0.070684	-0.019310	-0.013370	-0.017969
Chr01	954819	968270	-0.577119	-0.370330	-0.154523	-0.300290
Chr01	968279	977558	0.014895	0.009919	0.004033	0.034376
Chr01	977561	985571	-0.531456	-0.193921	-0.130793	-0.194844
Chr01	985826	997248	-0.145127	-0.063419	-0.039044	-0.069988
Chr01	997270	1008867	-0.514456	-0.318875	-0.120922	-0.240678
Chr01	1008875	1015884	-0.172003	-0.090344	-0.052897	-0.034756
Chr01	1015901	1026824	0.434221	0.081260	0.061798	0.140167
Chr01	1026843	1032214	-0.320549	-0.078911	-0.051361	-0.057463
Chr01	1032513	1037377	-0.460074	-0.102176	-0.065130	-0.143455
Chr01	1037444	1044285	-0.285422	-0.093451	-0.061814	-0.080910
Chr01	1044388	1052384	-0.163990	-0.070415	-0.041852	-0.036236
Chr01	1052417	1062770	-0.895214	-0.326117	-0.171817	-0.471410
Chr01	1062789	1075861	-0.633062	-0.263143	-0.129211	-0.344844
Chr01	1076178	1088808	-0.854116	-0.155683	-0.110825	-0.213376
Chr01	1088818	1098376	-0.500837	-0.157734	-0.091029	-0.195656
Chr01	1098377	1106105	-0.666027	-0.222965	-0.101349	-0.239154
Chr01	1106161	1120685	0.033985	0.008596	0.005108	0.015000
Chr01	1120689	1136969	-0.320508	-0.181891	-0.102880	-0.253861
Chr01	1136982	1144571	-0.403381	-0.097895	-0.075125	-0.320569
Chr01	1144617	1149717	-0.389739	-0.073929	-0.059452	-0.263622
Chr01	1149736	1157895	-0.520475	-0.123829	-0.080216	-0.237161
Chr01	1157927	1166618	-0.278658	-0.065468	-0.050089	-0.145976
Chr01	1166666	1170574	0.352737	0.118770	0.089609	0.112878
Chr01	1170591	1175917	0.571776	0.188646	0.142818	0.231681
Chr01	1175923	1181623	0.422449	0.138116	0.103894	0.244090
Chr01	1181645	1186752	-0.050746	-0.014281	-0.009419	-0.012835
Chr01	1186811	1199983	-0.299955	-0.099905	-0.060367	-0.082096
Chr01	1200007	1206720	-0.162550	-0.255223	-0.048319	-0.134372
Chr01	1206740	1212391	0.145598	0.114226	0.045604	0.087532
Chr01	1212403	1216172	-0.215214	-0.369856	-0.070509	-0.181801
Chr01	1216200	1254667	0.155450	0.097947	0.039922	0.128396
Chr01	1254668	1277568	-0.384704	-0.168499	-0.093981	-0.195348
Chr01	1277678	1292298	-0.664298	-0.101788	-0.062941	-0.175369
Chr01	1292347	1297645	-0.017488	-0.006071	-0.003383	-0.001602
Chr01	1297849	1306567	0.056030	0.014753	0.009592	0.008970
Chr01	1306571	1313944	-0.264833	-0.090309	-0.057155	-0.131458
Chr01	1313952	1319664	-0.965361	-0.917965	-0.276773	-0.554641
Chr01	1319681	1327344	-0.226816	-0.067309	-0.043957	-0.072002
Chr01	1327349	1332307	-0.329965	-0.089165	-0.061861	-0.057839
Chr01	1332337	1362348	-0.202532	-0.083665	-0.052848	-0.089729
Chr01	1362404	1374001	-0.453654	-0.423680	-0.238795	-0.311241
Chr01	1374060	1380294	-0.510999	-0.430768	-0.213151	-0.245097
Chr01	1380465	1385645	-0.525988	-0.411480	-0.202977	-0.245625
Chr01	1386123	1393115	-0.640561	-0.402952	-0.184078	-0.313783
Chr01	1393146	1401471	-0.127161	-0.048065	-0.031385	-0.049367
Chr01	1401499	1411670	-0.189092	-0.060987	-0.041619	-0.083646
Chr01	1411683	1428840	-0.597587	-0.905650	-0.325878	-0.454012
Chr01	1428874	1448847	0.143517	0.087991	0.043075	0.106788
Chr01	1448860	1453141	0.367305	0.199692	0.109118	0.300310
Chr01	1453182	1456781	0.034660	0.024076	0.010785	0.025024
Chr01	1456876	1460921	0.037441	0.014763	0.008920	0.014090
Chr01	1460943	1465757	-0.070706	-0.041872	-0.019626	-0.053070
Chr01	1465800	1470120	-0.087041	-0.058516	-0.027999	-0.055856
Chr01	1470131	1473597	0.097470	0.043533	0.025985	0.035429
Chr01	1473608	1481064	-0.018333	-0.007008	-0.004525	-0.016568
Chr01	1481091	1488362	-0.153083	-0.075881	-0.046594	-0.062050
Chr01	1488384	1494866	-0.084408	-0.037292	-0.020172	-0.062982
Chr01	1494909	1503390	0.315169	0.138297	0.094128	0.139680
Chr01	1503462	1509915	-0.498402	-0.398203	-0.179515	-0.292131
Chr01	1509968	1517354	-0.346075	-0.177233	-0.096954	-0.207206
Chr01	1517356	1523870	-0.181822	-0.098252	-0.058230	-0.094421
Chr01	1523947	1534290	0.104817	0.050104	0.035552	0.068191
Chr01	1534370	1537019	-0.359564	-0.589691	-0.235689	-0.209253
Chr01	1537151	1541014	-0.353712	-0.615145	-0.240618	-0.170818
Chr01	1541057	1544744	-0.391265	-0.683535	-0.245069	-0.213790
Chr01	1544779	1549495	-0.415042	-0.377675	-0.151896	-0.196291
Chr01	1549580	1555851	0.026277	0.019792	0.011214	0.006474
Chr01	1555854	1561082	-0.190288	-0.190001	-0.064780	-0.120959
Chr01	1561120	1567004	-0.155358	-0.120874	-0.053190	-0.122819
Chr01	1567005	1573913	-0.326219	-0.326798	-0.104508	-0.296262
