chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	156250	274374	-0.074335	-0.136308	-0.044814	-0.031546
Chr01	224705	385823	-0.125703	-0.167833	-0.062065	-0.051324
Chr01	274434	477412	-0.059864	-0.069541	-0.025732	-0.022206
Chr01	386070	551220	0.164213	0.207578	0.059343	0.056686
Chr01	477517	642002	0.051349	0.072997	0.023255	0.026592
Chr01	551244	839893	-0.149397	-0.201005	-0.066370	-0.062611
Chr01	642072	941858	-0.081180	-0.097089	-0.029776	-0.024410
Chr01	839934	1040476	-0.003129	-0.003962	-0.001156	-0.000687
Chr01	941868	1155485	0.032400	0.026370	0.011413	0.008077
Chr01	1040482	1289752	-0.017331	-0.011764	-0.006237	-0.010404
Chr01	1155507	1400491	-0.166335	-0.126630	-0.065496	-0.070916
Chr01	1289827	1502841	-0.267093	-0.191405	-0.096316	-0.113794
Chr01	1400519	1564097	-0.122420	-0.092659	-0.046666	-0.051283
Chr01	1502843	1662602	0.139782	0.082698	0.045470	0.037399
Chr01	1564186	1812844	0.143194	0.053762	0.036149	0.042495
Chr01	1663118	2033920	0.143645	0.050024	0.032608	0.061900
Chr01	1812849	2119632	0.147117	0.065664	0.037863	0.054752
Chr01	2033994	2226499	0.190321	0.129859	0.073005	0.088587
Chr01	2119648	2287997	0.174626	0.137683	0.075943	0.097179
Chr01	2226521	2434626	0.139190	0.134267	0.070356	0.079317
Chr01	2288004	2517845	0.138801	0.120478	0.063236	0.075856
Chr01	2434907	2629909	0.043278	0.043961	0.021781	0.017489
Chr01	2517857	2706782	-0.032999	-0.035958	-0.018135	-0.016761
Chr01	2630387	2751397	-0.123437	-0.128083	-0.066093	-0.055548
Chr01	2706805	2836151	0.127121	0.104436	0.059496	0.068875
Chr01	2751488	2931698	0.175210	0.153848	0.079972	0.091954
Chr01	2836154	3011693	-0.037214	-0.049355	-0.021792	-0.017208
Chr01	2931706	3094445	-0.144004	-0.169445	-0.082338	-0.072792
Chr01	3011704	3211747	-0.183604	-0.164394	-0.083296	-0.086472
Chr01	3094454	3371131	0.019460	0.012911	0.006355	0.008372
Chr01	3212050	3512603	0.092379	0.061837	0.030669	0.039721
Chr01	3371210	3638976	-0.334110	-0.228034	-0.128328	-0.182981
Chr01	3512701	3791395	-0.322246	-0.198938	-0.123139	-0.182540
Chr01	3638985	3905706	0.049321	0.031020	0.019484	0.016319
Chr01	3791482	4017789	0.084976	0.058246	0.034943	0.030203
Chr01	3906173	4112894	0.068702	0.054702	0.027047	0.039839
Chr01	4017849	4250068	0.047215	0.028894	0.014418	0.025567
Chr01	4112992	4354119	0.146616	0.099579	0.050511	0.067477
Chr01	4250069	4437784	0.117659	0.111258	0.056964	0.064362
Chr01	4354286	4491068	-0.024646	-0.023585	-0.013818	-0.016961
Chr01	4437850	4583015	-0.015236	-0.016717	-0.008361	-0.008332
Chr01	4491069	4679506	0.039266	0.041642	0.018260	0.018164
Chr01	4583117	4823471	0.028210	0.019060	0.010484	0.014511
Chr01	4679557	4956223	0.164800	0.102332	0.053651	0.074820
Chr01	4823501	5101722	0.267128	0.215994	0.094864	0.117098
Chr01	4956391	5203921	0.228542	0.172826	0.091967	0.101106
Chr01	5101773	5568035	0.134360	0.081293	0.050110	0.069564
Chr01	5203943	5697433	0.095751	0.057781	0.034906	0.051201
Chr01	5568069	5798004	0.152442	0.118489	0.057287	0.064641
Chr01	5698140	5911756	0.158592	0.139771	0.054898	0.065976
Chr01	5798077	6000932	0.124635	0.099614	0.044472	0.055010
