chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121258	149065	-0.431699	-0.217201	-0.115742	-0.275907
Chr01	149078	161056	-0.485763	-0.457727	-0.198378	-0.270687
Chr01	161140	183629	-0.201964	-0.134567	-0.078610	-0.087100
Chr01	183686	186873	0.337039	0.231083	0.157127	0.137281
Chr01	186899	203970	0.240270	0.105478	0.076794	0.093376
Chr01	204065	210742	0.448488	0.255185	0.168768	0.278188
Chr01	210837	218203	0.556995	0.250004	0.185085	0.411398
Chr01	218220	225928	0.212890	0.131396	0.082822	0.145065
Chr01	226087	238981	0.156129	0.050081	0.036462	0.084020
Chr01	239214	251435	0.151933	0.053933	0.042823	0.088737
Chr01	251473	258152	-0.491880	-0.282945	-0.174311	-0.437387
Chr01	258174	265462	-0.647670	-0.330286	-0.197226	-0.557639
Chr01	265477	276219	-0.256961	-0.167144	-0.092905	-0.198716
Chr01	276220	299105	0.025188	0.013049	0.008060	0.025606
Chr01	299160	316719	0.005800	0.004192	0.002630	0.000874
Chr01	316764	345343	-0.418285	-0.145647	-0.100825	-0.268302
Chr01	349188	381230	0.800611	0.419543	0.307296	0.473844
Chr01	381310	403511	0.599070	0.225437	0.163114	0.248094
Chr01	403534	422414	0.465953	0.118741	0.088863	0.231992
Chr01	422423	433549	0.074815	0.030414	0.019141	0.050552
Chr01	433591	448511	0.131780	0.032861	0.024945	0.031072
Chr01	448535	464882	0.564943	0.218501	0.156635	0.290436
Chr01	464953	478642	0.136096	0.094087	0.059418	0.099242
Chr01	478655	488287	0.077084	0.046849	0.025308	0.053258
Chr01	488310	508149	0.040498	0.012184	0.007409	0.028978
Chr01	508183	516742	-0.014836	-0.005606	-0.002839	-0.002863
Chr01	516771	526413	-0.477277	-0.449135	-0.266160	-0.441060
Chr01	526424	547254	-0.493729	-0.376514	-0.175449	-0.447237
Chr01	547879	561036	-0.284993	-0.157409	-0.078498	-0.236903
Chr01	561336	575295	0.356042	0.141995	0.103845	0.283528
Chr01	575304	596898	0.164679	0.069097	0.050308	0.107027
Chr01	596954	614837	0.650080	0.359104	0.283191	0.505444
Chr01	614880	629571	0.358844	0.215841	0.153592	0.250471
Chr01	629782	639255	0.610517	0.570663	0.422473	0.482120
Chr01	639583	654331	0.595049	0.496978	0.338099	0.527671
