chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	55612	61406	0.608974	0.352560	0.303228	0.427107
Chr01	61409	69250	0.617575	0.345691	0.286713	0.501746
Chr01	69277	73535	0.864789	0.588191	0.540378	0.711504
Chr01	73584	79012	0.406314	0.353441	0.280986	0.312486
Chr01	79209	83931	0.427110	0.419165	0.368075	0.298134
Chr01	83946	138463	-0.273383	-0.232911	-0.100895	-0.162158
Chr01	138499	151530	-0.524655	-0.822240	-0.253504	-0.276649
Chr01	151552	154064	-0.305412	-0.848608	-0.214564	-0.146852
Chr01	154646	166499	-0.068754	-0.091167	-0.039085	-0.039048
Chr01	166509	181638	0.251354	0.355122	0.203176	0.121509
Chr01	181707	185193	0.336074	0.502516	0.339952	0.154784
Chr01	185202	188749	0.303273	0.475255	0.245677	0.127833
Chr01	188838	193715	0.158066	0.304549	0.161330	0.080004
Chr01	193737	203560	0.304546	0.397057	0.265360	0.173041
Chr01	203575	207496	-0.059174	-0.091157	-0.040789	-0.068975
Chr01	207535	209502	-0.184493	-0.491727	-0.171602	-0.123267
Chr01	209519	213337	-0.070575	-0.105575	-0.051448	-0.042639
Chr01	213338	216344	0.004891	0.004478	0.002982	0.001141
Chr01	216351	218031	-0.223227	-0.623187	-0.208067	-0.144737
Chr01	218042	220036	-0.069490	-0.082065	-0.045294	-0.059937
Chr01	220038	223314	0.034291	0.032311	0.021447	0.012740
Chr01	223477	226605	-0.194796	-0.475433	-0.167265	-0.085873
Chr01	226648	231090	-0.081716	-0.228664	-0.078568	-0.032163
Chr01	231098	235536	-0.211658	-0.486152	-0.189608	-0.110246
Chr01	235585	238905	-0.046402	-0.100983	-0.047982	-0.028893
Chr01	238954	245724	-0.077578	-0.093585	-0.045969	-0.051001
Chr01	245807	249335	-0.060018	-0.144296	-0.056009	-0.026941
Chr01	249343	251897	-0.005531	-0.013822	-0.005353	-0.003814
Chr01	251973	254678	-0.131781	-0.396492	-0.132023	-0.058235
Chr01	254725	256883	-0.000605	-0.000858	-0.000418	0.009571
Chr01	256956	261273	0.132372	0.141906	0.080070	0.061872
Chr01	261348	263562	-0.007847	-0.011810	-0.005533	0.001856
Chr01	263579	265033	0.014975	0.024795	0.012070	0.009891
Chr01	265045	270193	0.133923	0.150208	0.082467	0.069011
Chr01	270198	274444	0.099147	0.154895	0.072292	0.062867
Chr01	274530	276221	0.083634	0.177439	0.057391	0.040199
Chr01	276249	281839	0.129453	0.169949	0.078124	0.064615
Chr01	282213	298392	0.235083	0.255716	0.128027	0.157189
Chr01	298405	309924	0.311416	0.283822	0.172581	0.176125
Chr01	309955	314852	0.529763	0.558562	0.397325	0.424612
Chr01	314935	319405	-0.208786	-0.525748	-0.128104	-0.115932
Chr01	319419	326311	0.031484	0.038208	0.016172	-0.001889
Chr01	326318	337580	0.517113	0.427672	0.257802	0.220529
Chr01	338410	349650	0.323460	0.203829	0.136512	0.186879
Chr01	349667	354090	0.061097	0.098548	0.058778	0.023111
Chr01	354100	367170	0.308800	0.146313	0.103711	0.278786
Chr01	367492	386978	0.279398	0.183833	0.121840	0.181332
Chr01	387002	392292	0.217321	0.251356	0.152103	0.123414
Chr01	392332	400498	-0.046649	-0.103653	-0.033853	-0.024982
Chr01	400579	404215	-0.064538	-0.164976	-0.060358	-0.031331
Chr01	404221	413151	0.312603	0.250251	0.136670	0.190915
Chr01	413990	424484	0.688880	0.533488	0.357456	0.492898
Chr01	424501	429475	0.519150	0.525101	0.303104	0.387317
Chr01	429484	435245	0.503849	0.558330	0.235238	0.333904
Chr01	435454	441666	0.320664	0.360432	0.168759	0.154509
Chr01	441844	448148	-0.038912	-0.088074	-0.027213	-0.014786
Chr01	448176	452422	0.061343	0.094958	0.053792	0.040299
Chr01	452444	464177	0.027686	0.026771	0.014890	0.020812
Chr01	464231	466970	-0.154933	-0.335631	-0.118578	-0.084593
Chr01	467017	478096	0.048175	0.065903	0.027303	0.023375
Chr01	478118	480682	-0.258949	-1.583762	-0.169151	-0.129345
Chr01	480707	485688	-0.028001	-0.030104	-0.014340	-0.010747
Chr01	485700	491899	0.322755	0.272792	0.136966	0.174775
Chr01	491970	497116	-0.268965	-0.461576	-0.151786	-0.124700
Chr01	497117	506989	0.201130	0.169528	0.086668	0.108531
Chr01	507049	514826	-0.042523	-0.102122	-0.020614	-0.016847
Chr01	514852	519328	0.132398	0.247524	0.060544	0.058087
Chr01	519460	525544	0.318975	0.272656	0.139434	0.247067
Chr01	525564	530813	0.445967	0.324649	0.179002	0.340124
Chr01	530819	558073	0.203374	0.210550	0.040198	0.132371
Chr01	558093	567188	0.449665	0.183664	0.113957	0.306907
Chr01	567189	575615	0.452492	0.310269	0.194684	0.304035
Chr01	575632	578027	0.506874	0.290235	0.219443	0.301856
Chr01	578034	588518	0.434702	0.270310	0.202705	0.324696
Chr01	588621	606512	0.856123	0.413781	0.337013	0.693956
Chr01	606920	617319	0.416820	0.238137	0.159798	0.276731
Chr01	617345	623083	0.140020	0.211683	0.091621	0.077931
Chr01	623093	626801	-0.299726	-1.642589	-0.216937	-0.141906
Chr01	626897	632053	-0.283443	-0.280188	-0.139845	-0.123979
Chr01	632063	638406	-0.068740	-0.055819	-0.031174	-0.036305
Chr01	638485	648509	-0.116183	-0.109804	-0.044287	-0.051056
Chr01	648513	652573	-0.011656	-0.013168	-0.006667	0.001590
Chr01	652606	657403	-0.216826	-0.321910	-0.128834	-0.106586
Chr01	657408	660977	0.606696	0.287911	0.233842	0.454548
Chr01	661006	669933	0.580451	0.286530	0.238308	0.431309
Chr01	669996	677561	0.251266	0.233745	0.151179	0.179949
Chr01	677587	683867	-0.033731	-0.047252	-0.022032	-0.001544
Chr01	683895	700474	-0.469852	-2.306990	-0.210505	-0.298000
Chr01	700715	713200	-0.224275	-0.250695	-0.121260	-0.156490
Chr01	713397	759116	-0.280596	-0.239780	-0.093168	-0.099912
Chr01	759123	801433	0.101676	0.052939	0.031158	0.049014
Chr01	801659	825055	-0.095920	-0.077705	-0.045280	-0.045342
Chr01	825138	836173	0.226074	0.192032	0.088232	0.140924
Chr01	836287	847313	0.124672	0.094501	0.026421	0.071994
Chr01	847371	856808	0.106547	0.134006	0.022275	0.071551
Chr01	856880	864124	0.395472	0.468364	0.132018	0.227060
Chr01	864173	870703	0.084772	0.122909	0.027681	0.033977
Chr01	870715	878348	-0.201913	-0.646953	-0.174461	-0.119172
Chr01	878540	885442	-0.110634	-0.269375	-0.102319	-0.062734
Chr01	885455	898246	-0.175640	-0.257763	-0.100322	-0.093039
Chr01	898327	905537	0.230368	0.274763	0.105636	0.109236
Chr01	905552	920498	0.041837	0.048881	0.023858	0.028762
Chr01	920504	930663	-0.107081	-0.146705	-0.072541	-0.064753
Chr01	930669	936242	-0.540193	-2.929568	-0.397852	-0.364998
Chr01	936251	945606	0.280589	0.132848	0.080193	0.177034
Chr01	945612	963235	0.265747	0.144970	0.074349	0.145975
Chr01	963267	971234	0.106720	0.218496	0.035303	0.052114
Chr01	971306	980189	0.542114	0.432181	0.199014	0.326372
Chr01	980230	992354	0.022826	0.010275	0.005443	0.002070
Chr01	992448	1009861	-0.150693	-0.070033	-0.033676	-0.115845
Chr01	1010387	1016801	-0.056032	-0.053178	-0.026474	-0.032579
Chr01	1016845	1028750	0.092364	0.036119	0.022632	0.037636
Chr01	1028759	1032653	-0.021546	-0.037668	-0.012153	-0.014685
Chr01	1032669	1037704	-0.031361	-0.016895	-0.006719	-0.024623
Chr01	1037795	1043649	-0.091082	-0.109502	-0.047387	-0.041194
Chr01	1043950	1050530	-0.083346	-0.220991	-0.044568	-0.041930
Chr01	1050588	1059101	-0.014516	-0.011325	-0.003628	-0.009198
Chr01	1059146	1069534	0.475303	0.223675	0.100225	0.276100
Chr01	1069536	1081020	0.348919	0.195090	0.094218	0.135870
Chr01	1081073	1089881	0.501075	0.209602	0.149655	0.275885
Chr01	1089970	1098227	0.063831	0.045302	0.024032	0.042795
Chr01	1098282	1104005	-0.100416	-0.041756	-0.018921	-0.040610
Chr01	1104019	1114072	-0.115649	-0.044714	-0.023230	-0.043407
Chr01	1114231	1121978	-0.228861	-0.160885	-0.060703	-0.094729
Chr01	1122005	1139806	-0.372365	-0.225538	-0.137092	-0.286668
Chr01	1139816	1145188	-0.095970	-0.038719	-0.025338	-0.040060
Chr01	1145196	1149048	-0.145594	-0.050689	-0.036674	-0.084907
Chr01	1149080	1153928	-0.317400	-0.149011	-0.089182	-0.165048
Chr01	1154017	1158517	-0.497623	-0.244516	-0.152180	-0.375138
Chr01	1158520	1165399	-0.170378	-0.098052	-0.060795	-0.073479
Chr01	1165436	1169748	-0.013006	-0.013493	-0.007758	-0.005651
Chr01	1169893	1174438	0.062047	0.060497	0.032994	0.034232
Chr01	1174441	1179287	0.003429	0.002693	0.001723	0.006352
Chr01	1179316	1185463	0.101799	0.056271	0.033895	0.061043
Chr01	1185487	1196123	-0.183461	-0.091848	-0.055218	-0.064552
Chr01	1196130	1203455	-0.081906	-0.059344	-0.019132	-0.032944
Chr01	1203471	1210122	-0.149579	-0.082842	-0.032738	-0.103456
Chr01	1210185	1218176	-0.057995	-0.025255	-0.009269	-0.042320
Chr01	1218221	1255765	0.036270	0.014971	0.007058	0.017623
Chr01	1255771	1277803	0.077384	0.025945	0.016228	0.033486
Chr01	1277847	1285518	0.498949	0.049755	0.039861	0.140709
Chr01	1285612	1293841	0.088666	0.016042	0.011823	0.017748
