chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	547242	698967	-0.086145	-0.074955	-0.044021	-0.059709
Superscaffold1	698986	872067	-0.168530	-0.102635	-0.056702	-0.096942
Superscaffold1	872128	1183689	-0.213613	-0.135671	-0.073571	-0.113106
Superscaffold1	1183822	1421231	-0.192156	-0.085339	-0.051277	-0.114243
Superscaffold1	1421454	1643308	-0.341384	-0.160264	-0.092239	-0.220610
Superscaffold1	1643604	2048404	-0.332251	-0.132023	-0.072966	-0.236956
Superscaffold1	2048465	2323825	-0.185110	-0.077250	-0.047184	-0.135936
Superscaffold1	2324590	2520677	-0.157348	-0.118088	-0.069757	-0.103877
Superscaffold1	2520744	2713738	-0.109267	-0.080408	-0.045351	-0.062255
Superscaffold1	2713746	2846136	-0.091831	-0.105176	-0.049275	-0.054860
Superscaffold1	2846201	3071927	-0.273790	-0.281672	-0.120231	-0.174932
Superscaffold1	3071941	3333270	0.033379	0.014964	0.009223	0.018046
Superscaffold1	3333275	3663734	-0.078176	-0.029956	-0.017923	-0.043771
Superscaffold1	3663854	4056205	-0.228838	-0.083849	-0.049319	-0.139761
Superscaffold1	4056208	4451024	-0.038283	-0.013073	-0.008304	-0.012458
Superscaffold1	4451037	4781250	-0.387490	-0.261360	-0.144811	-0.266364
Superscaffold1	4781274	5203279	-0.068010	-0.022359	-0.015164	-0.043279
Superscaffold1	5203280	5638554	-0.229954	-0.052147	-0.037672	-0.134345
Superscaffold1	5638597	5976381	0.266491	0.103599	0.071425	0.167528
Superscaffold1	5977500	6390319	0.058832	0.016476	0.011297	0.041824
Superscaffold1	6390341	6757703	-0.123198	-0.051082	-0.034192	-0.078175
Superscaffold1	6757913	7214361	-0.329779	-0.116859	-0.071640	-0.206774
Superscaffold1	7214376	7557575	-0.231856	-0.096195	-0.060072	-0.168543
Superscaffold1	7557755	8012841	-0.321356	-0.144959	-0.085011	-0.218219
Superscaffold1	8013050	8574065	-0.100734	-0.047449	-0.027359	-0.054168
Superscaffold1	8574072	9714342	0.004990	0.001579	0.001074	0.005770
Superscaffold1	9714423	10646833	-0.031701	-0.012645	-0.008258	-0.013420
Superscaffold1	10646896	10953675	-0.188814	-0.079486	-0.049680	-0.119033
Superscaffold1	10953726	11330141	-0.073713	-0.025506	-0.016907	-0.051324
Superscaffold1	11330154	11630140	-0.412655	-0.178624	-0.110792	-0.305045
Superscaffold1	11630346	11997695	0.099576	0.034503	0.022693	0.067915
Superscaffold1	11997815	12305627	0.044381	0.021199	0.012447	0.026167
Superscaffold1	12305641	12583743	0.008549	0.004807	0.003106	0.001273
Superscaffold1	12583745	12903575	-0.249048	-0.092715	-0.055289	-0.186971
Superscaffold1	12903648	13401392	-0.020280	-0.005207	-0.003295	-0.016744
Superscaffold1	13401563	14236903	0.047900	0.008618	0.005672	0.033344
Superscaffold1	14236919	14724549	-0.068849	-0.017491	-0.011314	-0.049800
Superscaffold1	14724653	15047350	0.044683	0.016936	0.011026	0.028382
Superscaffold1	15047406	15474993	-0.256793	-0.048033	-0.035119	-0.195460
Superscaffold1	15475012	15817691	-0.284198	-0.077285	-0.049998	-0.200776
Superscaffold1	15819315	16165776	0.131918	0.043726	0.027141	0.088434
Superscaffold1	16166003	16540554	-0.198527	-0.063995	-0.039822	-0.134509
Superscaffold1	16540564	16828353	-0.026823	-0.010687	-0.006707	-0.013105
Superscaffold1	16828477	17288990	0.052199	0.021533	0.012375	0.033749
Superscaffold1	17289004	17827081	-0.108927	-0.033977	-0.020805	-0.080814
Superscaffold1	17827086	18358284	-0.245914	-0.166204	-0.077989	-0.122109
Superscaffold1	18358588	18808335	0.074652	0.017490	0.011929	0.050108
Superscaffold1	18808396	19116812	-0.081668	-0.037466	-0.023841	-0.045929
Superscaffold1	19116862	19401020	-0.422734	-0.252125	-0.149124	-0.268006
Superscaffold1	19401034	19691128	-0.467008	-0.274138	-0.173142	-0.340597
Superscaffold1	19691180	20019763	-0.089614	-0.030012	-0.019386	-0.056822
Superscaffold1	20019908	20370872	0.106216	0.037654	0.023594	0.064822
Superscaffold1	20370888	21090108	-0.156303	-0.042412	-0.023832	-0.088864
Superscaffold1	21090117	21390983	-0.204183	-0.087966	-0.051290	-0.152284
Superscaffold1	21391043	21762831	-0.022397	-0.008569	-0.004843	-0.012189
Superscaffold1	21762838	22175724	-0.230051	-0.070888	-0.045793	-0.134258
Superscaffold1	22175730	22793916	-0.093862	-0.016245	-0.010831	-0.068978
Superscaffold1	22793918	23321898	-0.125168	-0.030071	-0.018261	-0.101148
Superscaffold1	23321906	23750080	-0.172276	-0.045393	-0.028203	-0.128294
Superscaffold1	23750188	24166162	-0.384367	-0.129407	-0.080789	-0.260255
Superscaffold1	24167005	24503093	-0.022471	-0.009201	-0.005662	-0.012431
Superscaffold1	24503457	24804019	-0.053548	-0.020723	-0.012582	-0.037635
Superscaffold1	24804035	25193116	-0.059570	-0.020539	-0.012225	-0.040623
Superscaffold1	25193798	25576192	-0.070867	-0.019133	-0.012130	-0.049260
Superscaffold1	25576214	25935960	-0.133318	-0.045629	-0.032842	-0.087207
Superscaffold1	25935961	26312223	-0.199249	-0.059181	-0.038465	-0.119802
Superscaffold1	26312224	26867906	-0.007487	-0.001303	-0.000942	-0.004727
Superscaffold1	26868327	27313501	0.193317	0.045745	0.026743	0.141291
Superscaffold1	27313567	27727386	0.081454	0.027585	0.017621	0.053748
Superscaffold1	27727698	27932481	-0.388040	-0.378669	-0.152585	-0.223696
Superscaffold1	27932491	28201018	-0.154470	-0.065287	-0.039173	-0.078878
Superscaffold1	28201089	28644444	0.100960	0.030301	0.021611	0.066183
Superscaffold1	28644466	28952783	-0.149172	-0.071468	-0.050064	-0.098599
Superscaffold1	28952817	29339906	-0.304445	-0.088881	-0.055591	-0.215010
Superscaffold1	29339945	29724967	-0.141719	-0.053887	-0.032404	-0.100282
Superscaffold1	29725131	30003678	-0.622741	-0.323333	-0.178361	-0.493221
Superscaffold1	30003683	30739805	-0.100676	-0.030642	-0.019439	-0.056263
Superscaffold1	30739849	31183515	0.017816	0.003975	0.002756	0.015264
Superscaffold1	31183708	31829410	-0.153039	-0.027437	-0.019294	-0.102807
Superscaffold1	31829419	32349717	0.273469	0.102925	0.061544	0.149114
Superscaffold1	32349938	32803854	0.068643	0.019963	0.012616	0.052906
Superscaffold1	32804525	33182055	-0.084129	-0.025857	-0.016681	-0.059079
Superscaffold1	33182065	33523897	-0.021579	-0.012185	-0.007134	-0.009729
Superscaffold1	33523914	33795557	-0.151533	-0.082902	-0.047256	-0.078920
Superscaffold1	33795606	34028871	-0.030023	-0.012426	-0.008495	-0.015979
Superscaffold1	34028883	34259409	-0.312123	-0.098844	-0.064314	-0.212474
Superscaffold1	34259452	34658523	-0.167419	-0.055230	-0.034962	-0.115542
Superscaffold1	34658537	35223493	0.024537	0.004338	0.003076	0.017043
Superscaffold1	35224218	35936390	-0.058640	-0.026263	-0.015216	-0.031530
Superscaffold1	35938509	36946970	0.026395	0.006096	0.004075	0.015902
Superscaffold1	36948154	37268836	-0.326392	-0.091412	-0.062438	-0.222253
Superscaffold1	37268845	37534500	-0.174532	-0.080121	-0.046903	-0.123564
Superscaffold1	37534519	38069765	0.014491	0.005083	0.003169	0.007507
Superscaffold1	38069802	38450330	0.010422	0.003458	0.002212	0.012158
Superscaffold1	38450331	38854536	0.046548	0.010290	0.007349	0.029883
Superscaffold1	38854682	39084717	-0.172843	-0.059414	-0.038708	-0.131346
Superscaffold1	39084768	39432925	-0.221447	-0.063312	-0.039267	-0.168711
Superscaffold1	39434880	39855905	-0.305161	-0.078902	-0.054066	-0.233987
Superscaffold1	39855991	40143614	0.055033	0.017715	0.011804	0.046709
Superscaffold1	40143831	40638905	0.036078	0.007958	0.005215	0.026088
Superscaffold1	40638939	41179240	0.164343	0.035451	0.022508	0.106217
Superscaffold1	41179802	41695502	-0.005893	-0.001324	-0.000833	-0.002582
Superscaffold1	41695504	42374037	-0.087939	-0.009407	-0.007139	-0.075485
Superscaffold1	42374062	43105864	0.133751	0.014794	0.010604	0.093978
Superscaffold1	43105882	43745570	0.048344	0.006795	0.004402	0.042848
Superscaffold1	43745580	44470961	0.015174	0.002931	0.001894	0.001865
Superscaffold1	44473304	45106097	-0.253486	-0.030593	-0.022559	-0.185044
Superscaffold1	45106107	45770999	-0.005796	-0.000741	-0.000529	0.000544
Superscaffold1	45771057	46304378	-0.398870	-0.073442	-0.046863	-0.302037
Superscaffold1	46304403	47254896	0.009631	0.001142	0.000750	0.008321
Superscaffold1	47254909	47974206	0.075784	0.008158	0.005853	0.059065
Superscaffold1	47974340	48482325	0.380525	0.072485	0.048395	0.314963
Superscaffold1	48482528	48855362	0.425325	0.101685	0.062134	0.324432
Superscaffold1	48855364	49404992	-0.080379	-0.011632	-0.007965	-0.040725
Superscaffold1	49405304	49867122	-0.348587	-0.078195	-0.046171	-0.228456
Superscaffold1	49867191	50128894	-0.722921	-0.446621	-0.207330	-0.621142
Superscaffold1	50128994	50596292	0.127562	0.027062	0.019774	0.081837
Superscaffold1	50596429	51060461	0.054541	0.018307	0.013629	0.035464
Superscaffold1	51060522	51744861	0.141446	0.076780	0.044937	0.073095
Superscaffold2	418311	721573	-0.001662	-0.000661	-0.000404	-0.000894
Superscaffold2	721583	1188085	0.115158	0.028100	0.020054	0.074003
Superscaffold2	1188097	1595279	-0.076751	-0.023291	-0.016193	-0.042828
Superscaffold2	1595525	1990867	-0.019540	-0.005060	-0.003494	-0.013161
Superscaffold2	1991036	2384336	0.048263	0.016248	0.010248	0.031788
Superscaffold2	2384371	3024365	0.193588	0.082292	0.049788	0.112927
Superscaffold2	3024401	3584962	-0.092777	-0.054458	-0.029280	-0.056175
Superscaffold2	3584964	3928706	-0.195913	-0.084481	-0.046742	-0.135623
Superscaffold2	3929393	4372272	0.015899	0.005591	0.003284	0.011897
Superscaffold2	4372284	4801057	-0.116075	-0.031475	-0.019061	-0.085692
Superscaffold2	4801131	5230639	-0.379305	-0.160959	-0.102172	-0.271225
Superscaffold2	5230794	5649457	-0.045224	-0.014270	-0.009609	-0.031448
Superscaffold2	5649462	6177065	0.073612	0.030780	0.016360	0.059851
Superscaffold2	6179189	6639427	0.016466	0.004150	0.002653	0.013179
Superscaffold2	6639522	7475811	-0.189853	-0.036887	-0.023254	-0.138867
Superscaffold2	7475815	7987778	-0.159929	-0.031358	-0.021415	-0.107192
Superscaffold2	7987825	8542390	-0.006949	-0.001384	-0.000942	-0.003935
Superscaffold2	8542401	9254982	-0.011386	-0.002217	-0.001569	-0.011582
Superscaffold2	9255039	9882126	-0.088106	-0.019847	-0.012994	-0.066007
Superscaffold2	9882320	10348760	0.019124	0.004758	0.003007	0.010855
Superscaffold2	10349016	10739822	-0.114672	-0.036559	-0.023735	-0.063107
Superscaffold2	10739904	11317474	-0.203019	-0.041925	-0.028125	-0.139646
Superscaffold2	11317506	11845241	-0.074417	-0.018042	-0.011166	-0.049523
Superscaffold2	11845497	12874216	-0.086409	-0.035480	-0.019905	-0.050857
Superscaffold2	12874233	13305872	-0.210212	-0.073994	-0.046576	-0.150603
Superscaffold2	13305875	13750660	-0.254720	-0.076565	-0.045436	-0.203877
Superscaffold2	13758989	14161433	0.325321	0.113075	0.074070	0.239814
Superscaffold2	14161434	14703126	-0.040280	-0.008835	-0.005549	-0.023931
Superscaffold2	14703137	15063351	0.062700	0.023989	0.014983	0.043014
Superscaffold2	15063501	16294873	-0.008012	-0.002146	-0.001295	-0.002585
Superscaffold2	16295127	16691424	0.198062	0.076811	0.047770	0.114165
Superscaffold2	16691425	17129610	-0.069129	-0.016316	-0.010552	-0.036229
Superscaffold2	17130352	17773981	-0.146561	-0.032619	-0.021009	-0.108517
Superscaffold2	17774001	18233649	0.012011	0.003541	0.002084	0.008605
Superscaffold2	18233677	18693012	-0.343330	-0.086268	-0.049421	-0.270369
Superscaffold2	18693032	19221159	-0.027597	-0.005842	-0.003696	-0.017529
Superscaffold2	19221178	19595072	0.150402	0.089091	0.050419	0.105323
Superscaffold2	19596378	19885584	0.047543	0.040114	0.022273	0.032567
Superscaffold2	19885598	20194887	-0.017959	-0.006309	-0.003646	-0.011464
Superscaffold2	20195105	20617857	-0.255425	-0.064481	-0.033550	-0.170661
Superscaffold2	20617974	21125751	0.154727	0.041855	0.028895	0.106403
Superscaffold2	21125925	21575543	-0.088961	-0.021647	-0.013616	-0.073471
Superscaffold2	21575826	22089351	-0.352514	-0.083053	-0.053933	-0.272107
Superscaffold2	22089358	22533808	0.017906	0.006030	0.003562	0.015394
Superscaffold2	22533980	22845829	-0.138853	-0.061554	-0.032950	-0.068360
Superscaffold2	22845877	23166577	-0.551257	-0.299626	-0.172102	-0.389168
Superscaffold2	23166680	23555899	-0.178913	-0.053797	-0.032545	-0.127576
Superscaffold2	23557905	23980165	-0.233511	-0.056448	-0.033227	-0.170558
Superscaffold2	23980168	24373110	0.122413	0.034811	0.021266	0.090832
Superscaffold2	24373137	24707014	0.072382	0.024429	0.014424	0.059844
Superscaffold2	24707051	25179175	0.173176	0.057930	0.034720	0.120348
Superscaffold2	25181921	25578693	0.178427	0.050983	0.031173	0.138111
Superscaffold2	25578717	25896379	0.295748	0.139853	0.077414	0.198723
Superscaffold2	25897186	26263437	0.322430	0.101480	0.065885	0.268821
Superscaffold2	26265229	26721953	-0.266584	-0.070835	-0.043732	-0.210247
Superscaffold2	26722155	27107883	-0.111505	-0.038413	-0.024383	-0.080254
Superscaffold2	27107897	27482951	-0.296419	-0.111119	-0.068314	-0.228238
Superscaffold2	27483329	28220345	0.009338	0.002022	0.001523	0.007877
Superscaffold2	28220509	29012047	-0.002904	-0.000592	-0.000350	0.004518
Superscaffold2	29012107	29246199	0.458443	0.162002	0.093778	0.317074
Superscaffold2	29246243	29558124	-0.102474	-0.043174	-0.027032	-0.073059
Superscaffold2	29558151	30003125	0.108042	0.038423	0.025103	0.079362
Superscaffold2	30003384	30388895	-0.092913	-0.025038	-0.014295	-0.068049
Superscaffold2	30388899	30939786	-0.075320	-0.014804	-0.009364	-0.048482
Superscaffold2	30939790	31270288	-0.058336	-0.023633	-0.014052	-0.039433
Superscaffold2	31270301	31654207	-0.249468	-0.071189	-0.042793	-0.180564
Superscaffold2	31654293	32376619	-0.012608	-0.003328	-0.002073	-0.006196
