chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	54808	64371	-0.703505	-0.354666	-0.228692	-0.608907
Chr01	64384	71366	0.879373	0.436022	0.394801	0.743479
Chr01	71374	77649	-0.602673	-0.428560	-0.246755	-0.503863
Chr01	77689	83393	-0.871781	-0.741391	-0.377115	-0.764259
Chr01	83441	136357	-0.290704	-0.331304	-0.136466	-0.185994
Chr01	136368	151207	-0.413884	-0.797541	-0.196785	-0.192869
Chr01	151210	154724	-0.286823	-0.946435	-0.221620	-0.109194
Chr01	154758	166968	-0.380689	-0.491525	-0.195897	-0.195007
Chr01	167012	183102	-0.096823	-0.105538	-0.054717	-0.029884
Chr01	183120	185706	0.476175	0.417980	0.281097	0.227808
Chr01	185717	189663	0.443478	0.355808	0.228338	0.191241
Chr01	189664	195880	0.445475	0.369038	0.265091	0.161006
Chr01	195988	204605	0.140347	0.145529	0.092586	0.059544
Chr01	204693	208305	-0.140353	-0.240617	-0.104038	-0.078919
Chr01	208309	210460	0.064121	0.102243	0.053476	0.021875
Chr01	210475	215362	-0.061399	-0.074981	-0.042642	-0.033250
Chr01	215393	217541	-0.074030	-0.137908	-0.065103	-0.039381
Chr01	217545	219786	-0.029433	-0.054390	-0.027746	-0.024799
Chr01	219810	223087	0.013599	0.016192	0.009783	0.010936
Chr01	223116	226605	0.147869	0.192807	0.108791	0.048918
Chr01	226713	231425	0.091937	0.094617	0.059360	0.027331
Chr01	231432	235797	-0.079850	-0.090317	-0.051743	-0.043003
Chr01	235812	239404	-0.109911	-0.167121	-0.081975	-0.066437
Chr01	239424	247074	0.039619	0.033968	0.019573	0.007024
Chr01	247121	250106	-0.018628	-0.024781	-0.012512	-0.000197
Chr01	250244	252911	0.171618	0.255843	0.141648	0.077273
Chr01	252920	255434	-0.166663	-0.252370	-0.111500	-0.065067
Chr01	255438	257460	-0.240720	-0.728586	-0.192382	-0.152893
Chr01	257473	260949	-0.523763	-1.889319	-0.328228	-0.389265
Chr01	260951	262950	-0.749343	47.614355	-0.534731	-0.495772
Chr01	262962	264374	-0.492344	-2.030952	-0.392993	-0.335139
Chr01	264399	269144	-0.659372	-6.290329	-0.523214	-0.444965
Chr01	269150	272218	-0.157617	-0.269985	-0.111501	-0.069082
Chr01	272245	275683	-0.049205	-0.075052	-0.026740	-0.017357
Chr01	275711	278342	-0.087522	-0.119182	-0.056538	-0.033907
Chr01	278379	289677	-0.105924	-0.155430	-0.067585	-0.058907
Chr01	289697	309446	0.104565	0.069040	0.036505	0.064304
Chr01	309679	314674	0.402031	0.421502	0.310070	0.351997
Chr01	314752	319462	-0.054657	-0.107468	-0.029986	-0.037884
Chr01	319492	327255	0.046944	0.033052	0.017413	0.021955
Chr01	327616	343893	-0.090083	-0.027967	-0.019399	-0.014626
Chr01	344066	352704	-0.017115	-0.011799	-0.008791	-0.003310
Chr01	352778	381911	0.631365	0.213497	0.160093	0.455121
Chr01	382685	389058	-0.130235	-0.132067	-0.071544	-0.076420
Chr01	389070	394464	0.145431	0.090847	0.066170	0.051325
Chr01	394478	402963	0.041396	0.031288	0.016308	0.010898
Chr01	403006	407876	0.370028	0.339829	0.189491	0.124742
Chr01	407922	419556	0.115613	0.057971	0.033059	0.038904
Chr01	421488	428775	0.436427	0.249020	0.188836	0.274454
Chr01	428825	434523	0.314536	0.423211	0.158198	0.203745
Chr01	434539	441614	0.571627	0.387447	0.238368	0.243455
Chr01	441666	448235	0.158567	0.127981	0.080339	0.043224
Chr01	448252	452746	0.257423	0.391927	0.240336	0.168574
Chr01	452788	464866	0.142969	0.137407	0.072618	0.084751
Chr01	464871	473604	-0.266762	-0.499972	-0.159396	-0.150049
Chr01	473609	479061	-0.279338	-0.606992	-0.138198	-0.185578
Chr01	479062	483431	-0.071911	-0.120597	-0.031964	-0.030100
Chr01	483434	488374	-0.114177	-0.084420	-0.043881	-0.065036
Chr01	488375	496304	0.203345	0.155935	0.080179	0.130695
Chr01	496312	499996	0.250619	0.232076	0.105194	0.157473
Chr01	500018	511543	-0.028791	-0.024926	-0.011021	-0.010082
Chr01	511546	516771	-0.153291	-0.308951	-0.069740	-0.046334
Chr01	516773	524242	0.131374	0.097214	0.053915	0.070851
Chr01	524249	531090	0.234165	0.100398	0.080632	0.184625
Chr01	532581	561549	0.228269	0.100078	0.038224	0.163771
Chr01	561586	574831	0.499841	0.165965	0.125525	0.309006
Chr01	574857	578182	0.389840	0.141885	0.112700	0.184864
Chr01	578257	594636	0.531616	0.243453	0.179444	0.408624
Chr01	594673	610726	0.902501	0.355454	0.308901	0.787622
Chr01	610727	621907	0.369902	0.193981	0.126038	0.152957
Chr01	622051	627441	-0.093534	-0.088295	-0.049413	-0.022130
Chr01	627652	633034	-0.081397	-0.054493	-0.036563	-0.023903
Chr01	633062	639213	0.392857	0.241204	0.168201	0.157531
Chr01	639255	649366	0.350850	0.165253	0.097548	0.135510
Chr01	649456	652902	0.252930	0.212774	0.116880	0.072670
Chr01	652924	658300	0.376314	0.189411	0.127811	0.146426
Chr01	658302	668203	0.219121	0.052514	0.044264	0.150909
Chr01	668458	677248	0.148054	0.098863	0.066755	0.097663
Chr01	677308	685432	-0.383195	-0.387036	-0.183850	-0.253044
Chr01	685473	702139	-0.361513	-0.506180	-0.145158	-0.190345
Chr01	702156	725270	-0.345968	-0.376964	-0.173685	-0.205548
Chr01	725321	793998	-0.514690	-0.512441	-0.151091	-0.276019
Chr01	794092	822545	-0.196791	-0.183155	-0.093593	-0.091241
Chr01	822691	835317	0.025237	0.023794	0.009896	0.029885
Chr01	835361	847947	0.186204	0.119152	0.037398	0.106241
Chr01	848036	857964	0.111460	0.145875	0.023501	0.080061
Chr01	858023	865507	0.103388	0.085709	0.023936	0.036463
Chr01	865529	873052	0.115334	0.117092	0.037644	0.030858
Chr01	873072	881768	0.338072	0.401565	0.234051	0.148530
Chr01	881777	896478	-0.014940	-0.016339	-0.008465	-0.007111
Chr01	896481	904403	0.012223	0.009066	0.004103	0.010139
Chr01	904612	920616	0.274090	0.261212	0.171262	0.177262
Chr01	921432	931555	-0.094241	-0.138264	-0.069809	-0.052083
Chr01	931834	942044	-0.183194	-0.163611	-0.073594	-0.070752
Chr01	942074	960586	-0.063233	-0.023014	-0.013487	-0.012638
Chr01	960847	971643	-0.278891	-0.379139	-0.078458	-0.172150
Chr01	971682	980422	0.276672	0.187766	0.092869	0.143598
Chr01	980431	1003251	-0.420758	-0.067913	-0.042183	-0.109604
Chr01	1003259	1013154	-0.322994	-0.197229	-0.091791	-0.116909
Chr01	1013233	1021907	0.579578	0.158172	0.121342	0.266865
Chr01	1022017	1030314	0.054088	0.036799	0.018330	0.013980
Chr01	1030341	1035245	-0.018602	-0.012308	-0.005946	-0.009382
Chr01	1035274	1041943	0.047015	0.016738	0.008392	0.012096
Chr01	1041948	1049066	-0.157181	-0.157092	-0.064665	-0.051730
Chr01	1049265	1058673	-0.039400	-0.025189	-0.008483	-0.016270
Chr01	1058885	1071911	0.031278	0.012133	0.005039	0.008785
Chr01	1071927	1085312	-0.612963	-0.226403	-0.138217	-0.184014
Chr01	1085344	1096632	-0.305197	-0.078068	-0.055221	-0.180213
Chr01	1096656	1104075	0.073281	0.029099	0.011856	0.020977
Chr01	1104142	1117522	0.255524	0.110741	0.057716	0.101551
Chr01	1118018	1135308	-0.205514	-0.143603	-0.064448	-0.101266
Chr01	1135312	1143742	-0.090234	-0.043150	-0.029756	-0.077125
Chr01	1143938	1148910	0.007954	0.003559	0.002546	0.022811
Chr01	1148988	1154120	-0.160082	-0.087510	-0.051545	-0.084820
Chr01	1154178	1161795	-0.328095	-0.196078	-0.114772	-0.244144
Chr01	1161854	1167492	0.009838	0.006245	0.004299	0.012670
Chr01	1167533	1171234	0.224313	0.134734	0.094147	0.100924
Chr01	1171374	1177306	0.353810	0.206675	0.138185	0.152897
Chr01	1177765	1184899	0.159409	0.065711	0.041356	0.081856
Chr01	1184941	1196676	-0.029874	-0.013499	-0.008520	-0.002726
Chr01	1196708	1206259	-0.156370	-0.171529	-0.035947	-0.089191
Chr01	1206305	1212543	-0.126095	-0.089949	-0.028878	-0.077771
Chr01	1212619	1221063	-0.023815	-0.020003	-0.005061	-0.012758
Chr01	1231411	1256204	-0.326006	-0.416228	-0.089698	-0.181378
Chr01	1256234	1289416	-0.149479	-0.015204	-0.010697	-0.094737
Chr01	1289554	1296310	0.498515	0.091886	0.066895	0.104408
Chr01	1296363	1306655	-0.076109	-0.026287	-0.014884	-0.025993
Chr01	1306753	1313952	-0.140115	-0.057317	-0.032553	-0.067951
Chr01	1313986	1319606	-0.768729	-0.557801	-0.224721	-0.432372
Chr01	1319664	1327465	-0.411278	-0.090225	-0.064186	-0.057911
Chr01	1327474	1334001	0.048804	0.012478	0.008624	0.017657
Chr01	1334011	1368203	-0.179029	-0.131125	-0.043195	-0.079383
Chr01	1368218	1376010	-0.566418	-3.017257	-0.209998	-0.232181
Chr01	1376038	1381932	-0.116519	-0.125704	-0.045809	-0.030421
Chr01	1382051	1392533	0.289767	0.189209	0.085955	0.180049
Chr01	1392661	1402124	-0.019015	-0.012951	-0.008433	-0.001421
Chr01	1402163	1418393	-0.093948	-0.052908	-0.037068	-0.070564
Chr01	1418677	1449375	0.238630	0.110899	0.054589	0.152155
Chr01	1449384	1455109	0.529380	0.254490	0.147910	0.415342
Chr01	1455253	1460255	0.336638	0.115534	0.067357	0.155202
Chr01	1460264	1467233	0.095135	0.019952	0.011172	0.033306
Chr01	1467271	1472434	0.257477	0.077555	0.049721	0.094935
Chr01	1472437	1480517	0.009802	0.002264	0.001555	0.001782
Chr01	1480524	1489071	-0.119151	-0.062624	-0.035163	-0.069644
Chr01	1489119	1496089	-0.118490	-0.035463	-0.022589	-0.073728
Chr01	1496137	1504195	0.031452	0.012429	0.008284	0.013100
