chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	580521	799916	0.125302	0.084642	0.061643	0.059901
Superscaffold1	800244	1161721	0.150554	0.101912	0.067243	0.083614
Superscaffold1	1161850	1413002	-0.028873	-0.024952	-0.015541	-0.018191
Superscaffold1	1413022	1639930	0.151625	0.139654	0.088190	0.074773
Superscaffold1	1639986	2006805	-0.222832	-0.140590	-0.078360	-0.093556
Superscaffold1	2006939	2286270	-0.094301	-0.055935	-0.034419	-0.041443
Superscaffold1	2286313	2524026	0.014028	0.009550	0.006145	0.006309
Superscaffold1	2524035	2761858	-0.031825	-0.023579	-0.015522	-0.018994
Superscaffold1	2761906	2982025	0.060737	0.043916	0.025331	0.037650
Superscaffold1	2982041	3229542	-0.054469	-0.048687	-0.027777	-0.035333
Superscaffold1	3229546	3599132	0.006091	0.003060	0.002171	0.006360
Superscaffold1	3599133	3932465	-0.041391	-0.027791	-0.017226	-0.023356
Superscaffold1	3932471	4312920	0.082758	0.039130	0.025828	0.049762
Superscaffold1	4313119	4617800	0.069564	0.041390	0.025612	0.039864
Superscaffold1	4617853	4910999	-0.024137	-0.015465	-0.010631	-0.012003
Superscaffold1	4911262	5332664	-0.296057	-0.151741	-0.099191	-0.221838
Superscaffold1	5332825	5618622	-0.270177	-0.212593	-0.124169	-0.181243
Superscaffold1	5618671	5896946	-0.144276	-0.084269	-0.057016	-0.089244
Superscaffold1	5896955	6244885	-0.047380	-0.026986	-0.017637	-0.028992
Superscaffold1	6245126	6480234	0.000057	0.000037	0.000024	-0.000987
Superscaffold1	6480255	6839741	-0.263528	-0.127095	-0.086294	-0.180980
Superscaffold1	6839766	7248018	-0.205851	-0.102747	-0.066248	-0.124394
Superscaffold1	7248422	7691482	-0.036349	-0.018621	-0.012750	-0.026328
Superscaffold1	7691644	8516276	0.095160	0.043076	0.031040	0.060786
Superscaffold1	8516279	9585662	-0.030723	-0.014693	-0.010382	-0.023137
Superscaffold1	9585846	10557037	-0.028517	-0.014989	-0.010631	-0.022573
Superscaffold1	10557208	10871869	-0.071752	-0.039949	-0.026983	-0.045961
Superscaffold1	10872027	11240848	-0.062240	-0.026557	-0.019209	-0.035252
Superscaffold1	11241256	11612098	-0.071694	-0.025028	-0.019914	-0.051632
Superscaffold1	11612473	11940741	-0.126600	-0.081124	-0.051067	-0.072128
Superscaffold1	11940742	12349847	-0.070263	-0.031096	-0.022114	-0.043877
Superscaffold1	12349894	12667409	0.023372	0.014130	0.009411	0.010056
Superscaffold1	12668332	13258648	-0.108768	-0.028996	-0.022465	-0.070257
Superscaffold1	13259250	13895903	-0.195294	-0.066109	-0.047165	-0.128994
Superscaffold1	13898234	14570770	-0.162680	-0.054502	-0.038387	-0.118138
Superscaffold1	14570866	14896356	0.051650	0.023805	0.015973	0.032146
Superscaffold1	14896485	15183296	0.366196	0.217275	0.141352	0.302519
Superscaffold1	15183303	15508463	0.311851	0.170060	0.106635	0.238328
Superscaffold1	15508542	15848459	-0.124691	-0.050206	-0.032612	-0.084003
Superscaffold1	15848669	16207153	-0.223226	-0.120396	-0.069097	-0.153346
Superscaffold1	16207202	16556212	-0.249736	-0.127675	-0.078341	-0.164210
Superscaffold1	16556214	16846404	-0.014927	-0.010804	-0.007201	-0.009945
Superscaffold1	16846507	17309801	0.103076	0.052250	0.036676	0.063788
Superscaffold1	17309970	18015353	-0.096222	-0.038082	-0.026321	-0.060477
Superscaffold1	18015920	18394424	-0.078831	-0.055101	-0.034803	-0.046849
Superscaffold1	18394493	18924101	-0.173873	-0.091152	-0.057681	-0.104805
Superscaffold1	18924237	19176668	0.109083	0.059697	0.045140	0.063786
Superscaffold1	19176670	19695987	-0.147113	-0.052364	-0.040649	-0.094163
Superscaffold1	19696016	19997343	-0.177995	-0.072703	-0.055042	-0.103839
Superscaffold1	19997367	20320234	-0.128195	-0.077028	-0.047478	-0.081340
Superscaffold1	20320299	21069298	0.046895	0.021535	0.012755	0.031393
Superscaffold1	21069339	21383615	-0.078925	-0.035423	-0.023034	-0.057936
Superscaffold1	21383616	21817386	-0.084771	-0.032284	-0.021799	-0.043874
Superscaffold1	21817523	22250805	0.138306	0.067839	0.046525	0.095716
Superscaffold1	22250850	23009476	0.003980	0.000798	0.000632	0.002508
Superscaffold1	23009512	23637185	0.236942	0.064956	0.044359	0.163988
Superscaffold1	23639180	24057825	-0.107803	-0.058501	-0.037737	-0.069268
Superscaffold1	24057897	24336285	-0.355681	-0.335122	-0.177511	-0.251622
Superscaffold1	24336422	24822559	0.005232	0.001709	0.001249	0.002995
Superscaffold1	24822638	25218570	-0.025311	-0.013696	-0.008577	-0.016532
Superscaffold1	25218582	25636612	-0.222307	-0.093304	-0.061222	-0.137388
Superscaffold1	25636634	25890852	-0.084108	-0.050290	-0.036423	-0.044389
Superscaffold1	25890858	26242686	-0.135982	-0.056406	-0.037121	-0.093067
Superscaffold1	26242741	26572759	-0.146494	-0.060492	-0.041898	-0.093354
Superscaffold1	26572805	26976231	-0.566583	-0.326802	-0.177244	-0.480151
Superscaffold1	26976246	27269969	-0.093709	-0.045958	-0.023325	-0.072998
Superscaffold1	27269993	27617189	-0.092553	-0.043955	-0.026270	-0.062848
Superscaffold1	27617210	27933810	0.049362	0.024917	0.016462	0.021437
Superscaffold1	27933961	28210388	-0.361638	-0.255422	-0.144237	-0.228155
Superscaffold1	28210661	28548116	-0.131088	-0.092209	-0.059662	-0.101462
Superscaffold1	28548281	28815408	-0.255925	-0.205196	-0.137345	-0.186742
