chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	555035	707998	0.087260	0.077055	0.047974	0.054524
Superscaffold1	708015	888367	0.065932	0.035755	0.020557	0.041128
Superscaffold1	888483	1228242	-0.036193	-0.017036	-0.010867	-0.020448
Superscaffold1	1228314	1453090	-0.026156	-0.008439	-0.005880	-0.013359
Superscaffold1	1453129	1794014	-0.043849	-0.016260	-0.010616	-0.025102
Superscaffold1	1794023	2122907	-0.272767	-0.098112	-0.054929	-0.206756
Superscaffold1	2123074	2380064	-0.005117	-0.002373	-0.001577	-0.003396
Superscaffold1	2380149	2559468	-0.178782	-0.126846	-0.076633	-0.111596
Superscaffold1	2559486	2759743	0.135877	0.109388	0.064752	0.078702
Superscaffold1	2759749	2891003	-0.005174	-0.005118	-0.002568	-0.002596
Superscaffold1	2891045	3104121	-0.161146	-0.135309	-0.068211	-0.106875
Superscaffold1	3104169	3446187	0.121318	0.048156	0.030511	0.067659
Superscaffold1	3446198	3779536	-0.096661	-0.036932	-0.021794	-0.053567
Superscaffold1	3779539	4147967	-0.151218	-0.060349	-0.035003	-0.089828
Superscaffold1	4148106	4461779	0.105415	0.039934	0.025453	0.072292
Superscaffold1	4461830	4804230	-0.284009	-0.163070	-0.101264	-0.188623
Superscaffold1	4804419	5195886	-0.008160	-0.002712	-0.001845	-0.000988
Superscaffold1	5195890	5602005	-0.127915	-0.031445	-0.022105	-0.086733
Superscaffold1	5602202	5918578	0.202812	0.075016	0.052266	0.119418
Superscaffold1	5918607	6341325	0.155958	0.048382	0.032852	0.097012
Superscaffold1	6341326	6721419	-0.057059	-0.018830	-0.013587	-0.033855
Superscaffold1	6721603	7190133	-0.318156	-0.112631	-0.071447	-0.208818
Superscaffold1	7190290	7521792	-0.265068	-0.106628	-0.066615	-0.192415
Superscaffold1	7521885	7891336	-0.116545	-0.048239	-0.030394	-0.063462
Superscaffold1	7891440	8527353	-0.222504	-0.099289	-0.056788	-0.133420
Superscaffold1	8527422	9307661	0.049355	0.022052	0.014020	0.023564
Superscaffold1	9307982	10346246	0.157726	0.054011	0.037147	0.100746
Superscaffold1	10346843	10768073	0.091477	0.039818	0.027296	0.063742
Superscaffold1	10768159	11040116	-0.031793	-0.013647	-0.008259	-0.018241
Superscaffold1	11040237	11400607	-0.102451	-0.037577	-0.025389	-0.078305
Superscaffold1	11400654	11736557	-0.463417	-0.190892	-0.113727	-0.335289
Superscaffold1	11736579	12113213	0.081720	0.031355	0.020905	0.054317
Superscaffold1	12113222	12406539	-0.048550	-0.023009	-0.013299	-0.027300
Superscaffold1	12406621	12655051	0.001563	0.000739	0.000462	-0.002819
Superscaffold1	12655053	12986407	-0.094019	-0.039226	-0.022324	-0.068492
Superscaffold1	12986421	13675378	0.001239	0.000239	0.000163	0.000480
Superscaffold1	13675492	14341546	0.155931	0.032878	0.021795	0.108804
Superscaffold1	14341548	14749579	0.123085	0.033190	0.021513	0.086191
Superscaffold1	14749584	15057311	-0.006032	-0.002590	-0.001637	-0.005802
Superscaffold1	15057668	15433117	-0.152620	-0.033143	-0.023803	-0.114325
Superscaffold1	15433132	15804613	-0.252859	-0.064965	-0.042586	-0.179442
Superscaffold1	15804649	16170111	0.210000	0.061631	0.039889	0.130731
Superscaffold1	16170142	16543056	-0.180765	-0.056803	-0.036281	-0.122605
Superscaffold1	16543143	16826482	0.009419	0.003735	0.002335	0.003461
Superscaffold1	16826509	17199164	0.155982	0.065835	0.036645	0.086004
Superscaffold1	17199232	17620849	-0.171149	-0.057534	-0.035746	-0.134454
Superscaffold1	17620853	18284622	-0.161872	-0.096929	-0.048946	-0.083813
Superscaffold1	18284635	18628611	0.051613	0.013792	0.009249	0.030056
Superscaffold1	18629136	19086984	-0.090633	-0.028564	-0.019537	-0.051370
Superscaffold1	19087087	19250589	-0.291677	-0.154118	-0.094783	-0.176699
Superscaffold1	19250655	19656675	-0.432583	-0.216451	-0.147489	-0.310096
Superscaffold1	19656734	19978971	-0.167232	-0.056666	-0.036578	-0.109505
Superscaffold1	19979044	20339406	0.050151	0.016037	0.010459	0.028489
Superscaffold1	20339422	21069652	-0.027704	-0.007828	-0.004625	-0.017131
Superscaffold1	21069677	21385239	-0.166755	-0.062970	-0.038872	-0.122278
Superscaffold1	21385242	21749148	-0.041722	-0.016479	-0.009215	-0.023590
Superscaffold1	21749176	22148498	-0.083292	-0.025507	-0.016786	-0.050621
Superscaffold1	22149269	22722328	0.152762	0.029930	0.020414	0.102171
Superscaffold1	22722498	23248361	-0.070187	-0.014320	-0.009209	-0.061761
Superscaffold1	23248442	23693483	-0.147217	-0.037876	-0.023589	-0.111067
Superscaffold1	23693484	24048643	-0.256183	-0.087456	-0.055581	-0.177225
Superscaffold1	24048710	24412805	-0.107037	-0.036513	-0.023300	-0.054290
Superscaffold1	24412871	24693401	0.018259	0.007277	0.004514	0.014307
Superscaffold1	24693403	25053214	0.027439	0.011060	0.006476	0.021265
Superscaffold1	25053434	25494400	-0.019354	-0.004940	-0.003163	-0.012964
Superscaffold1	25494401	25862758	-0.131498	-0.039944	-0.028206	-0.098782
Superscaffold1	25862788	26230760	-0.207718	-0.060947	-0.040181	-0.122312
Superscaffold1	26230781	26544987	-0.206698	-0.069470	-0.044057	-0.137758
Superscaffold1	26546941	27126494	0.278863	0.049364	0.032479	0.201889
Superscaffold1	27126495	27561152	0.086681	0.030505	0.018180	0.059630
Superscaffold1	27561157	27859787	-0.252900	-0.101251	-0.060801	-0.141839
Superscaffold1	27859827	28088819	-0.200557	-0.093812	-0.056228	-0.103040
Superscaffold1	28088844	28404236	0.112632	0.040770	0.026696	0.078106
Superscaffold1	28404246	28772533	-0.002111	-0.000964	-0.000689	-0.000450
Superscaffold1	28772545	29175597	-0.208615	-0.062340	-0.042181	-0.155884
