chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	600254	895518	-0.208603	-0.137412	-0.072480	-0.113236
Superscaffold1	895542	1343184	-0.027736	-0.012321	-0.007901	-0.015888
Superscaffold1	1343194	1604461	0.106277	0.056847	0.035417	0.066015
Superscaffold1	1604489	2039587	0.142234	0.057358	0.031423	0.099561
Superscaffold1	2039693	2365404	0.014028	0.006419	0.003493	0.010350
Superscaffold1	2365682	2613709	0.104160	0.057462	0.037521	0.064301
Superscaffold1	2613743	2843781	-0.083054	-0.058006	-0.031663	-0.050427
Superscaffold1	2843822	3229542	0.012489	0.006217	0.003658	0.004569
Superscaffold1	3229546	3623070	0.106034	0.040179	0.024533	0.064869
Superscaffold1	3623345	4050451	0.037583	0.018273	0.009730	0.022781
Superscaffold1	4050538	4457601	0.201228	0.101511	0.063273	0.152289
Superscaffold1	4457614	4828073	0.138061	0.086890	0.048618	0.087350
Superscaffold1	4828124	5387529	0.298195	0.100427	0.066123	0.215644
Superscaffold1	5387562	5739284	0.012720	0.005297	0.003457	0.009841
Superscaffold1	5739319	6101420	0.053375	0.029961	0.017960	0.033168
Superscaffold1	6101573	6478567	0.053850	0.023230	0.014655	0.041111
Superscaffold1	6478599	6893429	0.177214	0.078882	0.049948	0.127410
Superscaffold1	6893681	7301420	0.048342	0.021557	0.012102	0.037913
Superscaffold1	7301493	7664415	0.077226	0.049995	0.027827	0.045519
Superscaffold1	7664421	8066436	0.296356	0.148255	0.083197	0.127761
Superscaffold1	8067022	8643605	0.092766	0.050711	0.027027	0.053095
Superscaffold1	8643671	9956690	0.098214	0.037594	0.025437	0.066499
Superscaffold1	9957429	10707722	0.096304	0.039703	0.026067	0.059918
Superscaffold1	10707754	11087314	0.044076	0.020297	0.011966	0.032293
Superscaffold1	11088869	11451806	-0.010896	-0.004832	-0.003024	-0.006516
Superscaffold1	11451808	11858101	0.129400	0.048681	0.029316	0.090915
Superscaffold1	11858121	12303721	0.142871	0.051664	0.033313	0.098008
Superscaffold1	12303891	12668527	0.250094	0.121855	0.075774	0.180339
Superscaffold1	12668528	12994226	-0.140088	-0.084133	-0.040967	-0.094565
Superscaffold1	12994677	13397116	0.505595	0.236037	0.119387	0.339982
Superscaffold1	13397153	13924575	0.334495	0.158364	0.074680	0.178643
Superscaffold1	13924798	14560683	0.062359	0.021042	0.012879	0.043507
Superscaffold1	14560784	14879680	0.185673	0.084339	0.049124	0.114911
Superscaffold1	14879703	15158959	0.226314	0.103745	0.063313	0.128803
Superscaffold1	15159713	15419334	0.531059	0.327233	0.196884	0.385358
Superscaffold1	15419462	15721528	0.191645	0.096739	0.056894	0.131833
Superscaffold1	15722115	16049389	0.067624	0.033048	0.018074	0.053071
Superscaffold1	16049549	16316262	0.173689	0.077259	0.044416	0.118127
Superscaffold1	16316263	16729810	0.109468	0.049930	0.030072	0.076673
Superscaffold1	16729918	17056103	-0.189172	-0.121276	-0.061337	-0.088587
Superscaffold1	17056122	17523385	0.144032	0.055233	0.033112	0.112817
Superscaffold1	17523572	18316760	0.261905	0.102366	0.056879	0.172735
Superscaffold1	18316825	18769623	-0.090864	-0.034054	-0.021109	-0.063589
Superscaffold1	18769646	19136667	-0.102470	-0.043298	-0.029068	-0.075803
Superscaffold1	19136758	19592030	0.331160	0.180747	0.118555	0.244955
Superscaffold1	19592066	19980059	0.382171	0.125132	0.086944	0.287660
Superscaffold1	19980725	20372395	0.070939	0.025332	0.016894	0.051757
Superscaffold1	20372492	21128591	0.194714	0.065363	0.038290	0.142966
Superscaffold1	21128721	21492938	0.399637	0.186875	0.106640	0.320511
Superscaffold1	21493042	21885957	0.050948	0.022461	0.013255	0.042563
Superscaffold1	21886005	22345754	0.117676	0.037323	0.024596	0.094499
Superscaffold1	22345900	22808821	-0.616484	-0.313827	-0.185543	-0.514066
Superscaffold1	22808834	23352192	0.200662	0.064793	0.037342	0.153559
Superscaffold1	23352207	23823117	0.106338	0.033402	0.019628	0.086117
Superscaffold1	23823352	24304517	0.170537	0.044741	0.029158	0.114031
Superscaffold1	24304553	24692222	0.345608	0.133730	0.080607	0.279838
Superscaffold1	24692266	25105902	0.067087	0.023943	0.014331	0.053476
Superscaffold1	25105934	25547323	-0.178733	-0.062622	-0.037762	-0.124508
Superscaffold1	25548161	25922364	0.026043	0.009871	0.006705	0.014275
Superscaffold1	25922374	26284152	0.299331	0.136914	0.071013	0.218391
Superscaffold1	26284156	26648470	0.257699	0.141432	0.073696	0.159402
Superscaffold1	26648510	27127328	0.105198	0.028458	0.016479	0.079683
Superscaffold1	27127332	27415399	0.072445	0.043893	0.021511	0.047338
Superscaffold1	27428556	27801538	0.067883	0.023123	0.014178	0.037054
Superscaffold1	27801712	28009953	-0.318402	-0.307096	-0.134205	-0.184688
Superscaffold1	28010002	28397548	0.136239	0.047156	0.030049	0.091776
Superscaffold1	28397611	29003465	0.221378	0.079776	0.052005	0.151383
Superscaffold1	29003512	29392646	-0.119026	-0.036112	-0.023537	-0.092238
Superscaffold1	29392738	29803502	0.214340	0.066910	0.038352	0.146186
Superscaffold1	29803546	30257522	-0.136501	-0.052579	-0.030683	-0.087393
Superscaffold1	30257561	30791906	0.185811	0.093017	0.049342	0.107549
Superscaffold1	30791980	31144042	-0.112532	-0.047859	-0.030441	-0.079057
Superscaffold1	31144417	31690240	0.137469	0.037341	0.023153	0.108104
Superscaffold1	31690355	32526723	0.176185	0.069178	0.037617	0.131994
Superscaffold1	32526764	32976765	0.277049	0.093487	0.056602	0.207283
Superscaffold1	32976989	33494572	-0.075051	-0.022836	-0.014727	-0.048676
Superscaffold1	33495314	33794682	-0.111478	-0.061899	-0.037779	-0.070373
Superscaffold1	33794772	34057757	0.099852	0.041168	0.028175	0.064889
Superscaffold1	34057786	34314725	0.524994	0.255840	0.152883	0.397578
Superscaffold1	34314735	34621084	-0.103105	-0.082422	-0.039987	-0.065256
Superscaffold1	34621107	35103030	-0.089079	-0.023279	-0.015404	-0.065400
Superscaffold1	35103072	35818970	0.336497	0.156489	0.104516	0.225615
Superscaffold1	35819386	36725539	0.034224	0.012115	0.007752	0.024013
Superscaffold1	36725553	37230282	0.047458	0.017460	0.011547	0.039166
Superscaffold1	37230284	37610251	0.299399	0.096966	0.062558	0.225963
Superscaffold1	37610353	38202411	0.149986	0.058820	0.039504	0.099759
Superscaffold1	38202680	38545026	-0.223204	-0.088593	-0.054736	-0.159771
Superscaffold1	38545039	38940710	0.328190	0.106928	0.074162	0.266815
Superscaffold1	38940716	39236435	0.400823	0.151433	0.089943	0.335082
Superscaffold1	39236608	39714829	0.444184	0.154985	0.096351	0.357648
Superscaffold1	39714870	40064562	0.439013	0.186931	0.119778	0.396681
Superscaffold1	40064634	40495160	0.118981	0.032005	0.020072	0.085756
Superscaffold1	40495190	40933749	-0.000122	-0.000039	-0.000024	-0.002258
Superscaffold1	40934591	41453342	0.347838	0.107927	0.064156	0.279886
Superscaffold1	41453353	41835655	0.069488	0.027152	0.016158	0.062917
Superscaffold1	41835679	42267086	-0.169379	-0.066461	-0.038656	-0.142251
Superscaffold1	42267295	42751203	0.499000	0.213470	0.126987	0.410024
Superscaffold1	42751317	43166019	0.047460	0.016232	0.009001	0.035503
Superscaffold1	43166073	43716989	0.222113	0.052833	0.029731	0.191455
Superscaffold1	43717810	43995560	0.457898	0.169766	0.095996	0.329931
Superscaffold1	43995706	44675694	0.377926	0.120660	0.055509	0.310606
Superscaffold1	44675770	45048708	-0.263266	-0.118627	-0.066322	-0.174607
Superscaffold1	45048710	45488089	0.030648	0.013645	0.007651	0.027068
Superscaffold1	45488332	45917284	-0.588645	-0.228994	-0.121406	-0.506523
Superscaffold1	45917299	46840266	-0.531495	-0.116876	-0.062250	-0.482053
Superscaffold1	46840607	47495187	0.601553	0.192763	0.107614	0.537462
Superscaffold1	47495233	47972592	0.849098	0.398025	0.212258	0.808963
Superscaffold1	47972645	48441102	0.319719	0.117445	0.064577	0.277044
Superscaffold1	48441277	48771199	0.550010	0.178350	0.101714	0.502584
Superscaffold1	48771727	49250555	0.369334	0.102720	0.061614	0.321489
Superscaffold1	49250624	49736584	0.066748	0.011436	0.006859	0.047480
Superscaffold1	49736683	50191514	0.751611	0.362306	0.168350	0.702763
Superscaffold1	50191530	50746101	-0.093984	-0.022424	-0.015968	-0.078851
Superscaffold1	50747004	51125432	0.214526	0.138484	0.082359	0.120110
Superscaffold2	233992	698933	-0.029304	-0.009583	-0.006380	-0.023196
Superscaffold2	698936	1133984	0.176316	0.060253	0.040507	0.131805
Superscaffold2	1134818	1543231	-0.002520	-0.001184	-0.000769	-0.001003
Superscaffold2	1543249	2030664	0.212487	0.073809	0.041466	0.155025
Superscaffold2	2030665	2562555	0.415825	0.134511	0.086948	0.332735
Superscaffold2	2562583	3459794	0.072904	0.030380	0.019866	0.048202
Superscaffold2	3459847	3827658	0.015136	0.006637	0.003792	0.010008
Superscaffold2	3827759	4387513	-0.001202	-0.000412	-0.000241	0.006701
Superscaffold2	4388012	4835335	-0.095552	-0.034445	-0.019928	-0.077856
Superscaffold2	4835364	5331099	-0.038649	-0.016500	-0.010100	-0.022301
Superscaffold2	5331102	5788958	0.180283	0.069931	0.041431	0.133694
Superscaffold2	5789016	6309898	0.175076	0.077252	0.042179	0.128466
Superscaffold2	6309966	6890473	0.171322	0.059909	0.033199	0.138506
Superscaffold2	6890513	7373826	0.741608	0.385699	0.232062	0.641343
Superscaffold2	7373925	7775771	0.249118	0.088961	0.053804	0.177352
Superscaffold2	7775935	8316448	0.023351	0.007642	0.004626	0.016728
Superscaffold2	8316595	9086261	0.103066	0.024972	0.016727	0.073460
