chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	254293	632625	-0.165561	-0.071306	-0.047942	-0.107868
Chr01	442146	969302	-0.050259	-0.019691	-0.012989	-0.033660
Chr01	632724	1196659	0.020946	0.005752	0.004056	0.015984
Chr01	969485	1459255	0.135891	0.033555	0.023511	0.095850
Chr01	1196708	1591568	0.214493	0.071282	0.047567	0.153961
Chr01	1459279	1804819	0.003507	0.001375	0.000806	0.003936
Chr01	1591609	2029592	-0.151096	-0.059379	-0.029981	-0.111654
Chr01	1804994	2222108	-0.110557	-0.041798	-0.022646	-0.080057
Chr01	2029669	2396565	-0.032626	-0.013061	-0.008383	-0.022686
Chr01	2222228	2595411	-0.043871	-0.019134	-0.013197	-0.025675
Chr01	2396593	2702093	0.050692	0.022907	0.016719	0.040514
Chr01	2595457	2794770	0.084608	0.043705	0.028440	0.057986
Chr01	2702094	2962267	0.085394	0.041485	0.025970	0.057377
Chr01	2794779	3166217	0.083434	0.032966	0.022431	0.056334
Chr01	2962278	3399679	0.056545	0.017137	0.011559	0.036147
Chr01	3166228	3634488	0.003134	0.000922	0.000602	-0.002408
Chr01	3399703	3835699	-0.067993	-0.024316	-0.015250	-0.050611
Chr01	3634936	4066831	0.037466	0.014532	0.008859	0.024696
Chr01	3835700	4275160	0.053834	0.022970	0.013305	0.042091
Chr01	4066865	4438652	0.054921	0.027702	0.015928	0.041349
Chr01	4275197	4588999	0.090954	0.040863	0.026640	0.054175
Chr01	4438679	4826535	0.125755	0.046388	0.029440	0.084745
Chr01	4589057	5079245	-0.154472	-0.051106	-0.033123	-0.116265
Chr01	4826643	5412355	-0.327902	-0.109062	-0.070554	-0.244575
Chr01	5079301	5618599	-0.239892	-0.101036	-0.061961	-0.176401
Chr01	5412399	5831661	-0.180888	-0.082888	-0.052434	-0.126463
Chr01	5618819	5975764	-0.050422	-0.024476	-0.014941	-0.028187
Chr01	5831684	6172423	0.124583	0.050091	0.032302	0.094211
Chr01	5976100	6374372	0.100564	0.039232	0.025801	0.085294
Chr01	6172645	6740671	0.237511	0.084097	0.060901	0.191461
Chr01	6374389	7124705	0.377481	0.081893	0.068547	0.295847
Chr01	6740923	7378918	0.137596	0.029202	0.023906	0.102566
Chr01	7126094	7640277	0.047058	0.014565	0.009768	0.036266
Chr01	7378978	7855454	0.088530	0.027593	0.017563	0.069158
Chr01	7640354	7970185	-0.086286	-0.034889	-0.020787	-0.065309
Chr01	7855552	8108410	-0.162319	-0.080760	-0.047322	-0.121755
Chr01	7970208	8360094	0.356351	0.113261	0.079988	0.266267
Chr01	8108439	8495046	0.492774	0.159324	0.109819	0.365345
Chr01	8360124	8661675	0.182836	0.073879	0.043967	0.126166
Chr01	8495138	9154815	0.043666	0.013126	0.008735	0.046357
Chr01	8661772	9402606	0.009246	0.002771	0.001809	0.027248
Chr01	9155024	9598787	-0.111026	-0.042676	-0.026041	-0.092135
Chr01	9402610	9825811	-0.268107	-0.128284	-0.078946	-0.222767
Chr01	9598952	9972715	-0.147836	-0.064603	-0.042510	-0.114579
Chr01	9825816	10103508	0.095783	0.040343	0.026869	0.073701
Chr01	9972949	10311886	-0.043666	-0.020710	-0.012575	-0.027548
Chr01	10103510	10469583	0.011887	0.005173	0.003087	0.005841
Chr01	10311908	11004659	-0.045515	-0.017864	-0.011171	-0.031899
Chr01	10470165	11218671	-0.217896	-0.081853	-0.051050	-0.174384
Chr01	11004824	11380264	-0.064062	-0.025777	-0.015825	-0.044933
Chr01	11218766	11578473	0.074603	0.026938	0.018735	0.061477
Chr01	11380791	11788550	0.185335	0.063053	0.043232	0.143466
Chr01	11578560	12134170	0.235787	0.082294	0.055383	0.165731
Chr01	11789041	12292756	-0.031237	-0.013361	-0.007591	-0.015590
Chr01	12134433	12447166	-0.101114	-0.057147	-0.027202	-0.060669
Chr01	12292785	12635438	-0.055505	-0.027563	-0.013055	-0.033971
Chr01	12447224	12826471	-0.064067	-0.030954	-0.012884	-0.046111
Chr01	12635519	13140600	-0.290592	-0.133011	-0.053385	-0.198542
Chr01	12826600	13367932	-0.120210	-0.046938	-0.022169	-0.082217
Chr01	13140611	13666344	-0.028412	-0.009271	-0.005377	-0.018057
Chr01	13371368	13856974	-0.335870	-0.130090	-0.073050	-0.270506
Chr01	13666347	14059959	-0.173870	-0.078790	-0.043793	-0.132017
Chr01	13856992	14189338	0.042319	0.019388	0.010900	0.032537
Chr01	14060335	14335683	-0.063083	-0.029121	-0.016383	-0.035486
Chr01	14190061	14489784	-0.001264	-0.000523	-0.000310	-0.001005
Chr01	14335785	14685100	0.098899	0.046166	0.024855	0.086348
Chr01	14489922	14829921	0.157762	0.079924	0.040645	0.147211
Chr01	14685140	14957386	0.044952	0.022019	0.011422	0.036662
Chr01	14830078	15132520	-0.026492	-0.010946	-0.006255	-0.016295
Chr01	14957878	15280973	-0.213586	-0.108371	-0.052184	-0.154373
Chr01	15133017	15444008	-0.449373	-0.249800	-0.108713	-0.356559
Chr01	15281017	15673669	-0.313683	-0.121247	-0.066058	-0.257057
Chr01	15444019	16105799	-0.082310	-0.027706	-0.017440	-0.056750
Chr01	15673690	16318639	-0.088433	-0.038112	-0.022734	-0.057728
Chr01	16105867	16573255	-0.102071	-0.040138	-0.023077	-0.071484
