chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	585907	853026	0.171369	0.085363	0.056074	0.107920
Superscaffold1	853054	1309781	0.163770	0.060584	0.041214	0.096854
Superscaffold1	1309840	1787485	-0.008267	-0.002407	-0.001666	-0.002891
Superscaffold1	1787584	2214510	0.099672	0.028205	0.016502	0.074578
Superscaffold1	2214556	2445721	0.010048	0.004781	0.003118	0.003598
Superscaffold1	2445757	2650962	-0.030131	-0.024497	-0.013542	-0.025743
Superscaffold1	2651427	2828421	-0.117760	-0.103601	-0.053902	-0.071967
Superscaffold1	2828422	3094943	-0.376270	-0.354432	-0.174110	-0.262712
Superscaffold1	3094961	3462270	0.028125	0.011481	0.006961	0.016521
Superscaffold1	3462495	3891764	-0.134124	-0.048412	-0.029336	-0.082681
Superscaffold1	3891826	4399841	-0.026514	-0.010102	-0.006399	-0.013718
Superscaffold1	4400039	4673015	0.240124	0.139154	0.080333	0.164783
Superscaffold1	4673081	5066908	-0.097560	-0.037201	-0.025346	-0.060229
Superscaffold1	5072417	5616702	0.025797	0.006292	0.004455	0.016908
Superscaffold1	5617061	6014508	0.140747	0.048420	0.034118	0.092580
Superscaffold1	6014662	6408949	0.049832	0.015792	0.010425	0.031588
Superscaffold1	6409041	6840431	-0.067924	-0.021534	-0.015181	-0.048799
Superscaffold1	6840870	7318036	0.094678	0.037809	0.020791	0.073387
Superscaffold1	7318168	7947840	-0.096914	-0.021521	-0.015024	-0.059696
Superscaffold1	7948022	8842573	0.085887	0.031278	0.019146	0.055040
Superscaffold1	8842705	10301804	0.097852	0.029855	0.020229	0.069116
Superscaffold1	10301811	10774732	0.123985	0.051249	0.033704	0.072486
Superscaffold1	10774742	11136134	-0.058090	-0.022634	-0.014033	-0.029137
Superscaffold1	11136492	11501140	-0.487443	-0.227054	-0.137493	-0.376546
Superscaffold1	11501317	11982485	-0.047471	-0.013394	-0.009175	-0.039763
Superscaffold1	11982509	12317340	-0.153274	-0.090259	-0.051796	-0.096185
