chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	524521	671293	-0.017732	-0.017065	-0.011581	-0.013258
Superscaffold1	671309	853550	-0.005515	-0.003119	-0.002105	-0.002548
Superscaffold1	853558	1242442	0.119657	0.068785	0.047371	0.065737
Superscaffold1	1242515	1468247	0.031247	0.023228	0.014628	0.016204
Superscaffold1	1468255	1814404	-0.019899	-0.012940	-0.008497	-0.010037
Superscaffold1	1814435	2187606	-0.084153	-0.031332	-0.018825	-0.044689
Superscaffold1	2187632	2393121	-0.051369	-0.035319	-0.022364	-0.024203
Superscaffold1	2393182	2603035	-0.050422	-0.035821	-0.023635	-0.033623
Superscaffold1	2603036	2791098	0.091257	0.091516	0.051456	0.043432
Superscaffold1	2791099	2981099	0.048566	0.046371	0.020661	0.023762
Superscaffold1	2981105	3183293	-0.088062	-0.086267	-0.046495	-0.042198
Superscaffold1	3183392	3481486	0.001846	0.001180	0.000737	0.000264
Superscaffold1	3481496	3767312	-0.048030	-0.030534	-0.019079	-0.024613
Superscaffold1	3767389	4110039	-0.072422	-0.039392	-0.023744	-0.033709
Superscaffold1	4110080	4440253	-0.153014	-0.092134	-0.057214	-0.081963
Superscaffold1	4440275	4671948	0.090255	0.070896	0.041499	0.046692
Superscaffold1	4671985	4939156	-0.013673	-0.009982	-0.006549	-0.005872
Superscaffold1	4939550	5255953	-0.142046	-0.086213	-0.052755	-0.084244
Superscaffold1	5255974	5536161	-0.251937	-0.226563	-0.122364	-0.150227
Superscaffold1	5536282	5726775	-0.238823	-0.265160	-0.142828	-0.150878
Superscaffold1	5726777	5999581	-0.079367	-0.048725	-0.030950	-0.039173
Superscaffold1	5999619	6323607	-0.024088	-0.013530	-0.008011	-0.012749
Superscaffold1	6323614	6556548	-0.346240	-0.223862	-0.140545	-0.189650
Superscaffold1	6556681	6827521	-0.235658	-0.122252	-0.081759	-0.129361
Superscaffold1	6828246	7210575	-0.151136	-0.077070	-0.047207	-0.071150
Superscaffold1	7210618	7535538	-0.045165	-0.023526	-0.015505	-0.026987
Superscaffold1	7535587	7950556	0.101271	0.086002	0.050888	0.054199
Superscaffold1	7950561	8568955	-0.020664	-0.011912	-0.007800	-0.010614
Superscaffold1	8568992	9611348	0.030621	0.016554	0.011207	0.012808
Superscaffold1	9611762	10506864	0.004799	0.003147	0.001970	-0.000327
Superscaffold1	10506949	10786397	-0.000015	-0.000011	-0.000007	0.004144
Superscaffold1	10786469	11057980	-0.052084	-0.039678	-0.021584	-0.026705
Superscaffold1	11058000	11358411	-0.073577	-0.038786	-0.027991	-0.036839
Superscaffold1	11358587	11594439	-0.176073	-0.066881	-0.050760	-0.055268
Superscaffold1	11594527	11879739	-0.213431	-0.167650	-0.094107	-0.108160
Superscaffold1	11879833	12161857	-0.161962	-0.094358	-0.062618	-0.090294
Superscaffold1	12161870	12476054	0.092624	0.069309	0.043448	0.042108
Superscaffold1	12476503	12818157	-0.068982	-0.031531	-0.021592	-0.038129
Superscaffold1	12818159	13300851	-0.118207	-0.038236	-0.027806	-0.063027
Superscaffold1	13300897	13838855	-0.239847	-0.086915	-0.060714	-0.134123
Superscaffold1	13839917	14404922	-0.218427	-0.085231	-0.055044	-0.121323
Superscaffold1	14404932	14801195	0.076150	0.037704	0.023563	0.042207
Superscaffold1	14801760	15066939	0.008006	0.005042	0.003215	0.006064
Superscaffold1	15066953	15322874	0.488755	0.307400	0.188304	0.394888
Superscaffold1	15323227	15541491	0.081373	0.065459	0.034299	0.047874
Superscaffold1	15541656	15804929	-0.170403	-0.085997	-0.049174	-0.098009
Superscaffold1	15804941	16070120	-0.116070	-0.074148	-0.039128	-0.064816
Superscaffold1	16070250	16384210	-0.336250	-0.189052	-0.098269	-0.184807
Superscaffold1	16384231	16709379	-0.095106	-0.066641	-0.039709	-0.048411
Superscaffold1	16709553	17036508	-0.021523	-0.014095	-0.009086	-0.010068
Superscaffold1	17036702	17342107	0.134261	0.099697	0.062010	0.066422
Superscaffold1	17342172	17986368	-0.064341	-0.025879	-0.017366	-0.034038
Superscaffold1	17987605	18373817	-0.029777	-0.022812	-0.012881	-0.013603
Superscaffold1	18373874	18734494	-0.134764	-0.080494	-0.046014	-0.071610
Superscaffold1	18734603	19078605	0.027994	0.019238	0.013692	0.013257
Superscaffold1	19078647	19269438	0.046051	0.029265	0.019808	0.021931
Superscaffold1	19269455	19734892	-0.105933	-0.044078	-0.033453	-0.055648
Superscaffold1	19735063	19988914	-0.235511	-0.102773	-0.075333	-0.128816
Superscaffold1	19989106	20300924	-0.158286	-0.101792	-0.060079	-0.098186
Superscaffold1	20300944	20857921	0.030012	0.016592	0.008975	0.016266
Superscaffold1	20858247	21230365	0.082191	0.040997	0.023870	0.048547
Superscaffold1	21230423	21585782	-0.266536	-0.135038	-0.076583	-0.139718
Superscaffold1	21585814	21987800	0.035454	0.018327	0.012831	0.017777
Superscaffold1	21987879	22338530	0.017312	0.006622	0.004430	0.010101
Superscaffold1	22338625	23112067	0.025166	0.004782	0.003697	0.011746
Superscaffold1	23112104	23632966	0.257294	0.076405	0.049902	0.148977
Superscaffold1	23633152	24002844	-0.047967	-0.022247	-0.015090	-0.024444
Superscaffold1	24002883	24289514	-0.440001	-0.565394	-0.246160	-0.316721
Superscaffold1	24289565	24698336	-0.010727	-0.003791	-0.002811	-0.007257
Superscaffold1	24698375	25098969	0.208206	0.101518	0.064457	0.122246
Superscaffold1	25099095	25482251	-0.293062	-0.144551	-0.086572	-0.161576
Superscaffold1	25482277	25781805	-0.243578	-0.111254	-0.079171	-0.147420
Superscaffold1	25781810	26074378	-0.222892	-0.110513	-0.083414	-0.140705
Superscaffold1	26074551	26294511	-0.147705	-0.080286	-0.044134	-0.074535
Superscaffold1	26294535	26630022	-0.283423	-0.129853	-0.082899	-0.160449
Superscaffold1	26630181	26911339	-0.632585	-0.588214	-0.252121	-0.476193
Superscaffold1	26911464	27208415	-0.268963	-0.123469	-0.062038	-0.198980
Superscaffold1	27208417	27370707	-0.398550	-0.641743	-0.173771	-0.202662
Superscaffold1	27370950	27683682	-0.148759	-0.084837	-0.048434	-0.078451
Superscaffold1	27683851	27932472	-0.034158	-0.029460	-0.016265	-0.018276
Superscaffold1	27932481	28139176	0.010213	0.007903	0.004872	0.004828
Superscaffold1	28139212	28383251	-0.044714	-0.041081	-0.019920	-0.021715
Superscaffold1	28383704	28695080	-0.312892	-0.379191	-0.206019	-0.217214
Superscaffold1	28695092	28981720	-0.215400	-0.171540	-0.097121	-0.114856
Superscaffold1	28981779	29301515	-0.264275	-0.140896	-0.075741	-0.165216
Superscaffold1	29301571	29575631	-0.335592	-0.189587	-0.109035	-0.199130
Superscaffold1	29575695	29898815	0.320565	0.142188	0.087308	0.185832
Superscaffold1	29898826	30183597	-0.202870	-0.185449	-0.104817	-0.116258
Superscaffold1	30183613	30502184	-0.246681	-0.280738	-0.125582	-0.143750
Superscaffold1	30502258	30908685	-0.361769	-0.214591	-0.119468	-0.181785
Superscaffold1	30908728	31158098	-0.460585	-0.403646	-0.177361	-0.278281
