chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	130550	152460	-0.726343	-0.282007	-0.158947	-0.569278
Chr01	152562	166628	-0.685147	-0.418451	-0.222304	-0.486653
Chr01	166701	184291	-0.363622	-0.232901	-0.145251	-0.173250
Chr01	184331	189299	-0.229085	-0.254367	-0.148439	-0.128640
Chr01	189308	205305	-0.239400	-0.156792	-0.089452	-0.137762
Chr01	205374	210903	-0.227745	-0.140021	-0.087223	-0.175217
Chr01	210911	218084	-0.035113	-0.017310	-0.012814	-0.043526
Chr01	218087	225688	-0.062602	-0.033115	-0.022899	-0.040838
Chr01	225914	238736	-0.314906	-0.149891	-0.085968	-0.220220
Chr01	238754	250244	-0.489068	-0.266570	-0.167391	-0.402374
Chr01	250459	257627	-0.355470	-0.194029	-0.129431	-0.313654
Chr01	257644	269311	-0.099162	-0.031672	-0.023141	-0.066812
Chr01	269320	278625	-0.185330	-0.095350	-0.058694	-0.141758
Chr01	278687	309728	-0.217222	-0.125803	-0.072382	-0.141535
Chr01	309750	320726	-0.267776	-0.179833	-0.118712	-0.170797
Chr01	321161	352220	-0.376553	-0.113345	-0.077376	-0.254393
Chr01	352230	392839	-0.184662	-0.059319	-0.041841	-0.157178
Chr01	392923	408256	-0.467079	-0.222847	-0.132909	-0.339706
Chr01	408365	428569	0.710726	0.286612	0.221202	0.574322
Chr01	429085	438999	-0.166122	-0.108118	-0.055612	-0.066749
Chr01	439012	452384	-0.129609	-0.049599	-0.033905	-0.052988
Chr01	452418	474118	0.060981	0.027425	0.020558	0.037791
Chr01	474283	484093	-0.013904	-0.008917	-0.005993	-0.005063
Chr01	484136	502102	0.052571	0.020763	0.012902	0.023293
Chr01	502131	516966	-0.122142	-0.074957	-0.033649	-0.038653
Chr01	517296	528876	-0.452180	-0.473556	-0.288404	-0.449516
Chr01	528916	551245	-0.170438	-0.105386	-0.064529	-0.140620
Chr01	551399	567408	-0.138814	-0.038454	-0.029453	-0.090720
Chr01	567472	580872	-0.189310	-0.075410	-0.056820	-0.191630
Chr01	581002	610540	0.072069	0.023887	0.018306	0.029061
Chr01	610555	625371	-0.314641	-0.196469	-0.127166	-0.237078
Chr01	625399	634099	-0.436822	-0.469867	-0.257393	-0.337810
Chr01	634441	649167	-0.189009	-0.160115	-0.096593	-0.168604
Chr01	649177	657995	-0.375802	-0.317441	-0.200314	-0.304646
Chr01	658013	667577	0.470753	0.144414	0.124318	0.383346
Chr01	667685	698626	0.133188	0.083813	0.045403	0.116649
Chr01	698722	739147	-0.434781	-0.290233	-0.154005	-0.308198
Chr01	741873	805808	-0.474444	-0.321437	-0.136034	-0.318954
Chr01	805872	837299	-0.399162	-0.207969	-0.116794	-0.307112
Chr01	837300	853222	-0.521800	-0.287353	-0.104332	-0.288219
Chr01	853284	868843	-0.222619	-0.172094	-0.057394	-0.159018
Chr01	868900	885549	-0.399187	-0.254988	-0.139090	-0.294200
Chr01	886082	925376	-0.363039	-0.131609	-0.077321	-0.258137
Chr01	925402	942763	-0.391287	-0.138257	-0.084180	-0.253721
Chr01	942881	957489	0.615532	0.152010	0.113623	0.222009
Chr01	957504	982339	0.340115	0.131854	0.071701	0.309180
Chr01	982354	1006764	-0.234435	-0.055941	-0.037178	-0.162177
Chr01	1007473	1030816	-0.086209	-0.018816	-0.014023	-0.081250
Chr01	1030880	1048425	0.534982	0.152948	0.098167	0.422615
Chr01	1050070	1070660	-0.553311	-0.206432	-0.116904	-0.440616
Chr01	1070673	1101522	-0.358092	-0.148687	-0.084365	-0.327290
Chr01	1101527	1113907	-0.666746	-0.583887	-0.268522	-0.582324
Chr01	1113929	1135485	-0.205112	-0.143298	-0.079846	-0.150665
Chr01	1135574	1151003	0.067326	0.017650	0.013030	0.078164
Chr01	1151297	1162141	-0.299757	-0.080419	-0.059735	-0.276545
Chr01	1162273	1171984	-0.530684	-0.238575	-0.163174	-0.422274
Chr01	1172140	1184684	-0.138017	-0.049914	-0.032921	-0.099621
Chr01	1184806	1202030	-0.255024	-0.134302	-0.073466	-0.222851
Chr01	1202113	1213698	-0.267159	-0.132716	-0.052732	-0.223826
Chr01	1213744	1277743	0.326169	0.094763	0.050041	0.273734
Chr01	1277816	1294914	-0.652923	-0.340484	-0.135196	-0.292050
Chr01	1294947	1310120	-0.637926	-0.519716	-0.217437	-0.549333
Chr01	1310131	1322092	-0.609480	-0.686268	-0.256926	-0.544332
Chr01	1322146	1336052	-0.437715	-0.305571	-0.173250	-0.364450
Chr01	1336196	1381738	-0.321029	-0.154806	-0.067667	-0.188927
Chr01	1381848	1401622	-0.250095	-0.082349	-0.052803	-0.216426
Chr01	1401672	1417839	-0.203819	-0.083674	-0.051862	-0.119243
Chr01	1418393	1448056	0.014904	0.011068	0.004895	0.014053
Chr01	1448202	1454717	-0.080687	-0.060128	-0.028674	-0.051901
Chr01	1454755	1460902	-0.489658	-0.582116	-0.233891	-0.433359
Chr01	1460921	1468093	-0.193795	-0.154424	-0.075776	-0.161500
Chr01	1468123	1474205	-0.521836	-0.540401	-0.241406	-0.471648
Chr01	1474575	1484660	-0.223179	-0.138266	-0.081506	-0.190891
Chr01	1484699	1499370	0.124694	0.064912	0.039360	0.107434
Chr01	1499513	1510040	-0.437447	-0.276881	-0.157953	-0.399569
Chr01	1510041	1520911	-0.407612	-0.188038	-0.117895	-0.373828
Chr01	1520953	1537656	-0.106070	-0.038773	-0.027550	-0.078224
Chr01	1537756	1545987	0.002495	0.001466	0.000785	-0.007604
Chr01	1546080	1562109	-0.058529	-0.017724	-0.011480	-0.033869
Chr01	1562310	1582810	-0.048701	-0.015446	-0.007632	-0.016650
Chr01	1582933	1598392	0.635548	0.330307	0.138942	0.559545
Chr01	1598499	1632962	-0.013922	-0.005534	-0.002907	-0.014045
Chr01	1633008	1646624	-0.533533	-0.329303	-0.153708	-0.459948
Chr01	1646629	1660433	-0.143014	-0.070903	-0.038808	-0.123891
Chr01	1660459	1672782	0.558766	0.234373	0.160666	0.461132
Chr01	1672808	1685428	0.243058	0.074172	0.049381	0.132845
Chr01	1685471	1689188	-0.265343	-0.339152	-0.156609	-0.157602
Chr01	1689201	1692807	-0.415554	-0.630868	-0.245082	-0.244088
Chr01	1692808	1705911	0.106759	0.081799	0.017914	0.044338
Chr01	1706289	1740727	-0.493129	-0.145548	-0.074664	-0.416988
Chr01	1740762	1776843	-0.782555	-0.431598	-0.170188	-0.672084
Chr01	1777034	1802451	-0.511605	-0.230257	-0.091266	-0.419164
Chr01	1802539	1817588	0.202365	0.066061	0.030229	0.204069
Chr01	1817979	1843991	0.033530	0.014002	0.006505	0.047578
Chr01	1844030	1862532	0.377371	0.155148	0.078750	0.382471
Chr01	1862754	1878160	-0.806025	-0.663717	-0.188082	-0.657171
Chr01	1878163	1893063	-0.024796	-0.011814	-0.005016	-0.023043
Chr01	1893070	1900463	-0.541818	-0.546958	-0.138784	-0.484910
Chr01	1900557	1972277	-0.571333	-0.170926	-0.077546	-0.463209
Chr01	1972418	1992318	-0.177998	-0.080361	-0.027499	-0.122984
Chr01	1992386	2005526	0.379773	0.098943	0.056453	0.262019
Chr01	2005533	2021655	-0.401602	-0.155112	-0.067985	-0.276115
Chr01	2021707	2041091	-0.405542	-0.177913	-0.102191	-0.300536
Chr01	2041226	2052864	0.053394	0.031223	0.018094	0.039004
Chr01	2052953	2066715	0.205146	0.112421	0.067278	0.097920
Chr01	2066775	2079412	0.412951	0.107569	0.075431	0.225131
Chr01	2079437	2097044	0.262955	0.090216	0.060761	0.213372
Chr01	2097100	2118732	-0.073616	-0.028884	-0.012263	-0.048327
Chr01	2118840	2142862	0.075249	0.028837	0.019370	0.043851
Chr01	2142890	2170154	-0.194894	-0.092679	-0.061743	-0.126091
Chr01	2170259	2186667	0.544555	0.139629	0.108836	0.320734
Chr01	2186685	2205920	0.185322	0.046649	0.032649	0.128797
Chr01	2205931	2214504	0.298894	0.227259	0.137119	0.252318
Chr01	2214549	2225555	0.307595	0.195568	0.121022	0.224237
Chr01	2225596	2233723	-0.043669	-0.024634	-0.013688	-0.017366
