chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	536265	674862	0.015770	0.027835	0.013618	0.008646
Superscaffold1	674892	835350	0.172100	0.164296	0.087161	0.109895
Superscaffold1	835420	1133370	0.015777	0.013510	0.006906	0.007640
Superscaffold1	1134004	1324054	0.116514	0.092618	0.049802	0.060324
Superscaffold1	1324270	1493853	0.173188	0.119142	0.063890	0.069606
Superscaffold1	1493857	1807104	0.199924	0.109164	0.064474	0.084090
Superscaffold1	1807125	1960915	0.009783	0.008153	0.003255	0.003735
Superscaffold1	1960916	2152646	0.215777	0.125997	0.053262	0.136332
Superscaffold1	2152668	2298203	0.204387	0.184515	0.097730	0.121663
Superscaffold1	2298225	2437216	0.071094	0.073269	0.038598	0.039797
Superscaffold1	2437364	2574524	0.044871	0.056447	0.027567	0.025901
Superscaffold1	2574613	2736910	0.023610	0.031525	0.014724	0.016086
Superscaffold1	2736918	2836566	0.100640	0.132564	0.056942	0.069639
Superscaffold1	2836571	3039979	-0.088720	-0.115492	-0.043614	-0.053720
Superscaffold1	3040028	3199564	0.001061	0.001248	0.000565	-0.000526
Superscaffold1	3199601	3418203	0.046954	0.043796	0.020409	0.028593
Superscaffold1	3418642	3619258	0.069319	0.050143	0.025961	0.042046
Superscaffold1	3619310	3792563	0.183342	0.218821	0.079354	0.095303
Superscaffold1	3792575	3982505	0.006306	0.006491	0.002573	0.002256
Superscaffold1	3982556	4214093	0.143905	0.123252	0.057358	0.088368
Superscaffold1	4214206	4455214	0.116257	0.095491	0.046632	0.064637
Superscaffold1	4455237	4674508	0.328993	0.317847	0.159052	0.238416
Superscaffold1	4674555	4886397	-0.094314	-0.096360	-0.048775	-0.053564
Superscaffold1	4886436	5118198	0.163979	0.171594	0.082313	0.104974
Superscaffold1	5118284	5313868	0.226400	0.193487	0.092351	0.126717
Superscaffold1	5313884	5592052	0.069750	0.040188	0.023322	0.040532
Superscaffold1	5592141	5855648	0.019841	0.010150	0.006403	0.015103
Superscaffold1	5855780	6170939	0.158236	0.098095	0.057719	0.099846
Superscaffold1	6170946	6441992	0.001198	0.000646	0.000388	0.004792
Superscaffold1	6442061	6770336	0.001661	0.000837	0.000502	0.003118
Superscaffold1	6770670	7128132	-0.338178	-0.182914	-0.099455	-0.233849
Superscaffold1	7128141	7327936	-0.127541	-0.086114	-0.042998	-0.073895
Superscaffold1	7327955	7611989	0.064665	0.040059	0.022707	0.032024
Superscaffold1	7612171	7970365	-0.091172	-0.042215	-0.021679	-0.031033
Superscaffold1	7970896	8510272	0.069730	0.040381	0.021038	0.044565
Superscaffold1	8510469	9074574	0.067181	0.037185	0.022793	0.035327
Superscaffold1	9075048	9793175	0.070745	0.035475	0.022332	0.045132
Superscaffold1	9793255	10523383	-0.051988	-0.029571	-0.017344	-0.029878
Superscaffold1	10523465	10765128	-0.110044	-0.087544	-0.046193	-0.059345
Superscaffold1	10765147	10961494	0.088702	0.073423	0.034896	0.055779
Superscaffold1	10961514	11187223	-0.197493	-0.107895	-0.062804	-0.137073
Superscaffold1	11187304	11466787	-0.378419	-0.243125	-0.139974	-0.274655
Superscaffold1	11466804	11729413	-0.111489	-0.056102	-0.031587	-0.083670
Superscaffold1	11729426	11953412	0.035091	0.021904	0.012529	0.019383
Superscaffold1	11953418	12148435	0.113681	0.103946	0.058055	0.065320
