chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	618469	919840	-0.312562	-0.186517	-0.111699	-0.180583
Superscaffold1	919965	1389695	-0.018421	-0.007987	-0.005184	-0.013175
Superscaffold1	1389804	1833198	0.162188	0.061059	0.040445	0.110655
Superscaffold1	1833215	2195901	0.110188	0.040178	0.021060	0.075522
Superscaffold1	2195904	2452259	0.040471	0.023631	0.014914	0.025928
Superscaffold1	2452309	2760898	0.024373	0.013375	0.008570	0.016816
Superscaffold1	2760909	2999428	-0.066335	-0.043237	-0.023107	-0.041523
Superscaffold1	3000093	3448338	0.069137	0.023355	0.015537	0.039754
Superscaffold1	3448541	3879238	0.092767	0.035405	0.020720	0.053226
Superscaffold1	3879403	4348352	0.141315	0.065188	0.040579	0.104538
Superscaffold1	4348406	4738434	0.188148	0.110407	0.062732	0.123282
Superscaffold1	4738483	5177126	0.263096	0.113471	0.072397	0.172731
Superscaffold1	5177130	5616061	0.127113	0.046882	0.029610	0.086414
Superscaffold1	5616126	5935621	0.110620	0.058539	0.036891	0.066389
Superscaffold1	5936171	6351092	0.218788	0.088493	0.057728	0.141005
Superscaffold1	6351627	6755319	0.137017	0.065450	0.042506	0.096674
Superscaffold1	6756335	7228684	0.290722	0.117565	0.071205	0.211722
Superscaffold1	7229034	7554284	0.029867	0.014675	0.008574	0.018140
Superscaffold1	7554297	8023901	0.098953	0.046822	0.026251	0.063800
Superscaffold1	8024571	8843134	0.059646	0.024513	0.015001	0.032242
Superscaffold1	8843152	10167320	0.033661	0.012050	0.008024	0.029092
Superscaffold1	10167755	10780287	-0.068304	-0.027678	-0.018127	-0.048261
Superscaffold1	10780314	11135980	0.057519	0.028181	0.015657	0.037592
Superscaffold1	11136007	11531993	0.023034	0.008343	0.005451	0.019869
Superscaffold1	11531998	11929673	-0.049373	-0.019342	-0.011487	-0.032055
Superscaffold1	11930247	12364754	0.119101	0.046886	0.029964	0.077901
Superscaffold1	12364773	12760542	0.148044	0.073813	0.042134	0.095937
Superscaffold1	12760629	13035979	0.097751	0.054770	0.027684	0.069771
Superscaffold1	13035989	13530610	0.563493	0.248470	0.131083	0.368005
Superscaffold1	13530683	13969308	0.256687	0.120666	0.056606	0.117632
Superscaffold1	13969330	14604926	-0.064636	-0.021758	-0.013070	-0.045334
Superscaffold1	14605529	14906250	0.136111	0.061166	0.036539	0.085700
Superscaffold1	14906253	15184849	0.341065	0.148268	0.097515	0.216168
Superscaffold1	15184879	15475420	0.406260	0.218124	0.130479	0.278429
Superscaffold1	15475452	15777777	0.074959	0.035995	0.020214	0.050863
Superscaffold1	15777796	16100950	0.074914	0.032515	0.019079	0.051645
Superscaffold1	16100956	16456755	0.151618	0.052995	0.033097	0.110025
Superscaffold1	16456785	16829887	0.117228	0.058387	0.036631	0.081162
Superscaffold1	16830025	17200796	-0.124072	-0.062955	-0.033897	-0.075110
Superscaffold1	17201336	17845200	0.070215	0.024037	0.014735	0.053727
Superscaffold1	17845228	18455429	-0.028904	-0.012194	-0.006837	-0.021508
Superscaffold1	18455449	18982747	-0.073861	-0.026302	-0.016567	-0.049266
Superscaffold1	18982748	19271573	-0.036287	-0.016418	-0.011237	-0.030442
Superscaffold1	19271618	19795493	0.293711	0.104818	0.074646	0.217802
Superscaffold1	19795533	20222006	0.154702	0.049597	0.033823	0.116288
Superscaffold1	20222112	21011887	0.264165	0.083277	0.050999	0.190376
Superscaffold1	21011928	21318377	0.333865	0.139433	0.090078	0.262200
Superscaffold1	21318379	21764046	0.021183	0.008004	0.004566	0.018771
Superscaffold1	21764054	22205956	0.254512	0.092407	0.060691	0.194554
Superscaffold1	22205957	22740096	-0.513936	-0.213741	-0.131647	-0.426669
Superscaffold1	22740218	23147255	-0.253211	-0.109590	-0.061239	-0.210296
Superscaffold1	23147420	23697150	0.142538	0.038026	0.022902	0.119167
Superscaffold1	23697477	24191730	-0.052134	-0.014842	-0.009550	-0.032838
Superscaffold1	24191734	24667426	0.281814	0.084086	0.056649	0.218282
Superscaffold1	24667507	25081337	0.127325	0.047796	0.028426	0.098678
Superscaffold1	25081847	25532710	-0.234872	-0.080766	-0.049012	-0.170963
Superscaffold1	25532876	25912338	0.040292	0.015396	0.010534	0.026151
Superscaffold1	25912805	26371102	-0.170986	-0.049691	-0.032577	-0.115520
Superscaffold1	26371202	26844581	-0.165260	-0.067002	-0.039441	-0.106428
Superscaffold1	26844706	27271656	0.117411	0.028433	0.017574	0.093831
Superscaffold1	27272007	27588245	0.212454	0.094317	0.056121	0.134154
Superscaffold1	27588254	27928268	-0.242744	-0.095226	-0.057550	-0.161843
Superscaffold1	27928375	28217413	0.147971	0.064319	0.037895	0.096635
Superscaffold1	28217462	28723048	0.131872	0.044920	0.032253	0.094226
Superscaffold1	28723300	29295412	-0.006530	-0.001664	-0.001075	-0.000450
Superscaffold1	29295421	29670333	-0.000116	-0.000039	-0.000025	-0.002719
Superscaffold1	29670407	30177296	-0.086393	-0.026513	-0.014734	-0.056219
Superscaffold1	30177452	30759097	0.016196	0.007986	0.004442	0.009656
Superscaffold1	30759119	31186061	-0.079638	-0.021382	-0.014748	-0.060619
Superscaffold1	31186483	31822692	0.121112	0.032045	0.020628	0.090944
Superscaffold1	31823044	32625039	0.328072	0.121192	0.072861	0.254873
Superscaffold1	32625114	33157797	0.115782	0.031280	0.019666	0.084136
Superscaffold1	33158127	33533396	0.092078	0.037320	0.025096	0.059727
Superscaffold1	33533402	33822986	-0.149094	-0.082118	-0.051555	-0.090218
Superscaffold1	33823113	34149073	0.194910	0.064636	0.043176	0.137881
Superscaffold1	34149346	34420206	0.006830	0.002575	0.001609	0.006858
Superscaffold1	34420209	34870964	-0.369268	-0.124596	-0.078152	-0.284533
Superscaffold1	34871005	35382206	0.158727	0.048299	0.033094	0.109455
Superscaffold1	35382211	36370600	0.157967	0.053408	0.035092	0.102454
Superscaffold1	36370727	37048368	0.025780	0.009673	0.006196	0.020223
Superscaffold1	37048426	37500821	0.110849	0.034159	0.023360	0.086151
Superscaffold1	37500847	38068958	0.187394	0.063169	0.040579	0.131495
Superscaffold1	38070599	38489468	-0.288337	-0.111169	-0.071103	-0.233637
Superscaffold1	38489547	38898811	0.053806	0.014264	0.010316	0.039758
Superscaffold1	38898845	39225418	0.018838	0.005454	0.003578	0.023757
Superscaffold1	39225555	39707818	0.591051	0.226360	0.139557	0.472158
Superscaffold1	39709096	40057450	0.576169	0.255488	0.167071	0.520464
Superscaffold1	40057538	40562036	0.117356	0.025868	0.017734	0.086600
Superscaffold1	40562095	41177015	0.006541	0.001480	0.000983	0.007593
Superscaffold1	41177042	41651860	0.006190	0.002055	0.001295	0.008362
Superscaffold1	41652032	42065384	-0.029531	-0.008846	-0.005421	-0.027772
Superscaffold1	42065400	42631144	-0.150028	-0.043424	-0.027031	-0.101202
Superscaffold1	42631148	42966007	-0.018812	-0.008917	-0.005490	-0.013765
Superscaffold1	42966204	43615296	0.251962	0.049351	0.029665	0.217077
Superscaffold1	43615313	43996654	0.106319	0.034111	0.020560	0.079576
Superscaffold1	43996679	44688626	0.306429	0.091909	0.045393	0.259960
Superscaffold1	44688654	44997327	-0.347897	-0.180637	-0.093398	-0.249419
Superscaffold1	44997466	45489262	0.236303	0.079192	0.050578	0.175859
Superscaffold1	45489392	46357949	-0.098133	-0.012145	-0.008906	-0.065953
Superscaffold1	46357977	47884101	-0.096916	-0.007646	-0.005965	-0.067590
Superscaffold1	47885178	48370323	0.526301	0.167203	0.103581	0.445260
Superscaffold1	48370371	48654396	0.833629	0.470395	0.245186	0.800195
Superscaffold1	48654429	49388502	-0.116612	-0.014475	-0.010836	-0.091469
Superscaffold1	49388556	50052160	0.442805	0.070443	0.045611	0.369764
Superscaffold1	50052186	50473863	0.399115	0.146850	0.091657	0.373847
Superscaffold1	50473987	51011681	0.068425	0.022236	0.016035	0.041102
Superscaffold1	51011782	51706629	0.144822	0.057042	0.036948	0.089697
Superscaffold2	460957	945862	0.053403	0.015395	0.010220	0.040890
Superscaffold2	945906	1383541	0.114734	0.039321	0.028637	0.081631
Superscaffold2	1383722	1924448	0.071574	0.019538	0.012790	0.047569
Superscaffold2	1924531	2429159	0.303778	0.096839	0.060910	0.256493
Superscaffold2	2429363	3455057	-0.107110	-0.033544	-0.021343	-0.068229
Superscaffold2	3455079	3793456	-0.025299	-0.012828	-0.007198	-0.020539
Superscaffold2	3793500	4369324	-0.007176	-0.002309	-0.001383	0.003414
Superscaffold2	4369375	4846879	0.088369	0.026298	0.015918	0.069714
Superscaffold2	4846893	5372448	-0.182840	-0.070576	-0.045612	-0.126462
Superscaffold2	5372752	5849387	0.181991	0.070672	0.038942	0.125192
Superscaffold2	5849692	6356704	0.084348	0.026123	0.016977	0.057534
Superscaffold2	6357213	6945425	0.198035	0.064121	0.038114	0.158755
Superscaffold2	6945451	7590436	0.340713	0.094212	0.060526	0.252183
Superscaffold2	7590808	8068693	0.140185	0.040625	0.025801	0.096064
Superscaffold2	8069607	8789894	0.096131	0.020841	0.014076	0.066023
Superscaffold2	8790109	9486348	0.140111	0.043364	0.027934	0.106668
Superscaffold2	9486838	9971890	0.104819	0.038165	0.022722	0.078968
Superscaffold2	9972214	10442184	0.103194	0.032868	0.020182	0.065043
Superscaffold2	10442198	10891797	-0.071322	-0.027711	-0.017055	-0.042194
Superscaffold2	10892887	11526113	0.053060	0.013877	0.008908	0.041302
Superscaffold2	11526316	12460721	-0.001386	-0.000454	-0.000266	0.001373
Superscaffold2	12460722	13247998	0.099027	0.031746	0.019381	0.078531
Superscaffold2	13248206	13708211	0.202849	0.063755	0.037353	0.164824
Superscaffold2	13708294	14195738	0.190607	0.061615	0.036203	0.144549
Superscaffold2	14195741	14865273	-0.067115	-0.014799	-0.009878	-0.048766
Superscaffold2	14865387	15416047	0.187188	0.062881	0.037677	0.139521
Superscaffold2	15416090	16537161	0.167773	0.062567	0.038373	0.113805
Superscaffold2	16538653	16940473	-0.097350	-0.043315	-0.025352	-0.060500
Superscaffold2	16940945	17616770	0.409732	0.113918	0.076303	0.324446
Superscaffold2	17616771	18141052	0.041038	0.010513	0.006435	0.028365
Superscaffold2	18141055	18507250	0.523271	0.231254	0.132132	0.451559
Superscaffold2	18516291	19085904	0.327988	0.105492	0.060945	0.272766
Superscaffold2	19086574	19716932	0.089364	0.027009	0.014499	0.066302
Superscaffold2	19717117	20139310	-0.054457	-0.017046	-0.010182	-0.041769
Superscaffold2	20141782	20527096	0.037103	0.014128	0.007370	0.028654
Superscaffold2	20527202	20994327	0.320213	0.161913	0.099779	0.210464
Superscaffold2	20994605	21357527	0.250993	0.108077	0.066990	0.212018
Superscaffold2	21357822	21846504	0.732805	0.296110	0.186382	0.681752
Superscaffold2	21846665	22387808	0.129871	0.039147	0.026164	0.110463
Superscaffold2	22387934	22860316	-0.278939	-0.111958	-0.063745	-0.177322
Superscaffold2	22860342	23411420	0.247951	0.059840	0.038544	0.199063
Superscaffold2	23411513	23893192	0.092732	0.030385	0.018539	0.080869
Superscaffold2	23893208	24258904	0.389532	0.174006	0.096080	0.327201
Superscaffold2	24258988	24582105	0.196814	0.077981	0.046837	0.154202
Superscaffold2	24582151	25154490	0.323185	0.095195	0.058438	0.245983
Superscaffold2	25154671	25590966	0.300715	0.106109	0.065519	0.259002
Superscaffold2	25590999	25971621	-0.222767	-0.079668	-0.051790	-0.161060
Superscaffold2	25971689	26609177	0.174463	0.039863	0.026034	0.154816
Superscaffold2	26609207	27024503	0.318054	0.093701	0.065401	0.258908
Superscaffold2	27024666	27484329	0.141048	0.045012	0.028417	0.102708
Superscaffold2	27495093	28398754	-0.179189	-0.059257	-0.041156	-0.135385
Superscaffold2	28399587	28963481	-0.082656	-0.022402	-0.013710	-0.046604
Superscaffold2	28964051	29352295	-0.000311	-0.000083	-0.000052	-0.002071
Superscaffold2	29352464	29730252	-0.038480	-0.013421	-0.008314	-0.025574
Superscaffold2	29730356	30308854	0.430207	0.144946	0.090141	0.363055
Superscaffold2	30308917	30798654	0.353568	0.120512	0.073957	0.284842
Superscaffold2	30798875	31239322	0.371930	0.130765	0.082205	0.289570
Superscaffold2	31240487	31676148	0.193660	0.058152	0.035558	0.155289
Superscaffold2	31676159	32350298	0.146084	0.055424	0.032527	0.099107
Superscaffold2	32350345	32782325	0.198988	0.065372	0.041293	0.143696
Superscaffold2	32782364	33300459	-0.129301	-0.037148	-0.022124	-0.085691
Superscaffold2	33300477	33776838	0.347688	0.129517	0.076748	0.268561
