chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	71071	138154	-0.295018	-0.205636	-0.072985	-0.183433
Chr01	138269	151955	-0.318504	-0.231674	-0.116818	-0.206424
Chr01	151963	162316	-0.234292	-0.249949	-0.137317	-0.154242
Chr01	162318	181106	-0.446513	-0.411133	-0.236490	-0.335873
Chr01	181118	185554	0.006427	0.013404	0.007841	0.004192
Chr01	185600	190907	0.082865	0.130022	0.078345	0.048289
Chr01	190916	203560	-0.080361	-0.122829	-0.070808	-0.041062
Chr01	203575	208309	-0.118795	-0.245316	-0.109807	-0.050742
Chr01	208317	213415	0.003406	0.006760	0.003871	0.000661
Chr01	213449	217322	0.053841	0.092777	0.061164	0.036171
Chr01	217334	219911	-0.058238	-0.142972	-0.084896	-0.040304
Chr01	219953	225404	0.010172	0.019931	0.011159	0.011231
Chr01	225408	232353	0.089798	0.134247	0.094280	0.062132
Chr01	232512	238025	-0.059843	-0.104880	-0.059862	-0.033988
Chr01	238064	245294	-0.244602	-0.262723	-0.160171	-0.169708
Chr01	245553	251150	-0.143450	-0.204371	-0.123826	-0.084347
Chr01	251169	255613	-0.234673	-0.362945	-0.207138	-0.183825
Chr01	255632	258528	-0.043129	-0.062124	-0.034766	-0.045292
Chr01	258544	262219	-0.595385	-1.488565	-0.479352	-0.400915
Chr01	262233	264321	-0.358703	-0.445479	-0.246396	-0.218726
Chr01	264347	269175	-0.388969	-0.525395	-0.269269	-0.301858
Chr01	269197	274718	-0.281207	-0.349040	-0.181764	-0.200158
Chr01	274806	277471	-0.316496	-0.537416	-0.236106	-0.196145
Chr01	277511	288771	-0.371617	-0.733105	-0.284702	-0.249451
Chr01	288783	310186	-0.089220	-0.071211	-0.039232	-0.057581
Chr01	310197	317070	0.163522	0.165481	0.105334	0.087507
Chr01	317098	328329	-0.165591	-0.152799	-0.075006	-0.113628
Chr01	328369	343572	-0.415402	-0.409843	-0.201356	-0.212038
Chr01	343693	352220	-0.218847	-0.613586	-0.219469	-0.115238
Chr01	352230	369617	0.719205	0.447739	0.302133	0.507559
Chr01	369789	388133	0.340247	0.279905	0.195746	0.183914
Chr01	388144	394478	0.078425	0.104048	0.067644	0.045998
