chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	59226	65832	-0.246995	-0.102110	-0.078187	-0.211372
Chr01	65845	71852	0.915716	0.340631	0.309801	0.615584
Chr01	71867	78265	-0.627001	-0.312685	-0.198602	-0.529954
Chr01	78268	82893	-0.779981	-0.628443	-0.355398	-0.665471
Chr01	82903	144560	-0.364942	-0.194224	-0.079639	-0.167945
Chr01	146327	152161	-0.638664	-1.305877	-0.174994	-0.151439
Chr01	152214	163371	-0.324511	-0.362088	-0.122283	-0.118566
Chr01	163614	180734	-0.250442	-0.249699	-0.114531	-0.108873
Chr01	180779	184428	-0.242458	-0.533414	-0.234638	-0.109875
Chr01	184434	186644	0.009195	0.016089	0.007759	0.012417
Chr01	186656	190416	-0.299419	-0.616648	-0.242333	-0.156152
Chr01	190461	196925	0.037799	0.044096	0.029097	0.014908
Chr01	196928	204706	0.224168	0.184129	0.119781	0.109800
Chr01	204772	208094	0.130526	0.100594	0.062375	0.053876
Chr01	208095	209787	0.237515	0.177054	0.112763	0.095679
Chr01	209837	214213	0.266790	0.181341	0.124509	0.154514
Chr01	214228	216610	0.103631	0.084419	0.052543	0.056502
Chr01	216614	218309	0.071565	0.064627	0.036713	0.023709
Chr01	218323	220328	0.117416	0.114755	0.066459	0.055102
Chr01	220330	224202	0.039389	0.037993	0.024602	0.018229
Chr01	224282	228473	-0.077858	-0.104473	-0.057130	-0.033566
Chr01	228506	232890	0.008628	0.008254	0.005393	0.007943
Chr01	233007	236860	-0.176060	-0.182367	-0.101252	-0.074231
Chr01	236870	240393	-0.180427	-0.180167	-0.101597	-0.106120
Chr01	240512	247366	-0.104522	-0.055552	-0.037738	-0.031052
Chr01	247442	250460	-0.140027	-0.096186	-0.058529	-0.039704
Chr01	250485	253340	0.083380	0.060397	0.043149	0.035961
Chr01	253351	255552	-0.282369	-0.420057	-0.196269	-0.111168
Chr01	255579	258280	-0.664992	-0.602497	-0.285490	-0.469735
Chr01	258299	261750	-0.684941	-0.984042	-0.369417	-0.365226
Chr01	261782	263579	-0.648943	-12.458276	-0.455457	-0.289008
Chr01	263587	265462	-0.431469	-0.674908	-0.315909	-0.255018
Chr01	265477	271112	-0.327602	-0.422856	-0.224816	-0.203262
Chr01	271199	275441	-0.019486	-0.015173	-0.005723	-0.004920
Chr01	275443	276915	0.023332	0.027755	0.015508	0.013697
Chr01	276946	286849	-0.041021	-0.041452	-0.020823	-0.008673
Chr01	287002	307655	-0.095418	-0.048751	-0.028451	-0.049531
Chr01	307745	313087	0.304764	0.308449	0.217452	0.230974
Chr01	313095	317634	-0.099090	-0.184620	-0.060172	-0.057721
Chr01	317650	323685	-0.168621	-0.183636	-0.090316	-0.087845
Chr01	323744	336887	-0.228804	-0.123917	-0.071157	-0.096264
Chr01	336901	349251	-0.157738	-0.084889	-0.053042	-0.052064
Chr01	349274	353389	-0.005519	-0.005120	-0.003595	0.003162
Chr01	353670	383929	-0.712053	-0.403968	-0.249132	-0.495229
Chr01	383930	389070	-0.261263	-0.158873	-0.109325	-0.140944
Chr01	389074	394107	-0.194265	-0.108638	-0.078858	-0.066558
Chr01	394150	402368	-0.196183	-0.133696	-0.082635	-0.057118
Chr01	402383	406746	0.018814	0.017883	0.009902	0.006114
Chr01	406751	418072	-0.031484	-0.024997	-0.011022	-0.002915
Chr01	418137	426528	0.425034	0.252775	0.194931	0.279672
Chr01	426702	432531	0.019967	0.020091	0.008861	0.013582
Chr01	432561	437005	0.345623	0.312656	0.133726	0.214424
Chr01	437310	446818	-0.370137	-0.058617	-0.048127	-0.051407
Chr01	446834	452287	-0.180372	-0.093960	-0.062074	-0.105883
Chr01	452313	464395	-0.429275	-0.245650	-0.159120	-0.211382
Chr01	464397	466603	-0.649654	-0.656127	-0.364240	-0.489549
Chr01	466605	477807	-0.667465	-0.732445	-0.357290	-0.478111
Chr01	477832	480671	-0.684232	-0.679098	-0.360772	-0.562526
Chr01	480681	485925	-0.751764	-0.657747	-0.343727	-0.601313
Chr01	485965	493644	-0.242599	-0.145577	-0.073039	-0.166070
Chr01	493678	497234	-0.496426	-0.377399	-0.190088	-0.254917
Chr01	497305	506929	-0.688555	-1.033688	-0.306024	-0.468281
Chr01	506971	512666	-0.355302	-0.423739	-0.171135	-0.181983
Chr01	512720	516831	-0.541727	-0.574412	-0.225569	-0.227971
Chr01	516884	523062	-0.155489	-0.192903	-0.079419	-0.044898
Chr01	523137	526762	-0.043143	-0.047343	-0.030515	-0.009951
Chr01	526768	531463	-0.017884	-0.011232	-0.007856	-0.010127
Chr01	531473	548999	-0.505547	-1.111356	-0.144650	-0.190116
Chr01	549556	559511	-0.566257	-0.632237	-0.155824	-0.250571
Chr01	559596	567115	0.151355	0.099751	0.052963	0.061872
Chr01	567153	575365	0.262969	0.168095	0.108712	0.097435
Chr01	575407	577927	0.199267	0.122904	0.089916	0.057556
Chr01	577983	588345	0.245732	0.138309	0.102196	0.117762
Chr01	588355	604507	0.494631	0.339938	0.220435	0.318077
Chr01	604562	610580	0.573865	0.399929	0.297985	0.381048
Chr01	610597	619287	0.026792	0.020295	0.012303	0.015748
Chr01	619296	626173	-0.008239	-0.006157	-0.003578	0.005826
Chr01	626200	631118	0.055385	0.038006	0.025732	0.015820
Chr01	631137	639019	0.322950	0.157785	0.113000	0.092388
Chr01	639056	649177	0.115232	0.065454	0.036136	0.038980
Chr01	649292	652611	-0.058935	-0.038814	-0.023169	-0.012120
Chr01	652695	656524	0.050672	0.049439	0.025760	0.012502
Chr01	656532	660524	0.271951	0.121753	0.091246	0.140916
Chr01	660626	670406	0.362429	0.142125	0.116161	0.200749
Chr01	670426	680440	-0.103115	-0.061592	-0.037753	-0.051738
Chr01	680488	694499	-0.440159	-0.288538	-0.150587	-0.207796
Chr01	694500	712399	-0.678204	-0.543062	-0.212355	-0.468230
Chr01	712454	758559	-0.277686	-0.154660	-0.085370	-0.153069
Chr01	758585	797455	-0.631519	-0.574053	-0.253114	-0.389320
Chr01	797483	824031	-0.190630	-0.109785	-0.073744	-0.092126
Chr01	824065	837287	-0.515249	-0.167637	-0.098194	-0.234666
Chr01	837294	846145	-0.813999	-0.311110	-0.165521	-0.593144
Chr01	846206	853477	-0.779125	-0.270982	-0.130218	-0.625358
Chr01	853488	861179	-0.336495	-0.229848	-0.085676	-0.212302
Chr01	861220	868623	-0.433383	-0.278134	-0.115075	-0.252627
Chr01	868677	877489	0.128323	0.069740	0.039625	0.045902
Chr01	877509	886331	0.002767	0.002020	0.001327	0.005776
Chr01	886364	900639	-0.199206	-0.146603	-0.077666	-0.069829
Chr01	900685	906689	-0.721043	-0.787704	-0.323492	-0.459426
Chr01	906717	926388	-0.495459	-0.439818	-0.225675	-0.306771
Chr01	926407	932453	-0.648581	-0.408829	-0.255572	-0.516560
Chr01	932471	939476	-0.768163	-0.310007	-0.217046	-0.639199
Chr01	941784	957322	-0.222526	-0.051549	-0.035864	-0.065595
Chr01	957354	968738	-0.701567	-0.746036	-0.235013	-0.361820
Chr01	968760	977685	0.004964	0.003548	0.001400	0.021873
Chr01	977687	985081	-0.650298	-0.232344	-0.153407	-0.237278
Chr01	985121	996037	0.003224	0.001849	0.001023	-0.005539
Chr01	996068	1006229	-0.309668	-0.184656	-0.077827	-0.106478
Chr01	1006246	1013805	-0.361366	-0.283340	-0.124044	-0.114598
Chr01	1013842	1021798	0.454407	0.111885	0.087209	0.209119
Chr01	1021805	1030057	0.024058	0.006560	0.004456	0.001613
Chr01	1030058	1034730	-0.278721	-0.073116	-0.049594	-0.037296
Chr01	1034808	1039679	-0.550387	-0.121596	-0.077196	-0.183725
Chr01	1039926	1046228	0.057492	0.038557	0.026673	0.011078
Chr01	1046412	1054190	-0.357505	-0.165896	-0.089790	-0.110296
Chr01	1054488	1064761	-0.842998	-0.334283	-0.167271	-0.492455
Chr01	1064785	1077662	-0.696675	-0.269987	-0.136922	-0.299689
Chr01	1077790	1086660	-0.803787	-0.221180	-0.159569	-0.221937
Chr01	1086698	1097212	-0.804837	-0.197430	-0.124445	-0.432728
Chr01	1097236	1103517	-0.503721	-0.224671	-0.110346	-0.267757
Chr01	1103541	1118249	-0.348629	-0.098700	-0.049342	-0.129554
Chr01	1118308	1135757	-0.050315	-0.024540	-0.012612	-0.026800
Chr01	1135768	1142384	-0.281825	-0.102703	-0.073537	-0.216798
Chr01	1142410	1146435	-0.406200	-0.108070	-0.082363	-0.355520
Chr01	1146450	1152826	-0.205195	-0.042815	-0.032039	-0.071489
Chr01	1152938	1160936	-0.478309	-0.121592	-0.081652	-0.267149
Chr01	1161038	1167317	-0.160312	-0.045901	-0.035461	-0.061427
Chr01	1167344	1170874	0.266528	0.116023	0.083214	0.095891
Chr01	1170890	1176134	0.322535	0.129197	0.092933	0.139396
Chr01	1176164	1181947	0.390063	0.125264	0.093347	0.216780
Chr01	1182024	1187041	-0.203313	-0.070989	-0.043839	-0.068430
