chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	194125	311882	-0.181054	-0.202387	-0.118631	-0.123820
Chr01	247298	430010	-0.185897	-0.175533	-0.098207	-0.119788
Chr01	312045	523371	0.000655	0.000645	0.000317	0.002083
Chr01	430077	635705	0.284923	0.213704	0.112428	0.154652
Chr01	523407	805888	0.243885	0.160760	0.089355	0.129299
Chr01	635716	907044	0.073497	0.060358	0.028629	0.045320
Chr01	805910	1032560	0.088704	0.065379	0.031135	0.046546
Chr01	907081	1144320	-0.042706	-0.027461	-0.013710	-0.018950
Chr01	1032578	1207519	0.048105	0.033845	0.016840	0.022754
Chr01	1144413	1332216	0.064703	0.044380	0.021506	0.033388
Chr01	1207555	1464942	0.147585	0.105416	0.049634	0.076909
Chr01	1332259	1533576	0.216008	0.171527	0.087969	0.134364
Chr01	1465001	1598672	0.105987	0.070732	0.037135	0.055780
Chr01	1533589	1669767	0.233034	0.168909	0.080251	0.131389
Chr01	1598689	1728198	0.061294	0.074597	0.026700	0.034955
Chr01	1669804	1844060	-0.151197	-0.177509	-0.050666	-0.091137
Chr01	1728255	1923403	-0.149013	-0.129202	-0.040396	-0.090283
Chr01	1844107	2027898	-0.059953	-0.044113	-0.016805	-0.025873
Chr01	1923449	2094618	0.176954	0.130048	0.061878	0.074921
Chr01	2027975	2180789	0.051477	0.052805	0.022727	0.022559
Chr01	2094737	2235130	0.053101	0.054153	0.024758	0.024609
Chr01	2180860	2278337	0.070485	0.091119	0.045615	0.035726
Chr01	2235148	2408391	-0.089752	-0.139486	-0.059568	-0.049262
Chr01	2278376	2472195	-0.044520	-0.052591	-0.025481	-0.023271
Chr01	2408401	2525668	-0.096877	-0.122875	-0.058102	-0.051705
Chr01	2472223	2616975	-0.256508	-0.381049	-0.154774	-0.147106
Chr01	2525686	2666436	-0.008842	-0.011948	-0.005500	-0.002215
Chr01	2616978	2712353	0.153857	0.179436	0.094652	0.103713
Chr01	2666462	2750531	0.101197	0.125723	0.058821	0.069286
Chr01	2712364	2814011	0.001290	0.001814	0.000758	0.001872
Chr01	2750586	2891213	-0.111130	-0.158627	-0.067257	-0.059228
Chr01	2814054	2961848	-0.008314	-0.011292	-0.004705	-0.002431
Chr01	2891215	3049032	-0.108227	-0.152596	-0.062754	-0.071283
Chr01	2961887	3114892	-0.169548	-0.232791	-0.101588	-0.110177
Chr01	3049083	3202382	0.014882	0.015899	0.007319	0.008702
Chr01	3114978	3303135	-0.084458	-0.058110	-0.028532	-0.047958
Chr01	3202425	3401977	0.023841	0.014890	0.007184	0.018350
Chr01	3303175	3472948	0.213757	0.179071	0.073543	0.126286
Chr01	3401997	3553633	0.258527	0.226012	0.111630	0.157121
Chr01	3473158	3626311	0.479276	0.353584	0.213742	0.329398
Chr01	3553788	3699885	0.378595	0.300977	0.160314	0.247500
Chr01	3626437	3814751	0.045464	0.046922	0.018040	0.028541
Chr01	3699926	3931667	-0.022602	-0.027694	-0.008277	-0.009085
Chr01	3814797	4026779	-0.089465	-0.102370	-0.031023	-0.051632
Chr01	3931681	4120324	-0.079214	-0.080726	-0.032475	-0.047806
Chr01	4026843	4227816	-0.134575	-0.130006	-0.052890	-0.091824
Chr01	4120329	4304192	-0.052002	-0.056879	-0.022317	-0.034070
Chr01	4227817	4406140	0.032889	0.043882	0.015704	0.025866
Chr01	4304254	4468097	0.085172	0.099402	0.041589	0.045246
Chr01	4406277	4525068	-0.035138	-0.039879	-0.021954	-0.017714
Chr01	4468212	4618572	0.033170	0.034013	0.016862	0.016805
Chr01	4525069	4690007	0.099475	0.108126	0.047488	0.050522
Chr01	4618601	4798156	0.157574	0.187866	0.067885	0.092057
Chr01	4690034	4894560	0.211237	0.171017	0.075664	0.128104
Chr01	4798334	5045367	-0.045000	-0.023787	-0.013526	-0.019711
Chr01	4894975	5182048	-0.112906	-0.061126	-0.033339	-0.069375
Chr01	5045904	5543995	-0.063256	-0.025296	-0.015008	-0.041348
Chr01	5182097	5682939	-0.085982	-0.030978	-0.020076	-0.052032
Chr01	5544023	5829458	-0.064841	-0.028359	-0.018161	-0.040799
Chr01	5682984	5951578	-0.044054	-0.018035	-0.011465	-0.024012
Chr01	5829886	6113274	-0.148257	-0.058144	-0.034658	-0.089228
Chr01	5951593	6283371	-0.216227	-0.094948	-0.054446	-0.148869
Chr01	6113449	6644672	-0.124412	-0.045513	-0.027646	-0.092172
Chr01	6283372	6821797	0.393406	0.110654	0.081118	0.348557
Chr01	6644696	7029721	0.558213	0.163424	0.125394	0.522541
Chr01	6821799	7275777	0.201962	0.066514	0.047068	0.162622
Chr01	7029722	7380034	0.078027	0.036343	0.023256	0.056753
Chr01	7275827	7508467	-0.088522	-0.052294	-0.028592	-0.057831
Chr01	7380200	7638676	-0.267074	-0.147012	-0.080699	-0.159520
Chr01	7508577	7805967	-0.411834	-0.203537	-0.112683	-0.272892
Chr01	7638821	7905189	-0.338483	-0.158223	-0.092420	-0.237889
Chr01	7806110	7991970	-0.169247	-0.123682	-0.060714	-0.111909
Chr01	7905218	8081271	-0.241518	-0.175647	-0.081394	-0.150012
Chr01	7992010	8221504	-0.080126	-0.030077	-0.017537	-0.042721
Chr01	8081301	8371766	-0.036863	-0.011489	-0.006981	-0.018058
Chr01	8221505	8509980	0.034341	0.011722	0.006939	0.019604
Chr01	8371769	8626103	0.087629	0.040606	0.021774	0.060555
Chr01	8510257	8693503	0.050737	0.027045	0.014504	0.031757
Chr01	8626188	8942003	-0.014053	-0.005668	-0.003445	0.003440
Chr01	8693681	9236653	-0.186911	-0.087580	-0.051329	-0.086282
Chr01	8942024	9362771	-0.188091	-0.107295	-0.057405	-0.120942
Chr01	9236710	9555504	-0.113717	-0.051886	-0.029849	-0.094787
Chr01	9362841	9722460	-0.052692	-0.026051	-0.014851	-0.043743
Chr01	9555572	9844203	0.027240	0.017294	0.009695	0.015859
Chr01	9722542	9914758	-0.046384	-0.029752	-0.019251	-0.023116
