chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	631699	954139	-0.206087	-0.094681	-0.063092	-0.113459
Superscaffold1	954315	1423126	0.136946	0.049044	0.033842	0.089713
Superscaffold1	1423199	1896742	0.158813	0.049759	0.033838	0.111473
Superscaffold1	1896965	2255123	0.018174	0.006796	0.003564	0.012034
Superscaffold1	2255254	2542709	0.001589	0.000756	0.000526	-0.002153
Superscaffold1	2542719	2803485	0.100737	0.052411	0.033779	0.065569
Superscaffold1	2803524	3151147	-0.004943	-0.002505	-0.001439	-0.003139
Superscaffold1	3151171	3608976	0.078365	0.023296	0.015440	0.043476
Superscaffold1	3609007	4068986	0.111915	0.045160	0.026586	0.075870
Superscaffold1	4069014	4476232	0.225275	0.110808	0.071635	0.166348
Superscaffold1	4476303	4901541	0.133069	0.059543	0.037157	0.080353
Superscaffold1	4901603	5470139	0.375539	0.122116	0.082326	0.261606
Superscaffold1	5470204	5794122	0.144451	0.056368	0.038383	0.086897
Superscaffold1	5795490	6249190	0.043362	0.019559	0.012449	0.026647
Superscaffold1	6249293	6662217	0.219182	0.091283	0.063193	0.160922
Superscaffold1	6662466	7192919	0.192343	0.067092	0.044056	0.141786
Superscaffold1	7192953	7522275	-0.159821	-0.074430	-0.043954	-0.113646
Superscaffold1	7522380	8003675	0.198304	0.082033	0.050291	0.129197
Superscaffold1	8003741	9123041	0.100321	0.033327	0.022812	0.057882
Superscaffold1	9123063	10357155	-0.048086	-0.015686	-0.010750	-0.031593
Superscaffold1	10357440	10831933	0.053472	0.019712	0.013691	0.033100
Superscaffold1	10831943	11231482	0.026478	0.009989	0.005988	0.014723
Superscaffold1	11231504	11639166	-0.081654	-0.025336	-0.017201	-0.061156
Superscaffold1	11639219	12160847	-0.113285	-0.031885	-0.022940	-0.082169
Superscaffold1	12160865	12636369	0.156612	0.058713	0.037941	0.103703
Superscaffold1	12637141	13088719	-0.030906	-0.011656	-0.006918	-0.016843
Superscaffold1	13088750	13660746	0.338671	0.140672	0.074271	0.195701
Superscaffold1	13660773	14349878	-0.039695	-0.011302	-0.006976	-0.026347
Superscaffold1	14350152	14805393	0.124919	0.047617	0.028899	0.091128
Superscaffold1	14805709	15091407	0.238055	0.087128	0.057967	0.122841
Superscaffold1	15091482	15367261	0.450341	0.200580	0.131307	0.351921
Superscaffold1	15367314	15647920	0.280732	0.131745	0.084121	0.193160
Superscaffold1	15648192	16000066	0.071813	0.028790	0.017148	0.051915
Superscaffold1	16000663	16308376	0.151503	0.051432	0.032700	0.103405
