chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	65659	71898	0.938991	0.162554	0.151048	0.518531
Chr01	71906	137644	-0.206305	-0.087949	-0.044185	-0.132255
Chr01	137805	151667	-0.543414	-0.444438	-0.184361	-0.361454
Chr01	151700	161319	-0.413219	-0.455408	-0.212868	-0.271516
Chr01	161505	181707	-0.194648	-0.108832	-0.077634	-0.127900
Chr01	181831	185237	-0.018407	-0.045610	-0.019665	0.002361
Chr01	185258	188838	0.000280	0.000427	0.000220	-0.002980
Chr01	188869	195988	0.019667	0.028774	0.018848	0.009352
Chr01	196053	205788	-0.202876	-0.179201	-0.113004	-0.133420
Chr01	205789	209627	-0.094207	-0.081653	-0.054042	-0.065647
Chr01	209720	215573	-0.221234	-0.141693	-0.100299	-0.130275
Chr01	215582	218334	-0.300831	-0.324068	-0.197481	-0.222459
Chr01	218348	220946	-0.198109	-0.196587	-0.123972	-0.126001
Chr01	221243	228303	0.023427	0.032523	0.020301	0.013718
Chr01	228380	234788	0.224524	0.198084	0.146727	0.146802
Chr01	234925	239770	-0.173751	-0.205021	-0.115084	-0.092337
Chr01	239987	249200	0.140956	0.104420	0.073932	0.097664
Chr01	249266	253770	-0.123007	-0.131539	-0.084350	-0.082980
Chr01	253803	256722	-0.528870	-0.982289	-0.433052	-0.446175
Chr01	256752	260821	-0.465203	-0.872943	-0.354852	-0.342541
Chr01	260915	263050	-0.672646	-1.852393	-0.559397	-0.507399
Chr01	263071	265091	-0.595204	-1.576402	-0.521242	-0.457094
Chr01	265100	270947	-0.550240	-0.989445	-0.417411	-0.437763
Chr01	270998	276153	-0.207476	-0.196880	-0.111034	-0.121498
Chr01	276178	284149	-0.191047	-0.271655	-0.132204	-0.107543
Chr01	284150	306358	-0.307269	-0.259318	-0.117042	-0.138160
Chr01	306694	314331	0.375050	0.340787	0.244761	0.297906
Chr01	314426	319976	0.242764	0.322500	0.122081	0.133937
Chr01	320010	335117	-0.040979	-0.035416	-0.016449	-0.043749
Chr01	335468	350126	-0.087658	-0.114997	-0.059392	-0.032864
Chr01	350158	355880	0.053352	0.060281	0.039508	0.032700
Chr01	356075	383091	0.686222	0.412239	0.265918	0.508292
Chr01	383217	390877	0.095827	0.078188	0.052758	0.060530
Chr01	390968	400464	0.179279	0.194065	0.121757	0.103348
Chr01	400478	406773	0.312304	0.401866	0.206138	0.168304
Chr01	406780	421970	0.568252	0.231961	0.160602	0.402043
Chr01	421999	430089	0.517472	0.407964	0.271542	0.355594
Chr01	430173	440073	0.415536	0.347661	0.190201	0.227787
Chr01	440157	454359	0.422617	0.152046	0.118394	0.278229
Chr01	455369	474151	0.104043	0.056192	0.034784	0.066994
