chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121260	149763	-0.649931	-0.373317	-0.174405	-0.472491
Chr01	149791	160600	-0.711499	-0.957255	-0.307577	-0.473808
Chr01	160626	183131	-0.452394	-0.498673	-0.202247	-0.252930
Chr01	183171	186166	0.020919	0.034599	0.015985	0.009887
Chr01	186167	194076	0.054718	0.068340	0.035337	0.033018
Chr01	194091	208317	0.252361	0.146164	0.093949	0.144897
Chr01	208414	214891	0.519975	0.319160	0.229952	0.357319
Chr01	215006	220085	0.518281	0.331386	0.194826	0.373214
Chr01	220116	232500	0.254193	0.137015	0.090644	0.171060
Chr01	232512	243741	-0.045927	-0.021805	-0.012696	-0.055042
Chr01	243789	251820	0.382287	0.193661	0.150311	0.286307
Chr01	251990	257409	-0.329516	-0.233401	-0.124184	-0.294949
Chr01	257422	264400	-0.870188	-0.838276	-0.342597	-0.818203
Chr01	264411	274070	-0.520043	-0.591806	-0.230733	-0.405554
Chr01	274239	287676	-0.199374	-0.126649	-0.066639	-0.131354
Chr01	287709	311847	-0.021757	-0.013381	-0.007625	-0.011331
Chr01	312126	326414	-0.230465	-0.241922	-0.127063	-0.143158
Chr01	326442	358089	-0.023547	-0.008040	-0.006014	-0.000346
Chr01	358102	391728	0.689331	0.346329	0.245101	0.485091
Chr01	391769	407671	0.323133	0.144230	0.097479	0.119856
Chr01	407693	425052	0.765575	0.307439	0.239248	0.582875
Chr01	425056	434370	-0.060497	-0.034010	-0.017115	-0.026381
Chr01	434443	449550	0.187862	0.042027	0.032318	0.042417
Chr01	449564	464640	0.509155	0.214346	0.150320	0.266688
Chr01	464703	478091	-0.170457	-0.101984	-0.057477	-0.127492
Chr01	478122	484702	-0.150265	-0.106894	-0.054275	-0.129429
Chr01	484721	500616	0.007846	0.002722	0.001439	0.004542
Chr01	500681	514995	-0.005805	-0.003113	-0.001532	-0.005143
Chr01	515109	521440	-0.248553	-0.192600	-0.107973	-0.138926
Chr01	521602	531028	-0.207789	-0.196785	-0.137539	-0.206269
Chr01	531072	551399	-0.435444	-0.317840	-0.126246	-0.383217
Chr01	551526	563030	-0.105829	-0.049000	-0.028623	-0.098848
Chr01	563076	577590	0.091345	0.036185	0.026064	0.056969
Chr01	577670	606950	0.364361	0.144812	0.109490	0.314341
Chr01	607018	620143	0.340513	0.172457	0.127028	0.198116
Chr01	620154	632161	0.028369	0.026196	0.015856	0.030247
Chr01	632193	641651	0.347843	0.331363	0.251688	0.286304
Chr01	641893	655837	0.191021	0.190040	0.106339	0.170263
Chr01	655892	660974	0.293803	0.103447	0.086655	0.192151
Chr01	660977	674120	0.363229	0.145107	0.116745	0.262624
Chr01	674222	711898	-0.298217	-0.217540	-0.094621	-0.191023
Chr01	711919	777491	-0.476215	-0.440649	-0.139480	-0.276954
Chr01	777526	824381	-0.288842	-0.174070	-0.100131	-0.193069
Chr01	825055	846145	-0.206471	-0.100629	-0.046276	-0.104743
Chr01	846206	861584	-0.427435	-0.302229	-0.091922	-0.267105
Chr01	861760	877300	0.327569	0.201045	0.089285	0.225905
Chr01	877312	896848	0.025409	0.016617	0.010432	0.018382
Chr01	897348	926876	0.015562	0.004681	0.002830	0.013909
Chr01	926925	943149	-0.085698	-0.028778	-0.018143	-0.044387
Chr01	943154	957336	0.539155	0.155036	0.108341	0.154932
Chr01	957351	979273	0.477090	0.200830	0.099886	0.404921
Chr01	979341	997230	-0.320726	-0.077297	-0.056495	-0.264913
Chr01	997270	1021203	-0.121289	-0.022887	-0.015787	-0.071756
Chr01	1021641	1036888	-0.351084	-0.029317	-0.022827	-0.303144
Chr01	1036922	1062770	-0.566628	-0.085243	-0.056771	-0.397364
Chr01	1062931	1098365	-0.332922	-0.123901	-0.073029	-0.274662
Chr01	1098371	1108300	0.225751	0.126492	0.066758	0.213287
Chr01	1108430	1121480	-0.190915	-0.170162	-0.079764	-0.114587
Chr01	1121537	1148004	0.245297	0.075750	0.054730	0.231159
Chr01	1148154	1157687	-0.201485	-0.045714	-0.035295	-0.183888
Chr01	1157708	1172140	0.378670	0.063682	0.052651	0.210389
Chr01	1172145	1187169	0.426768	0.101832	0.074794	0.294961
Chr01	1187324	1207034	0.054929	0.023229	0.011274	0.052420
Chr01	1207093	1218937	0.024554	0.012082	0.004853	0.057714
Chr01	1218978	1280471	0.061281	0.016899	0.008236	0.062424
Chr01	1280518	1295848	0.270269	0.101553	0.038896	0.080110
Chr01	1295961	1313363	0.601946	0.349392	0.166161	0.473540
Chr01	1313429	1326161	-0.282749	-0.400674	-0.126118	-0.177407
Chr01	1326514	1358352	0.098391	0.049580	0.031346	0.084518
Chr01	1362026	1382517	0.028190	0.014128	0.005001	0.025015
Chr01	1383204	1401496	0.175436	0.044793	0.028854	0.104898
Chr01	1401601	1417148	-0.003150	-0.001147	-0.000771	0.001203
Chr01	1417169	1445264	-0.231495	-0.210151	-0.080619	-0.150283
Chr01	1445306	1453513	0.359984	0.220131	0.118878	0.311094
Chr01	1453581	1460048	0.041487	0.029736	0.014880	0.028198
Chr01	1460137	1468047	0.251847	0.148606	0.080444	0.222977
Chr01	1468093	1475471	0.275354	0.173211	0.099261	0.219602
Chr01	1475546	1487119	0.237941	0.098733	0.070129	0.208306
Chr01	1487137	1503563	0.463602	0.202270	0.132221	0.389421
Chr01	1503564	1512037	-0.185636	-0.095353	-0.058213	-0.170722
Chr01	1512147	1533406	-0.129781	-0.035227	-0.022632	-0.099434
Chr01	1533531	1538517	-0.045870	-0.036681	-0.024236	-0.046015
Chr01	1538570	1549080	0.115735	0.040299	0.026447	0.082700
Chr01	1549126	1562709	-0.117795	-0.043026	-0.026413	-0.071232
Chr01	1562766	1580199	-0.336946	-0.135987	-0.061842	-0.255353
Chr01	1580205	1594284	0.700651	0.400473	0.184150	0.649800
Chr01	1594615	1630406	0.061305	0.027265	0.012848	0.061781
Chr01	1630428	1643968	-0.173038	-0.067150	-0.041811	-0.151378
Chr01	1644399	1654863	-0.710840	-0.578935	-0.222908	-0.597264
Chr01	1655040	1669415	0.647268	0.244944	0.169285	0.622179
Chr01	1669417	1678036	0.091640	0.037254	0.023971	0.092471
Chr01	1678403	1688165	0.011820	0.005754	0.003123	0.005831
Chr01	1688258	1690688	-0.091207	-0.132664	-0.072085	-0.046944
Chr01	1690699	1702019	-0.502663	-0.934876	-0.103919	-0.205002
Chr01	1702139	1723386	-0.286476	-0.094496	-0.050488	-0.196297
Chr01	1723491	1755591	-0.306966	-0.085724	-0.045019	-0.245741
Chr01	1755603	1790964	-0.232194	-0.109209	-0.037535	-0.110788
Chr01	1791036	1804819	-0.110306	-0.048758	-0.020820	-0.084687
Chr01	1804994	1825844	0.053679	0.014733	0.007646	0.076530
Chr01	1825906	1845987	0.323415	0.133167	0.066123	0.254627
Chr01	1846081	1860905	0.323906	0.149509	0.065294	0.348777
Chr01	1860906	1872120	-0.673848	-0.398562	-0.136269	-0.474674
Chr01	1872284	1883159	-0.274023	-0.196392	-0.070229	-0.195466
Chr01	1883298	1896334	-0.367970	-0.188128	-0.062133	-0.228426
Chr01	1896335	1910359	-0.629215	-0.306442	-0.113600	-0.529382
Chr01	1910948	1976132	-0.345457	-0.090119	-0.046535	-0.237594
Chr01	1976299	1992857	0.220165	0.159317	0.038660	0.175733
Chr01	1993060	2003493	0.426030	0.151482	0.077369	0.255915
Chr01	2003529	2013036	-0.066155	-0.020934	-0.010183	-0.038319
Chr01	2013044	2030217	-0.306496	-0.136779	-0.066269	-0.206937
Chr01	2030234	2044120	-0.001973	-0.000836	-0.000532	-0.010970
Chr01	2044379	2054450	-0.131104	-0.082860	-0.044174	-0.087492
Chr01	2054780	2068169	0.405761	0.220942	0.134105	0.230177
Chr01	2068369	2085569	0.492993	0.170822	0.111631	0.364235
Chr01	2085826	2098388	0.393143	0.221644	0.127452	0.328103
Chr01	2098400	2116656	-0.148133	-0.058413	-0.023965	-0.087421
Chr01	2117132	2130828	0.125478	0.055293	0.031942	0.065020
Chr01	2131525	2154794	-0.421294	-0.221455	-0.123122	-0.273431
Chr01	2154812	2173518	-0.185005	-0.086699	-0.056045	-0.098935
Chr01	2173610	2188085	0.344867	0.097695	0.077134	0.254803
Chr01	2188107	2207764	0.228872	0.068408	0.047098	0.124395
Chr01	2207896	2214568	-0.232888	-0.177007	-0.097915	-0.205570
Chr01	2214603	2225453	0.235750	0.161587	0.094641	0.181551
Chr01	2225521	2233060	0.191442	0.131191	0.072550	0.122738
Chr01	2233128	2246693	0.065553	0.028672	0.020759	0.037259
Chr01	2246699	2253484	-0.188742	-0.152289	-0.078992	-0.087588
Chr01	2253530	2259357	-0.139901	-0.359310	-0.135082	-0.078190
