chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	68926	83897	-0.884814	-0.514714	-0.295363	-0.757821
Chr01	83906	148612	0.115187	0.026724	0.017045	0.024763
Chr01	148638	156419	-0.004290	-0.001043	-0.000750	-0.000663
Chr01	156669	168196	0.061980	0.018761	0.013633	0.020892
Chr01	168207	184062	-0.316874	-0.469755	-0.245567	-0.165708
Chr01	184135	187033	0.095346	0.082657	0.054864	0.063122
Chr01	187051	194075	0.034305	0.030326	0.020892	0.014558
Chr01	194076	204396	0.191416	0.121767	0.085459	0.088873
Chr01	204421	208245	0.144598	0.082997	0.056005	0.052729
Chr01	208257	210305	0.116432	0.067144	0.044033	0.048689
Chr01	210331	215446	0.329307	0.161051	0.123329	0.216342
Chr01	215467	217625	-0.031048	-0.022821	-0.013052	-0.024745
Chr01	217656	220083	0.169736	0.107743	0.071546	0.088865
Chr01	220085	224378	0.165378	0.106370	0.076064	0.077815
Chr01	224393	229129	-0.017710	-0.014935	-0.009527	-0.003915
Chr01	229159	234051	-0.052271	-0.039231	-0.026037	-0.019906
Chr01	234212	238876	-0.316002	-0.378566	-0.184562	-0.183052
Chr01	238902	247525	-0.176430	-0.046354	-0.035248	-0.061188
Chr01	247533	250803	-0.025012	-0.012323	-0.008678	-0.001078
Chr01	250824	254269	0.288600	0.094752	0.075997	0.106987
Chr01	254271	272010	-0.664110	-0.917037	-0.299311	-0.481596
Chr01	272078	276077	0.131879	0.059930	0.036677	0.055972
Chr01	276082	282181	-0.097731	-0.065217	-0.038511	-0.036365
Chr01	282213	306451	-0.096531	-0.031086	-0.021686	-0.062034
Chr01	306592	311847	0.188563	0.140335	0.106232	0.155744
Chr01	311926	318192	-0.038032	-0.047650	-0.019772	-0.024460
Chr01	318221	326215	-0.248862	-0.169089	-0.096769	-0.117914
Chr01	326252	341919	-0.141024	-0.049251	-0.034111	-0.049100
Chr01	342015	351545	0.067241	0.043962	0.029113	0.049014
Chr01	351556	369702	-0.623051	-0.246938	-0.177419	-0.392360
Chr01	369789	388320	-0.470838	-0.168355	-0.124827	-0.230576
Chr01	388331	393775	-0.130147	-0.060793	-0.045010	-0.050883
Chr01	393788	402503	-0.271541	-0.127989	-0.094326	-0.067353
Chr01	402514	407551	0.060159	0.028326	0.021818	0.011151
Chr01	407707	426198	-0.625976	-0.113937	-0.085778	-0.123947
Chr01	426318	432782	0.193703	0.145497	0.076932	0.129890
Chr01	432879	439120	0.346446	0.191719	0.105922	0.180739
Chr01	439224	448361	-0.513283	-0.088049	-0.071747	-0.111200
Chr01	448364	453095	0.178277	0.067391	0.050209	0.071209
Chr01	453101	465155	-0.692704	-0.484860	-0.268397	-0.431188
Chr01	465248	474283	-0.916330	-0.781763	-0.410364	-0.738805
Chr01	474286	479674	-0.901810	-0.736210	-0.377904	-0.804193
Chr01	479678	484497	-0.936663	-0.770610	-0.388597	-0.745349
Chr01	484527	491874	-0.387066	-0.213749	-0.114806	-0.283184
Chr01	491899	497570	-0.447410	-0.219984	-0.133853	-0.268334
Chr01	497651	507873	-0.211028	-0.073537	-0.052596	-0.137814
Chr01	507934	515008	-0.684773	-0.717226	-0.257388	-0.450288
Chr01	515158	519364	-0.543475	-0.735273	-0.237599	-0.272913
Chr01	519463	525014	0.091862	0.124039	0.054686	0.032133
Chr01	525144	529861	0.034275	0.022357	0.013549	0.009872
Chr01	529869	544653	-0.097568	-0.028711	-0.016780	-0.023811
Chr01	544894	557394	-0.278393	-0.125721	-0.055556	-0.083389
Chr01	557404	566623	0.134113	0.035925	0.025724	0.062239
Chr01	566657	576090	0.412903	0.172562	0.124024	0.175574
Chr01	576097	579595	-0.003930	-0.002605	-0.001519	-0.014900
Chr01	579621	596023	0.490391	0.224413	0.167223	0.340121
Chr01	596125	610504	0.757010	0.455755	0.370728	0.630965
Chr01	610507	619980	0.091708	0.049159	0.031598	0.043721
Chr01	620021	627287	0.294396	0.089775	0.069886	0.066509
Chr01	627359	633763	-0.074026	-0.024790	-0.019002	-0.020754
Chr01	633839	642114	0.366007	0.101956	0.081309	0.097105
Chr01	642118	652144	0.155376	0.050594	0.038088	0.041080
Chr01	652171	656721	0.044404	0.025151	0.017119	0.013271
Chr01	656730	662684	-0.035833	-0.006802	-0.005750	-0.004992
Chr01	662796	675047	-0.280703	-0.107390	-0.073640	-0.147560
Chr01	675147	685235	-0.155201	-0.081929	-0.050080	-0.073524
Chr01	685401	711700	-0.850754	-0.568898	-0.239022	-0.561170
Chr01	711717	759488	-0.541570	-0.359302	-0.189401	-0.347128
Chr01	762155	804673	-0.314160	-0.120851	-0.075856	-0.180179
Chr01	804709	832838	-0.190587	-0.082262	-0.052193	-0.099206
Chr01	833136	843048	-0.765626	-0.254371	-0.151908	-0.503783
Chr01	843055	852766	-0.756082	-0.196475	-0.107998	-0.715828
Chr01	852769	860448	-0.510338	-0.353767	-0.129997	-0.316792
Chr01	860595	868677	-0.230494	-0.106005	-0.056189	-0.042651
Chr01	868724	878147	0.265702	0.121637	0.080743	0.101353
Chr01	878195	893631	0.177612	0.097288	0.065350	0.071288
Chr01	893687	901620	-0.481623	-0.336346	-0.179868	-0.284573
Chr01	901724	907771	-0.378251	-0.270123	-0.147624	-0.264028
Chr01	907823	927510	-0.073695	-0.042453	-0.029803	-0.032111
Chr01	927554	933661	-0.914168	-0.487516	-0.297163	-0.861753
Chr01	933971	948115	-0.337694	-0.104110	-0.074865	-0.236697
Chr01	948229	966696	-0.363293	-0.139498	-0.083018	-0.171416
Chr01	966705	975329	-0.165149	-0.123610	-0.047257	-0.123189
Chr01	975688	984691	-0.783343	-0.240054	-0.153725	-0.292831
Chr01	984824	997225	-0.473896	-0.139360	-0.091858	-0.295116
Chr01	997230	1010479	-0.220865	-0.052658	-0.035439	-0.085782
Chr01	1010533	1018790	0.453075	0.099152	0.082316	0.082923
Chr01	1019825	1030682	0.238081	0.042050	0.033432	0.040621
Chr01	1030687	1036599	0.101230	0.014970	0.011622	0.012952
Chr01	1036623	1044221	0.230999	0.030219	0.024444	0.034845
Chr01	1044251	1052417	0.163713	0.054645	0.037997	0.037158
Chr01	1052443	1063433	-0.832024	-0.268103	-0.154918	-0.495868
Chr01	1063448	1077495	-0.668645	-0.165107	-0.099337	-0.151170
Chr01	1077557	1089346	-0.783335	-0.143236	-0.104324	-0.246957
Chr01	1089367	1099207	-0.512421	-0.128790	-0.071500	-0.228636
Chr01	1099266	1112829	-0.624515	-0.152667	-0.083291	-0.220573
Chr01	1112934	1133579	-0.084680	-0.026137	-0.014965	-0.060257
Chr01	1133604	1142339	-0.245016	-0.072624	-0.053249	-0.182597
Chr01	1142410	1147635	-0.298642	-0.072677	-0.056672	-0.237030
Chr01	1147975	1155980	-0.533317	-0.103023	-0.070479	-0.286813
Chr01	1156026	1165373	-0.359538	-0.077134	-0.055933	-0.220895
Chr01	1165382	1169559	0.357525	0.076107	0.063810	0.099539
Chr01	1169590	1174438	0.440958	0.135625	0.097317	0.173026
Chr01	1174441	1180378	0.662149	0.168219	0.143787	0.316798
Chr01	1180588	1185652	-0.126826	-0.038579	-0.024794	-0.066270
Chr01	1185701	1198700	-0.389113	-0.117092	-0.076974	-0.118122
Chr01	1198745	1204323	-0.190603	-0.253285	-0.054730	-0.144978
Chr01	1204339	1210841	0.267055	0.175221	0.075257	0.170159
Chr01	1210888	1215679	-0.125233	-0.174188	-0.045681	-0.111220
Chr01	1215746	1254668	0.341131	0.165002	0.081701	0.290956
Chr01	1254712	1278284	-0.378879	-0.161362	-0.090547	-0.305205
Chr01	1278300	1292868	-0.614480	-0.132118	-0.079654	-0.389441
Chr01	1292880	1299869	-0.217991	-0.059763	-0.034901	-0.039860
Chr01	1299928	1309905	-0.202399	-0.048839	-0.029601	-0.073983
Chr01	1309911	1315740	-0.282272	-0.152296	-0.085297	-0.103767
Chr01	1315751	1321762	-0.750225	-0.530666	-0.196154	-0.291910
Chr01	1321796	1329199	-0.276543	-0.094691	-0.056538	-0.067519
Chr01	1329200	1335513	-0.133279	-0.023952	-0.019616	-0.014288
Chr01	1335514	1369180	0.019019	0.007868	0.005788	0.006762
Chr01	1369210	1376119	-0.457164	-0.421134	-0.207223	-0.293099
Chr01	1376209	1382055	-0.627846	-0.384509	-0.208669	-0.262799
Chr01	1382131	1391332	-0.567592	-0.274342	-0.148066	-0.298874
Chr01	1391334	1399610	-0.141349	-0.040809	-0.028330	-0.066882
Chr01	1400020	1410650	-0.494221	-0.140915	-0.090891	-0.300337
Chr01	1410666	1428874	-0.445212	-0.384406	-0.201772	-0.309882
Chr01	1428902	1449257	0.248915	0.130115	0.068628	0.189970
Chr01	1449323	1453386	0.420830	0.242239	0.136240	0.336328
Chr01	1453484	1457325	-0.048799	-0.031449	-0.014702	-0.022497
Chr01	1457339	1461640	0.102282	0.039887	0.024434	0.042935
Chr01	1461663	1466264	-0.209739	-0.147863	-0.060481	-0.150942
Chr01	1466265	1470531	-0.095603	-0.059786	-0.029882	-0.056098
Chr01	1470534	1474065	0.143196	0.066341	0.038130	0.059503
Chr01	1474099	1482338	0.100030	0.030675	0.021771	0.055474
Chr01	1483276	1492562	-0.097998	-0.025999	-0.017189	-0.044820
Chr01	1492614	1500736	0.533121	0.263211	0.178651	0.408740
Chr01	1500759	1506641	-0.634620	-0.318068	-0.169980	-0.267602
Chr01	1506665	1513529	-0.853025	-1.160807	-0.390616	-0.770500
Chr01	1513530	1521456	-0.595711	-0.263020	-0.133344	-0.335691
Chr01	1521457	1533555	-0.563669	-0.425326	-0.216403	-0.429176
Chr01	1533569	1536771	-0.147871	-0.077050	-0.053186	-0.091346
Chr01	1536791	1541071	0.001992	0.001596	0.000978	0.008207
Chr01	1541114	1545007	-0.240172	-0.176920	-0.100451	-0.111280
Chr01	1545026	1550222	-0.232450	-0.092240	-0.054037	-0.079253
Chr01	1550341	1557357	0.081442	0.038766	0.023599	0.058525
Chr01	1557366	1564186	-0.612187	-0.431727	-0.195967	-0.532524
Chr01	1564229	1571074	-0.597333	-0.433433	-0.186587	-0.510720
Chr01	1571169	1577083	-0.568754	-0.422953	-0.159243	-0.452602
Chr01	1577140	1593694	-0.529188	-0.192121	-0.102806	-0.525164
Chr01	1593910	1629620	-0.838914	-0.401720	-0.218756	-0.783963
Chr01	1629627	1646942	-0.445642	-0.140979	-0.080932	-0.381168
Chr01	1646963	1668986	-0.584245	-0.146511	-0.090307	-0.496521
Chr01	1669138	1681866	-0.352856	-0.241518	-0.143770	-0.307631
Chr01	1681943	1687511	-0.541047	-0.344923	-0.199233	-0.415144
Chr01	1687543	1690306	-0.243469	-0.216366	-0.121444	-0.151122
Chr01	1690345	1701865	-0.378943	-0.185051	-0.106445	-0.243302
Chr01	1702019	1728553	-0.317443	-0.103264	-0.064977	-0.266603
Chr01	1731013	1755603	-0.817487	-0.329024	-0.187066	-0.793091
Chr01	1755687	1802634	-0.405289	-0.071784	-0.041164	-0.265658
Chr01	1802711	1826755	-0.014044	-0.003243	-0.001702	0.003699
Chr01	1826775	1845334	0.000740	0.000394	0.000210	0.018375
Chr01	1845362	1859490	-0.043419	-0.014680	-0.008344	-0.024141
Chr01	1859897	1874101	-0.665801	-0.227612	-0.088839	-0.411596
Chr01	1874105	1892123	-0.617324	-0.181254	-0.093648	-0.467820
Chr01	1892129	1898773	-0.897848	-2.256711	-0.439277	-0.854192
Chr01	1898775	1910015	-0.936621	-1.359168	-0.374341	-0.888468
Chr01	1910127	1973460	-0.504309	-0.118094	-0.068892	-0.352530
Chr01	1974782	1988246	-0.683146	-0.306902	-0.138263	-0.387774
Chr01	1988279	2000797	0.263136	0.100202	0.058026	0.125699
Chr01	2000804	2009707	0.697276	0.441815	0.212749	0.598075
Chr01	2009795	2023885	-0.156885	-0.040821	-0.027065	-0.132777
Chr01	2026403	2043028	-0.412242	-0.106701	-0.076656	-0.336511
Chr01	2043029	2053225	-0.088749	-0.024685	-0.018760	-0.093322
Chr01	2053236	2071609	0.331300	0.115891	0.076663	0.273549
Chr01	2071646	2087540	-0.058582	-0.025888	-0.015157	-0.028532
Chr01	2087549	2095715	-0.142128	-0.063755	-0.041846	-0.102468
Chr01	2095718	2107313	-0.254929	-0.110990	-0.054473	-0.172431
Chr01	2107456	2128057	0.019769	0.004069	0.002414	0.011055
Chr01	2128105	2155365	-0.066226	-0.020579	-0.014506	-0.071935
Chr01	2155368	2171782	-0.452288	-0.166821	-0.120363	-0.305694
Chr01	2171910	2182403	-0.325964	-0.118274	-0.091083	-0.289975
Chr01	2182516	2189122	-0.049194	-0.015395	-0.012100	-0.032724
Chr01	2189168	2205308	-0.333820	-0.114168	-0.086580	-0.249405
Chr01	2205397	2212401	-0.802725	-0.535007	-0.313241	-0.673759
Chr01	2212415	2220210	0.211748	0.112553	0.067702	0.135155
Chr01	2220237	2226089	0.412359	0.212004	0.139945	0.177423
Chr01	2226103	2231081	-0.230018	-0.179313	-0.083972	-0.118844
Chr01	2231101	2236770	0.075494	0.055985	0.033151	0.018041
Chr01	2236805	2247291	-0.039955	-0.017451	-0.012184	-0.044781
Chr01	2247514	2255773	0.000521	0.000339	0.000211	-0.001627
Chr01	2255785	2262008	-0.329414	-0.130333	-0.083347	-0.107743
Chr01	2262169	2268303	-0.287499	-0.150622	-0.099249	-0.125542
Chr01	2268312	2274792	0.709208	0.347932	0.298559	0.289412
Chr01	2274901	2287905	0.394512	0.163302	0.130072	0.228626
Chr01	2287996	2306155	0.223378	0.140566	0.083979	0.145661
Chr01	2306243	2335917	0.211921	0.138242	0.086266	0.174494
Chr01	2335941	2372178	-0.408132	-0.269354	-0.143708	-0.305704
Chr01	2372194	2381564	-0.415789	-0.280114	-0.160050	-0.268102
Chr01	2381630	2402301	0.094739	0.054797	0.033869	0.075303
Chr01	2402391	2415342	-0.324063	-0.129020	-0.088663	-0.162765
Chr01	2415364	2422646	-0.371671	-0.236335	-0.151376	-0.247185
Chr01	2422663	2428906	-0.294000	-0.193011	-0.119360	-0.162365
Chr01	2428922	2434204	-0.074609	-0.034668	-0.022747	-0.032563
Chr01	2434207	2440158	-0.307141	-0.269961	-0.141012	-0.170984
Chr01	2440337	2448085	0.232250	0.143435	0.089112	0.168858
Chr01	2448112	2469138	0.222779	0.116004	0.077446	0.187612
Chr01	2469162	2473774	0.281300	0.184255	0.109282	0.190974
Chr01	2473849	2484799	0.392340	0.146669	0.106452	0.292651
Chr01	2484849	2501868	-0.343617	-0.220534	-0.129825	-0.298795
Chr01	2501873	2509941	0.063155	0.039858	0.025541	0.049588
Chr01	2509973	2524732	0.010514	0.007663	0.004169	0.029740
Chr01	2524890	2534804	-0.215444	-0.166544	-0.089791	-0.154851
Chr01	2534805	2542990	0.154279	0.183863	0.116342	0.100290
Chr01	2543046	2576379	0.153946	0.091192	0.060146	0.116937
Chr01	2576618	2604026	-0.383816	-0.119078	-0.072182	-0.229656
Chr01	2604031	2615007	-0.761161	-0.388283	-0.182128	-0.515228
Chr01	2615014	2619627	0.276847	0.143672	0.102603	0.203684
Chr01	2619633	2625540	0.202945	0.168108	0.091467	0.113311
Chr01	2625561	2637298	0.073333	0.056566	0.030391	0.053065
Chr01	2637345	2644686	0.408251	0.250287	0.146082	0.300023
Chr01	2644740	2655400	0.008288	0.005620	0.002982	0.002566
Chr01	2655468	2660920	-0.239281	-0.237752	-0.106966	-0.142857
Chr01	2661020	2664932	-0.285845	-0.247405	-0.123078	-0.206618
Chr01	2664983	2672541	-0.291470	-0.290302	-0.141558	-0.196540
Chr01	2672547	2680941	-0.350436	-0.486039	-0.167007	-0.245985
Chr01	2680958	2688720	0.102893	0.088574	0.047065	0.056900
Chr01	2688724	2695397	0.319855	0.163052	0.104175	0.217068
Chr01	2695527	2706216	0.182847	0.076371	0.045772	0.122687
Chr01	2706240	2713662	0.317669	0.137775	0.073840	0.237723
Chr01	2713675	2716912	0.419274	0.190897	0.098040	0.295778
Chr01	2716934	2720518	0.296948	0.137938	0.079590	0.168011
Chr01	2720535	2728857	0.302459	0.124397	0.066231	0.260864
Chr01	2728952	2735881	0.376058	0.199606	0.128432	0.257683
Chr01	2735912	2746201	-0.019029	-0.017598	-0.008647	-0.000590
Chr01	2746274	2753744	-0.619371	-0.722740	-0.281525	-0.433620
Chr01	2754028	2767177	-0.212594	-0.082930	-0.050960	-0.100007
Chr01	2767209	2776362	-0.758976	-0.350147	-0.147505	-0.564653
Chr01	2776573	2803289	-0.407275	-0.242510	-0.102053	-0.263556
Chr01	2803411	2812824	-0.098872	-0.042713	-0.031323	-0.068349
Chr01	2812834	2820320	0.095075	0.058324	0.036498	0.055139
Chr01	2820396	2832040	-0.256019	-0.251301	-0.129207	-0.171063
Chr01	2832419	2851459	-0.404280	-0.178109	-0.118995	-0.289533
Chr01	2851503	2864621	-0.764554	-0.635758	-0.299248	-0.580007
Chr01	2864728	2881654	-0.199830	-0.101404	-0.062058	-0.111755
Chr01	2881708	2896726	-0.284754	-0.175576	-0.086839	-0.147360
Chr01	2896789	2906943	-0.393373	-0.372930	-0.151205	-0.202811
Chr01	2907009	2915141	-0.044494	-0.014462	-0.010147	-0.030720
Chr01	2915202	2922555	-0.384460	-0.408022	-0.153380	-0.302222
Chr01	2922573	2937864	-0.153003	-0.093355	-0.055809	-0.151511
Chr01	2937924	2952011	-0.314258	-0.067143	-0.048122	-0.105988
Chr01	2952177	2963026	0.213200	0.037876	0.030994	0.059467
Chr01	2963037	2987002	-0.059146	-0.019361	-0.012259	-0.038630
Chr01	2987006	3020417	-0.226301	-0.078801	-0.041827	-0.109923
Chr01	3020525	3031878	-0.422606	-0.184977	-0.105948	-0.327358
Chr01	3031997	3054319	-0.550228	-0.408542	-0.196281	-0.403492
Chr01	3054555	3072901	-0.137311	-0.058447	-0.041429	-0.093521
Chr01	3073068	3081674	0.506918	0.252808	0.178897	0.375719
Chr01	3081675	3088515	0.495848	0.247017	0.172111	0.296642
Chr01	3088522	3099583	0.412092	0.146118	0.105031	0.276324
Chr01	3099847	3113436	0.098557	0.040970	0.027971	0.075217
Chr01	3113442	3138150	0.068700	0.014272	0.010746	0.053684
Chr01	3138243	3163432	0.022252	0.003418	0.002565	0.011868
Chr01	3163489	3171705	-0.351027	-0.139565	-0.084411	-0.136224
Chr01	3171709	3186404	-0.190022	-0.085924	-0.048929	-0.153773
Chr01	3186489	3214430	-0.191860	-0.040534	-0.023834	-0.180716
Chr01	3214692	3241230	-0.107523	-0.031080	-0.018960	-0.102902
Chr01	3241341	3272163	-0.267200	-0.050262	-0.036949	-0.169633
Chr01	3272253	3287129	-0.166025	-0.048390	-0.032724	-0.103487
Chr01	3287220	3302736	-0.260712	-0.123353	-0.059992	-0.179439
Chr01	3302796	3319219	-0.503685	-0.263281	-0.113507	-0.391239
Chr01	3319261	3336320	0.120096	0.056744	0.031527	0.102415
Chr01	3336336	3358786	-0.487703	-0.169856	-0.095736	-0.271814
Chr01	3358787	3377264	-0.403516	-0.176064	-0.083561	-0.377661
Chr01	3377471	3403271	-0.341623	-0.075745	-0.051378	-0.289156
Chr01	3403317	3419125	-0.161480	-0.048978	-0.037037	-0.079345
Chr01	3419247	3425953	-0.744606	-0.622528	-0.331221	-0.536592
Chr01	3425980	3445718	-0.376375	-0.121363	-0.066496	-0.322148
Chr01	3446122	3472326	0.119762	0.022627	0.014806	0.107524
Chr01	3472363	3484579	-0.607417	-0.337208	-0.176938	-0.472936
