chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	215720	387183	-0.281570	-0.243500	-0.142801	-0.199213
Chr01	264048	496662	-0.192109	-0.144454	-0.085808	-0.129467
Chr01	387285	635628	-0.111914	-0.069469	-0.040635	-0.066831
Chr01	496682	827077	-0.066516	-0.043341	-0.024016	-0.040590
Chr01	635636	945484	-0.148705	-0.124167	-0.060278	-0.089722
Chr01	828306	1089174	-0.198801	-0.136281	-0.065219	-0.104979
Chr01	945489	1174510	-0.299164	-0.206939	-0.100356	-0.157896
Chr01	1089254	1309213	-0.325905	-0.229714	-0.111392	-0.193939
Chr01	1174511	1454714	-0.211355	-0.140603	-0.068665	-0.135283
Chr01	1309227	1520329	-0.173783	-0.130463	-0.065613	-0.122374
Chr01	1454717	1597339	-0.052851	-0.035391	-0.019088	-0.038769
Chr01	1520366	1671933	0.220339	0.142700	0.073134	0.130214
Chr01	1597677	1741735	0.113840	0.109747	0.043626	0.073967
Chr01	1672095	1864704	-0.023477	-0.022676	-0.007439	-0.012946
Chr01	1741844	1992791	-0.176434	-0.149581	-0.047394	-0.102281
Chr01	1864728	2063114	-0.160304	-0.127281	-0.048504	-0.082287
Chr01	1992849	2152324	0.077907	0.060738	0.029110	0.039526
Chr01	2063154	2226683	0.059123	0.051873	0.024791	0.029533
Chr01	2152353	2275090	0.074105	0.085119	0.042468	0.041334
Chr01	2226725	2415084	-0.138812	-0.161271	-0.079213	-0.083295
Chr01	2275091	2476865	-0.129652	-0.127178	-0.067153	-0.083657
Chr01	2415128	2549404	-0.006790	-0.006495	-0.003660	0.001530
Chr01	2477019	2642331	0.080684	0.078565	0.042293	0.047389
Chr01	2549428	2702090	0.016072	0.014657	0.008260	0.011324
Chr01	2642347	2736426	0.039269	0.035379	0.019131	0.028743
Chr01	2702093	2805356	0.007221	0.008577	0.003813	0.010551
Chr01	2736435	2897756	-0.149506	-0.169387	-0.078977	-0.080400
Chr01	2805450	2977687	0.009187	0.009149	0.004565	0.006748
Chr01	2897787	3075997	-0.019433	-0.022931	-0.010742	-0.015549
Chr01	2977694	3154135	-0.047014	-0.054772	-0.025734	-0.030933
Chr01	3076182	3270677	-0.021028	-0.017107	-0.008154	-0.010005
Chr01	3154160	3373462	-0.103934	-0.066284	-0.032385	-0.059923
Chr01	3270682	3471939	0.054219	0.036946	0.017247	0.036499
Chr01	3373488	3562090	0.186192	0.132440	0.067323	0.121814
Chr01	3471970	3659991	0.220474	0.155290	0.085684	0.146580
Chr01	3562091	3775083	0.167247	0.124188	0.060240	0.104756
Chr01	3660070	3867609	0.065922	0.058426	0.023620	0.042509
Chr01	3775090	4000999	0.042910	0.045535	0.014464	0.029405
Chr01	3867645	4115204	-0.030666	-0.031049	-0.011118	-0.014718
Chr01	4001075	4231956	-0.051264	-0.047632	-0.020732	-0.035261
Chr01	4115209	4316536	0.038483	0.040769	0.016807	0.025637
Chr01	4232325	4421082	0.100605	0.119648	0.047343	0.066174
Chr01	4316553	4485205	0.027576	0.028597	0.012532	0.013480
Chr01	4421400	4565018	-0.007639	-0.009049	-0.004577	-0.005322
Chr01	4485230	4646378	0.087145	0.094069	0.044679	0.045991
Chr01	4565133	4767738	0.056177	0.052160	0.023009	0.031661
Chr01	4646380	4871030	0.158557	0.133363	0.057551	0.104069
Chr01	4768196	5029732	0.064225	0.037487	0.020081	0.043815
Chr01	4871075	5175347	-0.106444	-0.055555	-0.031347	-0.064972
Chr01	5030310	5563638	-0.112716	-0.042713	-0.025915	-0.074486
Chr01	5177336	5734544	-0.205982	-0.065146	-0.043223	-0.131399
Chr01	5563879	5873674	-0.131301	-0.054769	-0.034814	-0.081837
Chr01	5734690	6056222	-0.121267	-0.049734	-0.029093	-0.072472
Chr01	5873735	6263705	-0.176857	-0.069105	-0.040590	-0.113932
Chr01	6056224	6641922	-0.282258	-0.093650	-0.058460	-0.208552
Chr01	6263730	7023460	-0.181702	-0.033128	-0.024323	-0.152684
Chr01	6642026	7290997	-0.055005	-0.010706	-0.008121	-0.039892
Chr01	7023582	7402944	-0.145271	-0.065974	-0.041215	-0.101300
Chr01	7291973	7567217	-0.161964	-0.073160	-0.043629	-0.117483
Chr01	7402986	7678284	-0.334129	-0.179765	-0.095796	-0.232605
Chr01	7567295	7857666	-0.451393	-0.241979	-0.131799	-0.317683
Chr01	7678323	7948761	-0.326263	-0.166831	-0.095119	-0.244373
Chr01	7857681	8069465	-0.205509	-0.130883	-0.066057	-0.134543
Chr01	7948864	8228114	-0.014047	-0.005074	-0.003040	-0.011131
Chr01	8069519	8395745	0.207177	0.069632	0.043837	0.128147
Chr01	8228125	8551929	0.471451	0.191140	0.118913	0.350087
Chr01	8395760	8657516	0.312573	0.138772	0.081649	0.216284
Chr01	8552459	8821670	-0.184302	-0.084147	-0.049156	-0.093977
Chr01	8657607	9208858	-0.120024	-0.051796	-0.032547	-0.061615
Chr01	8821683	9320676	-0.015154	-0.007630	-0.004370	-0.005599
Chr01	9209433	9505291	-0.135294	-0.059528	-0.034356	-0.105877
Chr01	9320687	9676511	-0.185232	-0.083138	-0.050492	-0.157371
Chr01	9505303	9832429	-0.061729	-0.036996	-0.022481	-0.041741
Chr01	9677286	9905209	0.004446	0.002772	0.001665	0.006606
Chr01	9832444	9986757	-0.020934	-0.013128	-0.008039	-0.006071
Chr01	9905275	10066338	0.172566	0.118956	0.072432	0.121113
Chr01	9986775	10201369	0.077017	0.064393	0.031525	0.047569
Chr01	10066362	10361729	-0.005590	-0.003031	-0.001687	-0.009878
Chr01	10201411	10466440	-0.108295	-0.055869	-0.032745	-0.072369
Chr01	10361739	10947456	-0.301538	-0.165195	-0.094707	-0.205996
Chr01	10466455	11076540	-0.523925	-0.342332	-0.196221	-0.420554
Chr01	10947483	11233549	-0.481166	-0.359770	-0.172111	-0.388314
Chr01	11076575	11342107	-0.046031	-0.025288	-0.013085	-0.030754
Chr01	11233881	11444810	0.097782	0.049599	0.031411	0.059097
Chr01	11342160	11517556	0.115938	0.078124	0.048353	0.064527
Chr01	11444823	11591551	0.120201	0.119810	0.064026	0.068146
Chr01	11517627	11753596	0.076367	0.052473	0.028293	0.047400
