chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	239987	574431	-0.173470	-0.076393	-0.051614	-0.106340
Chr01	405838	857246	-0.049685	-0.022539	-0.014613	-0.035083
Chr01	574558	1084028	0.067103	0.022749	0.015397	0.047900
Chr01	857366	1312097	-0.012620	-0.003699	-0.002424	-0.006869
Chr01	1085300	1477015	0.117695	0.045269	0.027600	0.089664
Chr01	1312133	1640533	0.215857	0.093761	0.057471	0.167227
Chr01	1477055	1805011	-0.022834	-0.009888	-0.005498	-0.016997
Chr01	1640548	2007607	-0.193518	-0.085998	-0.040098	-0.136000
Chr01	1805230	2181957	-0.087128	-0.037581	-0.018757	-0.060330
Chr01	2007699	2275071	0.064375	0.031812	0.019364	0.037179
Chr01	2181971	2483689	0.172535	0.088200	0.059117	0.116542
Chr01	2275533	2615283	-0.124025	-0.080180	-0.048389	-0.080432
Chr01	2483763	2717339	-0.198314	-0.128227	-0.076342	-0.148589
Chr01	2615285	2795297	-0.015283	-0.008780	-0.005271	-0.009073
Chr01	2717350	2952171	0.016290	0.010091	0.005875	0.010612
Chr01	2795340	3129649	0.035174	0.014972	0.010108	0.023678
Chr01	2952177	3326101	-0.092668	-0.030842	-0.020138	-0.057693
Chr01	3129780	3523756	-0.098511	-0.032580	-0.019820	-0.064498
Chr01	3326428	3699829	0.019525	0.006897	0.004317	0.009248
Chr01	3523877	3898981	0.014620	0.006175	0.003611	0.005381
Chr01	3699843	4116085	0.006604	0.002879	0.001622	0.005120
Chr01	3899054	4271205	-0.031027	-0.014352	-0.007938	-0.020340
Chr01	4116726	4419747	0.002437	0.001557	0.000764	0.003931
Chr01	4271206	4524011	0.088583	0.058495	0.032794	0.051579
Chr01	4419869	4692629	0.055447	0.028183	0.017439	0.032127
Chr01	4524056	4895762	0.132392	0.060714	0.035376	0.101039
Chr01	4692672	5083307	-0.058261	-0.026961	-0.016192	-0.044864
Chr01	4895766	5351195	-0.198484	-0.080642	-0.049987	-0.142941
Chr01	5083362	5592357	-0.099797	-0.042652	-0.026328	-0.067073
Chr01	5351265	5778754	-0.146399	-0.074900	-0.045619	-0.096308
Chr01	5592419	5916544	-0.150844	-0.085549	-0.048918	-0.090731
Chr01	5778873	6084979	-0.040846	-0.020903	-0.012033	-0.028979
Chr01	5916596	6247184	0.217704	0.091776	0.060591	0.170035
Chr01	6085144	6442658	0.164769	0.072422	0.049003	0.126651
Chr01	6247280	6907677	0.205796	0.046661	0.034726	0.153752
Chr01	6442780	7134737	0.208057	0.042869	0.034110	0.163024
Chr01	6907723	7363683	-0.121946	-0.049426	-0.033463	-0.081684
Chr01	7134824	7587444	-0.047507	-0.021126	-0.012699	-0.030480
Chr01	7363699	7819398	0.094063	0.033361	0.019912	0.069475
Chr01	7587536	7923481	-0.036315	-0.014510	-0.008176	-0.028710
Chr01	7819474	8057394	-0.107386	-0.059108	-0.032629	-0.079002
Chr01	7923484	8190060	0.223359	0.141767	0.079754	0.154888
Chr01	8057435	8373279	0.273414	0.109125	0.068646	0.168984
Chr01	8190087	8493507	0.140791	0.051756	0.030102	0.082405
Chr01	8373312	8630574	0.040819	0.020320	0.010486	0.026549
Chr01	8493533	8849985	-0.085694	-0.036058	-0.021398	-0.051119
Chr01	8630633	9266717	-0.047274	-0.016988	-0.011081	-0.021881
Chr01	8850160	9459909	-0.004555	-0.001569	-0.000928	0.003784
Chr01	9266735	9653823	-0.078824	-0.036433	-0.020737	-0.064032
Chr01	9459911	9833663	-0.227268	-0.130201	-0.080673	-0.177186
Chr01	9653863	9961737	-0.153090	-0.072989	-0.047261	-0.111838
Chr01	9833667	10062168	0.109276	0.057807	0.037408	0.078205
Chr01	9961785	10235461	0.020258	0.012221	0.006948	0.016378
Chr01	10062197	10407915	0.062104	0.030270	0.017895	0.038736
Chr01	10235463	10908588	0.099218	0.039956	0.024743	0.070232
Chr01	10408017	11068701	-0.191355	-0.077440	-0.046813	-0.146430
Chr01	10908677	11244762	-0.288524	-0.140318	-0.078499	-0.230651
Chr01	11076067	11412102	-0.200116	-0.091554	-0.052769	-0.147137
Chr01	11244777	11597164	-0.005436	-0.001885	-0.001302	0.000601
Chr01	11412103	11789816	0.095751	0.034800	0.022901	0.072091
Chr01	11597257	12122436	0.236435	0.101461	0.061732	0.165387
Chr01	11789839	12267403	0.033554	0.018025	0.009046	0.029421
Chr01	12122622	12398287	-0.330359	-0.224854	-0.093918	-0.235836
Chr01	12267488	12495089	-0.298802	-0.210275	-0.089593	-0.218930
Chr01	12398379	12690600	-0.011370	-0.006401	-0.002853	-0.004901
Chr01	12495090	12817965	0.006195	0.003384	0.001360	0.006634
Chr01	12690606	13094743	-0.337256	-0.179188	-0.062240	-0.240681
Chr01	12817966	13265085	-0.245005	-0.113666	-0.044792	-0.151951
Chr01	13094793	13541255	-0.059702	-0.020932	-0.011135	-0.034936
Chr01	13265094	13736456	-0.360171	-0.143148	-0.076427	-0.273711
Chr01	13541680	13905127	-0.422703	-0.243733	-0.113111	-0.327086
Chr01	13736535	14070375	-0.109073	-0.054472	-0.029067	-0.076940
Chr01	13905174	14178784	0.010968	0.005770	0.003087	0.008842
Chr01	14070388	14323306	-0.170451	-0.096160	-0.049015	-0.103965
Chr01	14178835	14467409	-0.114355	-0.050953	-0.029392	-0.087054
Chr01	14323315	14643150	0.096622	0.046267	0.023979	0.084598
Chr01	14467650	14781904	0.202358	0.099657	0.050506	0.167293
Chr01	14643230	14907620	0.110809	0.054976	0.029166	0.079095
Chr01	14782026	15055550	0.044733	0.021234	0.011162	0.033783
Chr01	14907745	15172164	-0.114398	-0.059082	-0.029797	-0.083004
Chr01	15055574	15286947	-0.298867	-0.208885	-0.083742	-0.204459
Chr01	15172364	15422059	-0.277191	-0.160427	-0.067781	-0.201172
Chr01	15287053	15615759	-0.182158	-0.079049	-0.040840	-0.143169
Chr01	15422061	16054116	-0.096769	-0.036832	-0.021527	-0.068804
Chr01	15615802	16229694	0.003209	0.001372	0.000816	0.006144
Chr01	16054240	16408015	-0.118634	-0.060215	-0.032855	-0.075443
Chr01	16229809	16614226	-0.068713	-0.029096	-0.016163	-0.046445
Chr01	16408069	16786559	-0.042191	-0.017307	-0.009926	-0.029383
Chr01	16614238	17010130	0.047957	0.018925	0.011655	0.035382
Chr01	16787138	17234537	0.116780	0.041777	0.024558	0.094049
Chr01	17010156	17412946	-0.021374	-0.008239	-0.004397	-0.017130
Chr01	17234596	17556573	-0.070331	-0.030045	-0.016424	-0.051586
Chr01	17415335	17778477	-0.102734	-0.045095	-0.025331	-0.070738
