chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	216714	418072	-0.111503	-0.067378	-0.044520	-0.084455
Chr01	275818	514999	-0.122304	-0.058123	-0.038697	-0.070954
Chr01	418100	638810	0.098465	0.044006	0.027447	0.064099
Chr01	515008	851313	0.168549	0.070654	0.042955	0.100292
Chr01	639087	984970	-0.129535	-0.047398	-0.031994	-0.068932
Chr01	851329	1137142	-0.097029	-0.024459	-0.017286	-0.060650
Chr01	985081	1292424	-0.083743	-0.017312	-0.012119	-0.059055
Chr01	1137202	1422328	-0.105434	-0.027458	-0.018974	-0.069811
Chr01	1292446	1520461	0.024437	0.009392	0.006165	0.015152
Chr01	1422345	1629660	-0.125010	-0.060984	-0.037112	-0.093737
Chr01	1520559	1785025	-0.451143	-0.216460	-0.121784	-0.324698
Chr01	1629693	1921358	-0.545515	-0.253028	-0.125310	-0.417556
Chr01	1785513	2098358	-0.370902	-0.158123	-0.081868	-0.272507
Chr01	1921400	2228221	-0.120671	-0.046437	-0.029592	-0.077121
Chr01	2098400	2305732	-0.125156	-0.065783	-0.042259	-0.077142
Chr01	2228229	2446409	-0.090581	-0.063316	-0.038189	-0.048996
Chr01	2306153	2533339	-0.218299	-0.166116	-0.092990	-0.130814
Chr01	2446630	2646179	-0.106358	-0.100853	-0.048791	-0.060747
Chr01	2533686	2704290	0.018578	0.017656	0.008431	0.015126
Chr01	2646204	2752798	-0.167330	-0.149721	-0.071873	-0.108450
Chr01	2704403	2845394	-0.294230	-0.226069	-0.115479	-0.192970
Chr01	2752952	2947542	-0.341352	-0.264672	-0.145673	-0.209850
Chr01	2845620	3089113	-0.184409	-0.109226	-0.068365	-0.105895
Chr01	2947559	3245089	-0.097038	-0.037054	-0.024008	-0.057638
Chr01	3089213	3416024	-0.169292	-0.055666	-0.035227	-0.107364
Chr01	3245133	3558034	-0.254776	-0.084761	-0.054760	-0.166943
Chr01	3416028	3793430	-0.227106	-0.067001	-0.044065	-0.157984
Chr01	3558058	3962170	-0.405602	-0.161631	-0.093296	-0.312200
Chr01	3793467	4069974	-0.338975	-0.173525	-0.095434	-0.244567
Chr01	3962284	4240688	-0.205736	-0.068015	-0.043292	-0.141988
Chr01	4069985	4362823	-0.463769	-0.193442	-0.116746	-0.325546
Chr01	4240755	4464136	-0.388140	-0.260260	-0.152315	-0.244887
Chr01	4362830	4589545	-0.267549	-0.134916	-0.088211	-0.165297
Chr01	4464160	4720981	-0.249033	-0.097259	-0.063473	-0.168188
Chr01	4589549	4917366	-0.387643	-0.141252	-0.088106	-0.294564
Chr01	4720985	5139588	-0.462950	-0.130708	-0.085385	-0.344202
Chr01	4917367	5440870	-0.261008	-0.066426	-0.045061	-0.174435
Chr01	5139754	5599607	-0.010645	-0.003865	-0.002672	-0.009473
Chr01	5440972	5830626	-0.085929	-0.032458	-0.021454	-0.060180
Chr01	5599735	5949621	-0.125229	-0.044765	-0.028612	-0.076774
Chr01	5830764	6120144	0.130675	0.048139	0.030677	0.083774
Chr01	5949953	6302011	-0.211878	-0.076969	-0.049027	-0.176937
Chr01	6120160	6649503	-0.507052	-0.170232	-0.108000	-0.406200
