chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	561955	756532	-0.053673	-0.045483	-0.027316	-0.028399
Superscaffold1	756602	1013478	0.386073	0.249792	0.149148	0.205867
Superscaffold1	1013809	1302995	0.129441	0.086254	0.050720	0.076691
Superscaffold1	1303069	1519171	0.354182	0.155017	0.100744	0.134945
Superscaffold1	1519310	1882244	0.355997	0.155620	0.095535	0.208342
Superscaffold1	1882281	2115363	0.205111	0.098601	0.049143	0.133259
Superscaffold1	2115388	2308879	0.021345	0.014967	0.007998	0.014431
Superscaffold1	2308909	2459785	-0.051373	-0.045060	-0.025138	-0.034208
Superscaffold1	2459786	2658215	0.047488	0.035576	0.021899	0.032860
Superscaffold1	2658325	2820846	-0.009229	-0.007937	-0.004497	-0.002087
Superscaffold1	2820850	3071469	0.027556	0.020817	0.010468	0.017303
Superscaffold1	3071472	3273008	0.114736	0.090210	0.050960	0.069861
Superscaffold1	3273025	3541373	0.149988	0.082289	0.049081	0.090858
Superscaffold1	3541375	3797238	0.209735	0.145118	0.071222	0.124174
Superscaffold1	3797328	4050514	0.154667	0.100509	0.050115	0.089097
Superscaffold1	4050538	4400471	0.286491	0.178206	0.104564	0.196716
Superscaffold1	4400515	4653181	0.315458	0.220874	0.130725	0.224287
Superscaffold1	4653235	4917356	0.104849	0.065443	0.041732	0.057897
Superscaffold1	4917398	5225881	0.391044	0.292092	0.163255	0.253400
Superscaffold1	5226647	5594149	0.261883	0.096474	0.066545	0.132164
Superscaffold1	5594191	5977664	0.236973	0.087110	0.062905	0.162602
Superscaffold1	5977707	6369582	-0.013092	-0.005444	-0.003603	-0.005035
Superscaffold1	6369618	6786385	0.031617	0.010920	0.007598	0.024047
Superscaffold1	6786489	7207953	-0.323564	-0.123417	-0.076795	-0.207879
Superscaffold1	7207974	7543842	-0.062989	-0.030570	-0.018329	-0.037895
Superscaffold1	7543936	8021476	0.152826	0.059169	0.036942	0.102454
Superscaffold1	8021523	8753698	0.243477	0.090678	0.061612	0.160376
Superscaffold1	8753740	9833184	0.188932	0.073657	0.051730	0.124223
Superscaffold1	9833196	10657526	0.098878	0.040510	0.027282	0.068423
Superscaffold1	10657743	10867554	0.143111	0.081056	0.049064	0.092787
Superscaffold1	10867670	11184782	-0.032731	-0.016465	-0.010073	-0.022658
Superscaffold1	11184783	11504782	-0.371877	-0.172507	-0.112412	-0.297159
Superscaffold1	11505352	11830994	0.110964	0.045991	0.026948	0.077148
Superscaffold1	11831144	12066461	0.185491	0.111193	0.073054	0.097219
Superscaffold1	12066540	12354703	0.061718	0.037470	0.020754	0.040300
Superscaffold1	12354825	12630879	0.330823	0.169987	0.112915	0.185126
Superscaffold1	12631110	12990264	0.020569	0.010121	0.005411	0.017260
Superscaffold1	12990438	13435202	0.485061	0.208121	0.121705	0.391603
Superscaffold1	13435253	13916120	0.368995	0.231956	0.124610	0.273209
Superscaffold1	13916152	14550052	-0.024031	-0.008194	-0.005037	-0.019349
Superscaffold1	14550490	14859973	0.097088	0.039330	0.025088	0.063366
Superscaffold1	14860021	15113404	0.190652	0.103655	0.062084	0.119104
Superscaffold1	15113485	15414423	0.067590	0.019403	0.013675	0.043996
Superscaffold1	15414487	15802181	-0.214495	-0.070355	-0.043817	-0.167058
Superscaffold1	15802191	16260315	0.125632	0.032463	0.022072	0.096013
Superscaffold1	16260323	16629949	0.102134	0.037998	0.025134	0.071955
Superscaffold1	16630024	16941666	-0.020864	-0.010404	-0.006129	-0.012533
Superscaffold1	16941687	17329777	0.026939	0.012488	0.007574	0.015750
