chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	217751	407736	-0.180658	-0.143287	-0.088011	-0.122594
Chr01	269521	523274	0.014073	0.009695	0.005747	0.009906
Chr01	407890	670001	0.313958	0.168063	0.103053	0.161080
Chr01	523276	894497	0.328520	0.180456	0.103469	0.178226
Chr01	670038	1035842	0.105534	0.062512	0.033554	0.061473
Chr01	894512	1154064	-0.011620	-0.005415	-0.003124	-0.007954
Chr01	1035863	1294907	0.145587	0.059748	0.034342	0.062715
Chr01	1154120	1459210	0.426737	0.171786	0.108164	0.207235
Chr01	1294914	1538517	0.317040	0.155160	0.097791	0.178408
Chr01	1459255	1638481	0.252074	0.128848	0.073693	0.156876
Chr01	1538570	1692056	0.328694	0.190928	0.103338	0.199753
Chr01	1638521	1832079	0.017743	0.014659	0.005526	0.012792
Chr01	1692220	1977410	-0.197404	-0.152166	-0.051838	-0.126749
Chr01	1832121	2067652	-0.105279	-0.071056	-0.029587	-0.056001
Chr01	1977464	2176345	0.097322	0.068122	0.033241	0.049990
Chr01	2067884	2245387	0.054266	0.038388	0.020503	0.027463
Chr01	2176693	2314229	-0.012806	-0.009733	-0.005784	-0.014016
Chr01	2245455	2445462	0.007878	0.006776	0.003954	0.003080
Chr01	2314290	2525872	-0.040439	-0.030111	-0.017998	-0.023198
Chr01	2445821	2636417	-0.098435	-0.073958	-0.044756	-0.046796
Chr01	2525873	2709777	-0.057808	-0.042690	-0.026838	-0.029318
Chr01	2636443	2766322	-0.031778	-0.024524	-0.014120	-0.018580
Chr01	2709778	2845906	-0.055565	-0.049899	-0.026061	-0.031324
Chr01	2766346	2948644	0.027732	0.022537	0.012573	0.019639
Chr01	2845913	3039830	0.113505	0.092686	0.052192	0.066296
Chr01	2948648	3125864	0.067401	0.063928	0.035111	0.039891
Chr01	3039840	3273016	0.059505	0.036633	0.020717	0.035264
Chr01	3126078	3393064	0.111997	0.053361	0.030448	0.068987
Chr01	3273058	3501071	0.088605	0.054062	0.028092	0.054883
Chr01	3393099	3602269	0.244160	0.155061	0.089636	0.164925
Chr01	3501141	3726494	0.229013	0.132337	0.078224	0.150101
Chr01	3602270	3850516	0.058707	0.036176	0.018552	0.036110
Chr01	3726499	4005034	0.089244	0.056105	0.025625	0.061335
Chr01	3850528	4125393	-0.017607	-0.012102	-0.005551	-0.014000
Chr01	4005041	4258383	-0.085863	-0.069477	-0.033179	-0.059911
Chr01	4125926	4364852	0.106150	0.094640	0.044517	0.069823
Chr01	4258872	4461680	0.230387	0.186599	0.104102	0.143068
Chr01	4364863	4530041	0.096771	0.067641	0.042295	0.052765
Chr01	4461750	4644574	0.141644	0.095845	0.057157	0.075014
Chr01	4530086	4797160	0.177884	0.132319	0.064041	0.101056
Chr01	4644632	4947668	0.021340	0.012292	0.006384	0.016404
Chr01	4797209	5134553	-0.088143	-0.037301	-0.021553	-0.048178
Chr01	4947671	5507896	-0.004863	-0.001784	-0.001107	-0.002331
Chr01	5134570	5716154	-0.013537	-0.004471	-0.003041	-0.008170
Chr01	5507910	5873190	-0.055435	-0.020151	-0.013766	-0.032114
Chr01	5716701	6092392	-0.087242	-0.031160	-0.019743	-0.055053
Chr01	5873478	6283294	-0.203954	-0.073465	-0.044897	-0.137907
Chr01	6094456	6703446	0.060206	0.016695	0.012027	0.042363
Chr01	6283303	7131472	0.332143	0.058876	0.049245	0.278915
Chr01	6703545	7359456	0.243468	0.043409	0.036149	0.186991
Chr01	7131667	7516100	-0.162465	-0.054372	-0.037202	-0.100566
Chr01	7359780	7665755	-0.397035	-0.165915	-0.103538	-0.224418
Chr01	7516588	7856501	-0.417328	-0.168622	-0.102243	-0.270545
Chr01	7665842	7968827	-0.318524	-0.154891	-0.090100	-0.246004
Chr01	7856520	8096136	-0.173800	-0.089429	-0.051381	-0.125233
Chr01	7968858	8341088	0.252284	0.061349	0.044355	0.177316
Chr01	8096210	8512634	0.477373	0.135866	0.095500	0.382485
Chr01	8341133	8659401	0.412971	0.173933	0.107122	0.326282
Chr01	8512660	8893582	0.120282	0.046171	0.028790	0.087358
Chr01	8659405	9250446	-0.054952	-0.021886	-0.014297	-0.016945
Chr01	8896053	9411311	-0.000860	-0.000359	-0.000214	0.005062
Chr01	9251081	9597066	-0.095375	-0.042496	-0.025642	-0.079834
Chr01	9411375	9811574	-0.117600	-0.057499	-0.035727	-0.094948
Chr01	9597068	9886293	-0.041282	-0.022712	-0.013338	-0.025674
Chr01	9811577	9982877	0.011811	0.006300	0.004068	0.010070
Chr01	9886323	10066925	0.206123	0.118832	0.076555	0.145697
Chr01	9982888	10224161	0.049076	0.032370	0.017833	0.033756
Chr01	10067013	10391019	0.035258	0.018823	0.011150	0.019098
Chr01	10224981	10541238	-0.011034	-0.004541	-0.002953	-0.007315
Chr01	10391062	11001638	-0.510269	-0.261846	-0.152246	-0.392199
Chr01	10541274	11183862	-0.591004	-0.395227	-0.210471	-0.506758
Chr01	11001655	11308720	-0.250500	-0.136721	-0.075336	-0.197977
Chr01	11183879	11411183	0.056838	0.027515	0.016310	0.043620
Chr01	11308797	11515863	0.109716	0.055749	0.036845	0.071146
Chr01	11411456	11598950	0.068821	0.044296	0.027735	0.040046
Chr01	11515881	11761999	0.077278	0.045211	0.025874	0.051175
Chr01	11598980	11927724	0.193073	0.099853	0.061003	0.126698
Chr01	11762107	12100551	0.312113	0.172969	0.121500	0.192378
Chr01	11927795	12231901	-0.008467	-0.004953	-0.002800	0.000776
Chr01	12100573	12385333	-0.246678	-0.134040	-0.065109	-0.138999
Chr01	12231905	12500841	-0.156521	-0.096406	-0.043544	-0.094139
Chr01	12385340	12714831	0.037343	0.017112	0.009369	0.037527
Chr01	12501007	12968837	0.111337	0.047223	0.019911	0.087344
Chr01	12714850	13231349	-0.061080	-0.033132	-0.011390	-0.036040
Chr01	12969048	13479376	-0.069442	-0.029497	-0.016646	-0.052977
Chr01	13231398	13673165	-0.158889	-0.060431	-0.035772	-0.131480
Chr01	13479468	13855692	-0.312691	-0.117417	-0.067369	-0.240782
Chr01	13673583	14027699	-0.210049	-0.089841	-0.050253	-0.140108
