chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	58533	73266	-0.594904	-0.155810	-0.124592	-0.487858
Chr01	73322	79850	-0.841674	-0.459106	-0.285673	-0.715935
Chr01	79865	123480	-0.571307	-0.319739	-0.207211	-0.435083
Chr01	123543	148875	-0.073053	-0.062740	-0.040372	-0.037293
Chr01	148897	153261	-0.242401	-0.349728	-0.164198	-0.085990
Chr01	153273	165852	0.001700	0.001737	0.001076	0.000039
Chr01	165874	182420	-0.177941	-0.206186	-0.127401	-0.080331
Chr01	182458	185346	-0.226268	-0.427754	-0.223443	-0.101334
Chr01	185348	189358	-0.281371	-0.544863	-0.241137	-0.119942
Chr01	189359	195988	-0.022533	-0.038773	-0.027795	-0.010850
Chr01	196193	205209	-0.080941	-0.096512	-0.067665	-0.033667
Chr01	205213	208950	0.061636	0.113469	0.072652	0.029566
Chr01	208957	212330	0.207199	0.281420	0.221146	0.070947
Chr01	212368	216631	0.052516	0.097584	0.062159	0.025516
Chr01	216632	218732	0.139619	0.240841	0.186048	0.062098
Chr01	218734	220744	0.026200	0.054006	0.033316	0.011641
Chr01	220758	225567	0.042659	0.085495	0.051217	0.016677
Chr01	225600	230357	0.126681	0.163806	0.118989	0.040654
Chr01	230367	234788	0.105760	0.128777	0.094893	0.032998
Chr01	234925	238954	0.102441	0.173658	0.112757	0.054122
Chr01	239073	247551	0.098937	0.099601	0.064120	0.035370
Chr01	247588	250709	-0.085143	-0.218319	-0.082124	-0.025299
Chr01	250781	253895	0.024779	0.053455	0.026126	0.017664
Chr01	253916	255862	-0.182703	-0.592423	-0.171812	-0.077288
Chr01	255865	258546	-0.108928	-0.123985	-0.072025	-0.046657
Chr01	258548	261909	-0.228777	-0.534777	-0.175840	-0.126795
Chr01	261952	263827	-0.315855	-0.862031	-0.239166	-0.132496
Chr01	263828	268103	-0.453153	-1.410967	-0.414338	-0.262057
Chr01	268121	270694	-0.301130	-0.700609	-0.214001	-0.138386
Chr01	270731	275135	-0.127378	-0.243706	-0.070286	-0.055180
Chr01	275159	276742	0.024476	0.036328	0.018984	0.010818
Chr01	276749	286897	-0.260174	-0.460696	-0.188823	-0.132319
Chr01	287002	308212	-0.122620	-0.068028	-0.039737	-0.075928
Chr01	308223	314161	-0.123502	-0.096071	-0.076372	-0.088054
Chr01	314191	320010	-0.139195	-0.143778	-0.100374	-0.060346
Chr01	320189	331076	-0.427720	-0.262427	-0.173161	-0.264430
Chr01	331291	342080	-0.774267	-0.434032	-0.271213	-0.237877
Chr01	342632	351903	-0.344298	-0.230042	-0.165635	-0.208212
Chr01	351924	383059	0.044746	0.016991	0.012408	0.020717
Chr01	383091	390109	0.046090	0.037674	0.027194	0.023425
Chr01	390114	397377	-0.142397	-0.154847	-0.097231	-0.068415
Chr01	397403	403381	0.051839	0.094753	0.038343	0.017476
Chr01	403392	411558	-0.126599	-0.150012	-0.067542	-0.054816
Chr01	411727	425321	0.324077	0.137879	0.106887	0.148166
Chr01	425333	431981	0.263087	0.243601	0.132072	0.145814
Chr01	431983	439398	0.520774	0.477936	0.220764	0.253013
Chr01	439632	448125	0.150249	0.074388	0.052727	0.040678
Chr01	448176	453068	0.215557	0.256535	0.163977	0.126083
Chr01	453070	465382	0.001298	0.001148	0.000596	0.002614
Chr01	465440	476022	-0.517241	-1.076340	-0.270990	-0.320750
Chr01	476047	479921	-0.165181	-0.418720	-0.106146	-0.073478
Chr01	479933	485870	-0.084838	-0.075183	-0.036616	-0.036353
Chr01	485903	494233	0.024982	0.014721	0.007965	0.016166
Chr01	494334	499761	0.261312	0.102402	0.070293	0.104885
Chr01	499856	511697	-0.255122	-0.163009	-0.080159	-0.096730
Chr01	511729	518725	-0.042226	-0.035856	-0.012780	-0.012794
Chr01	518757	526481	0.621462	0.614376	0.291567	0.499531
Chr01	526502	544450	0.713085	0.589870	0.217205	0.594268
Chr01	544458	560146	0.297424	0.185961	0.081684	0.166333
Chr01	560195	569318	0.580357	0.245159	0.165891	0.436883
Chr01	569374	576915	0.670055	0.412037	0.312063	0.516877
Chr01	576987	580926	0.625295	0.533814	0.364404	0.434324
Chr01	580938	605174	0.891778	0.651025	0.516385	0.821237
