chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	217360	430010	0.106922	0.051308	0.036644	0.072309
Chr01	280083	524108	0.077017	0.032222	0.022919	0.052193
Chr01	430089	672604	-0.143219	-0.043288	-0.031697	-0.076991
Chr01	524158	898752	-0.302769	-0.084639	-0.061139	-0.160864
Chr01	672675	1058981	-0.088172	-0.027044	-0.019317	-0.056747
Chr01	898772	1204132	0.017969	0.004552	0.003364	0.014131
Chr01	1058986	1389809	-0.217240	-0.053765	-0.038363	-0.165937
Chr01	1204148	1506048	-0.193506	-0.060205	-0.040724	-0.148041
Chr01	1389866	1597689	-0.210920	-0.092093	-0.058833	-0.158214
Chr01	1506377	1758435	-0.531558	-0.264202	-0.149797	-0.426255
Chr01	1598370	1987803	-0.558290	-0.240797	-0.127828	-0.470059
Chr01	1758474	2168280	-0.335815	-0.115473	-0.067273	-0.262872
Chr01	1987889	2258001	-0.206554	-0.068724	-0.047022	-0.143954
Chr01	2168324	2428265	-0.176174	-0.068798	-0.048415	-0.103316
Chr01	2258017	2520042	-0.086534	-0.039251	-0.026872	-0.047097
Chr01	2428304	2658269	-0.022957	-0.011283	-0.007323	-0.010865
Chr01	2520280	2714940	0.267090	0.116150	0.080685	0.160488
Chr01	2658291	2790729	0.040804	0.021546	0.013612	0.024863
Chr01	2714990	2915646	-0.370757	-0.193776	-0.117162	-0.254990
Chr01	2790742	3070324	-0.277967	-0.097069	-0.069267	-0.184379
Chr01	2915705	3276464	-0.091546	-0.023485	-0.017041	-0.058406
Chr01	3070495	3478651	-0.179604	-0.044786	-0.030605	-0.112373
Chr01	3276851	3705533	0.008255	0.002203	0.001541	0.007503
Chr01	3478727	3947698	-0.124885	-0.038842	-0.026031	-0.103798
Chr01	3706006	4108150	-0.391646	-0.120045	-0.077998	-0.295455
Chr01	3947704	4279302	-0.279167	-0.073878	-0.050358	-0.192216
Chr01	4108166	4422436	-0.418090	-0.172535	-0.107993	-0.301752
Chr01	4279377	4530311	-0.361834	-0.168861	-0.112534	-0.236334
Chr01	4422525	4717262	-0.198431	-0.056476	-0.040560	-0.130046
Chr01	4530343	4931876	-0.313242	-0.088935	-0.060995	-0.246100
