chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	631505	954577	-0.236980	-0.137549	-0.078140	-0.133829
Superscaffold1	954667	1421098	0.037625	0.016826	0.010870	0.026886
Superscaffold1	1421116	1890919	0.064100	0.026467	0.016462	0.050688
Superscaffold1	1890931	2242495	0.094990	0.038045	0.019449	0.065506
Superscaffold1	2242539	2535125	0.141667	0.069313	0.045822	0.086071
Superscaffold1	2535623	2821116	-0.018338	-0.009626	-0.005895	-0.005681
Superscaffold1	2821476	3191818	-0.094754	-0.046701	-0.026754	-0.068654
Superscaffold1	3191966	3638887	0.109135	0.038316	0.024288	0.066729
Superscaffold1	3639096	4150161	0.032392	0.013320	0.007697	0.024119
Superscaffold1	4152316	4564068	0.135739	0.067322	0.042590	0.109620
Superscaffold1	4564679	5044146	0.229603	0.099762	0.062686	0.145909
Superscaffold1	5044161	5601288	0.256515	0.082489	0.053582	0.188234
Superscaffold1	5601324	5898182	0.047683	0.028420	0.016539	0.031325
Superscaffold1	5898203	6343725	0.177010	0.075027	0.048264	0.124663
Superscaffold1	6343872	6774573	-0.008410	-0.003454	-0.002283	0.000592
Superscaffold1	6774743	7257038	0.185418	0.076367	0.046168	0.145509
Superscaffold1	7257048	7599184	-0.030375	-0.016170	-0.009251	-0.018569
Superscaffold1	7599210	8385819	0.053495	0.018898	0.011952	0.029814
Superscaffold1	8385933	9416493	0.002938	0.001075	0.000662	0.009076
Superscaffold1	9417285	10549914	-0.167086	-0.062303	-0.040674	-0.114089
Superscaffold1	10550005	10984171	0.118636	0.049584	0.031664	0.073401
Superscaffold1	10984327	11381897	0.103531	0.038918	0.025084	0.073512
Superscaffold1	11381899	11821180	-0.004355	-0.001626	-0.000988	-0.000309
Superscaffold1	11821326	12357958	0.036456	0.011454	0.007875	0.024519
Superscaffold1	12358380	12804222	0.043768	0.020891	0.011840	0.030881
Superscaffold1	12804280	13093973	0.237031	0.128545	0.068875	0.182524
Superscaffold1	13093979	13725967	0.416490	0.173786	0.088910	0.263365
Superscaffold1	13725979	14372375	0.063872	0.020696	0.011973	0.043470
Superscaffold1	14372994	14845091	0.080021	0.029062	0.017928	0.056173
