chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	138851	250485	-0.027755	-0.039821	-0.018890	-0.010363
Chr01	207873	312828	-0.105664	-0.125580	-0.056139	-0.052474
Chr01	250495	404076	-0.064946	-0.061550	-0.030136	-0.028888
Chr01	312833	479755	-0.035136	-0.044156	-0.013923	-0.011005
Chr01	404097	553894	0.143421	0.200307	0.057099	0.051671
Chr01	479769	642072	0.064626	0.095269	0.030992	0.032330
Chr01	553912	806592	-0.036611	-0.056427	-0.016627	-0.009710
Chr01	642075	907823	0.055879	0.070988	0.019627	0.018256
Chr01	806696	1013017	0.142331	0.159489	0.046234	0.036859
Chr01	907918	1105586	0.140988	0.107737	0.046000	0.043944
Chr01	1013154	1204380	-0.063156	-0.042947	-0.021555	-0.026186
Chr01	1105627	1333987	-0.106794	-0.067763	-0.036796	-0.039807
Chr01	1204448	1457339	-0.136441	-0.081816	-0.044433	-0.043887
Chr01	1334001	1534966	-0.171521	-0.123648	-0.060542	-0.063366
Chr01	1457371	1622706	0.055727	0.034658	0.019013	0.023839
Chr01	1534979	1703410	0.148126	0.083369	0.051027	0.057994
Chr01	1623044	1984878	0.153589	0.054565	0.035238	0.066706
Chr01	1703445	2084525	0.185102	0.069220	0.042149	0.082920
Chr01	1984909	2182477	0.294898	0.205071	0.113866	0.127158
Chr01	2084565	2243608	0.276045	0.202506	0.117375	0.137141
Chr01	2182516	2335728	0.055433	0.058510	0.027148	0.027466
Chr01	2243702	2443084	0.045937	0.049713	0.022903	0.025088
Chr01	2335823	2505807	0.058447	0.061099	0.028136	0.027530
Chr01	2443177	2604552	0.012261	0.014697	0.006362	0.004081
Chr01	2505845	2665429	-0.029264	-0.030375	-0.015822	-0.016149
Chr01	2604562	2718295	-0.145370	-0.147399	-0.080444	-0.067025
Chr01	2665438	2773480	-0.105129	-0.104577	-0.056074	-0.045725
Chr01	2718319	2851459	0.148318	0.130786	0.072381	0.074222
Chr01	2773504	2935313	0.119910	0.119795	0.059775	0.060151
Chr01	2851503	2998528	-0.089020	-0.108673	-0.049658	-0.038673
Chr01	2935317	3083971	-0.075364	-0.080601	-0.034666	-0.025758
Chr01	2998594	3172987	-0.032291	-0.029563	-0.013676	-0.008759
Chr01	3083976	3325558	0.021692	0.014806	0.007197	0.007883
Chr01	3172998	3460828	0.099929	0.061407	0.029651	0.038250
Chr01	3325566	3581284	-0.161081	-0.119527	-0.059397	-0.076858
Chr01	3461129	3717040	-0.216865	-0.146274	-0.080650	-0.100335
Chr01	3581340	3845613	0.029133	0.017381	0.011134	0.009767
Chr01	3717048	3971523	0.046239	0.025782	0.016146	0.012170
Chr01	3845745	4059823	0.005664	0.003586	0.002047	0.004174
Chr01	3971533	4176276	0.088258	0.064667	0.032086	0.050423
Chr01	4059830	4275808	0.203666	0.129081	0.059851	0.095958
Chr01	4176310	4368652	0.181945	0.128628	0.066664	0.067623
