chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	569390	809227	0.015951	0.011053	0.006748	0.012006
Superscaffold1	809228	1167602	0.164957	0.100246	0.059031	0.101715
Superscaffold1	1167649	1472356	0.087449	0.032442	0.021747	0.057553
Superscaffold1	1472359	1909695	-0.173972	-0.077632	-0.046725	-0.120696
Superscaffold1	1909709	2242734	0.239924	0.071857	0.040135	0.152354
Superscaffold1	2242949	2448855	0.004552	0.002587	0.001689	0.002372
Superscaffold1	2448985	2606682	0.031896	0.035528	0.018013	0.016287
Superscaffold1	2606705	2785149	0.050559	0.048847	0.027919	0.025402
Superscaffold1	2785205	2960940	-0.393103	-0.421756	-0.189584	-0.287768
Superscaffold1	2961025	3185596	0.134629	0.101181	0.055142	0.069472
Superscaffold1	3185907	3538438	-0.011048	-0.005072	-0.003145	-0.003029
Superscaffold1	3538716	3885510	-0.051409	-0.021937	-0.012027	-0.028739
Superscaffold1	3885600	4193662	-0.059310	-0.039801	-0.020632	-0.035592
Superscaffold1	4193700	4492894	0.089527	0.049231	0.027904	0.059954
Superscaffold1	4492948	4782310	0.224120	0.162473	0.089361	0.127811
Superscaffold1	4782451	5137608	0.061684	0.028331	0.018521	0.042470
Superscaffold1	5137618	5592264	-0.095633	-0.027927	-0.018432	-0.072701
Superscaffold1	5592432	5857067	0.234527	0.114106	0.076020	0.141996
Superscaffold1	5857120	6229838	0.092968	0.039906	0.025003	0.053762
Superscaffold1	6229842	6603448	0.175783	0.068180	0.045187	0.109461
Superscaffold1	6603618	7033157	0.002884	0.001187	0.000753	0.004373
Superscaffold1	7033202	7345032	0.050741	0.023152	0.012892	0.032588
Superscaffold1	7345090	7780960	0.173304	0.052546	0.035487	0.101205
Superscaffold1	7781066	8523405	0.018920	0.006467	0.003964	0.011318
Superscaffold1	8523435	9311898	0.112836	0.052633	0.033174	0.059847
Superscaffold1	9312075	10366034	0.134407	0.054943	0.035307	0.082434
Superscaffold1	10366046	10750076	0.158863	0.086364	0.054096	0.088120
Superscaffold1	10750237	10967795	0.035865	0.024136	0.012557	0.020543
Superscaffold1	10967799	11343334	-0.098408	-0.034272	-0.022160	-0.066162
Superscaffold1	11343343	11608704	-0.465107	-0.266052	-0.149925	-0.345735
Superscaffold1	11608736	12025053	-0.055366	-0.018847	-0.012283	-0.036343
Superscaffold1	12025106	12308551	-0.205789	-0.152608	-0.077981	-0.135080
Superscaffold1	12308560	12555419	0.005355	0.004682	0.002713	-0.000643
Superscaffold1	12555428	12902226	0.100320	0.043442	0.023319	0.071963
Superscaffold1	12902248	13343941	-0.063463	-0.022517	-0.013084	-0.045041
Superscaffold1	13344010	13990405	0.001559	0.000337	0.000210	0.001708
Superscaffold1	13991287	14552224	0.049319	0.017702	0.010559	0.031404
Superscaffold1	14552235	14862084	0.134262	0.059728	0.036020	0.090962
Superscaffold1	14862087	15243115	-0.145895	-0.039436	-0.028155	-0.121070
Superscaffold1	15243244	15603377	-0.225419	-0.072061	-0.046467	-0.160194
Superscaffold1	15603427	15972729	-0.197801	-0.063568	-0.038481	-0.132540
Superscaffold1	15972805	16284591	-0.003408	-0.001321	-0.000751	-0.001374
Superscaffold1	16284803	16666292	-0.023406	-0.009092	-0.005569	-0.015228
Superscaffold1	16666324	16987779	0.005636	0.002674	0.001612	0.006179
Superscaffold1	16988084	17317662	0.198504	0.105314	0.057498	0.122759
Superscaffold1	17318805	17865202	0.045633	0.016978	0.009798	0.026701
Superscaffold1	17866359	18322629	-0.151958	-0.141509	-0.058389	-0.070053
Superscaffold1	18322747	18732796	0.014881	0.006248	0.003563	0.011554
Superscaffold1	18733632	19110191	-0.113197	-0.048866	-0.032410	-0.073510
Superscaffold1	19110226	19509370	-0.143035	-0.064064	-0.043266	-0.106812
Superscaffold1	19509769	19825319	0.223182	0.087610	0.062338	0.167129
Superscaffold1	19825354	20153560	-0.053964	-0.019335	-0.012353	-0.034517
Superscaffold1	20153593	20594229	0.260808	0.110311	0.066344	0.179749
Superscaffold1	20594654	21197317	0.044317	0.021658	0.011621	0.029204
Superscaffold1	21197640	21511358	0.073774	0.027711	0.015550	0.049452
Superscaffold1	21511613	21814257	-0.098396	-0.048806	-0.026009	-0.059793
Superscaffold1	21814319	22233511	0.437264	0.159571	0.106480	0.296850
Superscaffold1	22233583	22768105	0.313951	0.086705	0.054003	0.214339
Superscaffold1	22768143	23237043	0.332431	0.089001	0.054637	0.270418
Superscaffold1	23237115	23685797	-0.025037	-0.008014	-0.004593	-0.019659
Superscaffold1	23685845	24047151	-0.154804	-0.060541	-0.034627	-0.094061
Superscaffold1	24047870	24425628	-0.032458	-0.012314	-0.007954	-0.020093
Superscaffold1	24426046	24811547	0.122540	0.039595	0.025469	0.097973
Superscaffold1	24812157	25238143	-0.092039	-0.030773	-0.018004	-0.062553
Superscaffold1	25238210	25584214	-0.234049	-0.085887	-0.053125	-0.147784
Superscaffold1	25584268	25927124	-0.254617	-0.126061	-0.083239	-0.180712
Superscaffold1	25927146	26282587	-0.024105	-0.008712	-0.004729	-0.013785
Superscaffold1	26282853	26698547	0.174897	0.051362	0.034502	0.107240
Superscaffold1	26698572	27227127	-0.194648	-0.042835	-0.025117	-0.125297
Superscaffold1	27227128	27561798	-0.107086	-0.048633	-0.028949	-0.081091
Superscaffold1	27561995	27837046	0.063760	0.032553	0.017862	0.029322
Superscaffold1	27837183	28067781	-0.157484	-0.093976	-0.054750	-0.092147
Superscaffold1	28068213	28334414	0.158470	0.088259	0.050133	0.098660
Superscaffold1	28334623	28807299	0.046388	0.012779	0.009630	0.030499
Superscaffold1	28807421	29314575	0.079147	0.018073	0.011859	0.054543
Superscaffold1	29314656	29641340	0.127541	0.059305	0.034933	0.075964
Superscaffold1	29641387	29920617	-0.166751	-0.079648	-0.035621	-0.114744
Superscaffold1	29920647	30232067	0.041532	0.019583	0.012683	0.017884
Superscaffold1	30232559	30853012	0.118685	0.046684	0.026040	0.064063
Superscaffold1	30853103	31285232	-0.102133	-0.029323	-0.018290	-0.071482
Superscaffold1	31285266	32026915	0.124441	0.030904	0.019876	0.072186
Superscaffold1	32026957	32589694	0.085347	0.034073	0.018505	0.060772
Superscaffold1	32590076	32956893	0.163385	0.057734	0.035614	0.115893
Superscaffold1	32956973	33334617	-0.272581	-0.119543	-0.070040	-0.174575
Superscaffold1	33334697	33550609	-0.160747	-0.085574	-0.058128	-0.109245
Superscaffold1	33550842	33812178	0.079194	0.057206	0.033218	0.044760
Superscaffold1	33812260	34079321	-0.067799	-0.027479	-0.017926	-0.046883
Superscaffold1	34079800	34340072	-0.314474	-0.102544	-0.064231	-0.202965
Superscaffold1	34340110	34905127	0.078515	0.017685	0.012059	0.059803
Superscaffold1	34905218	35387827	0.000160	0.000049	0.000032	-0.004991
Superscaffold1	35387834	36400029	0.054099	0.016505	0.011345	0.028797
Superscaffold1	36400202	37033430	0.292579	0.091649	0.059027	0.175315
Superscaffold1	37033530	37359988	0.116848	0.043504	0.027309	0.058213
Superscaffold1	37359992	37627300	0.403300	0.173524	0.105817	0.273490
Superscaffold1	37627312	38269918	0.130658	0.053450	0.032651	0.071663
Superscaffold1	38270013	38571378	0.267502	0.096780	0.061968	0.202384
Superscaffold1	38571380	38945576	-0.001925	-0.000625	-0.000412	-0.005286
Superscaffold1	38945688	39203899	0.011664	0.005159	0.002913	0.011107
Superscaffold1	39203902	39636946	-0.233744	-0.079083	-0.046740	-0.180183
Superscaffold1	39636961	40009724	0.246630	0.071407	0.045405	0.186825
Superscaffold1	40009819	40390302	0.225499	0.067252	0.043711	0.154672
Superscaffold1	40390464	40844667	-0.030201	-0.009058	-0.006129	-0.022618
Superscaffold1	40844678	41375693	0.131246	0.033246	0.019746	0.085534
Superscaffold1	41376051	41747524	0.010116	0.003240	0.002065	0.005790
Superscaffold1	41747532	42428074	0.217535	0.027659	0.019659	0.179852
Superscaffold1	42428078	43149700	0.167771	0.022904	0.015439	0.142089
Superscaffold1	43149929	43794867	0.281787	0.040703	0.026096	0.230141
Superscaffold1	43794868	44003791	-0.306685	-0.111475	-0.058638	-0.252008
Superscaffold1	44003848	44529153	0.292997	0.112762	0.050292	0.251844
Superscaffold1	44529679	45013770	-0.058293	-0.012804	-0.007025	-0.029916
Superscaffold1	45014031	45618431	0.086499	0.017727	0.011631	0.064149
Superscaffold1	45620886	46004858	-0.292469	-0.079617	-0.045503	-0.219277
Superscaffold1	46005060	46938379	0.172675	0.030194	0.015670	0.135719
Superscaffold1	46938992	47770011	0.299799	0.051321	0.030484	0.240586
Superscaffold1	47770018	48359123	-0.031998	-0.005806	-0.003451	-0.010574
Superscaffold1	48359133	48771920	0.026083	0.005476	0.002895	0.026572
Superscaffold1	48772053	49427439	-0.012371	-0.002140	-0.001398	-0.009835
Superscaffold1	49427961	50029256	-0.143262	-0.025600	-0.016981	-0.113862
Superscaffold1	50029280	50333499	-0.375410	-0.189587	-0.104091	-0.337493
Superscaffold1	50333536	50846561	0.083053	0.031321	0.022567	0.051719
Superscaffold1	50846637	51095925	0.185298	0.155077	0.089707	0.100822
Superscaffold1	51095983	51868529	0.111441	0.067635	0.040155	0.064901
Superscaffold2	371691	646617	0.195440	0.094432	0.060249	0.097926
Superscaffold2	646638	945862	0.274906	0.155434	0.084879	0.159809
Superscaffold2	945906	1293957	0.126802	0.041460	0.027921	0.055781
Superscaffold2	1293980	1571403	0.069754	0.031482	0.020166	0.024743
Superscaffold2	1571709	1955802	0.158006	0.045334	0.028327	0.079308
Superscaffold2	1955890	2371443	0.053339	0.017302	0.010627	0.033050
Superscaffold2	2371449	2964531	0.117739	0.041223	0.027021	0.078897
Superscaffold2	2964543	3583924	-0.038806	-0.020727	-0.011757	-0.024000
Superscaffold2	3583954	3955749	-0.055581	-0.024079	-0.013186	-0.037526
Superscaffold2	3955853	4415766	0.075913	0.026502	0.015812	0.056790
Superscaffold2	4415964	4827570	-0.076191	-0.029965	-0.016127	-0.059956
Superscaffold2	4827594	5250044	0.073831	0.032886	0.019769	0.043964
Superscaffold2	5250073	5523593	0.187832	0.071324	0.042875	0.106352
Superscaffold2	5523837	6059881	0.393451	0.173321	0.086049	0.305137
Superscaffold2	6059941	6511444	0.349937	0.092456	0.068952	0.239446
Superscaffold2	6511989	7082604	-0.070518	-0.018047	-0.010922	-0.053603
Superscaffold2	7082658	7635079	-0.156709	-0.053493	-0.030714	-0.101468
Superscaffold2	7635128	8104021	-0.078087	-0.022312	-0.013779	-0.057525
Superscaffold2	8104043	8886469	-0.055192	-0.013252	-0.008790	-0.034759
Superscaffold2	8887603	9495997	0.226411	0.074008	0.045045	0.157026
Superscaffold2	9496062	10003708	0.085036	0.024865	0.014471	0.053807
Superscaffold2	10003712	10501177	0.024987	0.008495	0.005249	0.018801
Superscaffold2	10501318	10816102	0.095770	0.039569	0.026497	0.064528
Superscaffold2	10816107	11206671	-0.048147	-0.015833	-0.008851	-0.027593
Superscaffold2	11206795	11571459	0.183835	0.060123	0.035403	0.097718
Superscaffold2	11572108	12390442	0.012422	0.005011	0.002616	0.008556
Superscaffold2	12390445	13005109	0.096920	0.044891	0.022804	0.067003
Superscaffold2	13005112	13482148	0.259113	0.072286	0.042711	0.185180
Superscaffold2	13483398	13908042	0.171785	0.060090	0.035230	0.120831
Superscaffold2	13908206	14295069	0.015711	0.006378	0.003612	0.010895
Superscaffold2	14295211	14794826	-0.019743	-0.005762	-0.003599	-0.011276
Superscaffold2	14795001	15163311	-0.081734	-0.026669	-0.015652	-0.058169
Superscaffold2	15163351	16361400	-0.057479	-0.020194	-0.011744	-0.042156
Superscaffold2	16361438	16726359	0.121556	0.049883	0.031982	0.068229
Superscaffold2	16726432	17129446	-0.108166	-0.039175	-0.023089	-0.058349
Superscaffold2	17129454	17693584	-0.062816	-0.021650	-0.013310	-0.046421
Superscaffold2	17693647	18113805	0.115250	0.035575	0.020065	0.077691
Superscaffold2	18114146	18547997	-0.263769	-0.085905	-0.046961	-0.210415
Superscaffold2	18548036	19136450	-0.217247	-0.052084	-0.030689	-0.160359
Superscaffold2	19137382	19627197	-0.061090	-0.019068	-0.011475	-0.034431
Superscaffold2	19627235	19890335	-0.208302	-0.172500	-0.089642	-0.163348
Superscaffold2	19890336	20263764	0.236763	0.073753	0.043312	0.188708
Superscaffold2	20263932	20724837	-0.004142	-0.001130	-0.000642	-0.002721
