chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	571578	820083	0.079331	0.045253	0.029370	0.052973
Superscaffold1	822357	1200612	-0.081155	-0.044646	-0.025430	-0.051782
Superscaffold1	1200702	1552959	0.058780	0.017983	0.012099	0.038642
Superscaffold1	1553313	2102512	-0.063504	-0.019657	-0.010975	-0.047496
Superscaffold1	2102513	2388033	0.087657	0.040397	0.024316	0.055194
Superscaffold1	2388088	2567036	-0.009245	-0.006600	-0.003972	-0.009752
Superscaffold1	2567088	2770382	-0.156361	-0.134618	-0.069895	-0.094687
Superscaffold1	2770448	2972145	-0.372524	-0.337915	-0.162795	-0.271997
Superscaffold1	2972208	3245238	-0.006771	-0.004617	-0.002512	-0.002295
Superscaffold1	3245244	3662215	-0.168119	-0.062824	-0.038248	-0.103587
Superscaffold1	3662845	4068880	-0.158567	-0.074016	-0.040535	-0.108749
Superscaffold1	4068986	4473860	0.139632	0.063288	0.039818	0.089626
Superscaffold1	4473903	4795611	0.082432	0.049390	0.028278	0.053927
Superscaffold1	4795663	5245370	-0.030226	-0.010206	-0.006726	-0.021610
Superscaffold1	5245385	5695753	-0.100379	-0.029769	-0.021371	-0.070258
Superscaffold1	5696462	6117313	0.059772	0.022426	0.014599	0.041259
Superscaffold1	6117328	6475311	0.137581	0.054330	0.033641	0.090793
Superscaffold1	6475917	6996111	-0.149154	-0.057901	-0.036793	-0.106981
Superscaffold1	6996442	7445016	-0.020737	-0.007517	-0.004333	-0.010586
Superscaffold1	7445084	8012076	-0.041382	-0.009841	-0.006764	-0.025786
Superscaffold1	8012348	8861497	0.099576	0.039592	0.023720	0.062488
Superscaffold1	8861551	10356683	0.043326	0.015283	0.009704	0.033453
Superscaffold1	10356700	10787758	0.109769	0.050715	0.032531	0.067212
Superscaffold1	10787766	11122428	-0.107597	-0.044824	-0.026809	-0.055778
Superscaffold1	11122443	11488999	-0.426317	-0.198623	-0.121372	-0.329378
Superscaffold1	11489009	11893768	-0.021210	-0.007901	-0.004710	-0.013463
Superscaffold1	11893787	12212980	-0.216296	-0.127786	-0.076251	-0.147876
Superscaffold1	12213020	12512953	0.143926	0.095791	0.057117	0.089138
Superscaffold1	12513193	12909883	0.019415	0.008243	0.004471	0.013521
Superscaffold1	12909890	13560414	-0.054886	-0.014303	-0.008711	-0.039859
Superscaffold1	13560455	14318363	-0.179066	-0.050296	-0.031047	-0.134993
Superscaffold1	14318445	14795423	-0.079587	-0.027253	-0.015976	-0.061097
Superscaffold1	14795453	15154135	-0.175744	-0.057178	-0.038462	-0.132474
Superscaffold1	15154434	15594938	-0.249892	-0.078099	-0.050922	-0.196589
Superscaffold1	15594998	15997563	-0.246014	-0.078759	-0.047414	-0.173475
Superscaffold1	15997664	16413715	-0.178676	-0.064233	-0.036819	-0.125961
Superscaffold1	16413766	16762759	-0.060399	-0.032167	-0.019305	-0.042657
