chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209382	354020	0.051873	0.044865	0.028834	0.026776
Chr01	263281	476941	-0.014106	-0.008014	-0.005413	-0.009178
Chr01	354154	569374	-0.042525	-0.020670	-0.012291	-0.022576
Chr01	476958	661573	0.104776	0.047987	0.028976	0.058158
Chr01	569403	858053	-0.049030	-0.021161	-0.013364	-0.027799
Chr01	661591	978206	-0.309657	-0.134101	-0.082988	-0.180249
Chr01	858098	1100228	-0.254204	-0.067335	-0.046219	-0.155938
Chr01	978319	1207651	-0.130968	-0.026357	-0.018609	-0.090851
Chr01	1100229	1370811	-0.089857	-0.021068	-0.014628	-0.064469
Chr01	1207771	1466211	-0.079265	-0.026605	-0.016727	-0.056478
Chr01	1370821	1538361	0.013732	0.006896	0.004186	0.007743
Chr01	1466256	1643005	-0.203155	-0.108037	-0.063890	-0.146373
Chr01	1538363	1723267	-0.310481	-0.172104	-0.094715	-0.231903
Chr01	1643087	1878238	-0.318070	-0.142202	-0.073520	-0.229320
Chr01	1723339	2023085	-0.392735	-0.182832	-0.089830	-0.295412
Chr01	1878267	2118580	-0.287366	-0.140645	-0.074909	-0.198829
Chr01	2023132	2221989	-0.012673	-0.005295	-0.003540	-0.009165
Chr01	2118712	2270837	-0.055786	-0.030627	-0.020114	-0.032041
Chr01	2221992	2412157	-0.081328	-0.069213	-0.037460	-0.039023
Chr01	2270995	2477019	-0.043507	-0.035692	-0.020700	-0.019510
Chr01	2412318	2540227	-0.229740	-0.240510	-0.120178	-0.132432
Chr01	2477059	2642450	-0.176883	-0.220170	-0.088053	-0.099775
Chr01	2540409	2691937	0.057616	0.058239	0.027543	0.033055
Chr01	2642458	2725857	-0.142384	-0.162211	-0.067140	-0.083061
Chr01	2691951	2791227	-0.267296	-0.335072	-0.125239	-0.150133
Chr01	2725859	2872770	-0.299712	-0.309774	-0.149978	-0.184640
Chr01	2791253	2952101	-0.231227	-0.219821	-0.119217	-0.136764
Chr01	2872845	3051892	-0.172956	-0.125100	-0.072133	-0.096348
Chr01	2952104	3155432	-0.074889	-0.035384	-0.022121	-0.044450
Chr01	3052109	3271184	-0.052708	-0.019739	-0.012452	-0.030009
Chr01	3155455	3403293	-0.194701	-0.080995	-0.046329	-0.119565
Chr01	3271287	3512836	-0.250432	-0.104276	-0.061246	-0.151287
Chr01	3403317	3645648	0.019337	0.006989	0.004664	0.009456
Chr01	3512913	3819133	0.023208	0.008065	0.005206	0.007878
Chr01	3646815	3947124	-0.369063	-0.174779	-0.093296	-0.276672
Chr01	3819182	4031722	-0.441974	-0.249099	-0.125920	-0.288803
Chr01	3947444	4143361	-0.145310	-0.049671	-0.032201	-0.076292
Chr01	4031748	4265546	-0.254077	-0.091724	-0.056766	-0.170057
Chr01	4143369	4370492	-0.528911	-0.319078	-0.171871	-0.386430
Chr01	4265547	4451481	-0.434378	-0.376636	-0.201746	-0.272035
Chr01	4370494	4511094	-0.016802	-0.011813	-0.007860	-0.006359
Chr01	4451541	4630211	-0.068256	-0.028754	-0.019411	-0.042196
Chr01	4511101	4768150	-0.318232	-0.121681	-0.075972	-0.222984
Chr01	4630352	4918153	-0.463597	-0.179463	-0.109200	-0.330312
Chr01	4768196	5106349	-0.403406	-0.108020	-0.072051	-0.273804
Chr01	4918354	5284458	-0.396556	-0.099785	-0.066613	-0.243592
Chr01	5106350	5507933	-0.400621	-0.149745	-0.091991	-0.266171
Chr01	5284617	5696559	-0.159150	-0.063593	-0.039982	-0.107045
Chr01	5507965	5841258	-0.089668	-0.032657	-0.020779	-0.057311
Chr01	5696661	5927685	-0.196601	-0.089063	-0.051934	-0.113690
Chr01	5841418	6029556	-0.114280	-0.058576	-0.032803	-0.064328
Chr01	5927692	6185467	0.130680	0.040393	0.026753	0.089188
Chr01	6029614	6365886	-0.234622	-0.081813	-0.053235	-0.190755
Chr01	6185517	6648704	-0.481334	-0.191083	-0.115252	-0.379171
Chr01	6365978	6904538	-0.209043	-0.066098	-0.044286	-0.174392
Chr01	6648902	7100855	-0.023207	-0.006674	-0.005000	-0.021609
Chr01	6904539	7292128	-0.177554	-0.062469	-0.044983	-0.134493
Chr01	7100950	7386947	-0.373227	-0.238507	-0.127499	-0.261492
Chr01	7292175	7500993	-0.325685	-0.170124	-0.096485	-0.226259
Chr01	7386967	7659356	-0.416786	-0.144901	-0.087581	-0.285058
Chr01	7501085	7796338	-0.582429	-0.255273	-0.141603	-0.427619
Chr01	7659436	7912288	-0.548814	-0.272977	-0.151148	-0.397494
Chr01	7796340	8047812	-0.299056	-0.120053	-0.070716	-0.209554
Chr01	7912296	8184992	-0.192804	-0.064085	-0.040031	-0.125792
Chr01	8047860	8284666	-0.155070	-0.047709	-0.031168	-0.102482
Chr01	8185481	8457266	-0.303182	-0.079842	-0.054148	-0.229257
Chr01	8284691	8532986	-0.574406	-0.222081	-0.134690	-0.429485
Chr01	8457407	8616575	-0.511155	-0.504296	-0.192476	-0.362190
Chr01	8532994	8686717	-0.170534	-0.102121	-0.051753	-0.106348
Chr01	8616595	8854858	-0.114121	-0.052053	-0.031575	-0.057202
Chr01	8686763	8953561	-0.151375	-0.074549	-0.043745	-0.065832
Chr01	8854877	9268163	-0.150171	-0.043373	-0.029753	-0.059769
Chr01	8953590	9399042	-0.501986	-0.151773	-0.097162	-0.331922
Chr01	9268186	9531446	-0.478556	-0.198802	-0.115135	-0.378508
Chr01	9399159	9702671	-0.334337	-0.150394	-0.086954	-0.238956
Chr01	9531651	9843251	-0.145532	-0.064226	-0.041032	-0.093857
Chr01	9702793	9923928	0.029476	0.015079	0.010230	0.021432
Chr01	9843258	10026558	-0.200548	-0.094392	-0.061443	-0.129430
Chr01	9923940	10138259	-0.187546	-0.080956	-0.050103	-0.111915
Chr01	10026620	10240175	-0.045522	-0.025814	-0.013769	-0.031883
Chr01	10138345	10392861	0.075530	0.031940	0.020382	0.043160
Chr01	10240389	10519449	-0.126839	-0.048573	-0.030585	-0.101206
Chr01	10392873	10988152	-0.503225	-0.271973	-0.153280	-0.407496
Chr01	10519477	11134024	-0.600236	-0.450891	-0.236961	-0.485584
Chr01	10988154	11257612	-0.476929	-0.317149	-0.154383	-0.345913
