chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	530243	696821	-0.054980	-0.032320	-0.021242	-0.036314
Superscaffold1	696839	876491	0.112751	0.052564	0.033120	0.072550
Superscaffold1	876648	1230321	-0.086245	-0.030864	-0.020817	-0.047415
Superscaffold1	1230338	1487488	0.182349	0.039615	0.029595	0.090476
Superscaffold1	1487525	1880515	-0.094484	-0.030578	-0.020495	-0.060086
Superscaffold1	1880535	2240562	-0.260561	-0.093393	-0.054330	-0.203883
Superscaffold1	2240662	2476900	-0.144273	-0.073863	-0.048069	-0.098723
Superscaffold1	2477061	2713707	-0.062332	-0.032066	-0.021223	-0.034955
Superscaffold1	2713738	2874463	-0.144475	-0.118730	-0.063299	-0.090442
Superscaffold1	2874464	3102001	-0.139347	-0.103427	-0.055438	-0.087154
Superscaffold1	3102118	3465604	0.126356	0.047222	0.029999	0.077000
Superscaffold1	3465613	3905543	-0.127858	-0.038585	-0.024622	-0.078691
Superscaffold1	3905668	4365968	-0.112378	-0.038646	-0.024269	-0.058702
Superscaffold1	4366173	4749880	-0.214716	-0.086534	-0.056790	-0.151062
Superscaffold1	4749908	5172504	-0.067032	-0.021234	-0.015019	-0.039192
Superscaffold1	5172939	5660798	-0.114898	-0.025008	-0.018208	-0.075647
Superscaffold1	5660801	6025014	0.309122	0.104417	0.075211	0.194558
Superscaffold1	6025021	6555685	-0.011438	-0.002876	-0.002056	-0.006656
Superscaffold1	6555778	7028888	-0.093877	-0.028272	-0.019395	-0.062019
Superscaffold1	7028998	7374097	-0.479753	-0.192116	-0.118390	-0.358073
Superscaffold1	7374198	7868683	-0.063968	-0.018791	-0.013222	-0.038735
Superscaffold1	7868687	8536117	-0.059609	-0.022454	-0.014078	-0.035847
Superscaffold1	8536213	9632356	-0.045471	-0.013226	-0.009413	-0.027594
Superscaffold1	9632409	10664479	0.054979	0.015944	0.011840	0.040440
Superscaffold1	10664593	11017372	-0.075403	-0.023186	-0.015789	-0.047147
Superscaffold1	11019169	11426531	-0.281401	-0.086700	-0.060591	-0.214731
Superscaffold1	11426571	11835954	-0.333519	-0.113908	-0.071657	-0.248022
Superscaffold1	11835957	12199598	-0.093196	-0.030715	-0.021471	-0.059147
Superscaffold1	12200956	12517705	0.239216	0.097955	0.066644	0.137517
Superscaffold1	12517819	12896033	-0.123421	-0.044334	-0.027842	-0.102311
Superscaffold1	12896091	13397994	0.026553	0.007210	0.004611	0.019679
Superscaffold1	13398247	14323672	0.073631	0.012847	0.008829	0.056983
Superscaffold1	14323756	14812673	-0.021740	-0.005370	-0.003608	-0.019032
Superscaffold1	14812897	15154691	-0.144450	-0.045064	-0.030659	-0.100753
Superscaffold1	15154751	15622844	-0.140071	-0.028262	-0.020374	-0.107339
Superscaffold1	15623076	16036278	-0.226823	-0.061267	-0.040507	-0.175196
Superscaffold1	16036552	16420822	-0.197169	-0.057666	-0.035204	-0.140247
Superscaffold1	16421139	16733442	0.075854	0.030176	0.019310	0.044582
Superscaffold1	16733451	17169820	-0.050511	-0.017074	-0.009860	-0.025095
