chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	206228	335657	-0.094511	-0.109875	-0.066879	-0.060920
Chr01	256081	465303	-0.020591	-0.018286	-0.010831	-0.014837
Chr01	335676	576753	0.306644	0.234015	0.119814	0.180972
Chr01	465327	684725	0.424919	0.275378	0.152291	0.232333
Chr01	576777	883195	0.312168	0.218560	0.118347	0.173984
Chr01	684811	1002607	0.137443	0.108615	0.050234	0.072707
Chr01	883893	1120117	-0.004748	-0.003008	-0.001457	-0.003577
Chr01	1002625	1206259	-0.002960	-0.001668	-0.000845	-0.003991
Chr01	1120164	1370109	0.024650	0.013604	0.006932	0.011366
Chr01	1206305	1474945	0.183506	0.110304	0.054749	0.098986
Chr01	1370114	1546351	0.219813	0.148809	0.079413	0.141691
Chr01	1474993	1637273	0.177368	0.107937	0.055996	0.101393
Chr01	1546379	1689041	0.262059	0.185718	0.088671	0.154574
Chr01	1637302	1807779	-0.063530	-0.057770	-0.020805	-0.035512
Chr01	1689046	1896760	-0.136649	-0.102232	-0.035695	-0.075595
Chr01	1807964	2019701	-0.103719	-0.073829	-0.027628	-0.052853
Chr01	1896766	2097044	-0.123542	-0.097861	-0.039997	-0.063756
Chr01	2019750	2188559	0.039267	0.036287	0.016238	0.020185
Chr01	2097247	2250126	0.016669	0.016648	0.007485	0.007628
Chr01	2188587	2338252	-0.041319	-0.046471	-0.023405	-0.027982
Chr01	2250154	2445821	-0.071383	-0.072389	-0.038760	-0.041522
Chr01	2338253	2511175	-0.116636	-0.102384	-0.056140	-0.065489
Chr01	2445832	2615659	-0.223977	-0.224793	-0.112530	-0.129295
Chr01	2511200	2671434	0.094956	0.106876	0.054775	0.062317
Chr01	2615669	2718065	0.287247	0.315692	0.174302	0.196465
Chr01	2671599	2773150	0.086167	0.102706	0.049770	0.061419
Chr01	2718087	2850623	-0.045875	-0.055996	-0.025887	-0.025373
Chr01	2773171	2945541	-0.019864	-0.023549	-0.010769	-0.011045
Chr01	2850748	3032601	-0.094061	-0.119102	-0.051969	-0.061475
Chr01	2946418	3108624	-0.159911	-0.216272	-0.095622	-0.105949
Chr01	3032611	3211582	-0.047316	-0.048340	-0.021878	-0.025351
Chr01	3108691	3334948	-0.060016	-0.037525	-0.018793	-0.030154
Chr01	3211591	3446775	0.062588	0.039312	0.019152	0.043790
Chr01	3334961	3542862	0.211332	0.143605	0.072006	0.136093
Chr01	3446805	3632649	0.515670	0.355754	0.215558	0.365120
Chr01	3542927	3760345	0.406456	0.318002	0.173317	0.282323
Chr01	3632953	3851623	-0.000910	-0.000846	-0.000342	-0.000286
Chr01	3760355	3981350	0.006381	0.006234	0.002016	0.006974
Chr01	3851631	4070621	0.019397	0.017956	0.006499	0.014243
Chr01	3981380	4202074	-0.010092	-0.009617	-0.004214	-0.010734
Chr01	4070630	4291052	-0.143419	-0.155496	-0.058905	-0.093855
Chr01	4202128	4400230	-0.090745	-0.108529	-0.039369	-0.054286
Chr01	4291125	4467623	0.004242	0.004598	0.002004	0.004046
Chr01	4400254	4526529	-0.037150	-0.042132	-0.023194	-0.017060
Chr01	4467697	4622305	0.100844	0.113255	0.052507	0.059224
Chr01	4526651	4703015	0.152932	0.159679	0.070673	0.086828
Chr01	4622326	4828620	0.118132	0.129391	0.047832	0.077144
Chr01	4703024	4960689	0.030608	0.020514	0.010210	0.022049
Chr01	4828888	5127389	-0.082037	-0.035971	-0.021756	-0.042524
