chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	210418	450210	-0.070572	-0.045817	-0.030863	-0.052597
Chr01	281877	577249	0.105345	0.060288	0.036292	0.063442
Chr01	450259	765758	-0.004090	-0.002357	-0.001336	-0.001148
Chr01	577250	953995	-0.098622	-0.053552	-0.032567	-0.063668
Chr01	767421	1142800	-0.079698	-0.028143	-0.018281	-0.059577
Chr01	954146	1318080	-0.117279	-0.036782	-0.023626	-0.092515
Chr01	1142815	1492886	-0.142268	-0.058607	-0.036762	-0.123077
Chr01	1318108	1617725	-0.155851	-0.079270	-0.047219	-0.125399
Chr01	1493217	1703192	-0.186238	-0.100567	-0.054376	-0.124068
Chr01	1617776	1887564	-0.114354	-0.046448	-0.023322	-0.075890
Chr01	1703203	2044996	-0.146658	-0.053256	-0.026570	-0.096113
Chr01	1887634	2172871	-0.155402	-0.060374	-0.034977	-0.096909
Chr01	2045003	2248575	-0.099091	-0.051006	-0.031505	-0.059904
Chr01	2172873	2376426	-0.158734	-0.152873	-0.077144	-0.098057
Chr01	2248588	2458038	-0.127325	-0.151048	-0.071384	-0.078032
Chr01	2376477	2512712	-0.054570	-0.073876	-0.031678	-0.023871
Chr01	2461513	2617474	-0.071779	-0.088114	-0.038912	-0.035779
Chr01	2512831	2676768	0.121228	0.104989	0.057433	0.073460
Chr01	2617480	2722175	0.199709	0.193859	0.094301	0.114678
Chr01	2676815	2792492	-0.122588	-0.144217	-0.063177	-0.078671
Chr01	2722193	2884871	-0.269548	-0.307021	-0.147618	-0.166933
Chr01	2792503	2955282	-0.068262	-0.074010	-0.035908	-0.038126
Chr01	2885094	3070804	-0.056531	-0.066131	-0.026255	-0.033335
Chr01	2955355	3168553	0.012330	0.009367	0.004547	0.004306
Chr01	3071496	3307737	-0.105303	-0.051261	-0.028606	-0.056450
Chr01	3168633	3450524	-0.263848	-0.118815	-0.066977	-0.171333
Chr01	3307775	3560847	0.085002	0.041654	0.025402	0.059792
Chr01	3450856	3758700	0.178911	0.092275	0.056412	0.133104
Chr01	3560928	3849545	0.048030	0.029260	0.015662	0.035697
Chr01	3759124	3984492	-0.262832	-0.202692	-0.089348	-0.189371
Chr01	3849605	4114831	-0.288625	-0.159679	-0.086448	-0.195953
Chr01	3984493	4256477	-0.051058	-0.023920	-0.014237	-0.035201
Chr01	4114838	4339704	-0.161071	-0.096989	-0.051717	-0.095730
Chr01	4257488	4441779	-0.072634	-0.066803	-0.028681	-0.031444
Chr01	4339721	4500665	0.008599	0.009386	0.003888	0.007623
Chr01	4441976	4623007	-0.146141	-0.088536	-0.052721	-0.088264
Chr01	4500781	4797043	-0.098503	-0.042520	-0.025402	-0.065470
Chr01	4623042	4939616	-0.194753	-0.084167	-0.050911	-0.139769
Chr01	4797130	5168566	-0.293938	-0.098232	-0.061533	-0.218241
Chr01	4939726	5408561	-0.229081	-0.065546	-0.041871	-0.156208
Chr01	5168695	5607342	-0.155909	-0.065340	-0.041500	-0.107770
Chr01	5408695	5800202	-0.046845	-0.018659	-0.011701	-0.029844
Chr01	5607343	5925798	-0.055212	-0.019862	-0.012626	-0.030472
Chr01	5800216	6030317	-0.033496	-0.017805	-0.010020	-0.018567
Chr01	5925808	6170618	0.075483	0.031888	0.019139	0.048180
Chr01	6030407	6371432	-0.004333	-0.001831	-0.001023	0.002397
Chr01	6170702	6774256	0.012984	0.004069	0.002438	0.013349
Chr01	6371449	6923607	0.363606	0.106443	0.070967	0.307242
Chr01	6774448	7139302	0.320052	0.125127	0.087339	0.285673
Chr01	6923803	7321420	-0.210548	-0.109297	-0.071178	-0.157351
Chr01	7139318	7454102	-0.417075	-0.252675	-0.144084	-0.310297
Chr01	7321511	7644454	-0.363839	-0.203846	-0.107462	-0.271913
Chr01	7454106	7823560	-0.272441	-0.127688	-0.064183	-0.195779
Chr01	7644488	7938922	-0.112046	-0.050603	-0.026674	-0.084279
Chr01	7823939	8066684	-0.047785	-0.023329	-0.012940	-0.036815
Chr01	7938944	8228260	-0.122676	-0.038562	-0.023760	-0.083237
Chr01	8066712	8436242	-0.268281	-0.052602	-0.035197	-0.185515
Chr01	8228301	8603609	-0.259258	-0.065768	-0.041065	-0.203388
Chr01	8436250	8717921	-0.066861	-0.028573	-0.015748	-0.049285
Chr01	8603630	8908312	-0.017356	-0.008308	-0.004871	-0.011168
Chr01	8717925	9250386	-0.085844	-0.038966	-0.023136	-0.044086
Chr01	8908370	9397017	-0.337128	-0.146810	-0.084023	-0.219291
Chr01	9250391	9552282	-0.213461	-0.091887	-0.051981	-0.148084
Chr01	9397212	9742548	0.089486	0.040661	0.023890	0.059825
Chr01	9552345	9845812	0.094689	0.050934	0.031407	0.063838
Chr01	9742731	9929408	0.090573	0.056301	0.035093	0.050820
Chr01	9845839	10026750	0.065003	0.036016	0.022527	0.040740
Chr01	9929499	10127560	0.036877	0.023709	0.013469	0.017128
Chr01	10026770	10233850	-0.052862	-0.046539	-0.019669	-0.032718
Chr01	10128323	10402936	-0.123637	-0.061030	-0.035248	-0.073394
Chr01	10233872	10895846	-0.143512	-0.055230	-0.033917	-0.100857
Chr01	10403363	11002926	-0.387209	-0.217567	-0.117328	-0.295212
Chr01	10895967	11156928	-0.578427	-0.526488	-0.244913	-0.435116
Chr01	11002941	11291580	-0.325244	-0.186484	-0.095957	-0.227534
Chr01	11157025	11416546	-0.016239	-0.006368	-0.003980	-0.007494
Chr01	11291604	11542773	0.006773	0.002901	0.002011	0.007554
Chr01	11416915	11634962	-0.173584	-0.113417	-0.068434	-0.115737
Chr01	11544586	11756031	-0.136403	-0.119764	-0.056724	-0.090683
Chr01	11634964	11867441	0.020226	0.017318	0.008367	0.013290
Chr01	11756039	12070383	0.110630	0.067645	0.043301	0.059129
Chr01	11867669	12161176	0.086991	0.047865	0.030359	0.047090
Chr01	12070391	12365112	-0.287097	-0.140331	-0.068292	-0.208229
Chr01	12161196	12441021	-0.355269	-0.181517	-0.083044	-0.253209
Chr01	12365156	12646327	-0.243021	-0.133850	-0.054720	-0.156498
Chr01	12441023	12819209	-0.555977	-0.264900	-0.123273	-0.479563
Chr01	12647306	13096134	-0.782457	-0.270396	-0.154222	-0.720931
Chr01	12819346	13266890	-0.602010	-0.185728	-0.105364	-0.508194
Chr01	13096164	13509724	-0.318166	-0.136710	-0.071377	-0.239637
Chr01	13268644	13682345	-0.355875	-0.154187	-0.083078	-0.280254
Chr01	13510244	13844682	-0.412513	-0.204633	-0.099856	-0.313039
Chr01	13682375	14027966	-0.292531	-0.141632	-0.069701	-0.210316
Chr01	13844760	14152838	-0.127465	-0.056819	-0.031615	-0.086038
Chr01	14028107	14297618	-0.355635	-0.164228	-0.097228	-0.252477
Chr01	14152876	14475495	-0.388635	-0.132134	-0.082515	-0.313866
Chr01	14297811	14605990	-0.525619	-0.215510	-0.120528	-0.445408
Chr01	14475544	14727681	-0.385471	-0.203227	-0.113129	-0.324121
Chr01	14606055	14852860	-0.120803	-0.048360	-0.029816	-0.089969
Chr01	14727838	14962769	-0.364576	-0.148143	-0.083570	-0.257667
Chr01	14853012	15096404	-0.283393	-0.119605	-0.067066	-0.187633
Chr01	14962823	15211641	-0.221020	-0.102452	-0.051164	-0.144790
Chr01	15096405	15358590	-0.427738	-0.257664	-0.105413	-0.296100
Chr01	15211725	15543002	-0.488737	-0.257009	-0.110658	-0.344574
Chr01	15358624	15659286	-0.343830	-0.175719	-0.085295	-0.244575
