chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	568802	813127	-0.121263	-0.081371	-0.048817	-0.090642
Superscaffold1	813216	1159631	0.062732	0.039596	0.022517	0.043988
Superscaffold1	1159978	1447838	-0.060846	-0.031459	-0.018465	-0.046120
Superscaffold1	1447899	1887818	-0.397815	-0.211607	-0.113089	-0.283213
Superscaffold1	1887886	2237227	0.200392	0.063628	0.034562	0.131513
Superscaffold1	2237247	2444848	0.006916	0.004203	0.002580	-0.002148
Superscaffold1	2444871	2611657	0.104102	0.101995	0.055846	0.061854
Superscaffold1	2611658	2791329	-0.107859	-0.126085	-0.059397	-0.058792
Superscaffold1	2791333	2989952	-0.483348	-0.563456	-0.240242	-0.345677
Superscaffold1	2990066	3253771	0.030247	0.022793	0.011742	0.013104
Superscaffold1	3253807	3631717	-0.051658	-0.021783	-0.013029	-0.027840
Superscaffold1	3631870	4000563	-0.050049	-0.024874	-0.013355	-0.032562
Superscaffold1	4001445	4415250	0.039689	0.018902	0.011449	0.029066
Superscaffold1	4415255	4674555	0.062458	0.042206	0.021998	0.035503
Superscaffold1	4674592	5009198	-0.042250	-0.021200	-0.013761	-0.028151
Superscaffold1	5009318	5536282	0.019368	0.005084	0.003508	0.012447
Superscaffold1	5536335	5830848	0.215987	0.088871	0.060046	0.138386
Superscaffold1	5830855	6269684	0.030946	0.011551	0.007307	0.017060
Superscaffold1	6269693	6620269	0.056089	0.020569	0.013349	0.037116
Superscaffold1	6620310	7064728	-0.009925	-0.003689	-0.002301	-0.002247
Superscaffold1	7064842	7441602	0.050607	0.025828	0.014242	0.027980
Superscaffold1	7441929	7931019	-0.043612	-0.010690	-0.007331	-0.028345
Superscaffold1	7931097	8638979	0.011013	0.004920	0.002740	0.003579
Superscaffold1	8639404	9839782	0.099369	0.039129	0.025294	0.057883
Superscaffold1	9839862	10665118	0.068857	0.033649	0.020100	0.040457
Superscaffold1	10665126	10904747	0.050996	0.026567	0.015190	0.037552
Superscaffold1	10904859	11261711	-0.052456	-0.019663	-0.012154	-0.033055
Superscaffold1	11261758	11564325	-0.491326	-0.301062	-0.170685	-0.365657
Superscaffold1	11564999	11982065	-0.056212	-0.019141	-0.012283	-0.041935
Superscaffold1	11982069	12285284	-0.147997	-0.109369	-0.059185	-0.092352
Superscaffold1	12285398	12552474	-0.142805	-0.105030	-0.058772	-0.087300
Superscaffold1	12552954	12917145	-0.076723	-0.031061	-0.016909	-0.047788
Superscaffold1	12917173	13440434	-0.136061	-0.037883	-0.023017	-0.109479
Superscaffold1	13440441	14173595	0.115503	0.029565	0.017855	0.079868
Superscaffold1	14173608	14682584	-0.034880	-0.011634	-0.006983	-0.026944
Superscaffold1	14682655	15000656	-0.089892	-0.037094	-0.022901	-0.064501
Superscaffold1	15000875	15441516	-0.201001	-0.047950	-0.034432	-0.163693
Superscaffold1	15441590	15800449	-0.301225	-0.099283	-0.059368	-0.219283
Superscaffold1	15800509	16170005	0.093536	0.030460	0.018833	0.063636
Superscaffold1	16170053	16548369	-0.110242	-0.041003	-0.024450	-0.074370
Superscaffold1	16548555	16880159	0.088201	0.034755	0.022738	0.057197
Superscaffold1	16880175	17291915	0.041731	0.018914	0.011161	0.029208
Superscaffold1	17291962	17869860	0.042306	0.016267	0.008901	0.034438
Superscaffold1	17870060	18321910	-0.376312	-0.441518	-0.148050	-0.195963
Superscaffold1	18321935	18758611	-0.051982	-0.022056	-0.012169	-0.025729
Superscaffold1	18759771	19122038	-0.052745	-0.024107	-0.015943	-0.036258
Superscaffold1	19122059	19520396	0.055724	0.028317	0.018895	0.037739
Superscaffold1	19520506	19839421	0.129081	0.059152	0.040149	0.100942
Superscaffold1	19839533	20190499	0.002902	0.000974	0.000617	0.001551
Superscaffold1	20190501	20753586	0.131605	0.048965	0.029013	0.089007
Superscaffold1	20753591	21261091	0.168282	0.079805	0.044809	0.122301
Superscaffold1	21261102	21595239	-0.083822	-0.034339	-0.018725	-0.051229
Superscaffold1	21595255	21995218	0.038224	0.016484	0.009954	0.019874
Superscaffold1	21995234	22493041	0.267655	0.075414	0.049372	0.205432
Superscaffold1	22493054	22993022	0.394667	0.124717	0.074521	0.305869
Superscaffold1	22993064	23532659	0.048082	0.012400	0.007380	0.034862
Superscaffold1	23532665	23909309	-0.138523	-0.052722	-0.028949	-0.087372
Superscaffold1	23909392	24331857	-0.064213	-0.021180	-0.014021	-0.035802
Superscaffold1	24331883	24722305	0.088288	0.027998	0.018084	0.070003
Superscaffold1	24722346	25210532	-0.092674	-0.028688	-0.017269	-0.068281
Superscaffold1	25210587	25577673	-0.326704	-0.120198	-0.073326	-0.204438
Superscaffold1	25577794	25920400	-0.318521	-0.149545	-0.097617	-0.227922
Superscaffold1	25920475	26283159	-0.088966	-0.029135	-0.017147	-0.043375
Superscaffold1	26283948	26800065	0.025630	0.006399	0.004192	0.015516
Superscaffold1	26801140	27264519	-0.388635	-0.103887	-0.058374	-0.281146
Superscaffold1	27265096	27644614	-0.032542	-0.011372	-0.007140	-0.028984
Superscaffold1	27644903	27907818	-0.097373	-0.076469	-0.038749	-0.049715
Superscaffold1	27907819	28132651	0.056575	0.028370	0.017933	0.032940
Superscaffold1	28132701	28519820	0.035587	0.016218	0.009282	0.025423
Superscaffold1	28520389	29026679	-0.027381	-0.006724	-0.004702	-0.016121
Superscaffold1	29026688	29421215	0.086587	0.025652	0.016046	0.052916
Superscaffold1	29421266	29757550	-0.081020	-0.043692	-0.022721	-0.049280
Superscaffold1	29757663	30046370	-0.040025	-0.018668	-0.009238	-0.027203
Superscaffold1	30046387	30623624	0.009803	0.003812	0.002232	0.003171
Superscaffold1	30623933	31166493	-0.099307	-0.028600	-0.018388	-0.072989
Superscaffold1	31166511	31638740	0.041787	0.013696	0.007782	0.033944
Superscaffold1	31638777	32461930	-0.089634	-0.027263	-0.015667	-0.053208
Superscaffold1	32462441	32850268	0.345437	0.130702	0.079830	0.250877
Superscaffold1	32850721	33236369	-0.367490	-0.147697	-0.087268	-0.255131
Superscaffold1	33236381	33542467	-0.128626	-0.074583	-0.049793	-0.081136
Superscaffold1	33542568	33814571	0.121502	0.096376	0.053961	0.072523
Superscaffold1	33814574	34083992	-0.076912	-0.031713	-0.020570	-0.053410
Superscaffold1	34084108	34356103	-0.333099	-0.122645	-0.072863	-0.221722
Superscaffold1	34356545	34950457	-0.003841	-0.000801	-0.000548	-0.003917
Superscaffold1	34950492	35579653	-0.099047	-0.038122	-0.022990	-0.060877
Superscaffold1	35579871	36718411	-0.002233	-0.000751	-0.000460	-0.001070
Superscaffold1	36718418	37151355	0.180417	0.051997	0.034464	0.101855
Superscaffold1	37151356	37522826	0.150968	0.049444	0.031324	0.091556
Superscaffold1	37522853	37957508	0.205080	0.095846	0.055637	0.128745
Superscaffold1	37957720	38469497	0.325300	0.115036	0.072518	0.238717
Superscaffold1	38470083	38863496	0.029081	0.009769	0.006165	0.018498
Superscaffold1	38863555	39117264	-0.040844	-0.015083	-0.009248	-0.026482
Superscaffold1	39117394	39574659	-0.133165	-0.050379	-0.027597	-0.107499
Superscaffold1	39574718	39928957	-0.033718	-0.009501	-0.006176	-0.019741
Superscaffold1	39928970	40294937	0.222923	0.065397	0.044092	0.154996
Superscaffold1	40294958	40739105	-0.149322	-0.045325	-0.027414	-0.091078
Superscaffold1	40739249	41232973	0.028299	0.007700	0.004499	0.023084
Superscaffold1	41232977	41610338	-0.074881	-0.025495	-0.015594	-0.053705
Superscaffold1	41610364	41980634	0.222086	0.050438	0.029976	0.186617
Superscaffold1	41980645	42794283	0.062005	0.006982	0.005037	0.057903
Superscaffold1	42794284	43443900	0.252152	0.039271	0.025971	0.215996
Superscaffold1	43443930	43944111	-0.124169	-0.025418	-0.015714	-0.110044
Superscaffold1	43944155	44478216	0.132821	0.049246	0.023157	0.111245
Superscaffold1	44478267	45041855	-0.192379	-0.039045	-0.022924	-0.121790
Superscaffold1	45042684	45685751	0.037562	0.006856	0.004721	0.029936
Superscaffold1	45685770	46739595	-0.101022	-0.012352	-0.008490	-0.072652
Superscaffold1	46739678	47584625	0.150849	0.018648	0.013226	0.109105
Superscaffold1	47584790	48223649	-0.055150	-0.008372	-0.005549	-0.031087
Superscaffold1	48224087	48701160	0.032742	0.005588	0.003173	0.032574
Superscaffold1	48701413	49418211	-0.109370	-0.016469	-0.011354	-0.073631
Superscaffold1	49418407	50028604	-0.119248	-0.021048	-0.013709	-0.092259
Superscaffold1	50028743	50310935	-0.414502	-0.250808	-0.122656	-0.368075
Superscaffold1	50310944	50716121	-0.046848	-0.020783	-0.013475	-0.032061
Superscaffold1	50717343	51096067	0.096242	0.066894	0.041915	0.052697
Superscaffold1	51096112	51918120	0.029739	0.018206	0.010332	0.016776
Superscaffold2	424289	715872	0.347249	0.168491	0.101305	0.181793
Superscaffold2	715875	1040260	0.103759	0.039079	0.025552	0.056513
Superscaffold2	1040263	1393648	0.007212	0.001972	0.001387	0.002370
Superscaffold2	1393949	1753936	0.063170	0.024700	0.014592	0.024723
Superscaffold2	1754144	2152966	0.008890	0.002279	0.001456	0.009238
Superscaffold2	2154634	2691676	0.095568	0.032480	0.020030	0.064092
Superscaffold2	2691690	3459107	-0.099356	-0.060766	-0.034697	-0.065335
Superscaffold2	3459135	3829310	-0.018731	-0.008415	-0.004681	-0.006796
Superscaffold2	3829431	4318711	0.097974	0.038030	0.021761	0.070436
Superscaffold2	4318738	4771499	-0.024410	-0.008582	-0.004838	-0.017350
Superscaffold2	4771902	5236930	-0.109487	-0.044621	-0.026868	-0.075420
Superscaffold2	5237178	5632767	0.099795	0.032044	0.020914	0.060661
Superscaffold2	5633018	6169303	0.415078	0.170688	0.090986	0.321098
Superscaffold2	6169311	6678016	0.109414	0.024740	0.017066	0.073426
Superscaffold2	6678160	7492237	-0.223218	-0.050098	-0.029985	-0.157173
Superscaffold2	7492264	7901793	-0.253708	-0.083624	-0.050910	-0.183230
Superscaffold2	7901803	8433983	-0.163421	-0.046772	-0.029295	-0.109235
Superscaffold2	8433993	9226172	0.104089	0.026705	0.017251	0.072675
Superscaffold2	9226909	9844543	0.152602	0.042464	0.026565	0.100305
Superscaffold2	9845625	10355075	-0.038721	-0.011516	-0.006738	-0.029317
Superscaffold2	10355366	10754261	0.180271	0.055552	0.039063	0.120047
Superscaffold2	10754288	11188373	-0.084646	-0.028031	-0.016006	-0.052989
Superscaffold2	11188509	11583580	0.081306	0.025631	0.015284	0.042642
Superscaffold2	11583613	12490008	0.013146	0.005110	0.002643	0.012704
Superscaffold2	12490009	13089549	-0.012509	-0.004665	-0.002571	-0.006724
Superscaffold2	13089721	13662243	0.122826	0.035584	0.020341	0.095707
Superscaffold2	13662641	14067921	0.369633	0.138921	0.088499	0.263928
Superscaffold2	14067951	14513611	-0.237802	-0.076311	-0.045622	-0.171089
Superscaffold2	14513857	14968097	-0.109888	-0.036868	-0.022565	-0.080468
Superscaffold2	14968133	15953852	-0.024335	-0.008498	-0.004673	-0.017404
Superscaffold2	15954089	16675393	0.016563	0.005910	0.003656	0.013135
Superscaffold2	16679303	16967166	-0.138697	-0.071564	-0.037670	-0.069604
Superscaffold2	16967473	17611110	-0.026947	-0.007860	-0.005065	-0.017968
Superscaffold2	17611136	18028314	-0.006608	-0.002068	-0.001220	-0.006634
Superscaffold2	18029008	18468625	-0.192195	-0.062528	-0.033387	-0.147308
Superscaffold2	18468776	19021700	-0.237068	-0.061324	-0.035511	-0.183572
Superscaffold2	19021779	19551088	-0.196932	-0.055721	-0.033163	-0.130962
Superscaffold2	19551101	19877497	-0.632059	-0.501960	-0.233918	-0.512926
Superscaffold2	19877633	20196371	0.132160	0.049594	0.027282	0.096667
Superscaffold2	20196655	20664171	-0.117014	-0.030692	-0.016268	-0.077544
Superscaffold2	20664192	21175084	0.133096	0.046495	0.030554	0.081874
Superscaffold2	21175091	21718408	0.228806	0.052726	0.033016	0.197979
Superscaffold2	21718757	22169493	-0.292761	-0.084391	-0.048749	-0.218137
Superscaffold2	22169502	22596194	0.010616	0.005347	0.002992	0.013472
Superscaffold2	22596202	23056838	-0.184121	-0.050211	-0.031553	-0.115717
Superscaffold2	23056880	23444953	0.261425	0.082152	0.046676	0.197826
Superscaffold2	23444968	23885890	0.009659	0.002767	0.001573	0.010997
Superscaffold2	23885930	24289994	-0.179064	-0.063408	-0.033973	-0.130194
Superscaffold2	24290126	24625603	-0.026262	-0.009290	-0.005253	-0.021647
Superscaffold2	24625613	25135554	-0.046052	-0.013671	-0.007926	-0.036105
Superscaffold2	25135669	25605324	0.019138	0.005288	0.003389	0.014715
Superscaffold2	25605514	26113540	0.007818	0.001937	0.001243	0.009009
Superscaffold2	26113614	26602750	-0.115188	-0.032346	-0.019766	-0.097025
Superscaffold2	26602798	26991383	0.174658	0.048331	0.031738	0.124012
Superscaffold2	26991498	27402615	-0.187442	-0.073200	-0.041370	-0.133710
Superscaffold2	27402684	27694800	-0.118820	-0.041384	-0.026032	-0.078390
Superscaffold2	27694810	28833780	0.093882	0.033744	0.019996	0.063001
Superscaffold2	28833781	29116000	-0.024774	-0.009415	-0.005076	-0.012110
Superscaffold2	29116085	29496771	-0.071746	-0.032696	-0.017626	-0.049911
Superscaffold2	29496775	29999863	0.070882	0.020143	0.013207	0.040634
Superscaffold2	29999894	30427936	0.033845	0.010292	0.005833	0.026431
Superscaffold2	30427949	31047270	0.275789	0.062700	0.040595	0.225735
Superscaffold2	31047421	31518990	0.046196	0.010174	0.006534	0.039910
Superscaffold2	31519014	31900602	-0.004379	-0.001669	-0.000946	-0.002689
Superscaffold2	31900894	32578126	0.105450	0.033993	0.020267	0.068616
Superscaffold2	32578138	33054585	-0.015541	-0.003802	-0.002337	-0.012428
Superscaffold2	33055235	33598170	-0.053604	-0.013238	-0.008398	-0.039735
Superscaffold2	33598194	34170772	-0.118559	-0.032595	-0.020978	-0.088690
Superscaffold2	34176964	34530723	0.093986	0.033429	0.020428	0.064463
Superscaffold2	34530744	34981099	-0.080381	-0.025617	-0.014566	-0.060351
Superscaffold2	34981184	35521592	0.004593	0.001132	0.000647	0.002549
Superscaffold2	35521635	36189834	-0.070555	-0.020267	-0.011665	-0.054710
Superscaffold2	36190189	36619841	0.044501	0.014729	0.008737	0.031695
Superscaffold2	36619924	36986937	0.079258	0.028526	0.017772	0.040766
Superscaffold2	36986939	37461331	0.028698	0.006528	0.004228	0.014246
Superscaffold2	37461424	37877750	0.021113	0.005316	0.003291	0.009169
Superscaffold2	37877782	38656179	0.104126	0.028526	0.017326	0.086510
Superscaffold2	38656329	39115533	-0.017767	-0.004906	-0.002838	-0.009766
Superscaffold2	39115668	39441400	-0.045944	-0.017698	-0.009220	-0.028646
Superscaffold2	39441494	39900472	0.085462	0.029728	0.019376	0.058708
Superscaffold2	39900722	40234099	-0.016426	-0.005821	-0.003227	-0.008589
Superscaffold2	40234228	40601285	0.043918	0.010365	0.006708	0.032625
Superscaffold2	40601290	40979858	-0.059721	-0.020408	-0.011362	-0.040702
Superscaffold2	40979967	41239727	0.156400	0.053764	0.037623	0.137948
Superscaffold2	41239746	41583600	0.069865	0.028285	0.018154	0.049990
Superscaffold2	41583601	41967013	0.184524	0.056983	0.033649	0.163216
Superscaffold2	41967063	42492267	-0.084561	-0.016222	-0.009958	-0.060100
Superscaffold2	42492908	42942176	0.104852	0.021066	0.013841	0.071932
Superscaffold2	42942180	43133274	0.579484	0.236567	0.171053	0.382139
Superscaffold2	43133276	43666513	0.114808	0.022500	0.014587	0.094737
Superscaffold2	43666757	44255699	0.567238	0.153636	0.091484	0.528418
Superscaffold2	44255896	45015682	0.442526	0.088699	0.052770	0.402550
Superscaffold2	45015710	45694367	-0.177662	-0.038799	-0.022885	-0.162533
Superscaffold2	45694967	46523808	0.106380	0.015071	0.009808	0.094828
Superscaffold2	46523942	47376328	-0.019409	-0.003108	-0.001940	-0.020800
Superscaffold2	47376361	48223819	0.109788	0.016472	0.010935	0.096406
Superscaffold2	48224060	48734354	-0.203553	-0.037618	-0.023429	-0.168830
Superscaffold2	48734556	49306757	-0.015332	-0.003269	-0.002026	-0.010863
Superscaffold2	49308913	49848015	-0.140883	-0.031914	-0.018666	-0.104788
Superscaffold2	49848108	50296373	0.096518	0.034248	0.020027	0.067463
Superscaffold2	50296568	50662893	-0.145386	-0.058634	-0.034278	-0.103940
Superscaffold2	50662921	51115179	0.002126	0.000760	0.000392	0.000670
Superscaffold2	51115187	51468468	-0.053682	-0.019409	-0.009025	-0.035887
Superscaffold2	51469317	51830486	0.354731	0.086602	0.058178	0.271329
Superscaffold2	51830561	52049141	0.588059	0.216648	0.125550	0.400695
Superscaffold2	52049279	52474048	0.273157	0.070901	0.038915	0.215998
Superscaffold2	52474056	52706949	0.006493	0.003013	0.001701	0.005400
Superscaffold2	52707126	53011611	0.329971	0.144902	0.089811	0.219811
Superscaffold2	53011622	53709389	-0.103125	-0.034725	-0.023261	-0.068101
Superscaffold2	53709618	54076247	-0.154565	-0.058737	-0.033549	-0.109389
Superscaffold2	54076249	54740660	-0.252559	-0.073108	-0.047050	-0.158467
Superscaffold2	54752517	55269845	-0.034445	-0.010970	-0.007147	-0.022782
