chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	168826	288950	0.026503	0.028609	0.013332	0.014207
Chr01	233396	393366	-0.015842	-0.013710	-0.007033	-0.008003
Chr01	289115	476878	0.021889	0.019181	0.008601	0.009109
Chr01	393440	548001	0.124521	0.131976	0.042909	0.039346
Chr01	476886	650152	0.149033	0.129652	0.050510	0.050662
Chr01	548087	843048	0.143037	0.108901	0.046237	0.054568
Chr01	650153	972964	0.192910	0.140240	0.057152	0.073231
Chr01	843059	1067277	0.159422	0.102342	0.043309	0.043026
Chr01	973042	1181645	0.031277	0.017812	0.009401	0.005504
Chr01	1067319	1318565	0.026587	0.012912	0.007644	0.005076
Chr01	1181651	1447796	-0.023376	-0.012431	-0.007134	-0.009063
Chr01	1318593	1522442	-0.096829	-0.058837	-0.030816	-0.034672
Chr01	1447807	1592872	0.106772	0.060872	0.035172	0.040970
Chr01	1522732	1695542	0.194506	0.116358	0.070270	0.078048
Chr01	1593071	1910721	0.104299	0.037562	0.024481	0.033815
Chr01	1695600	2048782	0.174360	0.063101	0.038466	0.053974
Chr01	1911087	2172089	0.289417	0.178087	0.094878	0.110879
Chr01	2048791	2246401	0.224942	0.147039	0.085057	0.109300
Chr01	2172119	2374613	0.132589	0.107530	0.058739	0.075252
Chr01	2246447	2473226	0.064921	0.061293	0.030335	0.038688
Chr01	2374704	2567742	-0.018941	-0.019619	-0.008716	-0.008675
Chr01	2473240	2660734	-0.029544	-0.031443	-0.014566	-0.013781
Chr01	2567762	2716460	-0.130385	-0.132887	-0.067031	-0.052532
Chr01	2660764	2772764	-0.083477	-0.079684	-0.042648	-0.035061
Chr01	2716472	2857380	0.129650	0.113275	0.062138	0.068140
Chr01	2772777	2944594	0.115316	0.111910	0.056656	0.057707
Chr01	2857437	3029266	-0.024083	-0.029346	-0.013358	-0.008398
Chr01	2944596	3113455	-0.066020	-0.078913	-0.037452	-0.029040
Chr01	3029272	3264481	-0.040539	-0.031712	-0.015799	-0.015636
Chr01	3113555	3398983	0.052362	0.031258	0.015470	0.021046
Chr01	3264507	3531837	0.049359	0.035324	0.017372	0.020869
Chr01	3398994	3679157	-0.124488	-0.090634	-0.047716	-0.055160
Chr01	3531922	3851518	-0.084883	-0.049164	-0.030454	-0.039323
Chr01	3679321	4001511	0.124700	0.062348	0.040215	0.052415
Chr01	3851631	4088128	0.108663	0.073357	0.036957	0.052695
Chr01	4001605	4209176	0.040300	0.031147	0.014780	0.023499
Chr01	4088151	4307472	0.086024	0.061175	0.030236	0.036098
Chr01	4209237	4408160	0.040332	0.032356	0.016598	0.017369
Chr01	4307560	4469691	-0.045529	-0.043947	-0.025484	-0.027238
Chr01	4408192	4533577	0.023206	0.026604	0.013705	0.009727
Chr01	4469702	4646776	0.064066	0.065283	0.030353	0.031844
Chr01	4533646	4793798	0.070540	0.056255	0.028193	0.031656
Chr01	4646871	4906490	0.109228	0.079266	0.041446	0.048473
Chr01	4793838	5037549	0.082647	0.072699	0.033611	0.041443
Chr01	4906592	5171746	0.150589	0.121545	0.059429	0.069913
Chr01	5037550	5523084	0.224244	0.139613	0.076870	0.108445
Chr01	5171757	5642220	0.120663	0.076254	0.042995	0.056001
Chr01	5523232	5795433	0.118495	0.081707	0.040858	0.047751
Chr01	5642292	5913516	0.211668	0.152818	0.067214	0.096271
Chr01	5795456	6016642	0.150255	0.100036	0.048148	0.064991
Chr01	5913529	6125646	-0.063341	-0.039649	-0.021034	-0.023451
Chr01	6016703	6218735	-0.241075	-0.271989	-0.100169	-0.100662
Chr01	6125726	6321138	-0.114980	-0.195747	-0.039469	-0.040475
Chr01	6218737	6542954	0.332511	0.235531	0.089687	0.159494
Chr01	6321139	6844166	0.278357	0.139390	0.070868	0.172421
Chr01	6543106	6945543	0.340477	0.216044	0.110152	0.244944
Chr01	6844320	7070865	0.432859	0.387111	0.165149	0.331056
Chr01	6945628	7249102	0.093650	0.078947	0.030402	0.057747
Chr01	7070997	7399873	-0.049936	-0.037387	-0.014284	-0.025942
Chr01	7249117	7516931	0.343422	0.270583	0.089780	0.186494
Chr01	7400052	7634360	0.314302	0.291382	0.097261	0.161119
Chr01	7517412	7769179	0.019073	0.011758	0.005620	0.012769
Chr01	7634543	7928161	0.167353	0.077368	0.042176	0.078411
Chr01	7769182	8061882	-0.022966	-0.011965	-0.006931	-0.011668
Chr01	7931413	8170391	-0.121222	-0.075318	-0.045448	-0.063140
Chr01	8062096	8396210	-0.004033	-0.002209	-0.001354	0.001696
Chr01	8170430	8534769	0.056823	0.029341	0.015383	0.017994
Chr01	8396244	8673224	0.027984	0.016771	0.008431	0.008789
Chr01	8534837	8881506	-0.066165	-0.041203	-0.024262	-0.030592
Chr01	8673232	9234327	-0.088152	-0.070950	-0.038776	-0.057399
Chr01	8881510	9356809	0.007263	0.005395	0.003036	-0.000342
Chr01	9234419	9494055	0.021148	0.009325	0.005660	0.008182
Chr01	9356918	9567810	-0.033757	-0.022577	-0.013660	-0.010739
Chr01	9494139	9714539	-0.004448	-0.005240	-0.002824	-0.001358
Chr01	9567818	9838264	0.019909	0.017433	0.010191	0.007852
Chr01	9714622	9910161	0.017423	0.017314	0.010649	0.008771
Chr01	9838294	9999130	-0.002432	-0.002223	-0.001292	-0.003555
Chr01	9910174	10087267	-0.015462	-0.011386	-0.006736	-0.009336
Chr01	9999133	10238612	0.023449	0.015514	0.009359	0.016406
Chr01	10087301	10370651	0.118302	0.073407	0.046102	0.062189
Chr01	10238766	10498317	0.075247	0.041628	0.024540	0.032283
Chr01	10370902	10954688	0.000196	0.000119	0.000065	0.002496
Chr01	10498409	11093497	0.045019	0.028313	0.013970	0.015100
Chr01	10954699	11245571	0.067848	0.034335	0.017207	0.018987
Chr01	11093896	11364946	0.014464	0.008046	0.004683	0.006918
Chr01	11245667	11470638	0.038290	0.033673	0.016460	0.014501
Chr01	11364964	11568536	0.157291	0.152437	0.065889	0.080634
Chr01	11470639	11702922	0.132069	0.096182	0.048208	0.067533
Chr01	11568593	11802627	-0.004845	-0.003486	-0.001889	-0.001164
Chr01	11702961	12040614	0.180047	0.137006	0.079826	0.110871
Chr01	11802629	12113629	0.099348	0.087324	0.049653	0.072723
Chr01	12040617	12320917	-0.106021	-0.055677	-0.034372	-0.046089
Chr01	12113632	12436334	0.052699	0.021587	0.013445	0.019306
Chr01	12320951	12707542	-0.333924	-0.169131	-0.092336	-0.163874
Chr01	12436363	13106052	-0.220943	-0.089435	-0.041957	-0.104541
Chr01	12707544	13301474	0.188612	0.067061	0.031649	0.074087
Chr01	13106215	13540607	0.070708	0.034701	0.016433	0.025820
Chr01	13301522	13778761	0.043042	0.017033	0.008533	0.014383
Chr01	13540646	13964721	-0.038367	-0.013338	-0.007710	-0.015273
Chr01	13778764	14088171	0.017945	0.009459	0.005525	0.008965
Chr01	13965968	14226894	0.058094	0.032985	0.021087	0.026972
Chr01	14088182	14363126	-0.468052	-0.326922	-0.169864	-0.307873
Chr01	14226981	14570960	-0.645894	-0.300739	-0.173884	-0.457540
Chr01	14363280	14715202	-0.425717	-0.159670	-0.093432	-0.251596
Chr01	14571120	14863809	-0.066298	-0.032652	-0.017475	-0.034053
Chr01	14715399	14963972	0.241136	0.105385	0.065143	0.107827
Chr01	14863863	15096230	0.184531	0.091708	0.050170	0.074731
Chr01	14964009	15197626	0.092035	0.042555	0.024527	0.039145
Chr01	15096231	15444826	0.155196	0.051640	0.033495	0.067681
Chr01	15197645	15590076	0.228395	0.089796	0.052584	0.111142
Chr01	15444963	15707691	0.188723	0.110784	0.061642	0.093093
Chr01	15590077	16121413	0.061957	0.037822	0.022095	0.022448
Chr01	15707809	16306825	0.028314	0.014617	0.009414	0.014415
Chr01	16121419	16441754	-0.004057	-0.002619	-0.001672	-0.001112
Chr01	16306859	16584218	-0.109148	-0.084886	-0.048142	-0.051155
Chr01	16441773	16802504	-0.013718	-0.007668	-0.004572	-0.004119
Chr01	16584401	16964170	0.039796	0.021771	0.012340	0.022018
Chr01	16802511	17135307	-0.068976	-0.036825	-0.020351	-0.027488
Chr01	16964253	17336152	-0.039343	-0.015355	-0.009670	-0.013541
Chr01	17135423	17480446	0.144536	0.061858	0.035411	0.058149
Chr01	17336230	17557036	0.170231	0.124034	0.053162	0.071309
Chr01	17480460	17726924	-0.010312	-0.007479	-0.003566	-0.002668
Chr01	17557066	17879578	0.120919	0.077913	0.043080	0.057805
Chr01	17726957	18077243	0.215998	0.154430	0.073716	0.088785
Chr01	17879660	18217848	-0.001370	-0.001118	-0.000493	-0.003175
Chr01	18077363	18300629	-0.041458	-0.036340	-0.019459	-0.020540
Chr01	18217871	18461330	0.038684	0.029397	0.012884	0.018313
Chr01	18300683	18592686	0.101831	0.066631	0.028432	0.047662
Chr01	18461391	18718989	0.148632	0.099401	0.043950	0.070373
Chr01	18592772	18828042	0.362871	0.184828	0.113423	0.179220
Chr01	18719412	18949473	0.338100	0.173261	0.109642	0.153624
Chr01	18828044	19076024	0.171009	0.088119	0.050941	0.075603
Chr01	18949633	19263705	0.213944	0.096078	0.056197	0.106618
Chr01	19076034	19336274	0.173211	0.113079	0.058239	0.089775
Chr01	19263723	19646487	0.050307	0.015290	0.008858	0.026490
Chr01	19336359	19859697	-0.121956	-0.028311	-0.017211	-0.060308
Chr01	19646573	19966257	-0.149115	-0.047769	-0.031502	-0.084454
Chr01	19859746	20126950	0.036039	0.013013	0.008501	0.016993
Chr01	19966274	20282018	0.215793	0.100386	0.059879	0.098037
Chr01	20126952	20399665	0.163006	0.103392	0.063249	0.079500
Chr01	20282108	20570207	0.011810	0.006485	0.003978	0.004458
Chr01	20399816	20665357	0.009384	0.005052	0.003073	0.001548
Chr01	20570223	20827511	-0.118104	-0.060297	-0.034622	-0.048156
Chr01	20665366	20953490	-0.161063	-0.094418	-0.044030	-0.064448
Chr01	20827512	21231523	-0.088068	-0.039631	-0.018278	-0.030496
Chr01	20953506	21511609	-0.053838	-0.013258	-0.007760	-0.024293
Chr01	21231556	21679471	0.049640	0.011887	0.007328	0.021307
Chr01	21513151	22011062	-0.050228	-0.011161	-0.007019	-0.027710
Chr01	21679567	22156989	-0.173581	-0.045301	-0.028660	-0.084234
Chr01	22011070	22399402	-0.066179	-0.028551	-0.016584	-0.033408
Chr01	22157003	22603729	0.291173	0.135316	0.080498	0.135535
Chr01	22399606	22956603	0.335161	0.119749	0.072907	0.150286
Chr01	22603803	23159804	0.084390	0.023807	0.013612	0.032685
Chr01	22956630	23354587	0.034553	0.014455	0.008029	0.014531
Chr01	23159968	23547373	0.035656	0.015022	0.009665	0.011779
Chr01	23354832	23763428	0.144610	0.048654	0.033167	0.050676
Chr01	23547382	23876650	0.156409	0.070840	0.043040	0.064447
Chr01	23763478	23986887	0.131934	0.094487	0.045631	0.053917
