chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60261	73814	-0.512929	-0.113211	-0.090150	-0.373040
Chr01	73845	80455	-0.747924	-0.365503	-0.235833	-0.636844
Chr01	80457	129988	-0.607437	-0.276505	-0.159539	-0.394228
Chr01	130381	149939	0.007379	0.003897	0.001831	0.004297
Chr01	149944	158093	-0.340272	-0.452068	-0.119816	-0.094723
Chr01	158315	168129	-0.180555	-0.099074	-0.061498	-0.068574
Chr01	168175	184062	-0.124106	-0.211874	-0.125301	-0.053623
Chr01	184135	186835	0.157934	0.202561	0.122448	0.085185
Chr01	186847	193684	0.018024	0.019683	0.014515	0.006670
Chr01	193715	203944	0.132939	0.114981	0.083211	0.062396
Chr01	203970	208063	0.164663	0.140262	0.088771	0.070584
Chr01	208083	210028	0.201009	0.143369	0.092865	0.082523
Chr01	210038	214748	0.279734	0.198287	0.141573	0.169951
Chr01	214768	217312	0.047760	0.041325	0.024842	0.024346
Chr01	217322	219529	0.137561	0.149919	0.083318	0.059824
Chr01	219542	223574	0.003507	0.003261	0.002031	0.000618
Chr01	223600	228122	0.135384	0.124011	0.080980	0.055838
Chr01	228260	233145	0.190754	0.137552	0.100482	0.062917
Chr01	233156	237892	-0.035627	-0.037022	-0.022631	-0.012317
Chr01	238021	244341	-0.189993	-0.133574	-0.081368	-0.094100
Chr01	244470	249394	-0.118941	-0.058011	-0.042877	-0.032300
Chr01	249404	252659	0.337530	0.179707	0.131495	0.107239
Chr01	252693	255552	-0.362227	-0.251864	-0.143859	-0.186283
Chr01	255579	258371	-0.405254	-0.268003	-0.152103	-0.230615
Chr01	258372	261869	-0.116375	-0.053646	-0.036226	-0.067816
Chr01	261884	264048	0.273691	0.077862	0.063648	0.100091
Chr01	264112	269126	-0.424429	-0.241334	-0.154277	-0.298364
Chr01	269144	274090	-0.077055	-0.032505	-0.022992	-0.054919
Chr01	274171	276473	0.111295	0.056210	0.037144	0.056483
Chr01	276506	284297	-0.006451	-0.005185	-0.002861	0.008644
Chr01	284410	306973	-0.338439	-0.206439	-0.104308	-0.168907
Chr01	307004	312077	0.396608	0.367759	0.281904	0.320064
Chr01	312178	318221	-0.111574	-0.215914	-0.066536	-0.058869
Chr01	318257	324977	-0.386367	-0.553111	-0.205013	-0.242384
Chr01	325023	333787	-0.208914	-0.149511	-0.074660	-0.100114
Chr01	333997	343608	-0.362601	-0.175807	-0.110521	-0.095778
Chr01	343693	351579	-0.230791	-0.191111	-0.139777	-0.107076
Chr01	351622	367520	-0.627828	-0.574275	-0.319215	-0.419675
Chr01	368100	387107	-0.421325	-0.301376	-0.185255	-0.265275
Chr01	387134	392051	-0.205822	-0.128694	-0.092836	-0.085217
Chr01	392082	400579	-0.186862	-0.131618	-0.080249	-0.060664
Chr01	400601	404448	-0.051028	-0.058935	-0.031983	-0.013018
Chr01	404524	416015	0.133168	0.086947	0.044734	0.072217
Chr01	416203	425115	0.617385	0.510084	0.372552	0.524637
Chr01	425117	431694	0.116986	0.120492	0.059976	0.069601
Chr01	431840	436835	0.264395	0.329703	0.116007	0.136879
Chr01	436896	446857	-0.372159	-0.058935	-0.048837	-0.048610
Chr01	446869	452371	-0.128846	-0.072501	-0.048835	-0.070729
Chr01	452378	464594	-0.469258	-0.325582	-0.202391	-0.226981
Chr01	464595	467064	-0.576152	-0.609883	-0.342540	-0.407487
Chr01	467109	478283	-0.612834	-0.632185	-0.326138	-0.414997
Chr01	478284	480880	-0.546963	-0.623288	-0.345933	-0.408470
Chr01	480938	487208	-0.603006	-0.543208	-0.300186	-0.465811
Chr01	487245	495163	-0.235523	-0.161577	-0.078794	-0.108873
Chr01	495201	499146	-0.292383	-0.159359	-0.099947	-0.156979
Chr01	499153	509831	-0.255166	-0.208718	-0.110856	-0.151998
Chr01	509944	515549	-0.582121	-0.780299	-0.254227	-0.197644
Chr01	515626	519673	-0.405926	-0.761931	-0.196336	-0.162686
Chr01	519744	524612	0.212824	0.360452	0.130575	0.089445
Chr01	524652	528517	0.179961	0.296628	0.096084	0.062506
Chr01	528521	534162	0.005347	0.009051	0.002192	0.016298
Chr01	534169	551220	-0.562267	-1.132755	-0.162479	-0.247075
Chr01	551394	560036	-0.172697	-0.203537	-0.057455	-0.072691
Chr01	560104	567503	0.207744	0.154947	0.077185	0.109607
Chr01	567645	574806	0.375443	0.320304	0.199747	0.201153
