chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	120991	148579	0.683292	0.206259	0.176324	0.303583
Chr01	148612	160600	0.431515	0.106322	0.090810	0.177440
Chr01	160626	182753	0.048969	0.018659	0.015135	0.030930
Chr01	182996	186319	0.423374	0.239023	0.178974	0.184948
Chr01	186335	194091	0.245483	0.141117	0.109496	0.113561
Chr01	194457	205862	-0.016248	-0.010454	-0.007834	0.005293
Chr01	205866	210088	-0.008813	-0.009196	-0.006081	-0.000854
Chr01	210208	216344	-0.276468	-0.222159	-0.149333	-0.174116
Chr01	216351	219224	-0.130964	-0.168230	-0.105383	-0.077235
Chr01	219231	223995	-0.102655	-0.110487	-0.070906	-0.058968
Chr01	224029	230785	0.486321	0.369994	0.294642	0.310468
Chr01	230822	236990	0.230022	0.199286	0.125403	0.144114
Chr01	237206	245672	0.118705	0.081887	0.056851	0.060045
Chr01	245724	251507	0.390050	0.266644	0.199733	0.281522
Chr01	251605	255865	0.350200	0.284307	0.203670	0.200236
Chr01	255934	262324	-0.011783	-0.011804	-0.006677	-0.032533
Chr01	262330	264691	0.419439	0.270857	0.195988	0.204566
Chr01	264797	271823	0.315407	0.215349	0.150113	0.219927
Chr01	272010	277019	0.078249	0.048851	0.033513	0.055236
Chr01	277153	289114	-0.148555	-0.106382	-0.063170	-0.097250
Chr01	289115	311413	0.110763	0.059523	0.040068	0.073556
Chr01	311418	319196	0.456175	0.392686	0.210527	0.332515
Chr01	319219	338583	0.026948	0.014262	0.007771	0.000562
Chr01	338789	351556	-0.100050	-0.064509	-0.040346	-0.033619
Chr01	351557	364935	0.555139	0.254185	0.187392	0.321851
Chr01	365170	388361	0.127953	0.063822	0.039528	0.089471
Chr01	388364	397672	0.192023	0.128424	0.088139	0.108677
Chr01	397678	406751	0.441251	0.334592	0.205194	0.236675
Chr01	406773	425499	0.441420	0.152904	0.117046	0.335575
Chr01	425501	434965	0.436800	0.343522	0.177530	0.286971
Chr01	435164	452950	0.645971	0.190793	0.149983	0.356507
Chr01	453101	476680	-0.002985	-0.001239	-0.000813	-0.008735
Chr01	476715	484724	-0.278297	-0.173488	-0.093067	-0.223163
Chr01	484798	506925	-0.221999	-0.059740	-0.040567	-0.159483
Chr01	506929	517845	-0.272771	-0.167577	-0.092249	-0.217867
Chr01	518637	534058	0.334428	0.125179	0.084479	0.308968
Chr01	535772	569428	-0.365900	-0.086710	-0.047250	-0.209846
Chr01	569500	580926	-0.653834	-0.092965	-0.076064	-0.580334
Chr01	580938	610618	0.002006	0.000424	0.000354	0.004368
Chr01	610641	628084	0.269248	0.131540	0.092476	0.168236
Chr01	628803	644450	-0.036928	-0.017750	-0.010898	-0.031130
Chr01	648444	656732	0.356464	0.251961	0.153163	0.176945
Chr01	656945	671646	0.864992	0.299240	0.256746	0.691983
Chr01	672243	725747	0.214785	0.135161	0.077774	0.175171
Chr01	725850	797057	-0.428350	-0.354905	-0.139781	-0.267361
Chr01	797086	835141	-0.230220	-0.101899	-0.066999	-0.166192
Chr01	835144	854021	-0.586094	-0.252984	-0.107085	-0.533458
Chr01	855095	868562	-0.234061	-0.186059	-0.078426	-0.203448
Chr01	868623	885549	0.153850	0.080007	0.051242	0.089527
Chr01	886082	907009	0.407202	0.127846	0.098293	0.254977
Chr01	907044	929740	0.206481	0.079932	0.065650	0.133142
Chr01	929786	936565	-0.924680	-0.759245	-0.355649	-0.861302
Chr01	936673	962412	-0.018865	-0.006001	-0.004048	0.002952
Chr01	962450	1004042	0.023376	0.005235	0.003196	0.023412
Chr01	1004055	1018596	0.193540	0.047393	0.033929	0.113546
Chr01	1021154	1038719	-0.395169	-0.032052	-0.025997	-0.143772
Chr01	1039214	1057392	0.111067	0.014440	0.010497	0.019580
Chr01	1057393	1086721	-0.764789	-0.111011	-0.077389	-0.705218
Chr01	1087465	1111568	-0.390201	-0.060615	-0.039612	-0.286907
Chr01	1111605	1136844	-0.246369	-0.070868	-0.047088	-0.185409
Chr01	1136988	1148004	-0.303739	-0.075267	-0.055422	-0.195547
Chr01	1148056	1157804	-0.063553	-0.010975	-0.008726	-0.037223
Chr01	1157895	1170391	0.191293	0.044631	0.034899	0.171027
Chr01	1170425	1181623	0.694207	0.230032	0.169221	0.555130
Chr01	1181627	1206305	0.082182	0.031989	0.016018	0.070343
Chr01	1206337	1231411	-0.058538	-0.020417	-0.009545	-0.055135
Chr01	1231432	1280443	-0.066674	-0.018632	-0.009598	-0.054152
Chr01	1280616	1304004	-0.111358	-0.018195	-0.012816	-0.078199
Chr01	1304263	1326161	-0.506197	-0.250869	-0.133609	-0.477605
Chr01	1326514	1369902	-0.251730	-0.053147	-0.038607	-0.206827
Chr01	1370020	1382510	-0.696591	-0.422922	-0.208077	-0.416479
Chr01	1382517	1401773	-0.663896	-0.375788	-0.220867	-0.618597
Chr01	1401782	1417825	-0.785668	-0.401387	-0.250807	-0.687701
Chr01	1418393	1448751	-0.131749	-0.088970	-0.043911	-0.102807
Chr01	1448847	1458311	0.532184	0.259393	0.154544	0.488996
Chr01	1458545	1470650	0.693817	0.359215	0.200716	0.655806
Chr01	1470694	1492164	0.644686	0.138906	0.102871	0.511864
Chr01	1492630	1510192	-0.278615	-0.100172	-0.062400	-0.224616
Chr01	1510324	1534195	-0.336146	-0.128721	-0.071806	-0.188560
Chr01	1534393	1538267	0.137760	0.086362	0.060580	0.061242
Chr01	1538295	1543382	-0.034828	-0.026904	-0.015794	0.002675
Chr01	1543399	1552228	0.358573	0.173636	0.115036	0.160969
Chr01	1552235	1562709	-0.545148	-0.339692	-0.154615	-0.374318
Chr01	1562766	1574735	-0.750570	-0.717297	-0.246421	-0.674580
Chr01	1574737	1600745	-0.240080	-0.088216	-0.038101	-0.253942
Chr01	1600826	1637243	0.057415	0.016532	0.009221	0.041645
Chr01	1637273	1648615	-0.591238	-0.424510	-0.175419	-0.510652
Chr01	1648638	1666068	0.396061	0.164676	0.113305	0.374675
Chr01	1666360	1677141	0.556029	0.211129	0.141576	0.514478
Chr01	1677154	1686160	0.172578	0.087277	0.051436	0.148188
Chr01	1686162	1689158	-0.138944	-0.130556	-0.070754	-0.049926
Chr01	1689182	1691201	-0.221691	-0.236877	-0.124537	-0.098483
Chr01	1691205	1706369	0.113209	0.056357	0.021881	0.049530
Chr01	1707774	1735188	-0.313573	-0.065965	-0.037543	-0.244401
Chr01	1735193	1788345	0.099483	0.027770	0.013878	0.066371
Chr01	1788425	1799801	0.294980	0.076193	0.045947	0.220117
