chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	121258	148259	-0.302902	-0.156696	-0.087017	-0.195898
Chr01	148279	158093	-0.454588	-0.475760	-0.198278	-0.235136
Chr01	158691	182036	-0.019051	-0.011694	-0.007437	-0.011534
Chr01	182167	185867	0.285075	0.148487	0.106935	0.090795
Chr01	185892	196774	0.334292	0.179397	0.134400	0.121748
Chr01	196841	209182	0.370728	0.183961	0.125677	0.208013
Chr01	209309	216455	0.497337	0.241311	0.179280	0.336866
Chr01	216563	221493	0.385891	0.228258	0.147079	0.280438
Chr01	221534	235052	0.178376	0.046242	0.035726	0.132165
Chr01	235331	247550	-0.047852	-0.015931	-0.011493	-0.031939
Chr01	247551	254369	0.325650	0.147032	0.115042	0.233146
Chr01	254377	261364	-0.581340	-0.355891	-0.205231	-0.531325
Chr01	261403	269410	-0.619250	-0.475572	-0.241463	-0.474299
Chr01	269450	277511	0.211065	0.098876	0.060607	0.159644
Chr01	278124	299060	-0.025153	-0.015285	-0.008602	0.001524
Chr01	299091	315755	0.203594	0.138426	0.090037	0.108276
Chr01	315896	327172	-0.345863	-0.295600	-0.151393	-0.224396
Chr01	327363	338583	-0.219252	-0.045525	-0.035119	-0.038274
Chr01	338868	359759	0.398248	0.186303	0.138971	0.197803
Chr01	359869	394170	0.600266	0.279551	0.190702	0.416647
Chr01	394210	411868	0.623935	0.210091	0.154855	0.240254
Chr01	412171	427998	0.738595	0.298040	0.228704	0.480150
Chr01	428100	438584	-0.080306	-0.039631	-0.022013	-0.041914
Chr01	438984	450773	0.353327	0.088685	0.070363	0.079306
Chr01	450784	465890	0.290606	0.138699	0.092583	0.157309
Chr01	465969	479169	-0.082309	-0.058323	-0.034857	-0.068434
Chr01	479233	491838	0.076861	0.036672	0.020273	0.058338
Chr01	491899	509025	-0.353237	-0.158542	-0.077629	-0.137709
Chr01	509722	516742	-0.055112	-0.019070	-0.009507	-0.013342
Chr01	516771	526350	-0.305695	-0.275029	-0.177970	-0.282294
Chr01	526413	547879	-0.593676	-0.516178	-0.222270	-0.541331
Chr01	547920	560519	-0.560804	-0.356344	-0.159383	-0.434165
Chr01	561036	575295	0.134843	0.052659	0.036982	0.105764
Chr01	575304	596969	0.167976	0.072878	0.052970	0.127207
Chr01	597037	614761	0.595734	0.309113	0.240481	0.406183
Chr01	614791	628084	0.217403	0.129945	0.093843	0.159089
Chr01	628131	637819	0.358347	0.394898	0.256960	0.248733
Chr01	637889	651581	0.387224	0.370464	0.237902	0.350358
Chr01	651775	659010	0.305009	0.194154	0.135514	0.208519
Chr01	659015	668673	0.564418	0.204178	0.180571	0.480853
Chr01	668733	695936	0.239202	0.150450	0.078212	0.171318
Chr01	696341	731117	-0.453677	-0.334904	-0.157382	-0.288895
Chr01	732626	805662	-0.259469	-0.166902	-0.071950	-0.159787
Chr01	805732	839934	-0.071181	-0.034375	-0.018771	-0.041345
Chr01	840169	852451	-0.454432	-0.246737	-0.092889	-0.262465
Chr01	852777	865544	-0.278924	-0.200307	-0.070855	-0.190304
Chr01	865566	881768	0.349828	0.216973	0.110362	0.204819
Chr01	881777	901506	-0.033505	-0.011706	-0.008020	-0.010341
Chr01	901559	931839	-0.184296	-0.078375	-0.040855	-0.128734
Chr01	932147	948229	-0.077915	-0.017393	-0.011213	-0.010168
Chr01	948230	965428	0.468355	0.107053	0.070099	0.158050
Chr01	965434	983667	0.228596	0.102130	0.055612	0.220070
Chr01	983763	1002571	-0.282350	-0.067667	-0.043127	-0.188621
Chr01	1002607	1021798	-0.052282	-0.009870	-0.007030	-0.041895
Chr01	1021805	1035827	-0.424517	-0.036349	-0.029296	-0.393254
Chr01	1035828	1059158	-0.352599	-0.051052	-0.033074	-0.247478
Chr01	1059812	1077662	-0.701798	-0.299295	-0.168732	-0.553040
Chr01	1077786	1086193	-0.278300	-0.217324	-0.103425	-0.104335
Chr01	1086270	1104572	0.359281	0.186253	0.100111	0.325728
Chr01	1104659	1117830	-0.524753	-0.518944	-0.214803	-0.330231
Chr01	1117838	1138685	0.189066	0.095322	0.058892	0.154541
Chr01	1138953	1150935	0.047422	0.009825	0.007478	0.067235
Chr01	1151000	1164611	-0.290257	-0.063268	-0.047890	-0.268493
Chr01	1164633	1170367	0.278239	0.058872	0.050712	0.138649
Chr01	1170425	1181219	0.455821	0.092687	0.075797	0.329798
Chr01	1181435	1188952	0.260366	0.128603	0.069945	0.183692
Chr01	1189035	1206966	0.140805	0.051552	0.025503	0.108552
Chr01	1207018	1216494	-0.188084	-0.065964	-0.027756	-0.153449
Chr01	1216526	1279846	0.296227	0.070980	0.037487	0.234150
Chr01	1280053	1299227	0.014366	0.005441	0.002303	0.010314
Chr01	1299269	1314896	0.314204	0.152996	0.080452	0.232765
Chr01	1315019	1327624	-0.593713	-0.796556	-0.249443	-0.487828
Chr01	1327888	1364858	0.079835	0.035878	0.023203	0.070919
Chr01	1364868	1383837	0.053680	0.019825	0.009312	0.023530
Chr01	1384220	1401773	0.222653	0.057763	0.037112	0.146615
Chr01	1401781	1417414	-0.072220	-0.030599	-0.019086	-0.046391
Chr01	1417425	1445264	-0.119304	-0.107589	-0.042249	-0.079394
Chr01	1445306	1453253	0.378058	0.240333	0.128173	0.331781
Chr01	1453513	1459389	-0.073943	-0.050160	-0.024734	-0.071021
Chr01	1459549	1465735	0.191435	0.117094	0.060293	0.178857
Chr01	1465757	1472506	0.276738	0.152029	0.094912	0.218421
Chr01	1472669	1480542	0.503879	0.281280	0.175831	0.462234
Chr01	1480639	1492458	0.258626	0.106942	0.072415	0.202148
Chr01	1492630	1508411	0.431978	0.219069	0.140203	0.401436
Chr01	1508452	1518945	-0.066388	-0.023959	-0.015428	-0.054237
Chr01	1518987	1534533	0.190710	0.054479	0.037955	0.124908
Chr01	1534554	1539817	0.033825	0.033011	0.017527	0.010711
Chr01	1539828	1549328	-0.004865	-0.001491	-0.001057	0.004124
Chr01	1549332	1564974	-0.123030	-0.043653	-0.026194	-0.087089
Chr01	1564978	1571486	-0.454649	-0.206453	-0.092809	-0.319342
Chr01	1571569	1576268	-0.047581	-0.018988	-0.008709	-0.012598
Chr01	1576291	1591437	0.518859	0.269930	0.123330	0.469743
Chr01	1591474	1625205	0.656402	0.232751	0.118909	0.609122
Chr01	1625235	1631017	-0.533051	-0.523854	-0.183428	-0.476647
Chr01	1631052	1640533	-0.093557	-0.036473	-0.021970	-0.079300
Chr01	1640548	1650656	-0.800627	-0.916996	-0.292480	-0.746712
Chr01	1650694	1665607	0.596711	0.209120	0.149236	0.531218
Chr01	1665798	1674770	0.397540	0.174242	0.105501	0.279548
Chr01	1674891	1684908	0.118731	0.041681	0.024972	0.100384
Chr01	1685204	1688876	-0.230629	-0.288059	-0.129115	-0.126946
Chr01	1688877	1691271	-0.357388	-0.776404	-0.267625	-0.216434
Chr01	1691284	1703548	-0.221889	-0.342346	-0.044185	-0.069797
Chr01	1703683	1730800	-0.423985	-0.135325	-0.072522	-0.266290
Chr01	1731012	1755687	-0.271630	-0.074806	-0.040072	-0.222812
Chr01	1755694	1789342	-0.169375	-0.081827	-0.029720	-0.078119
Chr01	1789355	1802343	-0.118236	-0.054422	-0.023116	-0.077653
