chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	220038	506876	-0.180245	-0.098335	-0.070148	-0.140803
Chr01	334299	631258	0.113451	0.063015	0.040334	0.070116
Chr01	506929	885132	0.102780	0.063138	0.035025	0.065151
Chr01	632067	1058986	-0.034298	-0.014135	-0.008992	-0.024668
Chr01	885422	1255095	-0.080328	-0.024844	-0.016396	-0.060420
Chr01	1059101	1472922	-0.211959	-0.076390	-0.049093	-0.184772
Chr01	1255114	1593649	-0.213931	-0.094097	-0.059358	-0.172638
Chr01	1473007	1715149	-0.129001	-0.057671	-0.033820	-0.087235
Chr01	1594767	1932505	-0.117456	-0.043234	-0.022305	-0.083745
Chr01	1715242	2087540	-0.132689	-0.049151	-0.025341	-0.096285
Chr01	1932720	2214556	-0.158967	-0.065646	-0.040218	-0.101703
Chr01	2087564	2291600	-0.115925	-0.063182	-0.039046	-0.070155
Chr01	2214568	2436361	-0.020488	-0.017875	-0.009534	-0.011687
Chr01	2291796	2508906	-0.184991	-0.166696	-0.083600	-0.104231
Chr01	2436445	2618140	-0.186533	-0.186373	-0.090503	-0.105904
Chr01	2509400	2691705	-0.087663	-0.075468	-0.040231	-0.050158
Chr01	2618152	2751092	0.061567	0.049354	0.025606	0.035507
Chr01	2691706	2826510	-0.146898	-0.140193	-0.071645	-0.098188
Chr01	2751108	2942787	-0.192207	-0.165107	-0.091600	-0.121051
Chr01	2826557	3070324	0.136447	0.074878	0.046492	0.068103
Chr01	2942812	3212484	0.122223	0.053215	0.033184	0.062162
Chr01	3070373	3402508	-0.266103	-0.108136	-0.064330	-0.171494
Chr01	3212547	3533988	-0.284158	-0.124926	-0.073565	-0.203311
Chr01	3402531	3689480	0.256243	0.129521	0.082564	0.190484
Chr01	3534004	3864796	0.204080	0.114875	0.069516	0.154877
Chr01	3689534	4029807	-0.205027	-0.133795	-0.067400	-0.137272
Chr01	3864827	4175132	-0.230274	-0.121699	-0.067642	-0.155606
Chr01	4029811	4296882	-0.116324	-0.060090	-0.033817	-0.081432
Chr01	4175335	4414973	-0.055005	-0.037518	-0.018811	-0.033758
Chr01	4296887	4484443	0.005463	0.004727	0.002427	0.001113
Chr01	4415059	4612737	-0.140812	-0.076483	-0.050054	-0.084791
Chr01	4484465	4767335	-0.152153	-0.065916	-0.041687	-0.090076
Chr01	4612796	4927094	-0.127417	-0.059021	-0.034971	-0.087033
Chr01	4767948	5162702	-0.195693	-0.067112	-0.042330	-0.145023
Chr01	4927106	5437727	-0.133138	-0.038183	-0.025484	-0.086686
Chr01	5167287	5634391	0.045408	0.017585	0.011769	0.035136
Chr01	5437879	5858867	0.063761	0.023238	0.015586	0.045202
Chr01	5634502	5993460	-0.054607	-0.019600	-0.012536	-0.029826
Chr01	5859057	6139207	0.054413	0.021771	0.013288	0.037280
Chr01	5993671	6323707	0.188356	0.059167	0.038941	0.116530
Chr01	6139268	6879774	0.036787	0.006003	0.004462	0.024404
Chr01	6323708	7112059	-0.043799	-0.008564	-0.006372	-0.036777
Chr01	6880150	7313340	-0.199589	-0.089652	-0.057023	-0.148691
Chr01	7112094	7448783	-0.393809	-0.215906	-0.128212	-0.287502
Chr01	7313351	7653008	-0.373055	-0.200310	-0.111156	-0.275026
Chr01	7448823	7841504	-0.262785	-0.116798	-0.062892	-0.191319
Chr01	7653086	7974905	-0.091652	-0.039768	-0.022167	-0.072731
Chr01	7841520	8099504	-0.076975	-0.033589	-0.019856	-0.056748
Chr01	7975235	8383066	-0.107401	-0.022130	-0.015716	-0.076562
Chr01	8099539	8584390	-0.083324	-0.018000	-0.012071	-0.067706
Chr01	8383186	8718146	-0.081167	-0.030255	-0.017744	-0.061837
Chr01	8584517	8946622	-0.095788	-0.040174	-0.024169	-0.043705
Chr01	8718290	9314408	-0.042332	-0.017213	-0.010339	-0.011863
Chr01	8946742	9476977	-0.121049	-0.050105	-0.029184	-0.088759
Chr01	9314633	9674137	-0.055674	-0.026765	-0.015307	-0.042435
Chr01	9477087	9842528	0.205577	0.106577	0.066837	0.138751
Chr01	9674198	9916607	0.197119	0.099863	0.064348	0.121924
Chr01	9842551	10028816	0.098115	0.045607	0.030423	0.066324
Chr01	9916669	10145919	0.076995	0.039921	0.023935	0.047255
Chr01	10028886	10286549	-0.086529	-0.058779	-0.028390	-0.052534
Chr01	10145946	10470423	-0.109963	-0.044373	-0.026541	-0.073050
Chr01	10286572	10959625	-0.089471	-0.031826	-0.020357	-0.066337
Chr01	10470455	11075893	-0.546607	-0.366776	-0.199696	-0.428614
Chr01	10959665	11248828	-0.466242	-0.336475	-0.163890	-0.365731
Chr01	11076067	11413391	-0.022479	-0.008886	-0.005484	-0.014016
Chr01	11248858	11556319	-0.081385	-0.031034	-0.021280	-0.056149
Chr01	11413403	11668675	-0.338558	-0.211630	-0.120543	-0.234324
Chr01	11556345	11785950	-0.242535	-0.199902	-0.096971	-0.165900
Chr01	11668824	12028913	0.085980	0.052357	0.030384	0.051329
Chr01	11786054	12119078	0.028299	0.017623	0.010826	0.018885
Chr01	12029001	12326696	-0.087027	-0.035031	-0.020597	-0.057380
Chr01	12119085	12433817	-0.140004	-0.054956	-0.031168	-0.089928
Chr01	12326710	12633507	-0.205898	-0.100385	-0.044732	-0.128554
Chr01	12433850	12817197	-0.539997	-0.267639	-0.121607	-0.449017
Chr01	12633693	13124961	-0.785785	-0.289539	-0.162703	-0.720367
Chr01	12817216	13314010	-0.583695	-0.191548	-0.108698	-0.505493
Chr01	13125021	13555868	-0.341737	-0.146380	-0.076969	-0.263499
Chr01	13314155	13766331	-0.391110	-0.161971	-0.085537	-0.298447
Chr01	13555893	13948679	-0.324186	-0.137261	-0.071061	-0.253539
Chr01	13766532	14096609	-0.166362	-0.069732	-0.040655	-0.130088
Chr01	13948836	14260737	-0.315197	-0.158559	-0.088324	-0.235061
Chr01	14096858	14411682	-0.428364	-0.167099	-0.100379	-0.342484
Chr01	14261306	14590845	-0.486028	-0.190181	-0.108892	-0.403365
Chr01	14411763	14707320	-0.416827	-0.201334	-0.111669	-0.347079
Chr01	14590869	14840885	-0.148658	-0.058214	-0.037195	-0.112409
Chr01	14707324	14964369	-0.302231	-0.123072	-0.070860	-0.221917
Chr01	14840886	15116035	-0.344268	-0.141365	-0.079667	-0.237815
Chr01	14964400	15278536	-0.345405	-0.152160	-0.074748	-0.234075
Chr01	15116092	15437743	-0.382540	-0.210594	-0.089940	-0.276718
Chr01	15278574	15617776	-0.315988	-0.138670	-0.071589	-0.225246
Chr01	15437748	15994418	-0.225195	-0.087273	-0.050932	-0.137996
Chr01	15617830	16231644	0.060709	0.021344	0.013954	0.044991
Chr01	15994466	16439445	0.037329	0.012246	0.007694	0.028154
Chr01	16231707	16563691	-0.235487	-0.112471	-0.059128	-0.150512
Chr01	16439447	16746271	-0.294255	-0.139843	-0.075059	-0.217158
Chr01	16563734	16963144	-0.191024	-0.065988	-0.039114	-0.151108
Chr01	16746765	17161769	-0.153555	-0.041286	-0.026699	-0.123803
Chr01	16964046	17338497	-0.300894	-0.089900	-0.053213	-0.235169
Chr01	17162048	17466257	-0.326107	-0.155934	-0.075873	-0.178618
Chr01	17338504	17543104	-0.208742	-0.211872	-0.082844	-0.091596
Chr01	17466268	17670531	-0.001578	-0.000985	-0.000525	-0.001975
Chr01	17543109	17882395	-0.130216	-0.060627	-0.034968	-0.086240
Chr01	17670533	18110747	-0.411666	-0.194695	-0.108154	-0.280036
Chr01	17882458	18257759	-0.537623	-0.261147	-0.142262	-0.393009
Chr01	18110835	18452335	-0.499253	-0.239463	-0.131087	-0.393192
Chr01	18257772	18610451	-0.300476	-0.130850	-0.079729	-0.255978
Chr01	18452443	18760973	-0.176895	-0.069073	-0.045922	-0.149574
Chr01	18610467	18900637	-0.132872	-0.061744	-0.038212	-0.095763
Chr01	18760987	19079607	-0.148543	-0.053641	-0.033493	-0.104238
Chr01	18900941	19278441	-0.266407	-0.086602	-0.052272	-0.194835
Chr01	19079666	19462497	-0.196754	-0.075748	-0.041952	-0.151369
Chr01	19279173	19637144	-0.409843	-0.198056	-0.089922	-0.353245
Chr01	19462645	19862291	-0.670251	-0.502352	-0.178929	-0.613641
Chr01	19637543	19990500	-0.366376	-0.230861	-0.104489	-0.311507
Chr01	19862295	20129626	-0.034740	-0.014353	-0.007952	-0.017822
Chr01	19990526	20283226	-0.156678	-0.067364	-0.034369	-0.109950
Chr01	20129631	20447112	-0.109695	-0.044854	-0.025222	-0.086612
Chr01	20283227	20583159	-0.103608	-0.043722	-0.025841	-0.074557
Chr01	20447145	20712075	-0.258422	-0.131720	-0.071558	-0.168340
Chr01	20583245	20918789	-0.128774	-0.047578	-0.026945	-0.088813
Chr01	20712174	21149261	-0.115181	-0.034635	-0.020832	-0.087617
Chr01	20918819	21291700	-0.376661	-0.137385	-0.078944	-0.285089
Chr01	21149342	21470716	-0.442832	-0.221204	-0.103410	-0.369538
Chr01	21291798	21652785	-0.320187	-0.135231	-0.064603	-0.274166
Chr01	21470751	21762304	-0.097430	-0.035709	-0.018430	-0.078300
Chr01	21652793	21964737	-0.111897	-0.043549	-0.023304	-0.096941
Chr01	21762397	22117327	-0.323221	-0.142701	-0.076476	-0.280417
Chr01	21964773	22240739	-0.406498	-0.230855	-0.113345	-0.309488
Chr01	22117361	22424415	-0.479269	-0.269499	-0.129821	-0.346733
Chr01	22240875	22776813	-0.537596	-0.133375	-0.084360	-0.426177
Chr01	22424438	22982158	-0.448941	-0.097753	-0.063497	-0.367400
Chr01	22776909	23105191	-0.399815	-0.140467	-0.082012	-0.350002
Chr01	22982248	23265228	-0.347654	-0.143871	-0.079828	-0.289905
Chr01	23105220	23501988	-0.375473	-0.165394	-0.084905	-0.301442
Chr01	23265282	23685272	-0.579667	-0.290052	-0.145159	-0.500712
Chr01	23502008	23809383	-0.619291	-0.345915	-0.176261	-0.450952
Chr01	23685394	23935005	-0.475136	-0.211343	-0.121254	-0.311568
Chr01	23809460	24106745	-0.492559	-0.231755	-0.139285	-0.393378
Chr01	23935100	24203211	-0.558426	-0.384770	-0.219464	-0.464620
Chr01	24106747	24424615	-0.583329	-0.444639	-0.223933	-0.476637
Chr01	24203283	24546482	-0.335549	-0.186546	-0.092387	-0.262044
Chr01	24424635	24722845	-0.212658	-0.113037	-0.053016	-0.158797
Chr01	24546502	24997354	-0.252855	-0.085121	-0.047775	-0.182683
Chr01	24723318	25233780	-0.063524	-0.015886	-0.010708	-0.046825
Chr01	24997375	25521194	-0.095598	-0.019883	-0.014623	-0.074373
Chr01	25233847	25689455	-0.037279	-0.007933	-0.005947	-0.030622
Chr01	25521340	25845275	-0.318199	-0.102702	-0.060967	-0.277861
Chr01	25689504	26091490	-0.694556	-0.315881	-0.149944	-0.594186
Chr01	25845302	26354545	-0.372491	-0.152910	-0.081581	-0.313686
Chr01	26091719	26497154	-0.181683	-0.074521	-0.040437	-0.151191
Chr01	26354830	26640909	-0.431140	-0.207370	-0.112302	-0.310643
Chr01	26497389	26736632	-0.241680	-0.119199	-0.067250	-0.132197
Chr01	26641182	26830312	-0.038161	-0.019448	-0.010675	-0.021235
Chr01	26736903	26941007	-0.290165	-0.167191	-0.087224	-0.196338
Chr01	26830339	27068023	-0.340560	-0.201567	-0.109648	-0.244745
Chr01	26941037	27186595	-0.115435	-0.063367	-0.037196	-0.085440
Chr01	27068043	27417068	-0.089295	-0.033584	-0.021501	-0.065822
Chr01	27186655	27667250	-0.293988	-0.065417	-0.046387	-0.192953
Chr01	27417192	27812202	-0.491148	-0.136910	-0.085617	-0.348577
Chr01	27667735	28025431	-0.473032	-0.135649	-0.081551	-0.367489
Chr01	27812237	28160547	-0.359909	-0.111349	-0.067147	-0.261211
Chr01	28025495	28303690	-0.158251	-0.091090	-0.047347	-0.113599
Chr01	28160672	28437329	-0.197288	-0.124521	-0.060977	-0.132833
Chr01	28303697	28585904	-0.456095	-0.357390	-0.135907	-0.331976
Chr01	28437461	28696066	-0.402518	-0.297049	-0.116205	-0.324698
Chr01	28585985	28857940	-0.380367	-0.274029	-0.121282	-0.248757
Chr01	28696076	29057627	-0.449608	-0.168738	-0.109152	-0.267348
Chr01	28861995	29223652	-0.321112	-0.083550	-0.057079	-0.217489
Chr01	29057787	29390932	-0.110501	-0.033843	-0.021214	-0.068432
Chr01	29223672	29628340	-0.100251	-0.023865	-0.017639	-0.071290
