chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	536451	688769	-0.011123	-0.010461	-0.006302	-0.007218
Superscaffold1	688775	848218	-0.096276	-0.063033	-0.036254	-0.053854
Superscaffold1	848262	1148787	-0.127107	-0.082340	-0.043036	-0.062679
Superscaffold1	1148801	1367286	-0.161231	-0.078472	-0.045959	-0.088682
Superscaffold1	1367326	1593332	-0.186828	-0.066732	-0.041767	-0.110847
Superscaffold1	1593375	1905385	-0.249926	-0.123860	-0.073056	-0.164194
Superscaffold1	1905394	2213823	-0.271195	-0.108423	-0.058635	-0.202604
Superscaffold1	2213945	2409820	0.014491	0.008161	0.005222	0.005797
Superscaffold1	2409845	2577622	0.008963	0.006516	0.004072	0.003136
Superscaffold1	2577646	2765541	0.043098	0.046656	0.023776	0.026608
Superscaffold1	2765546	2908069	-0.134525	-0.154491	-0.063552	-0.077597
Superscaffold1	2908336	3105233	-0.194566	-0.175416	-0.088778	-0.128062
Superscaffold1	3105401	3425459	0.044301	0.017485	0.010865	0.023327
Superscaffold1	3425506	3750305	-0.063794	-0.023999	-0.014367	-0.036884
Superscaffold1	3750317	4107959	-0.292899	-0.107015	-0.062398	-0.187058
Superscaffold1	4108058	4450881	0.062913	0.024495	0.015479	0.044296
Superscaffold1	4450909	4770907	-0.339333	-0.211074	-0.122523	-0.226241
Superscaffold1	4770921	5115083	0.023802	0.009490	0.006506	0.018591
Superscaffold1	5115113	5548815	-0.155787	-0.034564	-0.024751	-0.101518
Superscaffold1	5549083	5833205	0.146680	0.056935	0.038586	0.081737
Superscaffold1	5833948	6190516	0.129680	0.050337	0.033526	0.076079
Superscaffold1	6190951	6622591	-0.005638	-0.001412	-0.001007	-0.000484
Superscaffold1	6622663	7023404	-0.125801	-0.045209	-0.028973	-0.075676
Superscaffold1	7023585	7322252	-0.481710	-0.213635	-0.125874	-0.345633
Superscaffold1	7322263	7759921	-0.097803	-0.038885	-0.025206	-0.064972
Superscaffold1	7760150	8363814	-0.248757	-0.114540	-0.067344	-0.136357
Superscaffold1	8363905	8836577	-0.036025	-0.015738	-0.009432	-0.020001
Superscaffold1	8836671	9813975	0.108026	0.038569	0.026168	0.067377
Superscaffold1	9813984	10635453	-0.019132	-0.008140	-0.005166	-0.009510
Superscaffold1	10635537	10872447	-0.103874	-0.043711	-0.028042	-0.062390
Superscaffold1	10872500	11188023	0.017694	0.007047	0.004569	0.010981
Superscaffold1	11188077	11523989	-0.497724	-0.246580	-0.152208	-0.379100
Superscaffold1	11524048	11883510	-0.066309	-0.022432	-0.013251	-0.044334
Superscaffold1	11883541	12161984	-0.088274	-0.041059	-0.027048	-0.053237
Superscaffold1	12161992	12444645	0.078783	0.041027	0.022464	0.042832
Superscaffold1	12444746	12676680	-0.174959	-0.083897	-0.050116	-0.118463
Superscaffold1	12676780	12963210	-0.063802	-0.024361	-0.014534	-0.044769
Superscaffold1	12963267	13462861	-0.050993	-0.011616	-0.007466	-0.040287
Superscaffold1	13462862	14197651	0.092210	0.017013	0.011056	0.061341
Superscaffold1	14197676	14640150	-0.031757	-0.008077	-0.005344	-0.021792
Superscaffold1	14640786	14915597	0.076446	0.029622	0.018866	0.047868
Superscaffold1	14915601	15183792	0.007428	0.002182	0.001515	-0.001543
Superscaffold1	15183840	15521401	-0.027788	-0.006842	-0.004657	-0.020413
Superscaffold1	15521428	15871523	-0.328466	-0.090568	-0.058372	-0.241796
Superscaffold1	15871649	16208576	0.145759	0.043607	0.028235	0.094742
Superscaffold1	16208577	16575617	-0.242263	-0.068439	-0.044753	-0.154929
Superscaffold1	16575818	16855967	0.009973	0.004413	0.002636	0.003656
Superscaffold1	16856016	17291230	0.017559	0.007869	0.004472	0.012834
Superscaffold1	17291261	17811332	-0.080420	-0.024649	-0.015327	-0.060316
Superscaffold1	17811952	18282281	-0.381777	-0.459895	-0.148635	-0.204548
Superscaffold1	18282313	18596939	0.022528	0.005935	0.003991	0.012802
Superscaffold1	18596943	19022353	-0.148188	-0.044804	-0.030005	-0.093129
Superscaffold1	19022453	19182145	-0.079089	-0.044373	-0.025709	-0.046742
Superscaffold1	19182155	19576579	-0.452638	-0.316738	-0.190441	-0.329366
Superscaffold1	19576581	19824107	-0.383049	-0.174106	-0.113004	-0.271199
Superscaffold1	19824112	20166422	0.065289	0.018547	0.011945	0.042795
Superscaffold1	20166948	20488112	0.118783	0.058202	0.034366	0.074989
Superscaffold1	20490061	21194941	-0.117080	-0.028799	-0.017240	-0.067261
Superscaffold1	21194980	21513349	-0.120734	-0.049943	-0.027228	-0.080571
Superscaffold1	21513356	21813378	-0.053192	-0.023140	-0.013304	-0.032245
Superscaffold1	21813444	22205171	-0.051730	-0.013930	-0.009809	-0.031774
Superscaffold1	22205202	22795919	-0.121016	-0.021661	-0.014119	-0.085433
Superscaffold1	22796037	23296024	-0.062608	-0.014535	-0.008845	-0.051416
Superscaffold1	23296031	23694966	-0.132118	-0.036321	-0.022378	-0.101087
Superscaffold1	23694976	24010596	-0.302712	-0.119195	-0.071809	-0.207835
Superscaffold1	24011304	24383372	-0.086871	-0.025217	-0.016864	-0.040631
Superscaffold1	24383463	24672655	-0.048338	-0.018972	-0.011513	-0.034435
Superscaffold1	24672664	24952241	-0.002931	-0.001406	-0.000814	0.000838
