chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	57558	64151	0.825906	0.517288	0.448314	0.667583
Chr01	64180	71153	0.917159	0.498510	0.433319	0.811287
Chr01	71164	77232	0.782198	0.601269	0.478870	0.569229
Chr01	77291	80272	0.661113	0.542938	0.457302	0.473382
Chr01	80323	119963	0.745705	0.634579	0.493270	0.505784
Chr01	120122	147651	0.035599	0.017186	0.008341	0.004454
Chr01	147661	152161	-0.111374	-0.378649	-0.043857	-0.036996
Chr01	152214	161149	-0.045956	-0.062562	-0.021824	-0.021704
Chr01	161154	180686	0.518493	0.578623	0.351236	0.270167
Chr01	180713	184833	0.253770	0.373668	0.247553	0.128997
Chr01	184871	189200	0.306774	0.494578	0.302173	0.158035
Chr01	189204	196248	0.149440	0.253015	0.146267	0.065585
Chr01	196772	204991	0.318789	0.407432	0.246886	0.177244
Chr01	205032	208317	-0.011318	-0.018268	-0.008418	-0.026014
Chr01	208361	210144	-0.028033	-0.074289	-0.023830	-0.022641
Chr01	210178	214737	0.376378	0.394888	0.260592	0.230826
Chr01	214745	216891	-0.052836	-0.093423	-0.040134	-0.032909
Chr01	216905	218732	-0.078836	-0.211102	-0.063190	-0.075005
Chr01	218734	220783	-0.071892	-0.120025	-0.055679	-0.047768
Chr01	220788	225678	0.207537	0.295574	0.160537	0.121893
Chr01	225688	230832	-0.066306	-0.237916	-0.067841	-0.040044
Chr01	230847	235866	-0.205705	-0.593699	-0.186064	-0.123142
Chr01	235886	239689	-0.111550	-0.192193	-0.094080	-0.078407
Chr01	239725	247523	-0.111831	-0.135726	-0.064052	-0.061294
Chr01	247525	250498	0.101239	0.205639	0.083954	0.044289
Chr01	250530	253586	0.014799	0.034651	0.014545	0.000328
Chr01	253643	255728	-0.036747	-0.094634	-0.030425	-0.037220
Chr01	255758	258548	0.174121	0.256887	0.129425	0.082615
Chr01	258562	262209	0.042399	0.064177	0.026936	0.028261
Chr01	262233	264200	0.235796	0.321471	0.166282	0.116271
Chr01	264209	269311	0.200097	0.241159	0.143116	0.141876
Chr01	269320	273334	0.287713	0.390861	0.227615	0.171983
Chr01	273397	276012	0.221539	0.286856	0.105057	0.110135
Chr01	276077	281274	0.292724	0.367616	0.200004	0.155909
Chr01	281422	295354	0.074844	0.095266	0.040231	0.056690
Chr01	295361	310186	0.483732	0.370452	0.242205	0.320650
Chr01	310197	315906	0.605874	0.779661	0.490513	0.387119
Chr01	315931	320869	0.095708	0.273217	0.084634	0.036850
Chr01	320935	333787	0.466726	0.610896	0.322191	0.280194
Chr01	333997	344629	0.552906	0.651443	0.358004	0.315580
Chr01	344664	352000	0.324015	0.511069	0.312944	0.199295
Chr01	352034	382716	-0.607458	-0.413373	-0.236188	-0.446004
Chr01	382816	388158	0.280423	0.266804	0.204309	0.169223
Chr01	388165	393239	0.254269	0.264393	0.175179	0.153358
Chr01	393356	400579	-0.083080	-0.213551	-0.057959	-0.047103
Chr01	400601	404405	0.062465	0.207822	0.069635	0.029796
Chr01	404433	415249	0.146371	0.133607	0.065527	0.084377
Chr01	415263	425165	0.649707	0.621484	0.430861	0.492015
Chr01	425267	431656	0.273892	0.417846	0.179771	0.143529
Chr01	431665	436777	0.258637	0.638618	0.151173	0.120024
Chr01	436835	446387	0.356096	0.146417	0.093793	0.093537
Chr01	446389	450719	-0.117604	-0.102980	-0.068702	-0.086337
Chr01	450784	459717	-0.123276	-0.144272	-0.082324	-0.054487
Chr01	463647	465972	-0.248952	-0.343188	-0.186268	-0.165488
Chr01	465993	476738	-0.033839	-0.032339	-0.022040	-0.014418
Chr01	476800	479545	-0.302553	-0.313900	-0.201895	-0.225997
Chr01	479550	482975	-0.394044	-0.849320	-0.319716	-0.247885
Chr01	483052	488310	0.091012	0.093744	0.054603	0.060825
Chr01	488317	496338	0.064163	0.068953	0.036734	0.035940
Chr01	496439	501150	-0.086403	-0.038530	-0.024822	-0.052325
Chr01	501156	511697	-0.319233	-0.387198	-0.153025	-0.171045
Chr01	511729	516359	-0.414551	-0.962322	-0.251780	-0.223706
Chr01	516369	521301	-0.039635	-0.141400	-0.022717	-0.011677
Chr01	521302	526431	-0.012700	-0.030581	-0.008156	-0.004558
Chr01	526446	530111	0.193018	0.370884	0.117257	0.075290
Chr01	530124	544921	-0.475154	-1.162838	-0.141030	-0.175493
Chr01	544945	557192	-0.426534	-0.538411	-0.117935	-0.146074
Chr01	557249	566043	-0.421637	-0.271520	-0.118530	-0.179653
Chr01	566326	575073	0.270070	0.216338	0.115650	0.109820
Chr01	575104	577740	0.018479	0.017427	0.009402	-0.001787
Chr01	577762	587876	-0.026980	-0.013815	-0.009808	-0.024916
Chr01	587894	604778	0.202525	0.127672	0.079268	0.122503
Chr01	604838	611077	0.085486	0.061342	0.038507	0.017397
Chr01	611100	620528	0.014719	0.020883	0.009113	0.011034
Chr01	620755	626655	-0.033160	-0.070962	-0.021661	-0.013053
Chr01	626656	631227	0.091596	0.125438	0.052977	0.044716
Chr01	631258	638040	-0.005919	-0.009325	-0.003446	-0.016572
Chr01	638081	642139	-0.109662	-0.245234	-0.062694	-0.061628
Chr01	642184	650813	-0.070737	-0.158609	-0.039337	-0.028994
Chr01	650834	655139	0.007659	0.015109	0.004788	0.002103
Chr01	655179	658314	0.035339	0.035037	0.020592	0.011268
Chr01	658332	663371	-0.042002	-0.013708	-0.010496	-0.031081
Chr01	663380	673514	-0.184943	-0.135804	-0.089831	-0.117768
Chr01	673602	683643	0.049596	0.052579	0.025542	0.063118
Chr01	683691	698598	-0.205166	-0.457283	-0.126516	-0.148724
Chr01	698626	712717	-0.283362	-0.168965	-0.092058	-0.197444
Chr01	712750	746607	-0.211678	-0.176142	-0.094969	-0.127826
Chr01	747534	778056	-0.152731	-0.160256	-0.073985	-0.089682
Chr01	781035	806264	-0.210652	-0.233777	-0.104235	-0.132389
Chr01	806319	832192	-0.284583	-0.195010	-0.104073	-0.165318
Chr01	832256	840432	-0.542021	-0.318988	-0.156440	-0.370716
Chr01	840434	849268	-0.722089	-0.211103	-0.121982	-0.560236
Chr01	849490	856690	-0.616502	-0.451802	-0.148959	-0.523835
Chr01	856880	864233	-0.090889	-0.064158	-0.028082	-0.062514
Chr01	864252	871500	0.022762	0.020165	0.007506	0.003749
Chr01	871508	881514	-0.182856	-0.144379	-0.071082	-0.126014
Chr01	881534	895577	-0.308619	-0.664525	-0.200383	-0.200239
Chr01	895582	903311	-0.053021	-0.068858	-0.030299	-0.044608
Chr01	903317	909448	-0.153196	-0.125841	-0.068947	-0.109605
Chr01	910023	927554	-0.238241	-0.180385	-0.121630	-0.153833
Chr01	927564	933635	-0.958606	-0.532290	-0.318363	-0.897794
Chr01	933661	954547	-0.661411	-0.173297	-0.124992	-0.374928
Chr01	954572	968968	-0.112392	-0.064037	-0.028732	-0.044202
Chr01	968971	977726	0.179055	0.200564	0.062966	0.114919
Chr01	977782	984440	0.300074	0.223347	0.136431	0.138585
Chr01	984497	996244	-0.097939	-0.046636	-0.027851	-0.049701
Chr01	996338	1006265	-0.052891	-0.042720	-0.015273	-0.020900
Chr01	1006331	1013617	-0.023807	-0.029246	-0.010751	-0.008271
Chr01	1013721	1021856	0.499696	0.152358	0.117615	0.242691
Chr01	1021875	1030236	-0.048106	-0.031176	-0.016275	-0.027918
Chr01	1030287	1034849	0.061758	0.044345	0.020443	0.020522
Chr01	1034865	1041948	-0.672616	-0.210681	-0.123137	-0.379916
Chr01	1041956	1049621	-0.254886	-2.297845	-0.195355	-0.123741
Chr01	1049641	1054639	-0.036605	-0.034328	-0.013695	-0.020660
Chr01	1054663	1064064	-0.212925	-0.120867	-0.059330	-0.135735
Chr01	1064561	1078276	0.101995	0.044805	0.023846	0.037595
Chr01	1078400	1089374	0.339292	0.177675	0.120304	0.196963
Chr01	1089413	1098017	0.182301	0.142362	0.072961	0.107402
Chr01	1098080	1104313	-0.574891	-0.264105	-0.131166	-0.302577
Chr01	1104344	1119083	-0.447670	-0.101830	-0.057009	-0.136941
Chr01	1119140	1135452	-0.015567	-0.009936	-0.005519	-0.020793
Chr01	1135485	1142124	-0.484327	-0.220208	-0.142537	-0.355270
Chr01	1142157	1146517	-0.423154	-0.113008	-0.085653	-0.359350
Chr01	1146565	1153798	-0.409129	-0.085908	-0.061409	-0.225460
Chr01	1153820	1161944	-0.544512	-0.183762	-0.111242	-0.396557
Chr01	1161969	1167162	-0.298406	-0.239587	-0.129960	-0.176764
Chr01	1167188	1170602	-0.184640	-0.236344	-0.106561	-0.089798
Chr01	1170604	1175046	-0.119515	-0.112942	-0.061473	-0.074116
Chr01	1175069	1179647	-0.010782	-0.007006	-0.004486	0.001026
Chr01	1179650	1184446	-0.144587	-0.062104	-0.037191	-0.091905
Chr01	1184452	1189325	0.092750	0.084297	0.041976	0.040772
Chr01	1189339	1199983	-0.244521	-0.207481	-0.085865	-0.117961
Chr01	1200007	1204862	-0.185044	-0.364912	-0.059882	-0.157365
Chr01	1204866	1210950	0.087985	0.079725	0.029710	0.035967
Chr01	1211041	1215583	0.042077	0.044413	0.013546	0.029850
Chr01	1215616	1254652	0.488849	0.244083	0.120154	0.412381
Chr01	1254667	1276781	-0.205900	-0.133038	-0.071863	-0.136673
Chr01	1276811	1289827	-0.784923	-0.121972	-0.074434	-0.196208
Chr01	1289942	1295741	-0.293973	-0.250805	-0.108988	-0.107792
Chr01	1295769	1301462	-0.148307	-0.148376	-0.061635	-0.058063
Chr01	1301496	1310425	-0.369424	-0.225020	-0.104506	-0.184837
Chr01	1310450	1315989	-0.106956	-0.147370	-0.055474	-0.060571
Chr01	1315997	1319822	-0.163396	-0.213164	-0.060844	-0.090597
Chr01	1319827	1327168	-0.055885	-0.063383	-0.025962	-0.023330
Chr01	1327219	1331940	0.094167	0.064962	0.033687	0.046368
Chr01	1331997	1348948	-0.083820	-0.061120	-0.031450	-0.050128
Chr01	1349439	1370444	-0.315356	-0.266994	-0.159054	-0.226931
Chr01	1370461	1378864	-0.444363	-0.568383	-0.229927	-0.284127
Chr01	1378884	1383456	-0.197231	-0.345590	-0.126005	-0.120541
Chr01	1383481	1390004	-0.444192	-0.572875	-0.203785	-0.289048
Chr01	1390015	1396647	-0.068016	-0.064909	-0.032684	-0.050990
Chr01	1396747	1407891	-0.271883	-0.082565	-0.055039	-0.129092
Chr01	1408068	1418452	-0.377339	-0.217923	-0.133994	-0.288488
Chr01	1418494	1447176	-0.399711	-0.375774	-0.147438	-0.303974
Chr01	1447197	1451218	0.255455	0.201774	0.102941	0.173982
Chr01	1451229	1454717	0.180399	0.147013	0.065136	0.152956
Chr01	1454723	1458051	-0.191706	-0.396378	-0.103573	-0.130079
Chr01	1458082	1461554	-0.183024	-0.256382	-0.086763	-0.115113
Chr01	1461596	1465096	-0.300525	-0.395978	-0.125763	-0.230147
Chr01	1465150	1468681	-0.107209	-0.210853	-0.058001	-0.066768
Chr01	1468764	1472694	-0.223197	-0.566333	-0.129441	-0.143594
Chr01	1472714	1475706	-0.292791	-0.500115	-0.151355	-0.202335
