chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	60116	73845	-0.463607	-0.117092	-0.095047	-0.338007
Chr01	73911	81581	-0.764761	-0.358220	-0.239642	-0.644407
Chr01	81684	130563	-0.737486	-0.485627	-0.245312	-0.617297
Chr01	131022	150700	-0.866595	-0.782713	-0.302449	-0.720932
Chr01	150791	154861	-0.933056	-2.884759	-0.468813	-0.731856
Chr01	154990	167116	-0.740951	-0.641254	-0.279339	-0.643763
Chr01	167145	182996	-0.243954	-0.179630	-0.106813	-0.133067
Chr01	183005	185068	-0.333041	-0.733716	-0.257514	-0.221789
Chr01	185077	186785	-0.412944	-0.778725	-0.270312	-0.284720
Chr01	186790	189636	-0.405538	-0.884127	-0.252474	-0.265983
Chr01	189660	194158	-0.287921	-0.298775	-0.161369	-0.184745
Chr01	194457	204065	-0.053924	-0.045439	-0.027124	-0.033002
Chr01	204115	208056	-0.013873	-0.012232	-0.006909	-0.018936
Chr01	208063	209742	0.008942	0.012007	0.006247	0.008911
Chr01	209787	214567	0.038913	0.032461	0.020294	0.019026
Chr01	214568	216874	-0.076524	-0.075597	-0.045766	-0.052662
Chr01	216885	218734	0.022993	0.029633	0.016689	-0.003682
Chr01	218745	220703	-0.144085	-0.212418	-0.104481	-0.092601
Chr01	220705	225138	-0.352760	-0.783998	-0.248267	-0.202558
Chr01	225157	229129	-0.147677	-0.133966	-0.065889	-0.075672
Chr01	229159	233356	-0.251088	-0.319321	-0.131132	-0.129799
Chr01	233379	236889	-0.284251	-0.380361	-0.177845	-0.169500
Chr01	236891	243085	-0.137182	-0.119114	-0.065856	-0.086610
Chr01	243153	247934	-0.212972	-0.150068	-0.080975	-0.093535
Chr01	247949	250606	-0.451388	-0.524650	-0.221710	-0.294518
Chr01	250704	253710	-0.535252	-0.631732	-0.277897	-0.379773
Chr01	253714	255552	-0.565312	-0.999249	-0.289617	-0.440718
Chr01	255579	258080	-0.179167	-0.220899	-0.097425	-0.158603
Chr01	258108	261410	-0.754825	-1.374966	-0.403076	-0.623916
Chr01	261411	263405	-0.783478	-0.884100	-0.343623	-0.678747
Chr01	263418	264882	0.114760	0.065068	0.044060	0.065214
Chr01	265033	270333	-0.477670	-0.945043	-0.264255	-0.332592
Chr01	270400	274718	-0.269660	-0.233479	-0.122602	-0.181435
Chr01	274747	276514	-0.446756	-0.847473	-0.222781	-0.298269
Chr01	276516	284129	-0.208552	-0.184201	-0.089600	-0.137200
Chr01	284136	306281	0.077125	0.044210	0.025234	0.041917
Chr01	306283	311164	0.002910	0.001979	0.001440	0.002319
Chr01	311197	315995	0.076457	0.065667	0.047766	0.050081
Chr01	316028	320315	-0.067466	-0.098428	-0.038500	-0.043307
Chr01	320358	331505	-0.044397	-0.025033	-0.013502	-0.030285
Chr01	331793	341922	-0.046993	-0.021598	-0.012504	-0.006297
Chr01	341951	351282	0.101672	0.074409	0.052571	0.070064
Chr01	351355	369334	0.670555	0.231507	0.177411	0.484330
Chr01	369486	387807	0.306893	0.156104	0.111752	0.220558
Chr01	387827	393509	0.015833	0.013226	0.008277	-0.001350
Chr01	393522	402514	-0.111954	-0.117240	-0.059216	-0.048180
Chr01	402515	407059	-0.123174	-0.234647	-0.113590	-0.045872
Chr01	407492	424755	-0.282211	-0.098862	-0.061789	-0.097895
Chr01	424768	430923	0.139116	0.106726	0.059042	0.089430
Chr01	430956	434443	0.288971	0.286489	0.121251	0.208984
Chr01	434465	439849	0.560775	0.387900	0.238507	0.305586
Chr01	439994	447258	0.181115	0.097850	0.063626	0.048623
Chr01	447260	452384	0.536035	0.486512	0.308227	0.349366
Chr01	452418	464707	0.340191	0.283568	0.177563	0.177714
Chr01	464711	467335	0.001488	0.001792	0.000898	-0.001163
Chr01	467338	478699	-0.013702	-0.014729	-0.006794	-0.006291
Chr01	478728	481728	0.092642	0.168876	0.060486	0.045731
Chr01	481905	488191	-0.102876	-0.074269	-0.041722	-0.046517
Chr01	488203	496551	0.050522	0.024040	0.015016	0.032211
Chr01	496556	502131	-0.577170	-0.537018	-0.210511	-0.429538
Chr01	502139	515158	-0.214570	-0.158600	-0.066009	-0.084472
Chr01	515176	521134	0.209177	0.182581	0.071009	0.102110
Chr01	521148	527281	0.638824	0.578966	0.313833	0.555101
Chr01	527402	551526	0.663349	0.389362	0.136890	0.511932
Chr01	551553	565132	0.376930	0.177127	0.096526	0.277767
Chr01	565172	574704	0.619943	0.354756	0.236115	0.468966
Chr01	574710	577366	0.691806	0.351048	0.263141	0.462850
Chr01	577387	580226	0.672903	0.401458	0.284068	0.433962
Chr01	580669	596969	0.808701	0.488953	0.388399	0.745386
Chr01	597537	611381	0.968259	0.622299	0.522653	0.888857
Chr01	611414	622903	0.315870	0.191812	0.114642	0.151049
Chr01	622909	627441	-0.029655	-0.029255	-0.014204	-0.008275
Chr01	627652	632629	-0.064132	-0.040820	-0.025493	-0.027483
Chr01	632639	638775	0.309630	0.193399	0.141160	0.130927
Chr01	638845	648935	0.222601	0.121921	0.072179	0.077231
Chr01	649021	652902	0.126155	0.067328	0.045825	0.026770
Chr01	652907	658612	0.335570	0.126981	0.093468	0.125762
Chr01	658948	670228	0.102136	0.025956	0.022089	0.069626
Chr01	670272	676686	-0.320690	-0.203369	-0.127279	-0.214488
Chr01	676695	683813	-0.432331	-0.443609	-0.210100	-0.322631
Chr01	683816	700114	-0.715945	-1.827691	-0.321030	-0.478750
Chr01	700410	719584	-0.599278	-0.580790	-0.268416	-0.509768
Chr01	719586	767667	-0.499765	-0.484261	-0.143574	-0.289511
Chr01	767750	806407	-0.270350	-0.163103	-0.086260	-0.123157
Chr01	806562	833164	-0.258830	-0.171869	-0.086886	-0.129509
Chr01	833259	838931	0.262564	0.233374	0.084456	0.137540
Chr01	838990	844496	0.527667	0.373193	0.139819	0.272188
Chr01	844552	850205	0.180421	0.171095	0.046089	0.072614
Chr01	850207	857366	0.277287	0.250866	0.062451	0.200151
Chr01	857477	865544	0.265567	0.189009	0.070861	0.153792
Chr01	866015	873556	0.114013	0.103390	0.034345	0.041804
Chr01	873559	881977	0.024536	0.054122	0.023443	0.002504
Chr01	882015	897610	-0.063527	-0.049645	-0.028211	-0.024734
Chr01	897623	905954	-0.379517	-0.312132	-0.131130	-0.199695
Chr01	906019	926388	-0.325516	-0.300388	-0.143799	-0.214864
Chr01	926407	933095	-0.437420	-0.847616	-0.245837	-0.351171
Chr01	933160	945498	-0.194187	-0.089917	-0.050340	-0.097309
Chr01	945504	968279	-0.326978	-0.176829	-0.078503	-0.172578
Chr01	968343	978319	0.301166	0.233161	0.085671	0.192846
Chr01	978587	989737	-0.513990	-0.186920	-0.114948	-0.200158
Chr01	989755	1010533	-0.631185	-0.158712	-0.082981	-0.257236
Chr01	1010561	1021158	0.498447	0.126879	0.086549	0.169863
Chr01	1021191	1030498	0.106861	0.033836	0.020739	0.025546
Chr01	1030528	1039214	-0.506317	-0.205665	-0.095312	-0.275124
Chr01	1039290	1047159	0.557919	0.222171	0.152342	0.105213
Chr01	1047404	1058665	0.085214	0.042943	0.015494	0.030457
Chr01	1058673	1077812	-0.232443	-0.042541	-0.024148	-0.084765
Chr01	1077824	1092628	-0.858016	-0.126576	-0.095477	-0.282517
Chr01	1093068	1100301	0.106467	0.056606	0.023943	0.045629
Chr01	1100315	1116814	-0.581156	-0.274765	-0.112121	-0.237934
Chr01	1116965	1135314	-0.165071	-0.105237	-0.045575	-0.072823
Chr01	1135382	1144711	-0.058254	-0.031156	-0.020087	-0.056124
Chr01	1144747	1150018	0.314598	0.165023	0.122102	0.211248
Chr01	1150074	1155563	0.016603	0.009059	0.005889	0.009766
Chr01	1155626	1163396	0.125828	0.068545	0.047672	0.094980
Chr01	1163832	1168310	0.584167	0.342677	0.268649	0.182615
Chr01	1168345	1174204	0.631829	0.347182	0.256119	0.262590
Chr01	1174236	1179876	0.548078	0.306357	0.231272	0.274777
Chr01	1179925	1187169	0.515358	0.266031	0.165871	0.273175
Chr01	1187224	1202888	0.259532	0.058957	0.034914	0.102929
Chr01	1202901	1212968	-0.003351	-0.001826	-0.000566	0.007699
Chr01	1212979	1253978	0.166217	0.073131	0.026643	0.108498
Chr01	1254128	1277438	0.059890	0.021727	0.013303	0.054456
Chr01	1277498	1293897	0.487369	0.035601	0.029164	0.174423
Chr01	1293938	1302160	0.254207	0.045443	0.031576	0.067647
Chr01	1302336	1312763	-0.413811	-0.193897	-0.101319	-0.213881
Chr01	1312886	1318565	-0.734655	-0.633603	-0.244692	-0.550695
