chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	555276	765585	0.106452	0.078844	0.051702	0.074267
Superscaffold1	765600	997986	0.208330	0.137422	0.078817	0.099333
Superscaffold1	998200	1354365	0.099662	0.042812	0.027848	0.058037
Superscaffold1	1354366	1742633	0.108878	0.040970	0.027055	0.072254
Superscaffold1	1742676	2114376	0.058927	0.019182	0.010385	0.040054
Superscaffold1	2114804	2362111	0.092275	0.046196	0.026645	0.057120
Superscaffold1	2362115	2517802	-0.007056	-0.007085	-0.003804	-0.009445
Superscaffold1	2517880	2676771	0.101788	0.102127	0.053872	0.058400
Superscaffold1	2676779	2800666	-0.043772	-0.054935	-0.025409	-0.023568
Superscaffold1	2800682	2977058	-0.376403	-0.478370	-0.197858	-0.261486
Superscaffold1	2977071	3193873	0.130690	0.109866	0.055957	0.062048
Superscaffold1	3193964	3521164	-0.017764	-0.008529	-0.005013	-0.005577
Superscaffold1	3521347	3827597	-0.095808	-0.046639	-0.023634	-0.051110
Superscaffold1	3827609	4192019	-0.134766	-0.070366	-0.039654	-0.081730
Superscaffold1	4192125	4492040	0.098434	0.051341	0.029341	0.062438
Superscaffold1	4492242	4771942	0.152452	0.126737	0.063675	0.091382
Superscaffold1	4771952	5048561	-0.115294	-0.067562	-0.040385	-0.073810
Superscaffold1	5048700	5436784	0.105214	0.036641	0.024372	0.073327
Superscaffold1	5436876	5732603	0.127841	0.053453	0.034617	0.079481
Superscaffold1	5733380	6104706	0.172173	0.066842	0.043817	0.102714
Superscaffold1	6104736	6393455	0.070719	0.030916	0.017797	0.039106
Superscaffold1	6393806	6719949	0.161037	0.088810	0.055933	0.114204
Superscaffold1	6720024	7158316	-0.024120	-0.010063	-0.005476	-0.014454
Superscaffold1	7158456	7445016	0.044865	0.023093	0.012378	0.025457
Superscaffold1	7445084	7792822	0.049091	0.013115	0.008838	0.026020
Superscaffold1	7792905	8506688	0.070653	0.026729	0.015916	0.044897
Superscaffold1	8506712	9131485	0.059438	0.032861	0.019487	0.029522
Superscaffold1	9131640	10118221	0.117600	0.048510	0.030609	0.073021
Superscaffold1	10119580	10678565	-0.082626	-0.049220	-0.027435	-0.053852
Superscaffold1	10678566	10872587	0.049920	0.028798	0.016434	0.028719
Superscaffold1	10872642	11185586	-0.114442	-0.048867	-0.028883	-0.066757
Superscaffold1	11185610	11473244	-0.351615	-0.221196	-0.124543	-0.253340
Superscaffold1	11473256	11797585	-0.088337	-0.034867	-0.020147	-0.059100
Superscaffold1	11797818	12109011	-0.081819	-0.038685	-0.026031	-0.050006
Superscaffold1	12109055	12319649	-0.182476	-0.165828	-0.075717	-0.112489
Superscaffold1	12319688	12573424	-0.026934	-0.024677	-0.014239	-0.020024
Superscaffold1	12573433	12895856	0.019560	0.008089	0.004381	0.015853
Superscaffold1	12895858	13250114	-0.050694	-0.020396	-0.010957	-0.034253
Superscaffold1	13251850	13859809	0.012675	0.002971	0.001820	0.009256
Superscaffold1	13859820	14330839	-0.077065	-0.026813	-0.016215	-0.048438
Superscaffold1	14331213	14666217	0.031927	0.013586	0.007224	0.021233
Superscaffold1	14666274	14920755	0.121685	0.063019	0.036129	0.080998
Superscaffold1	14920773	15341079	-0.189900	-0.047774	-0.033565	-0.155292
Superscaffold1	15341080	15658263	-0.212839	-0.069061	-0.044083	-0.145333
Superscaffold1	15658509	15970055	-0.239931	-0.095967	-0.054071	-0.154922
