chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209382	389341	0.145555	0.115442	0.075382	0.091887
Chr01	264156	479994	0.047406	0.029921	0.019512	0.030385
Chr01	389648	579891	0.006017	0.003250	0.001916	0.004177
Chr01	480063	677665	0.121960	0.064071	0.037081	0.069439
Chr01	579972	874033	-0.066527	-0.033411	-0.020075	-0.035565
Chr01	678478	1012049	-0.185766	-0.086400	-0.052704	-0.111868
Chr01	874149	1136748	-0.096595	-0.033245	-0.022480	-0.066437
Chr01	1012097	1263786	-0.073022	-0.020976	-0.014316	-0.053584
Chr01	1136844	1382297	-0.162971	-0.050042	-0.034184	-0.114537
Chr01	1264049	1485943	-0.101834	-0.037836	-0.025181	-0.071598
Chr01	1382303	1554714	-0.083662	-0.044049	-0.027771	-0.055056
Chr01	1486263	1671849	-0.242435	-0.128182	-0.076080	-0.180628
Chr01	1554976	1788705	-0.327697	-0.160813	-0.089143	-0.260334
Chr01	1671860	1890664	-0.242031	-0.109822	-0.055536	-0.174549
Chr01	1788753	2027706	-0.181486	-0.093250	-0.044189	-0.133793
Chr01	1890697	2129982	-0.118396	-0.059398	-0.032225	-0.085924
Chr01	2027798	2226615	0.017346	0.007273	0.004909	0.010638
Chr01	2130077	2297486	-0.061298	-0.035315	-0.023346	-0.037132
Chr01	2226624	2434618	-0.108458	-0.088506	-0.050328	-0.060348
Chr01	2297596	2509973	-0.081973	-0.069341	-0.039959	-0.047969
Chr01	2434744	2626686	0.016887	0.014583	0.007763	0.014008
Chr01	2509981	2686339	0.073642	0.064880	0.033112	0.042645
Chr01	2626721	2725708	-0.017854	-0.018980	-0.008595	-0.010574
Chr01	2686398	2794700	-0.085341	-0.087961	-0.040865	-0.046121
Chr01	2725826	2895833	-0.154317	-0.143755	-0.078003	-0.090525
Chr01	2794706	2967534	-0.042409	-0.038107	-0.021145	-0.027879
Chr01	2895940	3089452	0.056043	0.035513	0.022268	0.031111
Chr01	2967608	3195203	-0.005533	-0.002380	-0.001565	-0.005431
Chr01	3090098	3354874	-0.023519	-0.008667	-0.005394	-0.012428
Chr01	3195272	3503108	-0.219559	-0.079356	-0.048939	-0.148967
Chr01	3355053	3679154	-0.150333	-0.050902	-0.033179	-0.106740
Chr01	3503166	3868102	-0.095523	-0.034688	-0.021812	-0.072313
Chr01	3680376	4017982	-0.365641	-0.172257	-0.093365	-0.264202
Chr01	3868240	4117764	-0.232161	-0.107649	-0.062895	-0.149448
Chr01	4017998	4262828	-0.106188	-0.039045	-0.025093	-0.067297
Chr01	4117802	4374835	-0.456985	-0.248976	-0.141900	-0.324095
Chr01	4262930	4462915	-0.382140	-0.307181	-0.174356	-0.230701
Chr01	4374848	4593814	-0.091800	-0.040235	-0.028743	-0.049582
Chr01	4462926	4719177	-0.152810	-0.062350	-0.041470	-0.098486
Chr01	4594458	4880078	-0.225031	-0.091768	-0.056353	-0.160935
Chr01	4719208	5101224	-0.273260	-0.077161	-0.052086	-0.196734
Chr01	4881785	5297694	-0.245130	-0.064459	-0.044344	-0.166082
Chr01	5101225	5512640	-0.065615	-0.025570	-0.016781	-0.046625
Chr01	5297718	5723747	0.091667	0.034715	0.023862	0.066412
Chr01	5512644	5859898	0.000493	0.000170	0.000115	0.003976
Chr01	5723782	5979203	-0.112263	-0.052591	-0.031068	-0.065965
Chr01	5859902	6138812	0.146459	0.050868	0.033106	0.097510
Chr01	5979271	6323072	0.054297	0.015067	0.010988	0.042218
