chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	556362	716387	-0.040151	-0.033465	-0.020537	-0.022418
Superscaffold1	716398	899028	-0.062694	-0.029832	-0.019059	-0.031173
Superscaffold1	899159	1239638	-0.062227	-0.030484	-0.019630	-0.030146
Superscaffold1	1239656	1463715	0.039161	0.012612	0.008805	0.026317
Superscaffold1	1463821	1820538	-0.114704	-0.041540	-0.026666	-0.070556
Superscaffold1	1820627	2167823	-0.337807	-0.127552	-0.069221	-0.252781
Superscaffold1	2167893	2393513	-0.048358	-0.024448	-0.016353	-0.034912
Superscaffold1	2393598	2575817	0.009217	0.006571	0.004067	0.002645
Superscaffold1	2575975	2769810	0.046418	0.045279	0.024279	0.029955
Superscaffold1	2770002	2935084	-0.223672	-0.239214	-0.101699	-0.131150
Superscaffold1	2935135	3171508	-0.058788	-0.042081	-0.024197	-0.033585
Superscaffold1	3171595	3484586	-0.021792	-0.008499	-0.005289	-0.010891
Superscaffold1	3484692	3870719	-0.139587	-0.051824	-0.030312	-0.084020
Superscaffold1	3870740	4201568	-0.181706	-0.078232	-0.044569	-0.104589
Superscaffold1	4201591	4581936	-0.064024	-0.023447	-0.015617	-0.037508
Superscaffold1	4582179	4913242	-0.316170	-0.165408	-0.102662	-0.204378
Superscaffold1	4913648	5336748	-0.129771	-0.038487	-0.026527	-0.083316
Superscaffold1	5336922	5724371	0.060899	0.016423	0.011990	0.033326
Superscaffold1	5724461	6108580	0.149583	0.053737	0.037290	0.095299
Superscaffold1	6108629	6522030	-0.024865	-0.007359	-0.004890	-0.014468
Superscaffold1	6522392	6857632	-0.056888	-0.020127	-0.013791	-0.033959
Superscaffold1	6857639	7262637	-0.301882	-0.132409	-0.075577	-0.192966
Superscaffold1	7262655	7614215	-0.209597	-0.087312	-0.055482	-0.146419
Superscaffold1	7614224	8305994	-0.101407	-0.036209	-0.023036	-0.052314
Superscaffold1	8306153	8582115	-0.143388	-0.084165	-0.042884	-0.089997
Superscaffold1	8582914	9701508	0.037194	0.012048	0.008288	0.023166
Superscaffold1	9701550	10626313	0.027679	0.010836	0.007297	0.020790
Superscaffold1	10626398	10904000	-0.156193	-0.064879	-0.040971	-0.099753
Superscaffold1	10904027	11226071	-0.053877	-0.021242	-0.013684	-0.041687
Superscaffold1	11226081	11573969	-0.477228	-0.212754	-0.133731	-0.365083
Superscaffold1	11573975	11972057	0.066524	0.021110	0.013946	0.040455
Superscaffold1	11972176	12272135	-0.073309	-0.037401	-0.021838	-0.036769
Superscaffold1	12272172	12551149	-0.017942	-0.009588	-0.006010	-0.015246
Superscaffold1	12551187	12882816	-0.243230	-0.087081	-0.052927	-0.168097
Superscaffold1	12882817	13273306	0.014608	0.005081	0.002910	0.007607
