chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	64097	71153	0.882921	0.298960	0.257827	0.591850
Chr01	71164	130381	0.166292	0.075870	0.036285	0.113269
Chr01	130403	149763	-0.326357	-0.266182	-0.122704	-0.218411
Chr01	149791	156122	-0.421770	-0.537681	-0.225280	-0.268969
Chr01	156134	167851	-0.183409	-0.112631	-0.077023	-0.134254
Chr01	167857	184196	-0.035660	-0.040107	-0.022718	0.001269
Chr01	184202	186360	0.424085	0.363147	0.247366	0.189333
Chr01	186393	192985	0.069720	0.063811	0.044109	0.035092
Chr01	193097	204840	-0.022130	-0.014669	-0.010323	-0.013598
Chr01	204991	208872	-0.179360	-0.181992	-0.114119	-0.111881
Chr01	208905	214568	-0.151974	-0.104578	-0.071404	-0.099384
Chr01	214602	217482	-0.316207	-0.292837	-0.187529	-0.218314
Chr01	217541	220120	-0.322824	-0.339452	-0.203768	-0.218629
Chr01	220169	225783	-0.051997	-0.055191	-0.036728	-0.028357
Chr01	225811	233276	0.193983	0.188617	0.139549	0.128250
Chr01	233307	238227	-0.110296	-0.144437	-0.074604	-0.055768
Chr01	238245	246369	0.056192	0.037735	0.027051	0.028873
Chr01	246627	251779	0.108432	0.108058	0.073093	0.094612
Chr01	251785	255862	-0.337928	-0.480132	-0.267089	-0.285980
Chr01	255865	258819	-0.487522	-0.448182	-0.250929	-0.377975
Chr01	258835	262424	-0.559151	-2.539385	-0.557534	-0.419153
Chr01	262426	264584	-0.409328	-0.658155	-0.329880	-0.298508
Chr01	264586	269615	-0.593604	-1.540159	-0.479484	-0.467550
Chr01	269648	275321	-0.151253	-0.133497	-0.081584	-0.097062
Chr01	275334	280784	-0.081730	-0.081900	-0.050936	-0.043462
Chr01	280786	289924	-0.293038	-0.397156	-0.172598	-0.180349
Chr01	290032	310868	0.074322	0.052995	0.032220	0.053883
Chr01	310918	317903	0.284120	0.321258	0.157392	0.173325
Chr01	317958	328048	0.240182	0.177796	0.092563	0.146491
Chr01	328077	341529	-0.127679	-0.113854	-0.062402	-0.045468
Chr01	342015	351684	-0.075070	-0.114189	-0.065606	-0.027917
Chr01	351706	364275	0.619537	0.420108	0.278187	0.367111
Chr01	364342	385823	0.471864	0.285121	0.190608	0.360693
Chr01	385836	392576	0.154846	0.122403	0.080309	0.085795
Chr01	392581	402888	0.253737	0.216281	0.132147	0.143839
Chr01	402904	410230	0.553970	0.354463	0.224484	0.338089
Chr01	410354	424740	0.764163	0.351680	0.267485	0.468385
Chr01	424755	431669	0.500750	0.449057	0.259028	0.317291
Chr01	431694	446708	0.570438	0.331260	0.192677	0.361066
Chr01	446797	459344	0.447717	0.178204	0.138797	0.296243
Chr01	459349	477209	0.075204	0.042937	0.025720	0.047837
Chr01	477242	484463	-0.088287	-0.068968	-0.035062	-0.064911
Chr01	484464	496795	-0.354152	-0.109801	-0.069454	-0.240662
Chr01	496959	508785	-0.300938	-0.136499	-0.086761	-0.224126
Chr01	508963	520283	-0.180955	-0.114168	-0.059272	-0.179754
Chr01	520531	529561	0.330925	0.144035	0.108404	0.292812
Chr01	529573	553947	0.329380	0.166332	0.058579	0.231963
Chr01	553948	567630	0.089980	0.028552	0.018064	0.084336
Chr01	567637	576658	0.522516	0.193096	0.153892	0.355483
Chr01	576689	581144	0.451811	0.194313	0.157199	0.405432
Chr01	581200	606499	0.785170	0.315074	0.263142	0.730345
Chr01	606504	618014	0.515310	0.253842	0.188816	0.320310
Chr01	618015	631118	0.191086	0.111097	0.074287	0.109838
Chr01	631137	648126	0.182395	0.090131	0.057243	0.107393
Chr01	648444	656214	0.223806	0.152775	0.091163	0.087840
Chr01	656244	661894	0.345014	0.151063	0.120344	0.251697
Chr01	661921	675497	0.041534	0.028655	0.019196	0.031093
Chr01	675899	702094	-0.006474	-0.004703	-0.002245	0.008735
Chr01	702119	758413	-0.140314	-0.094355	-0.048128	-0.079548
Chr01	758497	797511	-0.065576	-0.061555	-0.023054	-0.032712
Chr01	797530	828651	-0.096375	-0.062960	-0.038291	-0.067209
Chr01	828805	848457	-0.522720	-0.219624	-0.103997	-0.421482
Chr01	848477	864045	-0.358966	-0.246239	-0.084891	-0.290509
Chr01	864068	873041	-0.246570	-0.393287	-0.114744	-0.183784
Chr01	873622	896585	0.113089	0.066232	0.040212	0.051427
Chr01	896594	906959	0.082270	0.024166	0.017430	0.051415
Chr01	907009	927128	-0.041168	-0.011970	-0.009730	-0.020400
Chr01	927263	933971	-0.719806	-0.896250	-0.360852	-0.563455
Chr01	934017	944859	-0.391561	-0.202546	-0.106555	-0.222328
Chr01	944886	963290	0.098419	0.026020	0.018461	0.091974
Chr01	965098	989338	0.205344	0.075365	0.037926	0.151481
Chr01	989353	1011223	-0.307296	-0.082303	-0.045114	-0.169445
Chr01	1011682	1018491	0.261753	0.066283	0.051645	0.088865
Chr01	1018596	1030434	-0.038768	-0.003615	-0.002911	-0.012640
Chr01	1030443	1045241	-0.228257	-0.030407	-0.020997	-0.092316
Chr01	1045263	1062138	-0.475222	-0.066862	-0.044010	-0.156589
Chr01	1062299	1082735	-0.669802	-0.153583	-0.092384	-0.578262
Chr01	1083262	1103709	-0.532224	-0.073866	-0.049374	-0.467357
Chr01	1103819	1118817	-0.294213	-0.120332	-0.068257	-0.199916
Chr01	1118825	1138685	-0.315277	-0.111556	-0.073278	-0.211885
Chr01	1138953	1146310	-0.226654	-0.079259	-0.052380	-0.128292
Chr01	1146410	1154178	-0.243230	-0.063668	-0.047428	-0.182513
Chr01	1154179	1166604	-0.285252	-0.078384	-0.056659	-0.247035
Chr01	1166618	1174720	0.507232	0.195826	0.143953	0.466422
Chr01	1174988	1186296	0.511731	0.214341	0.139237	0.356289
Chr01	1186650	1206667	-0.061126	-0.025831	-0.011491	-0.054298
Chr01	1206706	1216172	-0.163083	-0.062185	-0.024044	-0.143929
Chr01	1216226	1273785	0.278301	0.092454	0.050732	0.260229
Chr01	1273942	1292822	-0.587318	-0.094874	-0.055968	-0.423832
Chr01	1292823	1309277	-0.280840	-0.174926	-0.095933	-0.239466
Chr01	1309291	1327168	-0.429113	-0.168295	-0.091311	-0.375656
Chr01	1327402	1364843	0.142790	0.028280	0.021580	0.130794
Chr01	1364858	1374782	-0.289369	-0.132909	-0.085057	-0.173430
Chr01	1374786	1384308	-0.413158	-0.262289	-0.141493	-0.207330
Chr01	1384316	1401036	-0.570206	-0.353000	-0.203454	-0.496785
Chr01	1401362	1412618	-0.567580	-0.276920	-0.184016	-0.463787
Chr01	1412867	1436670	-0.423019	-0.422638	-0.173364	-0.351816
Chr01	1436679	1450857	0.457527	0.252039	0.149851	0.380377
Chr01	1450937	1456627	0.422564	0.211413	0.118459	0.371076
Chr01	1456642	1463826	0.774536	0.399031	0.231816	0.736487
Chr01	1463834	1471855	0.618396	0.327508	0.187817	0.569021
Chr01	1471917	1479995	0.635121	0.250042	0.175475	0.489432
Chr01	1480150	1501758	0.027029	0.003652	0.002569	0.010445
Chr01	1501963	1511699	-0.186684	-0.163083	-0.067928	-0.142899
Chr01	1511702	1521520	-0.192976	-0.097914	-0.046353	-0.114813
Chr01	1521529	1536160	-0.159791	-0.082455	-0.049602	-0.083121
Chr01	1536168	1539934	-0.150969	-0.200246	-0.085009	-0.058875
Chr01	1539975	1544207	-0.157081	-0.164356	-0.095343	-0.074689
Chr01	1544236	1552647	0.124908	0.082909	0.049668	0.052355
Chr01	1552896	1562109	-0.614869	-0.488635	-0.192681	-0.402657
Chr01	1562226	1573457	-0.756737	-0.846648	-0.252166	-0.654789
Chr01	1573507	1587939	-0.228104	-0.115766	-0.047910	-0.208051
Chr01	1589054	1627078	-0.176371	-0.049364	-0.025707	-0.208488
Chr01	1627282	1637802	-0.416152	-0.190709	-0.090093	-0.315474
Chr01	1637919	1646670	-0.702728	-0.569524	-0.219102	-0.638819
Chr01	1646679	1659285	-0.770372	-0.487498	-0.204557	-0.657290
Chr01	1659295	1666409	0.940010	0.398806	0.345210	0.927237
Chr01	1666482	1675828	0.485574	0.204884	0.130628	0.431251
Chr01	1675932	1683799	0.386805	0.213001	0.122365	0.260281
Chr01	1683886	1687401	-0.297119	-0.253937	-0.126664	-0.169474
Chr01	1687443	1689381	-0.183153	-0.202581	-0.092704	-0.079156
Chr01	1689383	1690923	-0.367827	-0.749222	-0.257619	-0.173249
Chr01	1690926	1695973	-0.596134	-1.007429	-0.168923	-0.265952
Chr01	1695984	1710693	-0.132143	-0.080942	-0.029815	-0.063456
Chr01	1710741	1736662	-0.303782	-0.057497	-0.033749	-0.244299
Chr01	1737254	1787556	0.114663	0.027691	0.015238	0.082703
Chr01	1787592	1792889	-0.143629	-0.032510	-0.021322	-0.080884
Chr01	1792892	1804507	0.488845	0.229808	0.091388	0.357309
Chr01	1804524	1815528	0.559859	0.250347	0.121477	0.536538
Chr01	1815532	1830577	-0.221201	-0.112224	-0.040704	-0.169806
Chr01	1830882	1843126	0.099801	0.059781	0.030127	0.098434
Chr01	1843185	1852132	0.737098	0.412364	0.183978	0.632581
Chr01	1852184	1864793	-0.006544	-0.002803	-0.001238	0.008987
Chr01	1865042	1875899	-0.546272	-0.137759	-0.071322	-0.412565
Chr01	1875918	1892464	-0.481129	-0.186806	-0.080782	-0.434251
Chr01	1892525	1899367	0.241279	0.117225	0.050967	0.220950
Chr01	1899480	1910948	-0.322399	-0.125638	-0.052295	-0.318095
Chr01	1910965	1922129	-0.637849	-0.450529	-0.183496	-0.391163
Chr01	1922192	1955151	-0.486994	-0.267023	-0.145692	-0.428781
Chr01	1955192	1976860	-0.174693	-0.116278	-0.036150	-0.073906
Chr01	1976890	1985400	-0.651380	-0.913705	-0.163578	-0.356591
Chr01	1985402	1993419	-0.269481	-0.437545	-0.066796	-0.139302
Chr01	1993433	2001230	0.371980	0.295037	0.117258	0.203316
Chr01	2001292	2006368	0.116478	0.073767	0.032273	0.078081
Chr01	2006387	2014619	0.186111	0.070574	0.035244	0.082456
Chr01	2014622	2027043	-0.036303	-0.011209	-0.006450	-0.015875
Chr01	2027094	2032964	-0.247415	-0.280428	-0.116780	-0.129924
Chr01	2032966	2041478	-0.131872	-0.102993	-0.057028	-0.093134
Chr01	2041485	2046918	0.001913	0.001523	0.000886	-0.002341
Chr01	2047039	2052318	0.110960	0.047326	0.030831	0.067573
Chr01	2052443	2060398	0.161815	0.077547	0.055553	0.112091
Chr01	2060400	2075175	-0.123956	-0.074687	-0.038881	-0.117833
Chr01	2075204	2086753	0.290993	0.225800	0.120078	0.201768
Chr01	2086808	2093932	-0.718250	-0.382920	-0.247624	-0.560309
Chr01	2093940	2098334	-0.515961	-0.115722	-0.098995	-0.385810
Chr01	2098356	2106116	-0.557540	-0.285595	-0.144357	-0.429462
Chr01	2106139	2110267	-0.603052	-1.125026	-0.214324	-0.490249
Chr01	2110277	2118034	0.016406	0.013997	0.006805	0.002399
Chr01	2118035	2131525	-0.052378	-0.018720	-0.010348	-0.037964
Chr01	2131819	2155723	0.050471	0.018544	0.012771	0.031783
Chr01	2155741	2163736	-0.191982	-0.134703	-0.083115	-0.073704
Chr01	2163769	2174872	0.176894	0.103059	0.078026	0.096062
Chr01	2174990	2182588	0.495106	0.235195	0.203658	0.308057
Chr01	2182618	2200855	0.116472	0.044001	0.022637	0.027287
Chr01	2200875	2206651	-0.049989	-0.038617	-0.021655	-0.025889
Chr01	2206786	2212010	-0.318817	-0.388429	-0.198041	-0.215213
Chr01	2212019	2214892	-0.265110	-0.446717	-0.148106	-0.152993
Chr01	2214895	2222052	0.587595	0.494988	0.233115	0.387195
Chr01	2222058	2226045	0.399297	0.401630	0.265486	0.291940
Chr01	2226064	2230709	-0.087573	-0.102747	-0.036458	-0.031104
Chr01	2230751	2233128	-0.023842	-0.041967	-0.016399	-0.007179
Chr01	2233422	2237202	-0.016906	-0.017075	-0.007879	-0.001042
Chr01	2237208	2246546	0.020529	0.023145	0.012538	0.005251
Chr01	2246554	2251478	-0.456175	-0.824129	-0.258542	-0.299666
Chr01	2251480	2255497	0.088597	0.169641	0.060999	0.041393
Chr01	2255503	2259357	0.032735	0.048991	0.022993	0.019054
Chr01	2259373	2263457	0.094472	0.150203	0.072293	0.046518
Chr01	2263458	2267559	-0.073159	-0.084016	-0.053220	-0.034941
Chr01	2267599	2272180	0.331116	0.498383	0.356056	0.177440
Chr01	2272238	2276734	0.295491	0.434347	0.308244	0.182196
Chr01	2276742	2284588	0.443894	0.329400	0.231912	0.319319
Chr01	2285108	2291523	0.340591	0.278398	0.173469	0.207513
Chr01	2291600	2303916	-0.274359	-0.262344	-0.096554	-0.144840
Chr01	2303917	2312699	0.268472	0.314199	0.175590	0.152919
Chr01	2312733	2336348	0.136532	0.126339	0.067071	0.083279
Chr01	2336420	2358327	-0.201981	-0.303604	-0.124452	-0.114994
Chr01	2358337	2374173	-0.337968	-0.574948	-0.226351	-0.230325
Chr01	2374613	2377700	-0.279184	-0.681682	-0.211131	-0.153183
Chr01	2377717	2390147	0.042581	0.038412	0.011514	0.035946
Chr01	2390151	2406576	0.360911	0.335455	0.167070	0.278073
Chr01	2406616	2413899	0.751722	0.511100	0.352593	0.619480
Chr01	2413917	2420242	0.072839	0.116760	0.040666	0.037818
Chr01	2420251	2423090	0.125658	0.227620	0.083189	0.068635
