chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	208957	384678	0.074503	0.055823	0.036524	0.045676
Chr01	262437	478642	-0.002975	-0.001805	-0.001200	-0.002245
Chr01	384682	578017	-0.009439	-0.005095	-0.003097	-0.005517
Chr01	478655	671531	0.077685	0.037616	0.023046	0.040163
Chr01	578077	872043	-0.128146	-0.061194	-0.036766	-0.066787
Chr01	671534	1012049	-0.258232	-0.114072	-0.068675	-0.150250
Chr01	872112	1137202	-0.168268	-0.049102	-0.033927	-0.108933
Chr01	1012097	1255966	-0.068799	-0.017858	-0.012273	-0.051269
Chr01	1137208	1393170	-0.209118	-0.060921	-0.040968	-0.148800
Chr01	1255969	1494740	-0.117969	-0.043608	-0.028185	-0.085242
Chr01	1393171	1558367	-0.022705	-0.014131	-0.008433	-0.013660
Chr01	1494766	1683682	-0.275576	-0.163886	-0.093568	-0.201562
Chr01	1558800	1828885	-0.407177	-0.185749	-0.099464	-0.319788
Chr01	1683720	1992287	-0.535431	-0.241145	-0.120195	-0.390184
Chr01	1828988	2098894	-0.306226	-0.139830	-0.076390	-0.216471
Chr01	1992309	2222893	-0.056145	-0.023024	-0.015012	-0.039221
Chr01	2099095	2278097	-0.140245	-0.069968	-0.045076	-0.084488
Chr01	2222929	2425042	-0.164123	-0.145295	-0.078596	-0.094647
Chr01	2278105	2496295	-0.155426	-0.141832	-0.074661	-0.094770
Chr01	2425080	2604950	-0.165194	-0.160925	-0.081252	-0.091026
Chr01	2496299	2664494	-0.072687	-0.070050	-0.035308	-0.036789
Chr01	2604958	2714928	0.096698	0.091858	0.045793	0.054266
Chr01	2664554	2767177	-0.051445	-0.056914	-0.024575	-0.029283
Chr01	2714940	2849392	-0.211907	-0.212819	-0.101935	-0.131758
Chr01	2767209	2940278	-0.267139	-0.236085	-0.125821	-0.168089
Chr01	2849483	3040232	-0.203899	-0.151542	-0.083418	-0.126656
Chr01	2940294	3162451	-0.085093	-0.040933	-0.025643	-0.050745
Chr01	3040643	3278744	-0.090327	-0.034657	-0.022069	-0.051612
Chr01	3162499	3428215	-0.256638	-0.105666	-0.062405	-0.161863
Chr01	3278749	3558491	-0.160296	-0.060903	-0.038215	-0.104540
Chr01	3428308	3786878	-0.014815	-0.004546	-0.002991	-0.012805
Chr01	3558513	3922052	-0.248453	-0.102142	-0.059450	-0.190815
Chr01	3787770	4031202	-0.414121	-0.234884	-0.120755	-0.292242
Chr01	3922070	4170278	-0.273774	-0.091647	-0.058604	-0.160295
Chr01	4031205	4291727	-0.253568	-0.088839	-0.057080	-0.167545
Chr01	4170358	4407818	-0.450273	-0.278293	-0.155611	-0.326633
Chr01	4291753	4481549	-0.370817	-0.341245	-0.187093	-0.236357
Chr01	4407832	4620841	-0.142112	-0.063732	-0.043341	-0.086351
Chr01	4481559	4768150	-0.272537	-0.105301	-0.067763	-0.185644
Chr01	4620855	4927399	-0.310475	-0.116320	-0.073572	-0.223239
Chr01	4768196	5140188	-0.343546	-0.097679	-0.064758	-0.251168
Chr01	4927463	5433931	-0.305654	-0.078829	-0.051943	-0.199426
