chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chr01	209856	440527	0.129406	0.087817	0.060104	0.085755
Chr01	276613	557088	0.178352	0.095896	0.058282	0.104553
Chr01	441045	662215	0.176377	0.086281	0.052449	0.087157
Chr01	557192	910184	0.052479	0.026670	0.016214	0.029224
Chr01	662370	1077953	-0.185936	-0.065511	-0.041688	-0.122622
Chr01	910233	1212543	-0.145053	-0.039916	-0.026850	-0.098400
Chr01	1078004	1424690	-0.274447	-0.105904	-0.064734	-0.225196
Chr01	1212620	1542372	-0.030731	-0.014269	-0.008564	-0.027170
Chr01	1424768	1670072	0.034037	0.016339	0.009492	0.017970
Chr01	1542395	1792873	-0.125052	-0.056075	-0.029668	-0.086401
Chr01	1670159	1957537	-0.051695	-0.021134	-0.010123	-0.030621
Chr01	1792884	2054043	-0.037599	-0.016171	-0.007845	-0.023668
Chr01	1965648	2175947	-0.055780	-0.025406	-0.014844	-0.035202
Chr01	2054132	2237185	-0.056366	-0.031509	-0.019009	-0.036004
Chr01	2176248	2336215	0.070654	0.065419	0.036089	0.039173
Chr01	2237202	2439869	-0.009267	-0.010618	-0.005264	-0.003907
Chr01	2336225	2502786	-0.113954	-0.156274	-0.064474	-0.060131
Chr01	2440130	2605478	-0.179961	-0.241644	-0.098978	-0.098582
Chr01	2502789	2664391	-0.037548	-0.042623	-0.019716	-0.018373
Chr01	2605535	2713403	0.157616	0.166412	0.079879	0.091473
Chr01	2664399	2762290	0.095566	0.097064	0.045233	0.049225
Chr01	2713487	2832040	-0.194704	-0.222991	-0.108017	-0.126500
Chr01	2762339	2932254	-0.223897	-0.261962	-0.127014	-0.133200
Chr01	2832141	3019548	0.032285	0.041004	0.016645	0.015132
Chr01	2932337	3107009	0.048038	0.054802	0.022901	0.021095
Chr01	3019575	3248000	-0.044158	-0.024078	-0.012741	-0.022570
Chr01	3107010	3403271	-0.266895	-0.119568	-0.067957	-0.173319
Chr01	3248024	3529262	-0.220577	-0.108740	-0.062618	-0.152525
Chr01	3403293	3636325	0.310420	0.157681	0.098813	0.218445
Chr01	3529345	3796182	0.247072	0.137952	0.080922	0.181719
Chr01	3636337	3941797	-0.327774	-0.231718	-0.107585	-0.233777
Chr01	3796204	4052073	-0.372121	-0.304493	-0.132700	-0.251232
Chr01	3941863	4152040	0.028732	0.016615	0.009143	0.020313
Chr01	4052082	4271205	0.008099	0.004345	0.002395	0.002034
Chr01	4152297	4380550	-0.073079	-0.053173	-0.023828	-0.043457
Chr01	4271206	4451030	0.000712	0.000741	0.000306	0.006975
Chr01	4380566	4511011	-0.010632	-0.012251	-0.006850	-0.004956
Chr01	4451038	4630744	-0.173287	-0.106833	-0.062603	-0.104216
Chr01	4511052	4803895	-0.079935	-0.034350	-0.019983	-0.056227
Chr01	4630847	4939815	-0.147783	-0.067981	-0.040188	-0.111709
Chr01	4803896	5135463	-0.260596	-0.093895	-0.058817	-0.184669
Chr01	4939951	5292523	-0.070497	-0.020594	-0.013276	-0.043728
Chr01	5135563	5562842	-0.085446	-0.033923	-0.022059	-0.062451
Chr01	5292743	5723150	-0.077762	-0.033620	-0.021105	-0.051915
Chr01	5562875	5869763	-0.060245	-0.025263	-0.015571	-0.034737
Chr01	5723397	5978828	-0.141302	-0.071661	-0.040290	-0.084947
Chr01	5869793	6098725	0.005385	0.002913	0.001538	0.004450
Chr01	5978857	6240275	0.058452	0.025806	0.015344	0.035045
