X.Chr01.	X.6e.05.	X.mue0_bic1.	X.54.	X..0.0624889687553519.	X.0.00115764091075741.	X.0.451268699039781.	X.0.351851851851852.	X.0.019443261560039.	X.210.	X.0.362665872508885.
Chr01	6e+05	mue0_bic1	54	-0.0624889687553519	0.00115764091075741	0.451268699039781	0.351851851851852	0.019443261560039	210	0.362665872508885
Chr01	7e+05	mue0_bic1	25	-0.228418661005628	0.0174886395322589	0.213480024180507	0.04	0.0212026052466394	74	0.34107024510158
Chr01	8e+05	mue0_bic1	30	-0.152892290146715	0.0101115890420904	0.804175399664361	0.933333333333333	0.0215837861052944	147	0.300238336910667
Chr01	9e+05	mue0_bic1	30	-0.105598476372587	0.00924025166961019	0.809756772654215	0.892857142857143	0.0870455209521623	60	0.216923207373066
Chr01	1e+06	mue0_bic1	43	0.0932204062564975	0.00884998284832545	0.493392140084596	0.534883720930233	0.0852919019535264	6	0.195672611777849
Chr01	1100000	mue0_bic1	38	-0.205176768888171	0.0338253950454992	0.560428753879506	0.473684210526316	0.0979405712129533	14	0.220291131027012
Chr01	1200000	mue0_bic1	54	-0.0610882788335985	0.011352951554781	0.939965402380999	0.962962962962963	0.173309006568775	33	0.113212338658024
Chr01	1300000	mue0_bic1	52	0.132820296725894	0.0174758330422029	0.662196480389989	0.576923076923077	0.0270205117584991	3	0.198397304683039
Chr01	1600000	mue0_bic1	137	0.0196828357295338	0.00229537696320956	0.932832229282877	0.947761194029851	0.183721494457339	10	0.0811242927698229
Chr01	1700000	mue0_bic1	113	-0.0311522117631621	0.0082027389623219	0.967836898739226	0.973451327433628	0.22638421849679	17	0.0679203172740831
Chr01	1800000	mue0_bic1	172	-0.0418324050782666	0.015146773275646	0.97000209435081	0.982300730943265	0.127376192276059	18	0.0671186228551077
Chr01	1900000	mue0_bic1	151	-0.0738273177996716	0.0224272514296853	0.935675125555995	0.965635333018422	0.0675556731726848	14	0.0973462731933994
Chr01	2e+06	mue0_bic1	64	0.0673980233968528	0.0155441326277052	0.727197495231221	0.736842105263158	0.19100884038031	10	0.106746631320514
Chr01	2700000	mue0_bic1	30	0.08932642589554	0.0144677372365722	0.564182399226187	0.535714285714286	0.15999800894763	0	0.146645896986178
Chr01	3200000	mue0_bic1	48	0.121222553523509	0.0202334723266773	0.756691733649718	0.833333333333333	0.0467274525358623	14	0.168282317133042
Chr01	3300000	mue0_bic1	58	0.0878570544540094	0.0157595667466936	0.329709137233748	0.300908521303259	0.186003973344014	16	0.138195775374444
Chr01	3400000	mue0_bic1	65	0.0143898710721309	0.00145378597598071	0.888224757067593	0.892307692307692	0.226855329709138	8	0.0745241326868727
Chr01	3600000	mue0_bic1	108	-0.161160992007515	0.0143052580017213	0.762285514470292	0.882352941176471	0.0128651215258041	116	0.266073945500474
Chr01	3700000	mue0_bic1	29	0.0294409826652869	0.00390934639853612	0.840239905695797	0.84412955465587	0.225718754545426	4	0.0929802029234409
Chr01	3800000	mue0_bic1	33	0.0433025078375608	0.00379924908464427	0.750237536680954	0.774193548387097	0.178807895215366	4	0.138724903167158
Chr01	3900000	mue0_bic1	128	0.0462819625736558	0.00153182501702666	0.849359582440348	0.952755905511811	0.0265557852461581	51	0.233505682022565
Chr01	4e+06	mue0_bic1	22	-0.00579811468084388	4.58466090270901e-05	0.626027580977456	0.636363636363636	0.169641951861085	15	0.169092154002143
Chr01	4100000	mue0_bic1	35	0.12433083604782	0.0377325616822162	0.88415040479119	0.911764705882353	0.192761214858676	24	0.126389493607589
Chr01	4200000	mue0_bic1	47	0.0942491427930846	0.0308247648428983	0.90136567818668	0.934782608695652	0.150890215304262	21	0.106002910068966
Chr01	4300000	mue0_bic1	31	0.0162699009173046	0.000202384265459473	0.531343042065475	0.464285714285714	0.0883885599466589	1	0.225832686438564
Chr01	4600000	mue0_bic1	27	0.483577917778638	0.0824551383571725	0.40424650139626	0.192307692307692	0.0254166707155686	30	0.332543040770575
Chr01	4800000	mue0_bic1	140	0.0333996390511257	0.0101562026253589	0.977033429207385	0.985611510791367	0.154684063581683	25	0.0654434762253325
Chr01	5100000	mue0_bic1	40	0.0437369536032806	0.00564002016874303	0.783845205846699	0.775	0.127986461608655	1	0.115000165823059
Chr01	5300000	mue0_bic1	41	-0.0633052749942617	0.00369922782995991	0.172222842605696	0.0975609756097561	0.0642294252006639	30	0.205529717332642
Chr01	5600000	mue0_bic1	52	0.0232010495240801	0.000473110401787845	0.637873729424052	0.596153846153846	0.0630325590855769	6	0.21062826382893
Chr01	5700000	mue0_bic1	31	-0.00585713790913371	0.000140297911459548	0.689125385969322	0.701851851851852	0.222583131524315	0	0.097645022978976
Chr01	5900000	mue0_bic1	49	0.279177020376828	0.0508603186260562	0.407538873404961	0.394736842105263	0.0754479047110735	49	0.244444570080033
Chr01	6e+06	mue0_bic1	78	0.0260413399468755	0.00288456789177985	0.777592652817743	0.792207792207792	0.204879899078327	10	0.0957443619937991
Chr01	6100000	mue0_bic1	90	-0.0272558086035451	0.00299008163753495	0.500543130908661	0.511904761904762	0.16398759656443	4	0.0984255415491107
Chr01	6200000	mue0_bic1	24	0.626137250303299	0.20091955491183	0.276344137420742	0.166666666666667	0.0476949660453095	0	0.275834575259417
Chr01	6300000	mue0_bic1	28	0.751497216734369	0.257605964060565	0.459287769183674	0.428571428571429	0.0459869986086819	1	0.29237462972683
Chr01	6400000	mue0_bic1	79	0.0147698225297628	0.00260901636963994	0.0611272507407061	0.04	0.14547687813211	1	0.0570988209022785
