chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Superscaffold1	561717	737875	0.204177	0.139573	0.094784	0.111295
Superscaffold1	738167	916746	0.211940	0.101027	0.060963	0.127007
Superscaffold1	916859	1281241	-0.047695	-0.018054	-0.012034	-0.023379
Superscaffold1	1281459	1533689	0.118665	0.023341	0.017488	0.064804
Superscaffold1	1533738	1915014	-0.229882	-0.087699	-0.056000	-0.158777
Superscaffold1	1915735	2279984	-0.197150	-0.071131	-0.041339	-0.147136
Superscaffold1	2280083	2513652	-0.049167	-0.025611	-0.016823	-0.033362
Superscaffold1	2513656	2712091	0.073865	0.048210	0.029307	0.043975
Superscaffold1	2712157	2860507	0.022388	0.019623	0.010850	0.012638
Superscaffold1	2861503	3103597	-0.228838	-0.152470	-0.082305	-0.149186
Superscaffold1	3103696	3481515	0.135510	0.045034	0.030263	0.074523
Superscaffold1	3481657	3892019	-0.107081	-0.036830	-0.021841	-0.068162
Superscaffold1	3892061	4300618	-0.023275	-0.010898	-0.006370	-0.008630
Superscaffold1	4301240	4666626	-0.273352	-0.097005	-0.063784	-0.177357
Superscaffold1	4666633	5097707	-0.012599	-0.004677	-0.003267	-0.005757
Superscaffold1	5097716	5609723	-0.179949	-0.034411	-0.025347	-0.118773
Superscaffold1	5609737	5960375	0.160720	0.061250	0.041081	0.102457
Superscaffold1	5960433	6420405	0.063410	0.017245	0.012415	0.043287
Superscaffold1	6420486	6794327	-0.124923	-0.046758	-0.031360	-0.081240
Superscaffold1	6795046	7263651	-0.244772	-0.076938	-0.050514	-0.149813
Superscaffold1	7263687	7727725	-0.217467	-0.078014	-0.052094	-0.156279
Superscaffold1	7727735	8423009	-0.309320	-0.116402	-0.071979	-0.205988
Superscaffold1	8423166	9156283	-0.003914	-0.001518	-0.000963	-0.000657
Superscaffold1	9156398	10396377	0.068020	0.019583	0.013654	0.050604
Superscaffold1	10396791	10834865	-0.083398	-0.029970	-0.020964	-0.056077
Superscaffold1	10834978	11186630	-0.095775	-0.036917	-0.023575	-0.064345
Superscaffold1	11186631	11571412	-0.506138	-0.198094	-0.128365	-0.398836
Superscaffold1	11571657	11994056	-0.064478	-0.019834	-0.012935	-0.044979
Superscaffold1	11994134	12337466	0.064316	0.027097	0.016523	0.040607
Superscaffold1	12337476	12606791	0.132561	0.072209	0.046904	0.080439
